"filename","nome","titolo","anno","chunk","DIL"
"Della_Chiesa_Cesare-Sette_Novelle-1836","Della Chiesa Cesare","Sette Novelle","1836","SETTE NOVELLE RACCONTATE DAL C. CESARE DELLA CHIESA Di Benevello NOVELLA PRIMA Le Rovine nella Valle di Susa","NO"
"Della_Chiesa_Cesare-Sette_Novelle-1836","Della Chiesa Cesare","Sette Novelle","1836","La comune credenza che nell’uomo, all’appressarsi degli estremi momenti, si sviluppino più energicamente non solo le facoltà dei sensi di cui fu sempre in possesso; ma quelle eziandio , di cui per difetto di natura o per qualche accidente fu privo. Rari non sono gli esempi di uomini ciechi e sordi, i quali, poche ore prima della morte, acquistarono la vista e l'udito, quasi volesse la natura con quest’addio riparare un’ ingiustizia verso di essi. — Quanto io imprendo narrare , del che fui testimonio, potrebbe dar peso a questa opinione.","NO"
"Della_Chiesa_Cesare-Sette_Novelle-1836","Della Chiesa Cesare","Sette Novelle","1836","Andando dà Torino a Susa, passata Avigliana, sul fianco delle montagne, che si innalzano alla destra, si vedono qua e là sparsi molti ruderi di antiche castella, le quali nei primi tempi della Signoria di Savoia dovettero appartenere a Principi di questa famiglia. II loro aspetto pittoresco e bizzarro, la varietà e la ricchezza delle tinte di cui si compiacque vestirle la natura, dovevano sedurre un uomo anche meno amatore di simil cose, che non sono io, ed invogliarlo a farne tesoro nella sua cartella. Eravamo alla metà dell’autunno, e il tempo era bello assai, onde io accomodatomi di una camerella in Avigliana , deliberai di aggirarmi alcuni giorni fra quelle rovine, e ritrarle; ora una sera mentre stanco io me ne stava seduto all’ incontro di una di esse per riposarmi, accadevami di essere sì fattamente preso dal sonno che mi addormentai, ma nel risvegliarmi trovai con mia sorpresa che io era stato sopraggiunto dalle tenebre della notte, e ch’erami impossibile di far ritorno ad Avigliana.","NO"
"Della_Chiesa_Cesare-Sette_Novelle-1836","Della Chiesa Cesare","Sette Novelle","1836","Maledissi cento volte alla mia scioperaggine, ma ciò nulla giovando, mi posi seriamente a pensare al modo di ripararmi dalle ingiurie di quella notte già molto lunghe, e fredde in tale stagione, nulla confortandomi l’aspetto delle rovine, che mi stavano innanzi tristo ricovero di nottole, e di gufi; ma ecco che mentre me ne era in questo pensiero io vedo improvvisamente uscire una luce da un fesso di quelle medesime mura. Pensai da prima che fosse una illusione dell’ occhio , non potendomi immaginare che quivi abitasse un vivente: ma non concedendomi la severità dei tempi di credere alle stregonerie ed ai folletti, mi convenne pure cedere al testimonio dei sensi, e giudicandolo un tratto della divina Provvidenza, il meglio che potei, tentai l’erta, e mi indirizzai alla volta di quel raggio di luce. Io entrava per una stretta porticciuola, che metteva in una corte, nella quale udivasi il mormorio di un piccol filo d’acqua.","NO"
"Della_Chiesa_Cesare-Sette_Novelle-1836","Della Chiesa Cesare","Sette Novelle","1836","Ma doveva essere rotta la vasca , nella quale un tempo era accolta, come mi convenne argomentare dal fradicio che era su tutto il pavimento, il che lo rendeva mal fermo , e sdrucciolante. Del resto era un silenzio non interrotto che dall’ eco, che ripeteva i miei passi, e dall’urto del mio bastone, il quale mi serviva di guida. Io avendo frattanto smarrito la luce, ponevami a chiamare ad alta voce per vedere se alcuno fosse uscito di là; ma continuando l’ostinato silenzio, di nuovo in dubbio di essermi ingannato, io già rivolgea il passo; quand’ecco tutto a un tratto apparire un lume sulla sommità di una lunga e stretta scala, a cui mi trovava in faccia.","NO"
"Della_Chiesa_Cesare-Sette_Novelle-1836","Della Chiesa Cesare","Sette Novelle","1836","Voi certamente non potete indovinare qual fosse la persona che lo portava. Era questa un cane barbone, il quale piantatosi fermo in cima di detta scala col suo lume in bocca, preparavasi a precedere il padrone che gli era dietro. Era questo padrone un prete già innanzi assai negli anni, il quale accomiatavasi da una donna che lo aveva seguito sul pianerottolo di essa.","NO"
"Della_Chiesa_Cesare-Sette_Novelle-1836","Della Chiesa Cesare","Sette Novelle","1836","Fatevi cuore, buona donna, dicevate , ancorchè grave sia il pericolo , non pare tuttavia imminente ; spero che domani giungerò ancora in tempo a rendere i miei uffizi : pregate Iddio, e rassegnatevi di buon animo ai suoi voleri. Questa misteriosa apparizione in tale solitudine parevami sì strana e inesplicabile, che per la maraviglia io era rimasto incapace di proferire una sillaba. Il cane accortosi il primo della presenza di qualcheduno , lasciato cadere il lume, davane segno al padrone abbaiando, e ritornando indietro; il prete con voce tremante — Chi è là ?","NO"
"Della_Chiesa_Cesare-Sette_Novelle-1836","Della Chiesa Cesare","Sette Novelle","1836","gridava tosto , chi è là? amica gente io rispondo, non isgomentatevi sono un viaggiatore smarrito che cerco un ricovero per questa notte : alla voce del prete usciva di nuovo la donna col lume : loglievalo egli e fattosi colla mano riparo all’ occhio, di nuovo interrogava — Uomo di pace, buona gente, io ripeteva, che mi trovo nella impossibilità di ricondurmi in Avigliana ; non abbiate alcun timore : vi dimando solo un ricovero per ripararmi dalle ingiurie della notte e null’altro. Il prete sempre nell’ atto istesso tentava intanto di penetrare coll’occhio nelle dense tenebre, in cui io era tuttora immerso; quando a poco a poco gli si scoperse la mia figura perchè io già avea salila la scala, e mi trovava in faccia a lui.","NO"
"Della_Chiesa_Cesare-Sette_Novelle-1836","Della Chiesa Cesare","Sette Novelle","1836","L’aspetto mio dichiaravagli ben tosto la verità delle mie parole — Malagiato ricovero può prestare questa casa , disse egli allora alquanto rassicurato ; ma se siete un’ anima buona, la Provvidenza vi destina ad un tale atto di pietà, che forse il migliore mai non vi accadrà di esercitare; il mio ministero mi chiama vicino ad altri dolori , d’altronde qui tutti i miei doveri sono adempiuti, il resto sta nelle mani del Cielo. In ciò dire m’ introdusse per la porticciuola, da cui era testò uscito, e indicandomi colla mano l’interno , qui mi disse , un misero è sul punto di rendere l’anima al suo Fattore ; poche ore gli rimangono; confortatelo al gran passo, se giunge prima del mio ritorno di domani, e assistete questa virtuosa e pietosa donna, unico sollievo rimasto a quell’ infelice già da molti anni. Volgendosi poi ad essa — Vedete che Iddio mai non ci abbandona, e che vi manda in questo forestiere un inaspettato soccorso.","NO"
"Della_Chiesa_Cesare-Sette_Novelle-1836","Della Chiesa Cesare","Sette Novelle","1836","Nulla rispondeva la donna, fuorchè alzali due begli occhi al cielo , parea ringraziarlo. Entro : quale spettacolo mi si presenta inatteso, lugubre , solenne! In fondo ad una lunga sala, tutta vetustà e rovina, pallido, convulso , in preda all’ansia della morte, io vedo un infelice, il quale avvolto in miseri cenci disteso sur un letto e lottante cogli estremi palpiti della vita , sta recitando con voce fioca e rauca il salmo dei morti.","YES"
"Della_Chiesa_Cesare-Sette_Novelle-1836","Della Chiesa Cesare","Sette Novelle","1836","Era costui già sul declinare della età, la fronte avea calva e profondamente solcata dalle traccie di lunghi travagli, scarne e livide le guancie, e benchè aperti fossero i suoi occhi, chiaro si conosceva che da gran tempo ne avea perduto l’ uso. Duncano eccovi, disse il sacerdote, un inaspettato soccorso del cielo : un galantuomo è qui il quale porgerà aiuto a voi, ed alla povera Vittoria, (che così chiamavasi la donna) in questa terribile notte. Alla voce del sacerdote , quegli cessava l’orazione, e scuotendo il capo con un moto di incredulità pareva dire , aiuto ?","NO"
