"filename","nome","titolo","anno","chunk","DIL"
"Dossi_Carlo-Vita_Di_Alberto_Pisani-1870","Dossi Carlo","Vita Di Alberto Pisani","1870","Capitolo quarto Degno di Paracèlso! È lo studio degli studi.","NO"
"Dossi_Carlo-Vita_Di_Alberto_Pisani-1870","Dossi Carlo","Vita Di Alberto Pisani","1870","Sente il tabacco, l'inchiostro e la citazione latina. È a tramontana, a terreno; è a volta da cui die' in fuori l'umidità. Tien le pareti, tutte a scaffali, con su spaventosi volumi in ramatina come il sospiro dei gatti.","YES"
"Dossi_Carlo-Vita_Di_Alberto_Pisani-1870","Dossi Carlo","Vita Di Alberto Pisani","1870","Ecco i dieci schienali arabescati di oro della rarìssima òpera ""de nùmero atomorum""; presso, è la completa voluminosa sèrie delle gramàtiche (gramàtica, cioè a dire, il modo con cui si apprende a piedi il montare a cavallo); poi, raccolta delle più massiccie disputazioni... e quella sulla parola culex, e l'altra intorno alla lèttera e considerata siccome còpula, e la arcifiera ""sulla natura dell'aurèola del Monte Tàbor"". Ed ecco, in un tratto dell'ùltimo palco, il famoso trattato ""de nuce beneventana"" quaranta tomi in-octavo, vestiti di pergamena, i quali, per il manco di uno, sèmbran dentiera priva di un dente occhiale; ecco tagliando corto una infinita turba di libraccioni, e nelle scansìe e fuori... spècula, theatra, convìvia, thesàuri... di astrologìa, teologìa, etimologìa, ed altre scienze in ìa tutta marròca. Ma st!","NO"
"Dossi_Carlo-Vita_Di_Alberto_Pisani-1870","Dossi Carlo","Vita Di Alberto Pisani","1870","c'è seduta. Avverti a que' seggioloni pesanti, in cerchio, alti della spalliera, che quàdran le chiappe e intontìscon la nuca... Vuoti?","YES"
"Dossi_Carlo-Vita_Di_Alberto_Pisani-1870","Dossi Carlo","Vita Di Alberto Pisani","1870","eh! ciò non toglie nè dà; barba facit philòsophum, il seggiolone val l'acadèmico. Èrano, non è l'ora, occupati da sei polpettoni eruditi; dei quali, i troppi tìtoli e i nomi, chi sa tenere a memoria?","NO"
"Dossi_Carlo-Vita_Di_Alberto_Pisani-1870","Dossi Carlo","Vita Di Alberto Pisani","1870","chiarìssimi peraltro, e che, ronfando, si rifacèvano delle dotte fatiche. E vuota è pur la poltrona dietro la tàvola. Vi si scriveva.","NO"
"Dossi_Carlo-Vita_Di_Alberto_Pisani-1870","Dossi Carlo","Vita Di Alberto Pisani","1870","Che? Stanno, sullo scrittojo, pigne di calepini e di còdici, uno scannello, quaderni di carta involgi-salame, una bottiglia d'inchiostro, e un moccichino tanè; sotto, due pantòfole. Sfido io a non vi si porre con l'ànimo di fabricare un in-folio, grande, grosso, e zeppo di erudizione, cioè di roba furata; sfido io a non attìngere da quella màchina di calamajo d'ottone, stopposo, con quelle penne di oca scrizzanti, se non se dei perìodi indiavolati, che tèngono il capo, dove, naturalmente, si mèttono i piedi, coi ragnateli in mezzo, fatti per disgustarci dal lèggere, oppure foggiati ad una maniera, di tante lìnee, di tante parole, senza un chiarore nè un bujo, che pare dìcano tutti la medèsima cosa, non c'invogliando di ricercarne altre.","YES"
"Dossi_Carlo-Vita_Di_Alberto_Pisani-1870","Dossi Carlo","Vita Di Alberto Pisani","1870","Ma, giuraddiana! ove mai riuscimmo? Fallata ho la strada.","YES"
"Dossi_Carlo-Vita_Di_Alberto_Pisani-1870","Dossi Carlo","Vita Di Alberto Pisani","1870","Da capo! Però, si faccia prima tonnina di questa gran tarabàccola d'ipocrisìa e di scienziata idiotàggine; si abbàttano le illustrìssime sedie... dalle, allo scrittojo! una spinta, un'altra.","YES"
"Dossi_Carlo-Vita_Di_Alberto_Pisani-1870","Dossi Carlo","Vita Di Alberto Pisani","1870","Senti una gamba che scricchia... cede... Alla larga! E lo scrittojo patatràcca giù; vanno sossopra scartafacci e libroni; la boccia d'inchiostro si spezza... quante dissertazioni abortite!... Gigio, vuoi che ti tenga la scala?","NO"
