"filename","nome","titolo","anno","chunk","DIL"
"Fabiani_Guido-Uccelletto_nero-1908","Fabiani Guido","Uccelletto nero","1908","﻿GUIDO FABIANI “Uccelletto Nero” Racconto per fanciulli con illustrazioni del pittore E. Talman I Dalla strada al lavoro. Vedendo entrare quel coso alto come un soldo di cacio, nero come un grano di pepe, mastro Aniello smise di cantare e di piallare – Oh!... – disse, scuro in faccia, dopo averlo squadrato ben bene da capo a piedi e mettendosi le mani ai fianchi – sentiamo un po’ che cosa vuoi?","NO"
"Fabiani_Guido-Uccelletto_nero-1908","Fabiani Guido","Uccelletto nero","1908","— Fatemi la carità – mormorò timidamente il fanciulletto. Mastro Aniello scattò come se gli avessero pestato un piede, e diè tale un pugno sul banco che se questo non fosse stato di legno robusto si sarebbe spezzato. — O ma si può dar di peggio?","NO"
"Fabiani_Guido-Uccelletto_nero-1908","Fabiani Guido","Uccelletto nero","1908","La carità? la carità?! piccolo fannullone!","YES"
"Fabiani_Guido-Uccelletto_nero-1908","Fabiani Guido","Uccelletto nero","1908","piccolo monello, che diritto hai tu di vivere alle spalle degli altri? Vergogna di tutte le vergogne! Aspetta a me!","NO"
"Fabiani_Guido-Uccelletto_nero-1908","Fabiani Guido","Uccelletto nero","1908","bastonate ti darei, altro che elemosina! – e, poichè il fanciullo, a questa minaccia, si avviava mogio mogio verso l’uscio, egli lo prese per un braccio e soggiunse: — Non temere, no! Mastro Aniello nel ha mai bastonato nessuno!","NO"
"Fabiani_Guido-Uccelletto_nero-1908","Fabiani Guido","Uccelletto nero","1908","Ma dimmi un po’, piccolo vagabondo che non sei altro, chi t’ha insegnato a girare le strade e a vivere alle spalle altrui? Forse tuo padre? — Non ce l’ho... m’è morto da un pezzo.","NO"
"Fabiani_Guido-Uccelletto_nero-1908","Fabiani Guido","Uccelletto nero","1908","— Ah!... Qui l’ira del falegname si chetò di botto e la faccia gli si rabbonì. Anzi la mano, quasi meccanicamente, corse al taschino del panciotto per trarne un soldo.","NO"
"Fabiani_Guido-Uccelletto_nero-1908","Fabiani Guido","Uccelletto nero","1908","Ma tosto egli scattò come prima: — Oh! allora t’ha insegnato tua madre? — È morta anche lei, balbettò il fanciullo.","NO"
"Fabiani_Guido-Uccelletto_nero-1908","Fabiani Guido","Uccelletto nero","1908","— Ah... Questa volta mastro Aniello si chinò sul banco appoggiandovi le braccia, guardò il monello e sentì negli occhi una lacrima, che, per quanto egli si sforzasse di trattenerla, gli scivolò lungo l’ampia barba. — Oh!","NO"
"Fabiani_Guido-Uccelletto_nero-1908","Fabiani Guido","Uccelletto nero","1908","povero piccino! – disse dopo un po’, e, poichè aveva davanti a sè la colazione, che gli era stata portata pochi momenti prima, prese il suo pane, lo spezzò, ne diede metà al poverino; poi prese questo sulle ginocchia e volle che mangiasse con lui quel po’ di companatico che c’era. — Vedi – gli continuò a dire con voce calma e carezzevole, dopo ch’ebbero mangiato – esser orfani è una gran disgrazia; cui non bisogna aggiungerne un’altra col diventare vagabondi.","NO"
