"filename","nome","titolo","anno","chunk","DIL"
"Falconetti_Antonio_Francesco-Cosimo_e_Lavinia_o_La_caduta_della_Repubblica_veneta-1830","Falconetti Antonio Francesco","Cosimo e Lavinia o La caduta della Repubblica veneta","1830","AL GENTILE ED AMABIL BEL SESSO. A voi che me ne inspiraste l'idea, a voi gentili ed amabili compagne del breve nostro pellegrinaggio per questa valle di piaceri e di pene, io dedico, raccomando ed affido il presente lavoro. Copritelo coll' egida possente del vostro valevole patrocinio.","NO"
"Falconetti_Antonio_Francesco-Cosimo_e_Lavinia_o_La_caduta_della_Repubblica_veneta-1830","Falconetti Antonio Francesco","Cosimo e Lavinia o La caduta della Repubblica veneta","1830","Desso a proposito usato, imporrà silenzio ai Mevj, agli Aristarchi, ai satirici, i quali mi diverranno pure indulgenti, poichè tutto voi potete nel mondo. Se osai espormi nel pericoloso arringo, non fu già per soverchia fiducia nelle mie forze, che ben lungi sonio dal nutrire idee sì elevate. Ma nulla sapendo negarvi, mi trovai co stretto a promettere e quindi a mantenere.","NO"
"Falconetti_Antonio_Francesco-Cosimo_e_Lavinia_o_La_caduta_della_Repubblica_veneta-1830","Falconetti Antonio Francesco","Cosimo e Lavinia o La caduta della Repubblica veneta","1830","Troppo lungo e tedioso sarebbe il narrarvene il come. Bastivi il sapere esser l'ordine vostro. Adempiendolo, come meglio seppi, io mi reputerò abbastanza pago e contento, se le vicende entro queste carte narrate, potranno a quando a quando chiamare sulle tenere vostre pupille una lacrima, e sulle dolci labbra un sorriso di gratitudine.","NO"
"Falconetti_Antonio_Francesco-Cosimo_e_Lavinia_o_La_caduta_della_Repubblica_veneta-1830","Falconetti Antonio Francesco","Cosimo e Lavinia o La caduta della Repubblica veneta","1830","Qualunque esser ne possa l'evento cesserò prima di esistere anzi che d'essere. Il vostro rispettoso ammiratore C. L.","NO"
"Falconetti_Antonio_Francesco-Cosimo_e_Lavinia_o_La_caduta_della_Repubblica_veneta-1830","Falconetti Antonio Francesco","Cosimo e Lavinia o La caduta della Repubblica veneta","1830","D. В. E LAVIΝΙΑ. LIBRO I.","NO"
"Falconetti_Antonio_Francesco-Cosimo_e_Lavinia_o_La_caduta_della_Repubblica_veneta-1830","Falconetti Antonio Francesco","Cosimo e Lavinia o La caduta della Repubblica veneta","1830","CAPITOLO I. ..... All' Adria in seno Un popolo d' eroi s' aduna e cangia In asilo di pace L'instabile elemento. Con cento ponti e cento Le sparse isole unisce: Colle moli impedisce All'ocean la libertà dell'onde; E intanto su le sponde Stupido resta il pellegrin, che vede Di marmi adorne e gravi Sorger le mura, ove ondeggiar le navi.","NO"
"Falconetti_Antonio_Francesco-Cosimo_e_Lavinia_o_La_caduta_della_Repubblica_veneta-1830","Falconetti Antonio Francesco","Cosimo e Lavinia o La caduta della Repubblica veneta","1830","METASTASIO, Ezio. Per er sfuggire alla barbarie ed alla vendetta dei popoli del Nord, vomitati sulla bella Italia ai principi del quinto secolo, nacque nell'anno 412 la repubblica di Venezia. Un sistema democratico e dei tribuni annualmente eletti, composero in principio il di lei governo, sostituito nel 697 da un presidente a vita, o sola autorità principale intitolato Doge.","NO"
"Falconetti_Antonio_Francesco-Cosimo_e_Lavinia_o_La_caduta_della_Repubblica_veneta-1830","Falconetti Antonio Francesco","Cosimo e Lavinia o La caduta della Repubblica veneta","1830","Tutta la forza e l'attività nazionale concentrata in tal guisa, e diretta con saviezza, i veneziani fecero durante cinque secoli tali meravigliosi progressi, che nel decimo secolo, un successore di Cesare, il quale occupava il trono d'oriente, non sdegnò unire una sua nipote con un cittadino veneziano. Enrico Dandolo, doge nel 1204, fu quello che spinse al più alto grado la grandezza e la celebrità di questa repubblica. Lo stendardo veneziano sventolò per opera sua, sulle mura di Costantinopoli, eli stabilimenti ed il potere della repubblica si estesero sopra un' immensa quantità d'isole, di provincie e di regni, dal fondo dell' adriatico fino al mar nero.","NO"
"Falconetti_Antonio_Francesco-Cosimo_e_Lavinia_o_La_caduta_della_Repubblica_veneta-1830","Falconetti Antonio Francesco","Cosimo e Lavinia o La caduta della Repubblica veneta","1830","L'impulso dei popoli diligentemente diretto, basta bene spesso ad eseguire delle conquiste; ma non appartiene che alla previdenza ed alla saviezza il consolidarle. Reputando i patrizj, che tali qualità esister mai non potessero nel popolo, ingegnaronsi con astuti modi, d' indebolirne insensibilmente l'antica influenza negli affari di stato. Adempiuto completamente e senza contrasto il loro intento, incoraggiati, osarono e riuscirono con altrettanta facilità e destrezza a far succedere nel 1297 l'aristocrazia alla democrazia primitiva.","NO"
"Falconetti_Antonio_Francesco-Cosimo_e_Lavinia_o_La_caduta_della_Repubblica_veneta-1830","Falconetti Antonio Francesco","Cosimo e Lavinia o La caduta della Repubblica veneta","1830","Vero è però, che data da quest'epoca il periodo delle guerre non sempre felicemente sostenute contro più é diverse potenze, e le perdite dei possedimenti marittimi nell'oriente, strappati alla repubblica dal nascente colosso Ottomano. Macchiavelli ha detto, e l'esperienza tutto di dimostra la verità di quest'assioma, che i popoli si sottopongono volontariamente ai governi, che trattano i vinti con amicizia. I veneziani adottando questa politica, non tardarono a raccoglierne il frutto.","NO"
"Falconetti_Antonio_Francesco-Cosimo_e_Lavinia_o_La_caduta_della_Repubblica_veneta-1830","Falconetti Antonio Francesco","Cosimo e Lavinia o La caduta della Repubblica veneta","1830","Le città e le provincie d'Italia, che occupavano lo spazio situato fra il mare e le alpi, si vennero spontaneamente a sottomettere alle loro leggi, e ad unirsi in tal guisa ai virtuosi discendenti dei comuni antenati. Traendo partito dalla disposizione degli animi a loro favore, i veneziani con l'aiuto della persuasione e del denaro, spinsero ai principj del sedicesimo secolo le loro conquiste, lungo il mare, da Ravenna fino a Trieste ; nel centro, su tutto il paese interposto fra il mare, le alpi, e il Pò, stendendosi in Lombardia sulle sponde dell' Adda, ed occupando eziandio al di là del Pò diverse piazze nella Romagna e nella Puglia. Tutti conoscono l'origine e la composizione di quella lega segnata a Cambray il 10 dicembre 1508, altrettanto famosa per sè stessa, quanto fatale alla misera Italia.","NO"
"Falconetti_Antonio_Francesco-Cosimo_e_Lavinia_o_La_caduta_della_Repubblica_veneta-1830","Falconetti Antonio Francesco","Cosimo e Lavinia o La caduta della Repubblica veneta","1830","Sola la repubblica veneziana, contro le più formidabili ed agguerrite potenze Europee; colpita d'anatema da Giulio secondo, perdè molte delle sue conquiste. Ma la sua fermezza, il suo patriottismo salvandola da maggiori sventure, la fecero risorgere più brillante dal seno di tante peripezie, vera pietra di paragone del suo coraggio e delle sue forze. Fu tale e tanta la stima che le concilio questa lotta eroica e generosa presso tutti i governi, che Enrico IV re di Francia, dimandò ed ottenne il titolo di Patrizio Veneto, onore posteriormente ambito dai pontefici, e da diversi altri principi.","NO"
