"filename","nome","titolo","anno","chunk","DIL"
"Faldella_Giovanni-Donna_Folgore-1887","Faldella Giovanni","Donna Folgore","1887","DONNA FOLGORE Romanzo verista scritto da Spartivento (non per innocentine) DEDICATORIA DELL'AUTORE","NO"
"Faldella_Giovanni-Donna_Folgore-1887","Faldella Giovanni","Donna Folgore","1887","O spirito di Paolo Audano che eri maestro di latino, greco e sanscrito e del più classico italiano, quando morivi studente di lettere alla Università di Torino! O tu, che hai vagolato venti e un anno su questa terra, dispettando il tuo carcere corporale, Te invoco patrono nel trascrivere questo romanzo truce per i soverchi gaudenti della materia, architettato nella nostra fraterna giovinezza, osservato e finito nella mia superstite vecchiaia. Tu che sei, come la rondine, sorvolato alla belletta mondana, senza inzaccherarti le ali, tu, dantista imperterrito e immacolato, aiutami a mostrare come l'umano spirito si purga, E di salire al Ciel diventa degno.","NO"
"Faldella_Giovanni-Donna_Folgore-1887","Faldella Giovanni","Donna Folgore","1887","Spartivento Saluggia 27 ottobre 1912 IDILLII DI GILDA ED ADRIANO E DI SVEMBALDO E GILDA","NO"
"Faldella_Giovanni-Donna_Folgore-1887","Faldella Giovanni","Donna Folgore","1887","Come sappiamo dal romanzo di Tota Nerina, la paesanotta Gilda rimestava con il tridente il letamaio, quando il giovane prof. Adriano Meraldi ritornò vittorioso del concorso di Pompei a San Gerolamo Canavese. Essa era figliuola unica di Simone il falegname, curvo come un quarto di luna, senza essere molto gobbo, imperocché la curva riguardava piuttosto la testa che la schiena. Simone era un vecchio semplice con i capelli bianchi pallidi che in gioventù erano stati biondi lucenti.","NO"
"Faldella_Giovanni-Donna_Folgore-1887","Faldella Giovanni","Donna Folgore","1887","Pareva un San Giuseppe ricamato. Era buono, sottomesso a tutti. Avrebbe voluto che il Sindaco e il Parroco, Vittorio Emanuele II e Pio IX fossero sempre stati in concordia, come pane e cacio.","YES"
"Faldella_Giovanni-Donna_Folgore-1887","Faldella Giovanni","Donna Folgore","1887","Teneva bottega vicino alla casa del geometra Meraldi: ed era assai bravo falegname: non lavorava di malizia: niuno come lui stringeva salde le commettiture: ci metteva però il suo tempo: per cui bisognava pensarci forse tre anni prima del bisogno ad ordinargli un cassettone; ma una volta fatto quel cassettone durava un'eternità di generazioni. Simone aveva avuto dell'inventiva: precursore locale dei veicoli automobili aveva di suo genio architettato, congegnato un carrozzino semovente con una tastiera di manovelle. Simone aveva quale figliuola, sola al mondo, la Gilda, che allevò pressoché soltanto egli desso, imperocché sua moglie, Filomena, quel marzapane di Filomena, che dava ragione a tutti ed era persino più dolce di Simone, Filomena gli morì di anemia, quando Gilda aveva appena un anno e mezzo.","YES"
"Faldella_Giovanni-Donna_Folgore-1887","Faldella Giovanni","Donna Folgore","1887","Egli si teneva sempre la sua Gilda presso il banco del lavoro cucciata sopra un monte di trucioli sotto un filare di ascie, di seghe e martelli pendenti sul suo capettino. Adriano Meraldi, come tutti i bambini, che aprono gli occhioni golosi ai lavorii meccanici, scappava sovente nella bottega di Simone a godersi quelle pialle che raschiavano gli assi sputando riccioli come serpentelli di legno che diconsi bugie a S. Gerolamo. E di quelle bugie se ne faceva delle gale attorno il cappello.","NO"
"Faldella_Giovanni-Donna_Folgore-1887","Faldella Giovanni","Donna Folgore","1887","Risguardando il babbo Simone a lavorare non poté non risguardare anche la figliuola Gilda, con la quale si può dire che crebbe insieme. Provarono insieme i primi trastulli, le prime curiosità infantili e i primi piaceri bambineschi: godettero insieme la voluttà di pestare l'acqua nelle pozzanghere del cortile e nel rigagnolo della strada con i piedini nudi. Facevano insieme il giardino di due spanne ai piedi della muraglia giocavano insieme a nascondere il capo e il moccirino.","NO"
"Faldella_Giovanni-Donna_Folgore-1887","Faldella Giovanni","Donna Folgore","1887","Qualche volta si bisticciavano e si azzuffavano anche insieme, ed Adriano, il signorino Adriano, perché maschio e perché ricco percoteva anche la Gilda, le cacciava le dita nei ricci dei capelli, anche perché quei ricci glie le tiravano proprio le dita. Metti che il sole fosse un pecoro ed avesse la lana. I capegli di Gilda erano lana di sole.","YES"
"Faldella_Giovanni-Donna_Folgore-1887","Faldella Giovanni","Donna Folgore","1887","Un giorno Adriano imbizzito più del solito, scosse senza misericordia la cuticagna a Gilda, la quale si ritrasse a casa piagnucolando e gridando: Adriano mi ha dato. Resta sottointeso che Simone dette torto alla sua bambina. Alla quale però nacque dal dolore l'amore.","NO"
