"filename","nome","titolo","anno","chunk","DIL"
"Faldella_Giovanni-Madonna_di_fuoco_e_Madonna_di_neve-1888","Faldella Giovanni","Madonna di fuoco e Madonna di neve","1888","﻿ Madonna di fuoco e Madonna di neve – Nei nostri paesi non esistono i nervi! – sosteneva nella farmacia di Riparia Piemonte il dottore comm.","NO"
"Faldella_Giovanni-Madonna_di_fuoco_e_Madonna_di_neve-1888","Faldella Giovanni","Madonna di fuoco e Madonna di neve","1888","Sergrandi, antico colonnello-medico e sindaco, una bellezza di profilo da oratore della rivoluzione francese, con una chioma bianca apollinea. Fuori di Riparia egli è discretamente conosciuto, come il brioso e profondo Doctor Rusticus, appendicista di scienza amena per lo Specchio delle Cliniche; e si può dire non ignorato all’estero. Anzi all’estero alcune delle sue elucubrazioni ed osservazioni filosofiche e terapeutiche, condite di umorismo, incontrarono un favore pienamente giustificato; egli cita in abbondanza monografie e riviste straniere, avendo acquistato sufficiente cognizione e possesso delle principali lingue europee, specialmente della inglese, in occasione della sua brillante campagna di Crimea.","NO"
"Faldella_Giovanni-Madonna_di_fuoco_e_Madonna_di_neve-1888","Faldella Giovanni","Madonna di fuoco e Madonna di neve","1888","– I nervi domineranno anche a Riparia! – ribatteva il piccolo e sempre giovane veterinario e commesso viaggiatore del Guano e degli Incendi, il quale giudica alla spiccia degli uomini e delle cose, tenendo le mani in tasca, il cappello in testa e il sigaro in bocca. – Quello che veggo comparire, – sentenziava malinconicamente il signor farmacista Rolanza cavaliere chimico Nicola, – sono i nervi di Marsiglia, i barabba.","NO"
"Faldella_Giovanni-Madonna_di_fuoco_e_Madonna_di_neve-1888","Faldella Giovanni","Madonna di fuoco e Madonna di neve","1888","Questo distinto e sospiroso farmacopola che si firma cav. chimico (come se la chimica ci fosse entrata esclusivamente nella combinazione della croce cavalleresca e come se il nastro fosse per lui un precipitato), aveva preso con onore l’esame pubblico all’Università di Torino, quando il pubblico era una rarità; ed ultimamente si era molto segnalato nel Congresso farmaceutico tenuto nello stesso Ateneo. Egli era sempre stato uomo pratico, di insigne prudenza e previdenza lontana; tanto che aveva ammaestrato i suoi figliuoli, ancora piccini, a servirsi del pappagallo di vetro, dicendo: ciò potrà poi tornare a loro provvidenziale anche da grandi nelle lunghe malattie che costringono a letto. In opposizione all’indole riserbatissima del farmacista, il piccolo veterinario Salacci si può ritenere come il tipo della sconsideratezza precipitosa: mingherlino come una acciuga, stuzzicante e testardo come una vespa, ardente come un tizzone, impetuoso e prepotente come un calabrone.","NO"
"Faldella_Giovanni-Madonna_di_fuoco_e_Madonna_di_neve-1888","Faldella Giovanni","Madonna di fuoco e Madonna di neve","1888","Per la sua brevità corporale e per la sua trascuratezza negli abiti, egli venne ognora preso in minima considerazione dalle eleganze paesane e villeggianti; ed egli, dal canto suo, si preoccupa tanto degli altri, che poco tempo gli rimane per azzimare la sua persona. Il suo curricolo saetta continuamente le strade fra cascina e cascina, fra paese e paese, dove egli apporta i tesori della sua bravura medico-veterinaria, e raccoglie le commissioni pel guano, e redige le polizze d’assicurazione dagli incendi e dalla grandine. Per ingannare il tempo delle sue scarrozzate, egli sente continuo il bisogno di popolare la testa di ricreazioni professionali, comiche e drammatiche.","NO"
"Faldella_Giovanni-Madonna_di_fuoco_e_Madonna_di_neve-1888","Faldella Giovanni","Madonna di fuoco e Madonna di neve","1888","Perciò egli ustola la novità scientifica dai giornali speciali; e con desio non minore braccheggia l’aneddoto, il fatterello e il bisticcio villano, e ne ricostruisce un romanzo o una farsa di ordine composito, che egli rivende lietamente nelle stalle e più grassamente nelle osterie, dove raccoglie le liste della sua molteplice clientela. Alterna volontieri i pettegolezzi rustici con l’espettorazione dell’ammirazione più cordiale e dell’apostolato più convinto per la celebrità e la benemerenza mondiale di Pasteur; ha continuamente in bocca i virus, i fermenti, le muffe, le spore, i bacterii, i bacilli, i microbi, e persino i micrococchi del diametro di cinque diecimillesimi di un millimetro. Vorrebbe coltivare, innestare e poi estirpare a suo talento anche i bacilli dell’erotismo indigeno.","NO"
"Faldella_Giovanni-Madonna_di_fuoco_e_Madonna_di_neve-1888","Faldella Giovanni","Madonna di fuoco e Madonna di neve","1888","Per cui, oltre alla sua specialità zooiatrica, non riconosce quasi altra letteratura fuorché la pornografica; l’unico giornalismo cui favorisce ed acclama, è il giornalismo tecnico e quello libellistico. La grande politica per lui ha sapore di nulla e lo lascia indifferente, poiché tutto lo assorbisce il movimento scientifico, paesano e sociale. Invece per un opuscolo stampato alla macchia spiega una passione da bibliomane, da bouquiniste; l’unico incomodo, che egli diede al più influente deputato del suo Collegio, fu per ottenere dal Ministero di grazia e giustizia un numero sequestrato del Rabagas, che mancava alla sua raccolta.","NO"
"Faldella_Giovanni-Madonna_di_fuoco_e_Madonna_di_neve-1888","Faldella Giovanni","Madonna di fuoco e Madonna di neve","1888","Tali collezioni egli le chiama i pezzi anatomici del suo museo isto-pato-sociologico. Inutilmente, pel suo fervore di indagini e giudizi in tema di isto-pato-sociologia pratica, egli, nel sinedrio della farmacia aveva toccato il tasto della marchesa Frangiara, che vive santamente separata dal marito ambasciatore, proteggendo il giovane scultore Pardi Olimpio. La marchesa, oltre che godette ognora di una fama irreprensibile, era troppo considerata come eccellentissima cliente dal vecchio dottore e dal farmacista, perché costoro non troncassero lestamente e non incarcerassero coll’oscurità subitana dei loro visi ogni tentativo di barzelletta relativa a lei.","NO"
"Faldella_Giovanni-Madonna_di_fuoco_e_Madonna_di_neve-1888","Faldella Giovanni","Madonna di fuoco e Madonna di neve","1888","Fu più fortunato il veterinario, quando, irradiando dagli occhi un festoso e guardingo lampeggio di agente di pubblica sicurezza che abbia scoperta una retata di malfattori, poté annunciare in farmacia: – Il fornaciaio sposa la leonessa. Un oh! e una spallata di meraviglia e d’incredulità partirono dall’antico colonnello-medico e dal farmacista.","NO"
"Faldella_Giovanni-Madonna_di_fuoco_e_Madonna_di_neve-1888","Faldella Giovanni","Madonna di fuoco e Madonna di neve","1888","– Vedranno! Vedranno! – ribatté il piccolo veterinario.","NO"
"Faldella_Giovanni-Madonna_di_fuoco_e_Madonna_di_neve-1888","Faldella Giovanni","Madonna di fuoco e Madonna di neve","1888","– Vedranno se i nervi non invaderanno anche i nostri paesi. Anche il parroco diventerà isterico. Veramente nessun trionfo dell’isterismo si poteva immaginare più meraviglioso del caso che la leonessa avesse potuto indurre il fornaciaio alle giuste nozze.","YES"
"Faldella_Giovanni-Madonna_di_fuoco_e_Madonna_di_neve-1888","Faldella Giovanni","Madonna di fuoco e Madonna di neve","1888","* * * Ludovico Gallano, il fornaciaio, era un uomo ormai sistemato nel sacrifizio di se stesso. I suoi genitori, che avevano peccato di soverchio buon cuore, gli avevano lasciata l’avita fornace oberata di debiti. Ed egli, con il lavoro indefesso e con la parsimonia, l’aveva purgata da ogni prestito e da ogni ipoteca.","NO"
"Faldella_Giovanni-Madonna_di_fuoco_e_Madonna_di_neve-1888","Faldella Giovanni","Madonna di fuoco e Madonna di neve","1888","Per di più suo fratello Giacomo aveva voluto farsi prete, ed egli aveva allestito il benefizio ecclesiastico all’abate Giacomino; il fratello Ettore aveva voluto percorrere la carriera militare, ed egli aveva pagata la pensione all’Accademia pel prode Ettorre, ed in seguito gli mandava dei vaglia postali in supplemento dello stipendio governativo. L’ultimo fratello, Lucio, aveva stimato meglio di vivere a Torino facendo niente con la scusa di attendere un impiego, ed egli lo manteneva a far niente. Per di più, con molto accorgimento, aveva collocato a marito 6, dico sei, sorelline.","NO"
"Faldella_Giovanni-Madonna_di_fuoco_e_Madonna_di_neve-1888","Faldella Giovanni","Madonna di fuoco e Madonna di neve","1888","Poi aveva ritirato in casa la prima di esse rimasta vedova; e ne aveva continuamente fra le gambe una masnada di nipotini, che gli domandavano soldi e ciambelle. Perciò egli si paragonava spesso ad un cappone accecato, che fa la chioccia per i pulcini degli altri. E, quando voleva regalarsi di un paragone di maggior lusso scientifico, ripeteva il giudizio del commendatore, secondo cui egli era un’ape operaia di genere neutro.","YES"
"Faldella_Giovanni-Madonna_di_fuoco_e_Madonna_di_neve-1888","Faldella Giovanni","Madonna di fuoco e Madonna di neve","1888","In punto ad ammogliare se stesso, stava formandosi oramai l’opinione generale nel paese che egli fosse quasi fuori d’ogni tentazione; ed i più ritenevano perfettamente inutile il tentarlo. Serio in fondo, egli scherzava raramente con le comari; impartiva loro qualche volta pizzicotti nei fianchi o piattonate nella schiena; prorompeva in sghignazzate e si abbandonava in abbalottature facchinesche; – ma, in sostanza, era ritenuto da tutti e da tutte per freddo come un pesce e senza conseguenze. Allorché in piazza l’antico colonnello-medico e sindaco lo complimentava furbescamente, perché lo aveva incontrato che ritornava dalla fiera accompagnato da qualche bella maschiotta, egli arrossiva, quasi si offendeva dicendo: – Non sono mica un r… io!… E il commendatore: – Che asino!","NO"
"Faldella_Giovanni-Madonna_di_fuoco_e_Madonna_di_neve-1888","Faldella Giovanni","Madonna di fuoco e Madonna di neve","1888","crede ruffianesimo fare all’amore! Essendosi i celibi del paese riuniti in occasione della festa di San Luigi, avevano nominato il fornaciaio a presidente perpetuo della Compagnia dei Muli; ed egli aveva terminato il suo discorso di inaugurazione del nuovo sodalizio col fiero proposito: – che, dovesse campare novant’anni, voleva che sulla sua bara si ponessero le ghirlande della innocenza. Era dunque una schioppettata tirata in farmacia l’annunzio datovi dal veterinario che il fornaciaio si fosse fidanzato alla leonessa.","YES"
"Faldella_Giovanni-Madonna_di_fuoco_e_Madonna_di_neve-1888","Faldella Giovanni","Madonna di fuoco e Madonna di neve","1888","* * * La leonessa (così avevano soprannominata in paese la vedovella Pardi-Necca Speranza) era il carattere opposto del fornaciaio. Mentre la divisa di costui si poteva riassumere nel motto “ritegno e sacrificio”, l’impresa di colei era sempre stata in tutti i campi “calore e pubblicità”. Da bambina, pareva una donna fatta in miniatura: pettoruta, tornita, pastosa, con certe spalle levigate, degne di un angelo rubesto.","NO"
