"filename","nome","titolo","anno","chunk","DIL"
"Faldella_Giovanni-Un_Viaggio_A_Roma_Senza_Vedere_Il_Papa-1880","Faldella Giovanni","Un Viaggio A Roma Senza Vedere Il Papa","1880","Introibo - Partenza  Milano Il titolo è un po' lungo e coniato all'antica. Infatti i nostri vecchi, se avevano da intitolare qualche frittella, piantavano sul frontespizio un rombo o per lo meno un triangolo di parole, che spiegavano tutto il contenuto del libro.","NO"
"Faldella_Giovanni-Un_Viaggio_A_Roma_Senza_Vedere_Il_Papa-1880","Faldella Giovanni","Un Viaggio A Roma Senza Vedere Il Papa","1880","Ad esempio: Della necessità del Padre Eterno con disquisizioni sugli Angeli, sui santi e su tutta la Coorte del paradiso, libri nove di Abelardo Nespola, con postille ed un indice copioso. Altro esempio: Le prose di Leprone Mignatta, dove si passano in rassegna tutte le sorta di reti, paste, trappole ed istrumenti da pigliar pesci, e si insegnano nuovi modi di star sotto l'acqua, divise in sette capitoli, purgate e di nuovo con somma diligenza, ecc. Invece i moderni sarebbero andati per le spiccie, ed avrebbero stampato puramente e semplicemente sul frontespizio ABELARDO NESPOLA - Il Padre Eterno; - e Sott'acqua, per LEPRONE MIGNATTA.","NO"
"Faldella_Giovanni-Un_Viaggio_A_Roma_Senza_Vedere_Il_Papa-1880","Faldella Giovanni","Un Viaggio A Roma Senza Vedere Il Papa","1880","Imperocché gli scrittori moderni recidono, raschiano, mangiano quasi tutti gli aggettivi e le preposizioni sul frontespizio delle loro opere. Così il bravo scrittore della Vita Militare stampò: DE AMICIS - Spagna, - DE AMICIS - Olanda, quasiché i suoi libri fossero pezzi di orbe terracqueo con Sierra Nevada e dighe. Edmondo poteva lasciare benissimo, che facessero questo i signori bottegai, i quali mettono sulle forme di cacio olandese e di parmigiano certi bottelli che dicono: Olanda e Parma.","NO"
"Faldella_Giovanni-Un_Viaggio_A_Roma_Senza_Vedere_Il_Papa-1880","Faldella Giovanni","Un Viaggio A Roma Senza Vedere Il Papa","1880","Andando di questo passo, a forza di recidere e di limare i titoli dei libri, questi titoli diventeranno monosillabi, tic, tac, prin, pronn, mosse di ago telegrafico, fucilate... Ma del titolo ho detto abbastanza; e conchiudo, che io porto il codino e sto con gli antichi. Sono venuto per la prima volta a Roma, passati quasi quattro anni precisi, da poiché vi si fece vedere Vittorio Emanuele al tempo della piena del Tevere, quando il Re Barbigione indovinò con il cuore il sublime indovinello di farvi la sua prima entrata in modo degno di un Plutarco cristiano, come disse allora il mio prevosto.","NO"
"Faldella_Giovanni-Un_Viaggio_A_Roma_Senza_Vedere_Il_Papa-1880","Faldella Giovanni","Un Viaggio A Roma Senza Vedere Il Papa","1880","Veramente, da buon cittadino, io non avrei dovuto indugiare tanto a seguire l'esempio del mio Re nel portare la cartolina di visita alla nuova capitale del regno. Ma le cure del sindacato e di Giacomina, mia moglie, la consuetudine di vivere ai piedi delle Alpi, fra le punzecchiature della nebbia, sotto un cielo di acciaio con la patina, l'attraenza del buco, che ho fatto nel mio nido, me ne distolsero sempre. Eppoi la veduta delle nostre montagne uncinate ci tira in su; onde io era salito parecchie volte sulle Alpi, e di lì ero disceso in Isvizzera, in Savoia e in Tedescheria: ma a calare giù nel molle e nel dolce della nostra Italia, non sapevo risolvermi.","YES"
"Faldella_Giovanni-Un_Viaggio_A_Roma_Senza_Vedere_Il_Papa-1880","Faldella Giovanni","Un Viaggio A Roma Senza Vedere Il Papa","1880","Finalmente quest'autunno... (tra parentesi, chi sa perché negli almanacchi tutto il novembre, e più di quattro sesti del dicembre si chiamano autunno in barba alla brina e al ghiaccio?) Claudite! Finalmente quest'autunno venne il bisogno per il villaggio da me amministrato di sollecitare dal ministero l'approvazione di un regolamento per i macelli pubblici - pratica che da due anni viaggiava dagli scaffali del sottoprefetto a quelli di un caposezione, e dormiva per istrada nell'andata e nel ritorno.","YES"
"Faldella_Giovanni-Un_Viaggio_A_Roma_Senza_Vedere_Il_Papa-1880","Faldella Giovanni","Un Viaggio A Roma Senza Vedere Il Papa","1880","Allora per la salute della mia patria più piccola comperai un viglietto circolare (Viaggio, n° V) a mie spese, e non a quelle del comune. (Lo sappia la Sciarpa Rossa, che è il giornale di opposizione del mio mandamento); e, rotta la cavezza di mia moglie e del mio buco, partii per Roma. Era uno degli ultimi giorni di novembre... Dai finestrini del carrozzone vedeva i rami degli alberi brulli come fili di ferro; vedeva i passeri scappare dagli alberi come foglie secche; vedeva i solchi dei campi, cascanti, rassegnati, logori, come solchi, che abbiano fatto il loro tempo: la terra quasi tutta color tabacco, con qualche po' di grigio e giallo marcio nei rimasugli delle stoppie, e con qualche scampolo di foglia o d'erba verde.","YES"
"Faldella_Giovanni-Un_Viaggio_A_Roma_Senza_Vedere_Il_Papa-1880","Faldella Giovanni","Un Viaggio A Roma Senza Vedere Il Papa","1880","Era un verde d'insalata, un verde della misericordia, un verde raggrinzito; inumidito, dimenticato - mortificato di trovarsi lì in quella stagione. La terra taceva e stava raccolta come dopo una sconfitta. Eppure quando la terra è ravvolta nel silenzio e nell'umiltà dell'inverno, essa, la modesta e brava donna, ci prepara le galanterie della vegetazione avvenire.","NO"
"Faldella_Giovanni-Un_Viaggio_A_Roma_Senza_Vedere_Il_Papa-1880","Faldella Giovanni","Un Viaggio A Roma Senza Vedere Il Papa","1880","Oh! io preferisco il modotenendi della signora terra, che parla poco ed opera assai, a quello dei collaboratori della Sciarpa Rossa, il poco lodato giornale di opposizione del mio mandamento, i quali si fanno sentire tutto il giorno a chiacchierare e a scribacchiare, e poi non sanno far altro di più importante, che guardare inutilmente l'albergatrice della Bella Venezia. Io non so passare davanti Milano senza fermarmici.","YES"
"Faldella_Giovanni-Un_Viaggio_A_Roma_Senza_Vedere_Il_Papa-1880","Faldella Giovanni","Un Viaggio A Roma Senza Vedere Il Papa","1880","Mi tira la faccia meneghina di quella città: mi piace sentire quel linguaggio aperto, spaccato, rovesciato, simile a un arco, a un popone maturo, pieno di accenti gravi e circonflessi. Feci pertanto una tappa a Milano; dove gli affreschi delle nuove palazzine hanno finzioni traditrici di ombre e di prospettive, da ogni liquorista si può trovare un poeta, o un romanziere o un artista che anderà ai posteri, e dove però le insegne e le iscrizioni pubbliche hanno una libertà di eleganza tutta loro propria; verbigrazia: Sostraio di pietre. - È proibito il passaggio a cavalli, muli, e ruotanti di ogni specie; - e dove sulle portiere degli avvocati è scritto ingenuamente: Avanti!","NO"
