"filename","nome","titolo","anno","chunk","DIL"
"Fambri_Paulo-I_bozzetti_militari_e_il_caporale_di_settimana-1866","Fambri Paulo","I bozzetti militari e il caporale di settimana","1866","I BOZZETTI MILITARI E IL CAPORALE DI SETTIMANA DI PAULO FAMBRI AL CURIOSO LETTORE Un due mesi fa c'è stato un momento in cui mi baleno l' orribile dubbio che Vittore Hugo, il quale non ne ha indovinato mai una in questioni politiche o amministrative, avesse proprio con mia gran noia imberciato. Nell' Apocalisse del « rapito di Londra evangelista » io leggeva e quasi vedeva con lui des grands ciseaux ... jusque dans les cieux couper l'aile aux oiseaux.","YES"
"Fambri_Paulo-I_bozzetti_militari_e_il_caporale_di_settimana-1866","Fambri Paulo","I bozzetti militari e il caporale di settimana","1866","Il Caporale di settimana era stato proibito. Assediato dai curiosi io lasciava che il mio amico Filippi pubblicasse un brano di lettera scrittagli da Firenze. Eccolo tal e quale.","NO"
"Fambri_Paulo-I_bozzetti_militari_e_il_caporale_di_settimana-1866","Fambri Paulo","I bozzetti militari e il caporale di settimana","1866","Caro Filippit Quanto al Caporale di settimana, la cosa sta da qui fin qui. La prima recita ne passava col successo che ti è ben noto; chi si era visibilmente divertito di più erano stati per appunto gli ufficiali; chi m'aveva fatte le prime non che le più larghe congratulazioni erano stati due chiari generali dell'esercito; la replica era annunziata, a mezzogiorno non si trovavano più nè un palco disponibile nè una sedia chiusa; la rappresentazione sarebbe ita anche meglio d'assai che alla sera precedente, perocchè io degli appunti ne avevo sentiti e fattone tesoro, e la notte medesima modificate due scene e creatane una terza. Alle cinque che è che non è?","NO"
"Fambri_Paulo-I_bozzetti_militari_e_il_caporale_di_settimana-1866","Fambri Paulo","I bozzetti militari e il caporale di settimana","1866","si sospende dalla Prefettura la replica, però con preghiera che si dovesse allegare nel nuovo manifesto l'indisposizione d'un artista, mostrando l'autorità persuasione e desiderio che all' indomani ogni cosa si potesse accomodare in un abboccamento coll'autore. Non se ne volle fare invece più nulla; il Ministero richiamò il libro, le commedie di Palazzo Vecchio soverchiarono quelle del Niccolini, le crisi si incrociarono, il ministro, dicesi Petitti, fece pubblicare nell' Opinione l'excusatio non petita che tu avrai letto, ma quanto alla sostanza non se ne sa nè saprà niente per chi sa quanto. Aspetto qualche giorno ancora, poi la pubblico per le stampe.","NO"
"Fambri_Paulo-I_bozzetti_militari_e_il_caporale_di_settimana-1866","Fambri Paulo","I bozzetti militari e il caporale di settimana","1866","Non l'ho fatto sinora perchè gingillato tra il si e il no, da un'ora all' altra, da un di all'altro. In sostanza si capiva alla Prefettura che era il caso di doverla ripermettere, tanto più che io non istava sul tirato per qualche frase da tor via ancora oltre alle tante modificazioni e rinnovazioni spontaneamente fatte. Se non che si volle reagire contro l'insubordinato unanime pronunziamento della stampa di tutti i colori, e si volle in certa guisa risentirsene, anzi farla vedere e vendicarsene.","YES"
"Fambri_Paulo-I_bozzetti_militari_e_il_caporale_di_settimana-1866","Fambri Paulo","I bozzetti militari e il caporale di settimana","1866","Commedia più commedia meno, disse un alto locato, non è un gran fatto. No certamente, come non lo è quadro più quadro meno, statua più statua meno, - ciò non riguarda che il grado di rispetto all'arte, cioè di personale coltura, del giudicante, però, portata su terreno del diritto più diritto imeno, la sentenza cambia importanza e natura, parmi, e mette il conto d'occuparsene anche per chi dell'arte e dei suoi mezzi e fini s'infischi. Tornando alla commedia che io avevo in animo di pubblicare li per li in appendice a un foglio fiorentino principiando dall' indomani, leggi un po'che parole avevo in animo di indirizzare presso a poco al benevole o malevole lettore.","YES"
"Fambri_Paulo-I_bozzetti_militari_e_il_caporale_di_settimana-1866","Fambri Paulo","I bozzetti militari e il caporale di settimana","1866","« Perchè principiavo dal domandare - perchè pubblico io di grazia questa incriminata anzi già scomunicata commedia? forse per farla in barba a chi, per farla in barba al pubblico e all'autore, ne ha bruscamente impedita la replica ? novantanove su cento giureranno, anzi scommetteranno (dicesi da taluni che ciò sia di più), che la cosa è fatta appunto per questo.","NO"
"Fambri_Paulo-I_bozzetti_militari_e_il_caporale_di_settimana-1866","Fambri Paulo","I bozzetti militari e il caporale di settimana","1866","Non è, ma io non voglio sprecare tempo e inchiostro ad assicurarneli, chè volendo cacciare il chiodo mi troverei da ultimo ad averlo ribadito, perchè, a' tempi che corrono, a voler dire che non si seguita la teoria dei dispettucci e dei rancori, c'è da passare a dirittura per don Basilii. Ora questi tali novantanove su cento, i quali vedono nella pubblicazione nient'altro che una recriminazione, trovando la commedia mutata d'assai, anzi, in talune delle più importanti sue parti, rinnovellata da quella che era la prima volta; diranno, se benevoli, che io ho tradito lo scopo, perchè a scornare gl'impronti proibitori bisognava esporre autentica la merce proibita, affinchè ciascuno potesse della sua innocenza convincersi; ei malevoli ci vorranno vedere per converso una prova valida fornita dall' autore medesimo, il quale tanto si conoscesse in difetto da farne ammenda proprio da sè. Poco curevole degli uni e degli altri, o per lo meno più curevole assai del miglioramento del mio qualsiasi lavoro che della efficacia di una recriminazione che non cerco per niente, io non ho dubitato di dovere quanto a me trarre il maggior partito possibile dalle lezioni che mi arrivano in tempo utile da quei due grandi maestri che sono qualche volta il pubblico e la critica.","NO"
"Fambri_Paulo-I_bozzetti_militari_e_il_caporale_di_settimana-1866","Fambri Paulo","I bozzetti militari e il caporale di settimana","1866","Secondo i computi pertanto di un rancore che io mi pregio di non allettare, tornava certo più opportuno di stampare la commedia tale e quale, tra me e l'autorità chiamare arbitro il pubblico; ma in vece secondo quelli dell' arte che io mi pregio di rispettare, io non conosco momento alcuno nel quale torni meno opportuno il migliorare in qualche guisa l' opera propria e sè. Del resto le modificazioni rispettano tutte all'arte e all' effetto, la parte che parve incriminabile ai censori è lasciata tutta in tutte le sue parti; per chi negasse v'è una copia autenticata da confrontare. Carta canta.","NO"
"Fambri_Paulo-I_bozzetti_militari_e_il_caporale_di_settimana-1866","Fambri Paulo","I bozzetti militari e il caporale di settimana","1866","< Per trincierarsi dietro una frase che chiudesse la bocca ai pavidi, hanno osato dire che era stato offeso l'esercito. Questa erroneità non doveva essa cascare non foss' altro che dinanzi al più ovvio argomento ad personam? Offeso l'esercitot e da chi?","YES"
