"filename","nome","titolo","anno","chunk","DIL"
"Fanfani_Pietro-Novella_del_grasso_legnoiolo-1856","Fanfani Pietro","Novella del grasso legnoiolo","1856","NOVELLA DEL GRASSO LEGNAJUOLO RISCONTRATA COL MANOSCRITTO E PURGATA DA MOLTI E GRAVISSIMI ERRORI. A MONSIGNORE GIUSEPPE MONTANARI DI BOLOGNA, Dottore nel Diritto canonico e civile, Protonotario apostolico, Canonico della Metropolitana ec. ec.","NO"
"Fanfani_Pietro-Novella_del_grasso_legnoiolo-1856","Fanfani Pietro","Novella del grasso legnoiolo","1856","Son tanti gli argomenti di benevolenza che Ella mi ha dato in questi ultimi anni: tante volte mi ha Ella dato cagione di ammirare la sua molta dottrina unita a sì rara modestia: con tanto senno e con tanta cortesia mi ha fatto or prima or poi delle osservazioni intorno a’ poveri lavori miei, che non voglio lasciar passare la congiuntura che ho di mostrargliene pubblicamente il mio grato animo dedicandole questo libriccíno. Altri forse dirà non essere tale offerta conveniente ad un suo pari; ma io son certo che non parrà così a V. S. Illma e Reverma, la quale sa aver l’occhio, non al dono, ma alla pura intenzione del donatore; ed alla quale, amante com’è della cara nostra lingua, non può tornare se non accettissimo il dono di uno scritto che di lingua è proprio una leccornía, e che dagli Accademici della Crusca è registrato fra quegli che fanno testo. Comecchessía, lo accetti per piccolo segno di estimazione e di amicizia, e mi tenga nella sua grazia Firenze, 12 agosto 1856. tutto suo Pietro Fanfani.","NO"
"Fanfani_Pietro-Novella_del_grasso_legnoiolo-1856","Fanfani Pietro","Novella del grasso legnoiolo","1856","AL LETTORE. Chi ponesse a riscontro il viver de’ Fiorentini ne’ secoli XIV e XV col vivere di essi nel secolo presente, vedrebbe singolarissimo contrasto, e potrebbe coglierne materia di parecchi salutevoli ammaestramenti. Erano essi feroci nelle contese civili, perchè così davan le maledette parti che laceravano allora tutta l’Italia, ma eran prodi e prudentissimi in guerra; e que’ medesimi poi, tornati a casa, erano o letterati, o politici, o ricchi e solerti mercatanti, o artisti sublimi: e in cima di tutti i pensieri aveva ciascuno il decoro della patria e il lustro della religione.","NO"
"Fanfani_Pietro-Novella_del_grasso_legnoiolo-1856","Fanfani Pietro","Novella del grasso legnoiolo","1856","I quali affetti santissimi furon sola cagione che senza fatica sorgessero Palazzo Vecchio, Santa Maria del Fiore, Santa Maria Novella, Santa Croce, la Loggia dell’Orcagna, Orsammichele, e altri miracoli di Arte, d’un solo de’ quali, ora che tali affetti più non accendono i nostri cuori, non giungerebbesi a far la minima parte, come può aversene prova nella Facciata del Duomo, tante volte tentata di fare, e non mai riuscita. Tutto ciò rendea famoso presso gli altri popoli il nome fiorentino, e ben a ragione poteron gli scrittori celebrarlo con altissime lodi: ma se bello e glorioso era il viver pubblico, dirò così, non era men bello e meno attrattivo il viver privato. I grandi, che erano generalmente ricchissimi e non aborrivano dalla mercatura, fiorían Firenze d’ogni lieto spettacolo, raccogliendosi spesso in allegre brigate che rallegravano la città di canti, di suoni, di tornéi, di giostre e di splendide cavalcate.","NO"
"Fanfani_Pietro-Novella_del_grasso_legnoiolo-1856","Fanfani Pietro","Novella del grasso legnoiolo","1856","I popolani, tutti dati al lavoro e alla mercatura, tutti istruiti nell’arte di governare, oggi gli vedevi de’ signori, o in nobili ambascerie degnamente rappresentare la maestà della repubblica, e poscia gli trovavi o al fondaco o a bottega, piacevoli ed alla mano come si conviene al più umile cittadino. I letterati erano pochi; ma que’ pochi erano eccellenti, e scrivevano eccellenti cose in parole d’oro. Gli artisti poi erano la più cara e più amabil cosa di Firenze.","NO"
"Fanfani_Pietro-Novella_del_grasso_legnoiolo-1856","Fanfani Pietro","Novella del grasso legnoiolo","1856","Innamorati tutti quanti dell’arte come arte, e non come fonte di guadagno, tutta la vita in lei e per lei spendevano: l’uno ne conferiva con l’altro, studiandosi di giungere all’eccellenza: non era ancora venuta la peste delle accademie a ridur l’arte artifizio; ma chi a quella sentíasi chiamato andava in bottega d’un buon maestro, e sotto di lui, cominciando dal mesticare i colori, e andando su su, facevasi anch’egli maestro eccellente. Quel che allora dicevasi bottega, oggi più gentilmente dicesi studio, ma i lavori che uscivano da quelle botteghe non si son più veduti uscir dagli studj. Tutti gli artisti poi si tenean fra loro come tanti fratelli: lo scultore non teneasi da più che il pittore e l’architetto, nè quegli di questo: il lavoratore di tarsíe o di niello non era reputato più vile degli altri: chiunque esercitava un’arte del disegno era fratello, e bastava.","NO"
"Fanfani_Pietro-Novella_del_grasso_legnoiolo-1856","Fanfani Pietro","Novella del grasso legnoiolo","1856","La sera, finito il lavorare, si raccoglievano in bottega di alcuno di loro; e quivi, data parte conveniente a’ ragionamenti dell’arte, o si sollazzavano con lieti racconti, o per qualcun de’ più semplici ordinavano piacevoli beffe, le più delle quali finivano in risa ed in cene: e se non aveano fine sì lieto, non aveanlo certo nè tristo nè doloroso. Questo bello e riposato vivere più che dalla storia si ricava dalle novelle, le quali, per questo rispetto, se non per altro, sono di lettura rilevantissima: e la prova di ciò che ho detto, specialmente circa gli artisti, più forse che da qualsiasi novella, si raccoglie da questa qui che adesso ripubblico. Per la qual cosa, anche quando essa non fosse di niuna importanza per altro, si dovrebbe tornare gratissima per questo solo; ma sopra questo essa è lettura piacevole e cara così, che a qualunque più grave barbassoro cava per forza le risa, ed è scritta in ottima lingua popolar fiorentina di quel tempo, ricchissima di fiori e di grazie ineffabili, tutto che rozza alquanto e negletta.","NO"
"Fanfani_Pietro-Novella_del_grasso_legnoiolo-1856","Fanfani Pietro","Novella del grasso legnoiolo","1856","Contiene essa il racconto di una solenne burla fatta dal Brunellesco, dal Donatello e da altri artisti, a un Manetto Ammannatini lavorator di tarsíe, detto il Grasso legnajuolo, con la quale gli fu fatto credere ch’e’ fosse diventato un cotal Matteo, e per Matteo fu messo in prigione per debito, ne fu liberato da’ proprj fratelli di esso, che pagaron per lui, e come loro fratello sel rimenarono a casa: gli fu insomma così accortamente colorita la cosa, e tanti accidenti seppersi far nascere, che, non che il Grasso, uomo piuttosto semplice, ma chicchessía sarebbe rimasto almeno perplesso dell’esser più lui, o esser diventato un altro. Comecchè il fatto di questo Grasso fosse già passato in proverbio nel secolo XV, tuttavia la cosa incredibile fecelo sempre tenere per favola e non per altro; quando nel secolo passato venne fatto al Manni di chiarirlo per vera storia con documenti certissimi: il che fu a’ tempi nostri confermato dal Moreni, il qual conjetturò, e la conjettura fondò su buoni argomenti, autore di questa novella dover esser Feo Belcari. Ora, dovendo parlare del codice da cui il Moreni trasse questa novella, e delle varie edizioni che essa ha avuto ne’ varj secoli, non posso lasciar di trascrivere le parole che il Moreni stesso usò in questa materia nella Prefazione della edizione sua, che sono le seguenti.","NO"
"Fanfani_Pietro-Novella_del_grasso_legnoiolo-1856","Fanfani Pietro","Novella del grasso legnoiolo","1856","«Quello, di cui noi ora ci serviamo, appartenea già a Giovanni Mazzuoli, comunemente appellato il Padre Stradino, sì per essere oriundo di Strada, luogo distante da Firenze circa a sei miglia, che per essersi dimostrato, sinch’ei visse, padre affezionatissimo delle due nostre illustri Accademie, degli Umidi, cioè, dalla quale ne fu egli già l’istitutore nel 1540, e della Fiorentina, per le quali dimostrò mai sempre quell’istesso parzialissimo affetto, che in avanti da tanto tempo dimostrato avea l’architetto della nostra Novella in quelle frequenti adunanze, o accademie private che le si fossero, nelle quali, al dir del nostro Anonimo, di varie e piacevoli cose ragionando, conferivano infra loro la maggior parte dell’arte e professione sua. Nei margini della prima pagina di esso codice, lo Stradino notò le seguenti cose, le quali, comecchè istoriche, benchè aliene dal soggetto, le vogliamo qui riportare: «Questo libretto è di me Giovanni di Domenico di ser Giovanni di Mazzuolo da Strada detto Stradino, cittadino senza istato, soldato sanza condizione, profeta come Cassandra di nostra prima patria. Donòmmelo el mio amico Lionardo d’Alessandro Barducci, bisnipote del nobilissimo Cavaliere a Spron d’oro, che a salute di sua anima, e de sua anticessori e successori, fece fabbricare lo Spedale di San Matteo detto di Lelmo, per memoria del suo nome, ed il Munistero di San Niccolò colle lor chiese, che costò tutta detta fabbrica scudi 24,000 d’oro.","NO"
"Fanfani_Pietro-Novella_del_grasso_legnoiolo-1856","Fanfani Pietro","Novella del grasso legnoiolo","1856","Scudi 12,000 donò in beni per sostentare gl’infermi, chi gli governa, e le monache. Questo ho io fatto per dimostrare a chi leggerà questa opera pia possa imparare a salvar l’anima sua, de’ sua passati, presenti e futuri lasciare fama eterna; perchè no’ siam tutti ministri della natura, la quale si contenta di poco; no’ n’abbiamo a cavare solamente vitto e vestito di questo mondaccio qual c’è presentato, e non s’è comperato, poveracci che noi siamo: facciamoci lume innanzi no’ ci muojamo. Lo ricorda Stradino, che sen’ contenta.» Nel margine interno poi all’estremità inferiore del Codice, ha il medesimo delineate, in mezzo ad emblemi, le armi accollate de’ Medici, de’ Visconti di Milano, e de’ Salviati: prossima a queste ha posta la sua di due mazzuoli alla schisa.","NO"
