"filename","nome","titolo","anno","chunk","DIL"
"Fanfani_Pietro-Novelle_E_Ghiribizzi-1879","Fanfani Pietro","Novelle E Ghiribizzi","1879","NOVELLA I. (1) DON FICCHÍNO.","NO"
"Fanfani_Pietro-Novelle_E_Ghiribizzi-1879","Fanfani Pietro","Novelle E Ghiribizzi","1879","Don Ficchíno, adulatore e scroccone famoso, accetta due desinari nel giorno medesimo: saputosi, gli è fatto da capo un doppio invito; ma è trattato in modo che va a letto digiuno. Don Ficchíno, morto pochi anni addietro d'indigestione, fu un pretazzuolo d'una piccola città di Toscana: e gli posero quel soprannome per la grande sua smania di ficcarsi attorno a tutti coloro che avevano nobiltà, ricchezza, o fama di letterati solenni. Fino da abatónzolo il fatto suo era uno spasso: un frucchíno, un lecchíno(2) vi so dir io!","NO"
"Fanfani_Pietro-Novelle_E_Ghiribizzi-1879","Fanfani Pietro","Novelle E Ghiribizzi","1879","Se de' mortorj, se degli angiolíni(3), se delle benedícole dove si leccasse il madonníno(4) ve n'era, lui vi si ficcava dei primi. Cresciuto negli anni, gli uscì di corpo la smania de' móccoli e delle sagrestíe; e si cominciò a ficcare per le case dei signori; e lì, per leccar qualcosa, lusingava ogni lor vanità: si sdrajava sotto i tavolini a sbraciar la cassetta alle signore(5): faceva sonetti, cantava, sonava; era, vi dico, il cucco di tutte le veglie. Poi gli venne gli áscheri(6) di essere un po' letterato... ma, èramo a piedi!(7)...","NO"
"Fanfani_Pietro-Novelle_E_Ghiribizzi-1879","Fanfani Pietro","Novelle E Ghiribizzi","1879","Sie? che importa? Lasciate fare a lui!","YES"
"Fanfani_Pietro-Novelle_E_Ghiribizzi-1879","Fanfani Pietro","Novelle E Ghiribizzi","1879","Si ficcò alle còstole di un letterato valente; e lì striscia, e lì loda, e lì lecca, il letterato gli fece pa(8); lo resse per le maniche del sajo, affinchè non battesse il musíno in terra; lo fece affiatare con qualche altro letterato: e di lì a poco l'amicone si attentò a far l'autore. Fu un vero attentato! Ne scrisse di quelle che non hanno nè babbo nè mamma, o come dice il popolíno, di quelle di pelle di becco: ma un po' per l'ajuto del protettore; un po' per le dedicatòrie spante; un po' per le lodi che egli svergognatamente chiedeva, e spesso otteneva, dai giornalisti; e un po' perchè cercò di razzolare in materie che fossero di moda, gli riuscì, sempre strisciando, leccando e ficcandosi, di farsi dire qualche parola dolce da due o tre valentuomini, della qual cosa non potete immaginare la gallòria che ne menava, e lo strombettío che ne faceva, e ne faceva fare.","NO"
"Fanfani_Pietro-Novelle_E_Ghiribizzi-1879","Fanfani Pietro","Novelle E Ghiribizzi","1879","E come gli ignoranti sono sempre i più, ed egli bazzicava sempre de' signori, che generalmente sono ignorantissimi, lo cominciarono a chiamar professore, non cessando per altro di divertirsi alle spalle di lui, che era la più riderfacente caricatura dell'universo mondo. Poi volle pubblici ufficj; e qui sì che andò, s'arrabattò, si strisciò, si ficcò, s'incurvò, si prostrò, si scappellò, e ò ò ò ò. Quando c'era il Granduca, faceva giaculatòrie granducali ch'era una delizia: si teneva beato, se poteva parlare, non che altro, con uno staffiere de' Pitti: se poi poteva avere un'udienza, non entrava più nella pelle, e la camicia, come suol dirsi, non gli toccava il sedere: la raccontava, la commentava, e piangeva di gioja.","NO"
"Fanfani_Pietro-Novelle_E_Ghiribizzi-1879","Fanfani Pietro","Novelle E Ghiribizzi","1879","Il Granduca fuggì; e lui, puntuale, s'inchinò a chi l'aveva fatto scappare: diventò un liberalaccio per la pelle; e quasi quasi si spacciava per mártire: cercò, insieme con altri, di mettere in mala voce, e di dare uno sgambetto a un suo amico e benefattore: poi lisciò, strisciò, si prostrò, encomiò Vittorio Emanuele co' suoi figliuoli; e chi sa che cosa sarebbe stato capace di fare, se quella benedetta indigestione non lo mandava illuc quo plures abierunt. Sopra tutte le sue cardinali virtù per altro c'era quella di essere un grande uccellatore di desinari; e come tutti lo sapevano, così tutti coloro che apparecchiavano più o meno lautamente, lo invitavano sempre, essendo per essi uno spasso grandissimo il vederlo mangiare con sì raro appetito, e il sentire le ingegnose lodi che sapeva dare al padrone, al cuoco, e a tutte le pietanze ed i vini; le quali lodi erano spesso sotto forma di sonetti o di bríndisi, che rallegravano maravigliosamente tutta la brigata. Accadde una volta che fu invitato nello stesso giorno dalle due più ricche famiglie della città, ciascuna delle quali aveva un'ottimo cuoco e una famosa cantina.","NO"
"Fanfani_Pietro-Novelle_E_Ghiribizzi-1879","Fanfani Pietro","Novelle E Ghiribizzi","1879","Don Ficchíno, tra questi due inviti parimente attraenti, stava come il famoso asino degli scolástici, i quali pensavano che posto in mezzo a due profende di fieno parimente fresco e odoroso, sarebbe prima morto di fame che abboccarne una(9). Leggeva ora l'uno ora l'altro: prendeva la penna per ringraziare; ma non veniva all'atto. Guarda e riguarda, leggi e rileggi, a un tratto fa un salto d'allegrezza, e un sonoro frullo con una mano.","NO"
"Fanfani_Pietro-Novelle_E_Ghiribizzi-1879","Fanfani Pietro","Novelle E Ghiribizzi","1879","Che cosa n'era cagione? La famiglia A., tenace un poco degli usi antichi, pranzava alle 2; l'altra famiglia B. alle 7. «Gua', posso andar qui e là.» E di fatto la mattina della gran giornata, prese un bel bicchiere d'acqua del Tettúccio(10), per disporre lo stomaco; fece una sottilissima colazione, e alle 2 fu a casa A.","YES"
"Fanfani_Pietro-Novelle_E_Ghiribizzi-1879","Fanfani Pietro","Novelle E Ghiribizzi","1879","Il pranzo era eccellente, e Don Ficchíno si mostrò pari alla sua fama. Vedendo andare attorno tanta grazia di Dio, non poteva lasciarla passare, senza intinger nel vassojo: «Chi lo sa, pensava, se a quest'altro desinare ci son tante delizie!» E lì trincava, e ingollava di santa ragione. Alle quattro era già finito il pranzo; e Ficchíno pensò tosto ad accomodar le cose per quell'altro delle 7.","YES"
