"filename","nome","titolo","anno","chunk","DIL"
"Fanfani_Pietro-Una_bambola-1869","Fanfani Pietro","Una bambola","1869","﻿AVVERTENZA Questo libriccino che io ho fatto per le bambine, potrebbe pur capitare sotto gli occhi di persone adulte, e anche di qualche letterato; e però bisogna che per loro io metta qui due parole di avvertimento. Se dunque i così fatti si sentissero invogliati a leggere, gli prego di pensare prima di tutto al proposito di questo lavoro. Io l’ho fatto, come diceva, per le bambine dagli otto ai dodici anni; e per conseguenza mi è bisognato aver l’occhio a parecchie cose, e mi sono dovuto tenere dentro certi confini tanto nel concetto quanto nella forma.","NO"
"Fanfani_Pietro-Una_bambola-1869","Fanfani Pietro","Una bambola","1869","Per il concetto ho dovuto studiare il cuore delle bambine, e significare certi affetti in modo conforme al loro sentimento, cercando di evitare scrupolosamente tutto ciò che potesse accendere in esse qualche passione più che fanciullesca, e tutto ciò che non fosse strettamente morale. Il disegno del lavoro ho cercato di farlo semplice al possibile, in modo che ne esca chiaro chiaro il concetto che la moralità, e la virtù sono premiate, ed il contrario punito. Circa alla forma poi ho evitato a bello studio ogni fioritura ed ogni lascivia del parlar toscano, pensando sempre per chi mi son messo a scrivere; e tuttavia mi sono ingegnato di esser puro nella lingua, mantenendomi sempre stretto all’uso comune, in modo da riuscire semplice e chiaro al possibile, affinchè mi possano intendere le bambine di ciascuna parte d’Italia.","NO"
"Fanfani_Pietro-Una_bambola-1869","Fanfani Pietro","Una bambola","1869","L’ufficio a cui mi son messo è umile; ma non è agevole: e ardisco di sperare che sia altresì efficace, non pure alla buona educazione, ma anche alla diffusione della buona lingua italiana; perchè, come le impressioni e gli esempj che si ricevono da fanciulli non si cancellano mai dalla mente e dal cuore, così quando sino da fanciulli si comincia a far l’orecchio ad un parlare e ad uno scriver corretto e semplice, ci troviamo ad aver fatto senza accorgersene un buon pezzo di via negli studj della lingua. Queste cagioni, che appena ho qui toccate di volo, non parendomi opportuno il fare una dissertazione, spero che saranno valutate dai discreti, se mai parrà loro di significare la loro opinione sopra la presente operetta. P. FANFANI UNA BAMBOLA Il signor Giulio Cambini era un onesto negoziante di Firenze, e stava di casa in Via degli Alfani con la sua famiglia, che era composta della signora Zaíra sua moglie, e di due bambini, l’uno maschio di dieci anni, che si chiamava Icilio, e l’altra femmina di otto, che avea nome Luisa.","NO"
"Fanfani_Pietro-Una_bambola-1869","Fanfani Pietro","Una bambola","1869","Vivevano comodamente, e si trattavano assai bene, tenendo tre persone di servizio, ed anche un legnettíno con un cavallo per andare di quando in quando alla loro villa di Castello, la più ridente forse di tutte le colline che fanno come corteggio a questa leggiadra città. Unico pensiero del signor Giulio era la famiglia, e massimamente l’educazione de’ figliuoli: e que’ due bambini venivano su così bene, andavano tanto volentieri a scuola, ed erano così amorosi ed ubbidienti, che facevano la consolazione de’ genitori. La signora Zaíra poi era degna moglie di quel galantuomo: lo secondava in tutto e per tutto; e benchè a lei fosse affidato il governo della casa, tuttavia non faceva nulla senza prima consigliarsi col suo Giulio, che la corrispondeva e di affetto e di confidenza.","NO"
"Fanfani_Pietro-Una_bambola-1869","Fanfani Pietro","Una bambola","1869","Insomma era tanta la pace, la buona armonía e la felicità di quella famiglia, che tutto il vicinato non faceva altro che dire, e molti la invidiavano. La Luisina andava a scuola in un buono istituto di signorine; ma sua madre sapeva bene che per una donna la sola istruzione non basta: che, se alle scuole si educa l’ingegno, a educare il cuore tocca alla madre; ed a tale educazione attendeva la signora Zaíra con tutto l’impegno e l’affetto, non mettendosi mica, come tante mamme, a far delle prediche; ma studiandosi di porre nel cuore alla sua bambina i semi dei più gentili affetti e delle virtù domestiche per via del diletto, o facendole leggere de’ buoni libri, o raccontandole delle novelline; ma più specialmente cercando di trarre a suo profitto il divertimento della Luisina con la bambola: tanto più che in quella casa v’era una bambola, che faceva la maraviglia di tutti quegli che la vedevano, per il singolare artifizio col quale era fatta. Chi fece la bambola e come la fece.","NO"
"Fanfani_Pietro-Una_bambola-1869","Fanfani Pietro","Una bambola","1869","Il babbo della signora Zaíra, benchè fosse benestante, era il più bravo di Firenze per fare lavori di meccanica: ma lo faceva per puro divertimento; e quando gli nacque quella bambina, pensò subito di volerle fare una bambola per quando fosse grandicella: non una bambola come le altre; ma che per via di molle, di segreti e di varj ingegni si movesse, e facesse qualche semplice operazione; pensando di volersene servire come ajuto alla educazione di lei. Mise subito il capo a partito, pensando prima tra sè e sè moltissimi giorni che strada dovesse tenere: poi, prova oggi, riprova domani: fa questo pezzo, disfà quell’altro: accomoda qui, aggiungi o togli qua; dopo molto tempo di lavoro, gli venne fatto una bambola, che non solo si moveva da un luogo a un altro, ma volgeva gli occhi, e faceva un poco di conto. Appena però l’ebbe finita, gli capitarono in mano dei giornali, dove si parlava di macchine che cuciono, che scrivono, e che fanno altre operazioni difficilissime.","NO"
"Fanfani_Pietro-Una_bambola-1869","Fanfani Pietro","Una bambola","1869","Potete immaginare come restasse! a lui che gli pareva di aver fatto una gran bella cosa a far camminar la sua bambola, farle girar gli occhi, e farle far di conto! Gli entrò una smania addosso che non ne poteva più: cominciò a pensare come mai si potesse fare una macchina da cucire e da scrivere; e tanto almanaccò, e tanto studiò, che gli parve di aver trovato il verso, e si pose all’opera, cercando di informarsi anche come erano gli ordigni della macchina letta su que’ giornali.","YES"
"Fanfani_Pietro-Una_bambola-1869","Fanfani Pietro","Una bambola","1869","Ma, se vedeva che gli sarebbe riuscito il fare macchine simili a quelle, non gli era possibile trovare il verso di adattare tali ordigni in un corpo piccolo come quel d’una bambola. Nulla però è impossibile a chi vuol davvero: e quel buon uomo tanto assottigliò l’ingegno, che all’ultimo, dopo mille e mille prove, non solamente gli riuscì di fare scrivere e cucire alla sua bambola; ma perfino di farla ridere e piangere: perchè, avendo il volto di più pezzi, per mezzo di una piccola molla mettevale in moto le labbra e gli occhi per modo che proprio pareva che ridesse; e per mezzo di un manticino, messo in moto da un’altra molla, mandava un suono rotto e spezzato che proprio parevano singhiozzi. Ma gli ci volle del buono per arrivare a questo punto!","NO"
"Fanfani_Pietro-Una_bambola-1869","Fanfani Pietro","Una bambola","1869","figuratevi, cinque anni di studj e di fatiche! Questa bambola era alta e grossa forse la metà di una bambina di 10 anni; ed a vederla rappresentava una bambina di circa 12 anni: per farla cucire e scrivere e far di conto si poneva a sedere sopra una piccola seggiola, alla quale si fermava con una vite, e nella quale era un ordigno che la faceva lavorare. Il babbo della signora Zaíra poi le aveva lasciato un vuoto nel capo che si apriva con uno sportellino, e dentro ci aveva posto una piccola cartolina dove era scritto chi aveva fatto quel lavoro, per chi era stato fatto, e tutti i segreti che vi erano, colla regola per far lavorare tutti gli ordigni.","YES"
"Fanfani_Pietro-Una_bambola-1869","Fanfani Pietro","Una bambola","1869","Era insomma cosa veramente maravigliosa, che, fuor che il parlare, poteva chiamarsi una delle più brave e istruite bambine di tutta Firenze; e chi avesse voluto darle una stima, sarebbe costata un prezzo non calcolabile. Finita che l’ebbe, quel buon galantuomo ne andava matto egli stesso; e molti signori e persone dell’arte che la videro ne rimasero a bocca aperta, e non si saziavano di lodarla, e molti e molti forestieri gliene offersero qualunque prezzo. Ma egli l’aveva fatta per la sua Zaíra, e della Zaíra dovè essere, la quale era per entrare negli otto anni.","NO"
