"filename","nome","titolo","anno","chunk","DIL"
"Fantoni_Gabriele-L_assalto_di_Vicenza-1863","Fantoni Gabriele","L assalto di Vicenza","1863","PREFAZIONE. Questo racconto nell'anno 1858, così com'è, io l'ho scritto. Fu un mio primo lavoro; un assaggio di narrativa.","NO"
"Fantoni_Gabriele-L_assalto_di_Vicenza-1863","Fantoni Gabriele","L assalto di Vicenza","1863","Per quelle tinte, ch' io fedele al mio animo negli oppressati tempi me l'ho bozzato, fidar non poteva io certo di darlo a leggere nelle stampe. Gli stupendi fatti come per supremo incanto sopravenuti all'Italia tolsero forse della sua vivezza alla memoria di un'epoca vicina sempre, tale che a ricordarla ogni anima ne trepidava; ogni core formato su questa terra, palese o segreto, profondamente gemeva. Se allo splendere dell'era nuova svani dal mio racconto l'immediata forza del recente, quella mest'aria che dalla notte fatale in cui era nato traeva, e che il subito interesse ed il desiderio destava, io credo non abbia perduto, per povero ch'esso sia, qualche sembianza d'un venerando solenne isto L'Assalto, ecc.","NO"
"Fantoni_Gabriele-L_assalto_di_Vicenza-1863","Fantoni Gabriele","L assalto di Vicenza","1863","1 rico dolore: io spero che possa addurre ancora per qualcheduno un qualche tratto di luce, un qualche motto ancora d'insegnamento. In quanto a me, io tanto oso con questo misero lavoro, perchè rammentando che nel formarlo da quelle immagini tremende che all'aprirsi della mia giovinezza, col furor delle speranze e delle angoscie mi si scolpirono, fui di frequente commosso alle ridestate mie tenerezze; ho trepidato tanto, e tante volte ho pianto; non posso, cosi com'è, non amarlo. L'ASSALTO DI VICENZA CAPITOLO PRIMO.","NO"
"Fantoni_Gabriele-L_assalto_di_Vicenza-1863","Fantoni Gabriele","L assalto di Vicenza","1863","Egli è notevole come in questo desiderio assai più del popolo s'accendessero la nobiltà e la cittadinanza. Non fa meraviglia della cittadinanza, la quale in ogni luogo suol contenere la parte più inclinata a libertà; ma il governo austriaco, più curante di gratificarsi alle moltitudini, e segnatamente alle campagnuole, nulla o poco aveva fatto da rendersi devoto e amico il patriziato, imitando in ciò le tirannidi antiche più che le moderne vestite alla spagnuola; e neppure il clero gli era affezionatissimo, dacchè negli Stati austriaci aveva meno potenza che altrove, per i salutari freni posti da Giuseppe II è conservati dai suoi successori Correva voce, forse maligna, ma certamente paurosissima, che il governo si adoperasse di far credere al popolo minuto, che di quei suoi rigori erano cagione i nobili e i ricchi, promovitori di politici scombujamenti. FERDIN.","NO"
"Fantoni_Gabriele-L_assalto_di_Vicenza-1863","Fantoni Gabriele","L assalto di Vicenza","1863","RANALLI. Storia del 1848-49, vol. II, lib.","NO"
"Fantoni_Gabriele-L_assalto_di_Vicenza-1863","Fantoni Gabriele","L assalto di Vicenza","1863","XIII, cap. I. a Aizzarono anche i poveri contro i ricchi, e sperarono di rinnovare gli orrori di Tarnow ». ATTO VANNUCCI.","NO"
"Fantoni_Gabriele-L_assalto_di_Vicenza-1863","Fantoni Gabriele","L assalto di Vicenza","1863","I Martiri 1848. Penso anch'io di scrivere un romanzo. un romanzo: una storia di semplice racconto maraviglioso.","NO"
"Fantoni_Gabriele-L_assalto_di_Vicenza-1863","Fantoni Gabriele","L assalto di Vicenza","1863","- Ma, e sarò da tanto? No, e Conosci te stesso. Proviamci.","NO"
"Fantoni_Gabriele-L_assalto_di_Vicenza-1863","Fantoni Gabriele","L assalto di Vicenza","1863","Certo è al disotto della umana dignità l'accasciarsi prima della fatica; è vile il darsi vinto innanzi alla disfatta, smettere ogni speranza e negar sè medesimo senza tentare la propria forza: guai se il fanciullo uscito dalle fasce non si avventurasse la prima volta ad impossessarsi di questa terra, pur sua, premendola benchè incerto, tentone, con le nuove sue orme. Nè dovendosi dunque tenere in dispregio desiderii e conati a far qualche cosa che possa tornar utile, anche con pochi mezzi e ristretti, se siamo convinti della bontà dell'impresa, e se crediamo a quella sentenza, che a questo mondo non fu mai scritto invano, nè vi fu libro che in qualchesia maniera abbia mancato di frutto, e sì che ne abbiamo letti di piccini piccini e miserelli! allora, pigliamo a scrivere.","NO"
"Fantoni_Gabriele-L_assalto_di_Vicenza-1863","Fantoni Gabriele","L assalto di Vicenza","1863","E qui, fuori le immaginose descrizioni, i parlanti ritratti, le poetiche scene, i quadri d'acconcia sorpresa; in un motto, i ferri d'arte di romanziere. No, lettor mio, niente di questo: non so se a scapito, ma pel dibattermi con siffatte prove non vi moverò a noja a lungo occupandovi, ve lo prometto. Ed infatti tanto divinamente su pinta l'aurora, con tanta sublime passione il far sera, che per me vano e ardito cimento sarebbe il riuscir bene con roba mia.","NO"
