"filename","nome","titolo","anno","chunk","DIL"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","In Bologna, e precisamente di fianco alla piazzetta di Santo Stefano, sorge un antico palazzo, che in oggi appartiene alla illustre famiglia de' Marchesi Bovio. Al disotto di quest' antico fabbricato vedi una bottega, che a prima vista la diresti una merceria, od uno spaccio di sigari, ma dai numerosi cartelli che le scorgi d' attorno ti è forza dire che è un Caffè. Difatti un rozzo e smunto cartello postovi sopra, ti dice in lettere fra l'indiano e l'ebraico CAFFÈ DELLA FENICE.","NO"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","Era un giorno d'agosto del 1855 in sulle quattro pomeridiane, in quell' ora, cioè, che la città è quasi in silenzio, per esser quello il momento in cui la maggior parte dei cittadini, terminati i loro interessi, si conducono a pranzo. Al di fuo.ri di questo Caffè eranvi due panche d' legno mal curate, e vecchie; alcune sedie di froppo, ed un tavolino tondo, sul quale stava un vassoio ed un bicchiere. Adagiato sopra una di queste panche, trovavasi un giovane di una fisonomia abbastanza espressiva; una ciocca dei suoi nerissimi capelli gli cadeva in mezzo alla fronte e ti lasciava travedere uno sguardo nero e pieno di fuoco, che tanto più scintillava sovra quella faccia pallida, e terribilmente abbattuta.","NO"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","Facevasi della mano sinistra puntello alla testa, e colla destra arricciavasi i baffi, che irti e mal composti facevano ancora più originale quella fisonomia. Di quando in quando mandava un sospiro sì forte, che una donna all' interno del Caffè, di personale sgraziato, ma di un aspetto sempre ilare ed abbastanza piacente, e che era la padrona del Caffè, si fece a dire con un suo avventore che annoiato stavasi leggendo una sciarada nel foglietto dei teatri: - Ma non sente, signor Cialdini? Che sospiri!","NO"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","Quel povero diavolo del signor Gaetano Morris'è bell'e cotto ed innamorato! Saranno due ore che egli si trova in quella posizione, in cui ora lo vede, mandando sospiri in modo da far andar un mantice! Vada un po' fuori a distrarlo, a consolarlo.","YES"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","Credete voi, Claudia, - disse l'avventore, - credete voi che sia realmente l'amore che lo faccia sospirare, o sia invece la vista di quei cataletti che di quando in quando vede passare? Io so che è tanto apprensivo, che lo credo piuttosto preso dalla paura, anzichè dall' amore. Vi sarà un po' dell'una e un po' dell'altro; ma la passione vera, la dominante, è una cuffia terribile che gli ha messo in testa quel birbo d'Amore, che come dice un poeta: << A nullo amato Amor perdona!","NO"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856",">>> Per bacco! signora Claudia, siete veramente di buon umore quest' oggi! e mi piace di vedervi a questo modo, mentre la maggior parte, specialmente di voi' altre donne, sono prese di una paura, e di una debolezzá da spaventare anche i più coraggiosi.","NO"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","Voi veramente meritate il nome di donna di spi rito! 11. Già ella è sempre sul celiare!...","NO"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","Vada, vada a tener di buon umore il signor Gaetano. - In così dire, a passo d' anitra esce dal banco conducendosi in una retrostanza, forse per dar sesto ad altre bisogne del suo esercizio. L'avventore che aveva avuto questo dialogo colla padrona del caffè della Fenice, era un giovinotto fra i 30 e 35 anni, d'aspetto gentile, vestito con molta pulitezza, ma senza eleganza, di uno sguardo vivace ed espressivo: i pensieri sopra di lui dovevano essere poca cosa, perchè il suo aspetto mostrava allegria continuamente, od indifferenza; solo un grosso involto di carte gli vedevi sempre sotto il braccio, e sebbene fosse quasi calvo, pure gli era costume l'andar il più delle volte senza cappeko in testa; ed anche in quel punto che si alzò ed escì dal Caffè, assestò prima il suo grosso involto di carte all'estremità di un tavolino di marmo, prese nelle mani il suo cappello di felpa rasato bianco, e dondolando col sorriso sulla bocca, e pieno di bonomia s'accostò a quel povero giovinotto che stava anche nella stessa posizione adagiato sulla dura panca di legno, e che proprio in quel punto mandava un grosso sospiro.","NO"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","Ebbene, caro Gaetanino, è amore, o paura che ti fa tanto sospirare?... Fu distolto da questa interrogazione quel giovane, e come si svegliasse da un sonno, si pose a sedere; e stropicciandosi gli occhi, ed accomodandosi i mal composti e nerissimi capelli, gli si fece a rispondere con un sorriso esprimente abbandono, e dolore: - Ah! sta buono, mio caro Cencio, io sento che sono innamorato; e lo sono a tal punto, che mi sento capace di qualunque pazzia!...","NO"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","Sta pur buono! e mettiti in calma; io credo che non vi dovrà essere bisogno di fare alcuna pazzia; perchè tu sei un bel giovinotto, ed anzichè stare qui giù sotto il portico a morire pel soffoco, io credo che tu faresti meglio ad andartene diritto diritto in casa, farle la tua dichiarazione, e vedrai che a tutto viene rimediato. Tu dici bene!","NO"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","ma non sai tu che v'è il colèra a Bologna. - Ebbene, che c'entra il colèra col tuo amore! È forse presa dal colèra la donna che tu ami?","NO"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","Ah! no perdio!... Ma sai bene che il contatto è giudicato tanto nocivo; e l'entrare a questi giorni in quei bugicattoli, io te la confesso schietta schietta, ho paura!","NO"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","e credo che in questo caso Amore sarà vinto dalla mia debolezza. Sai che cosa è?... che tu vuoi essere sempre coerente a te stesso!","NO"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","sono dieci, o dodici anni che io ti conosco, e ti ho sempre conosciuto un bel matto; ed oggi me ne vuoi dare un'altra bella prova con questo tuo misto di pusillanimità e di amore. Non sai tu che uno de' pregi migliori per piacere alle donne si è il coraggio, l' intrepidezza? Tant'è: la donna, la creatura più debole e più sensibile, è portata appunto per la squisitezza del suo sentimento ad amare e stimare quegli uomini che si slanciano alla ventura, e che mostrano d'affrontare un periglio con ardore e con indifferenza.","NO"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","Io sono persuaso, che se la donna che tu ami, conoscesse questo tuo bilanciare, anzichè provare per te il più che minimo senso d'amore, la ti guarderebbe con occhio per lo meno d' indifferenza, se non di disprezzo. Nell'atto che Cencio Cialdini faceva al suo amico questo discorso, che veniva da lui ascoltato col massimo interesse, si vide comparire da un finestrino che guardava sotto il portiço, e precisamente nel luogo del caffè della Fenice, una testolina di donna, che lanciata un'occhiata al giovinotto della panca si ritirò non appena comparsa, quasi fosse stata colpita da un fulmine. P Che cosa è stato?","NO"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","gridò commosso Gaetano Morris al suo amico Cencio; - che cosa è stato? e perchè fugge così?... Ah!","NO"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","forse ha sentito i nostri discorsi, ed ha conosciuto che io ho paura.... Ma no! saprò farmi coraggio, saprò affrontare pericoli, saprò farmi amare : sì, farò tutto, perchè io sento che l'amo, come non ho mai amato alcuna persona al mondo, saprò.... Calma, calma!","YES"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","è niente affatto quello che tu credi? Sai tu perchè è fuggita così presto dal finestrino? No: e perchè?","YES"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","Guarda un poco alla tua dritta. — Che cosa c'è? E in così dire si alza, e guarda verso la chiesa di Santo Stefano.","NO"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","Prende in mano il cappello, se lo pone calato infino agli occhi, poi asciugandosi il sudore col fazzoletto, manda un forte sospiro, ma più acuto e profondo di quelli che aveva tratti dal petto in tutto quel giorno; poi, come uomo che si vince, e prende una risoluzione: - Addio, Cencio, egli dice; e fugge a tutt' uomo entro la porta del palazzo Bovio. Che testa! che testa!","YES"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","- gli grida dietro Cencio. E poi, tutto calma entra nel Caffè, prende sotto il braccio l'involto di carta, e ventilandosi la faccia col cappello, si dirige a passo moderato verso la strada Santo Stefano, e scuotendo il capo, dice fra se: - Che testa, che testa! Il Medico omeopatico.","NO"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","Era in quei giorni Bologna rattristata da un terribile morbo che mieteva centinaia di vite ogni giorno; e come succede in ogni paese in tali luttuosissime circostanze, il basso popolo mormorava non contro il flagello che lo distruggeva, ma contro le cause ch' egli nella sua ignoranza s' immaginava stranissime. Sono i signori, — diceva un popolano, che predicava ad un crocchio di suoi compagni; - sono i signori, che ci avvelenano il pane, che fanno gittare dei corrosivi nei pozzi e nelle fontane, perchè ci vogliono distrutti tutti quanti siamo. Ci tengono peggio dei cani e delle loro bestie.","YES"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","Che cosa credete che sia quello che chiamano Lazzaretto? non è che una camera mortuaria: nissuno esce più di là dentro. Io vorrei morire piuttosto le cento volte, ma nel Lazzaretto non voglio mi ci portino vivo, sicuramente!","YES"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","Sì: ha ragione, - gridava una donnaccia che faceva numero di questo crocchio. →→Sì ha ragione ! Ieri il medico della nostra parrocchia, nell' escire dal povero Zizzaia che poi morì ieri sera, inciampò, e battè il fianco contro il manubrio delle scale; ebbene, immaginate un po'?","NO"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","gli si ruppe una boccetta che teneva in tasca, piena di un certo liquido che gli abbruciò tutto il vestito: di modo che dovette ritirarsi in casa della mia compagna Caterina, che gli dette poi il vestito di Beppe suo marito. Gli avrei dato ben io il vestito! Se fosse accaduto a me questo fatto, ve lo giuro, donna come sono, l' avrei strozzato colle mie mani.","YES"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","E avresti fatto bene, popolano.... soggiunse il E avreste fatto assai male, disse una voce, che si tolse di mezzo a tutto quel popolo, che ormai cominciava a diventare numeroso d'assai. TI? - Chi è che osa contrastare questi fatdisse la donna che avea fatto il sud detto racconto.","NO"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","Chi è che pretende giustificare la condotta di questi signorotti egoisti che ci vorrebbero vedere tutti morti? - soggiunse il popolano. - Sono io, - riprese con voce sicura la stessa persona che in prima aveva contradetto il popolano.","NO"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","- Son io, che nato dal popolo, amo voi tutti siccome fratelli; io, che darei tutta la mia vita per vedere voi altri felici, e per liberare questo disgraziato paese dal flagello da cui pur troppo è in vaso. Silenzio; abbasso l'impostore ! Cacciamolo dalle mura cotesto protet- tore dei signori.","NO"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","Sì, così ne avremo uno di meno! Fanno tanto male essi a noi, che bisognerà bene che ci svegliamo una volta ! E già cominciava a infuriare quel popolaccio, come sempre fa, quando si crede avere rotto, od almeno rallentato il guinzaglio.","YES"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","Allorchè il popolano, che in prima aveva parlato, raffrenò con un terribile fischio tutto quello spaventoso tumulto, allungando prima un gravissimo pugno ad un giovinastro che già aveva messe le mani alla gola di colui che aveva presa la parola a difesa della ve rità. Or su, via, frenatevi una volta, e mostratevi, se non giusti, almeno pazienti. Voi altri direste assassini coloro che vi condannassero o alla galera, o alla morte, senza farvi un processo, e sentire le vostre discolpe; or bene, perchè vogliamo negare noi questo diritto agli altri?","NO"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","Non fare ad altri ciò che non vuoi sia fatto a te stesso: ecco quale dev' essere la guida del popolo, del vero popolo. - Ha ragione Petronio: - gridarono tutti 14 IL MEDICO OMEOPATICO. ad una voce quei forsennati; — ha ragione Petronio.","NO"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","Sentiamo come giustifica il fatto di quel dottore; di quella boccetta che gli bruciò il vestito. Sentiamo.... sentiamo.... E fattosi largo fra la folla videsi un giovane pallido, dell' età di circa trent' anni: occhi neri e vivacissimi, fronte spaziosa ma totalmente solcata da rughe profonde, naso aquilino, e quasi affilato; di un colorito fra il bruno e il giallognolo, di una bocca piccolissima per la quale due baffetti nerissimi, e che facevano più bello il risalto dei denti di un bianco di avorio, indicavano in tutta la sua fisonomia la squisitezza del suo sentire, la nobiltà dell' animo suo.","NO"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","S' accostò con passo franco e sicuro al suo liberatore, gli strinse la mano senza dire una parola, ma esprimendogli con un loquacissimo sguardo la sua riconoscenza. Il popolano rispose egli pure senza parlare, ma con un gesto ed un' occhiata, che sembravano dirgli: Non fo di più del mio dovere: statevi pur tranquillo, e parlate, chè niuno vi toccherà. Difatti questo giovane la cui espressione aveva già incominciato ad interessare ad ognuno, prese a parlare nel modo che segue: Prima ch' io venga a combattere i vostri errori sarà bene che conosciate chi io mi sia.","NO"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","Io sono Alfonso de Monty.... Il medico omeopatico!... - Quel bravo giovane che ha guarito Giuseppe con tre o quattro granelli di miglio!....","NO"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","Viva il signor Alfonso!.... - Viva il signor de Monty!.... - E così vaneggiava quel gruppo di gente siccome sempre fa il popolo, ora pronto a flagellarti dell' ira sua, ed ora ligio perfino a lambire la tirannica mano che lo tiene schiacciato.","NO"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","Popolol sempre popolo!.... oggi t' uccide, doman ti piange estinto!.... Ma un gesto di quel giovane che in prima volevano ammazzare come ad esempio degli egoisti, fece tacere ogni grido di quelle genti, di cui oramai era addivenuto suo idolo.","YES"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","Fatto dunque silenzio di nuovo, il signor di Monty seguitò il suo discorso. << Pur troppo che il nostro paese è inva» so da un terribile morbo contro cui fin ad » ora può assai poco l'arte salutare; ma vi >> ha questo di certo però nel morbo colèra, >> che non è possibile, anzi non si è dato caso » giammai, e che sia a mia cognizione, che >> alcuno sia stato preso da questo morbo sen>> za quei primordiali sintomi, che sono di >> una docilità straordinaria ad estirparsi. An>> che il così detto colèra fulminante non può >> colpire siccome fosse un' apoplessia, ma >> previene con gli indispensabili sintomi di >> diarrea, di tetraggine, spossatezza di mem» bra, nausea, stringimento alle fauci, sapore >> acido, ed altri, i quali sintomi, ossia questo >> principio di morbo, vi sarà facile a tutti >> di prevenire qualora ricorriate allo spi>> rito canforato di Hahnemann, prendendone >> una cucchiaiatina in ogni ora, o come vi >> ordinerà il medico che chiamerete tosto.","NO"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","» Sapete voi altri perché il Lazzaretto può >> disi quasi con verità, come diceva Petro>> no, camera mortuaria? Lo sapete il per» chè?... Ebbene ve lo dirò io.... per i vostri >> pregiudizi, per l'ignoranza vostra; perchè >> nissuno forse ha avuto il coraggio di dirvi >> le verità ch' io adesso vi dico.","NO"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","I vostri pre-giudizi, i vostri sospetti di veleni, di cor>> rosivi e che so io, fanno sì che mandiate >> per il medico soltanto allorchè vi sentite >> aggravatissimi, e ridotti, per così dire, agli >> estremi. Allora viene il medico, vengono i >> fanti di sanità, vi portano al Lazzaretto » ove appena giunti si muore. E deve esser >> così: perchè il colèra quando è giunto al >> periodo ultimo che i medici chiamano al>> gido algidissimo, è un miracolo della Prov» videnza se non ti uccide; mentre non è >> ancora nella scienza degli uomini il modo >> di curarlo.","NO"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","Ma quel luogo che chiamano » Lazzaretto, non è altro che un ospedale, >> eretto dalla carità, e pei bisogni del paese >> stesso. Sono infinite le cure che ivi s'ap>> prestano colla miglior carità. Interrogate >> alcuni de' vostri compagni che usciro dal >> Lazzaretto, interrogateli, e sentirete spe>> cialmente con quale cristiano affetto è stato >> curato da quelle Suore di Carità, che non >> tralasciano veglie e fatiche per essere utili >> al loro prossimo.","NO"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","Su, via, voi altri Bologne» si, mostrandovi pieni di questi pregiudizi, >> di questi sospetti vigliacchi, e senza alcu >> fondamento, siete indegni d' appartenere a >> quel popolo dallo slancio generoso, che >> sempre si mostrò grande nelle sventure, >> forte e generosissimo nelle calamità. >>> - Viva Alfonso de Monty!... - fu un grido prolungato, e generale.","NO"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","Ma la boccetta di quel dottore?... soggiunse una conosciuta voce di donna. Ha ragione, - disse Alfonso.... debbo darvi una spiegazione anche di questo fatto.","NO"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","<< Sappiate che si usa da quasi tutti i » medici, di disinfettarsi allorchè hanno visi>> tato un coleroso; si usa di più di attivare un >> forte soffumigio nel luogo ove riposa il ca X davere del coleroso; questo si effettua col cloruro di calce, il quale viene sciolto, o col lo spirito di vetriolo, o coll' acqua forte; ed >> a questo dottore che curò Zizzaja, si ruppe )) in saccoccia, discendendo di là, una boccet>> ta di detto spirito, che gli abbruciò veramente non solo tutto il vestito, ma buona >> parte della persona. Eccovi spiegato.... >> Proseguiva nel suo discorso e nelle popolari sue spiegazioni Alfonso de Monty, allorchè un diradarsi della folla che lo ascoltava, e grida siccome di gente spaventata.... È morta! è morta!...","NO"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","È colèra! è colèra! ed in minor tempo che io non l'ho scritto, tutti erano fuggiti, meno Alfonso e il popolano Petronio.","YES"
"Farne_Enrico-Teresina_Rodi-1856","Farne Enrico","Teresina Rodi","1856","Quella donna, infatti, che aveva parlato con tanta bile contro il medico della parrocchia, che aveva chiesto una spiegazione particolare sulla boccetta che gli si ruppe in saccoccia, e che alle spiegazioni date dal signore Alfonso de Monty pareva non rimanesse paga, era stata presa da un istantaneo sforzo di vomito, indi da crampi acutissimi, di modo che era caduta per terra; di che allarmatasi tutta quella gente, avea gridato: il colèra, il colèra; e se ne era fuggita, come avete veduto. Accorse l' Omeopatico, senza punto sgomentarsi, a quella poveretta, che in prima era stata quasi causa della sua disgrazia, e le somministra sul palmo della mano alcune goccie di un liquido che tolse da una sua boccetta. Pareva che quella donna difidasse di prenderla, ma poi vinta dai dolori, e dalla sicurezza che le presentava l'aspetto del medico, l' assaggiò.","NO"
