"filename","nome","titolo","anno","chunk","DIL"
"Ferrari_Costanzo-Maria_da_Brescia-1849","Ferrari Costanzo","Maria da Brescia","1849","PREFAZIONE Il popolo Lombardo —' Lazzaro quatriduano, sta ora attendendo la taumaturgica parola: Sorgi! esci da codesto sepolcro, cammina, popolo vivente, degno di sedére al banchetto dèlie nazioni!...Chi sa quando e da qual labbro onnipossente scaturirà la parola di vita? Le nazioni ammalano, e non muoiono giammai ; e quando più lagrimevole è la sventura, più disperato l'avvenire, allora Dio suscita dai sassi i figli d'Àbramo, salva la navicella di Mosè, mette il valore negli animi femminili, arma di spada i Gedeoni, di pugnali le Giuditte, di chiodi le Giaeli ed i nemici svaniscono siccome polve cacciata dal vento, gli oppressi risorgono, la vita scorre libera nelle vene ingangrenite delle nazioni, la libertà sfavilla dei suoi più vividi raggi, i popoli sorgono e vincono.","NO"
"Ferrari_Costanzo-Maria_da_Brescia-1849","Ferrari Costanzo","Maria da Brescia","1849","Così sarà dell'Italia. IO Forsechè Iddio avrà posto nel cuore degli uomini il desiderio inessicabile della esistenza perchè muoiano subito? Forsechè l'ardore della libertà che ci scalda sarà inefficace ?","NO"
"Ferrari_Costanzo-Maria_da_Brescia-1849","Ferrari Costanzo","Maria da Brescia","1849","No: l'Italia sarà in onta alle battaglie diCusloza e di Novara, e in onta all'ardire sempre crescente dei nemici, in onta alla vigliaccheria dei suoi soldati, in onta al tradimento ed alla diserzione dei suoi figli, in onta alle mene reazionarie, alle macchinazioni dei re, all' abituale schiavitù dei popoli. Sì, l'Italia sarà grande, una, indipendente. Insorsero i principi della terra, dicono le sacre carte, ed i regi convennero in un sol luogo contro Iddio e contro il suo Cristo.","YES"
"Ferrari_Costanzo-Maria_da_Brescia-1849","Ferrari Costanzo","Maria da Brescia","1849","Ma Dio parlò, dove sono i suoi nemici ?... Affranti dal dolore, non domi dalla disperazione, noi ci assidiamo su questo sasso sepolcrale dell'italiana libertà e piangiamo e preghiamo exoriare aliquis noslris ex ossibus ullor. Noi vorremmo , siccome Geremia, ove ne avessimo il genio, dipingere questa Italia sedente nei trivii dopo aver calcato i troni, piena d' abominazioni e di viltà dopo aver dato esempi di valore e di virtù.","NO"
"Ferrari_Costanzo-Maria_da_Brescia-1849","Ferrari Costanzo","Maria da Brescia","1849","Oh chi dà al mio labbro la forza della parola, chi mi porge la cetra di Geremia ? Iliade che sterminala dai dolori, di esecrazioni, di sangue indarno versato, di tesori sprecati, di tradimenti, di viltà, è la storia di un anno, è la storia delia nostra rivoluzione. Vaso di lacrime sino all'orlo ripieno.... permettetemi che io ne attinga qualche stilla e la getti ai quattro venti, e ne imbratti le corone dei re, i fasci dei tribuni, le bigonce degli oratori, le bandiere degli eserciti e il tesoro delle leggi e l'altare, e Cristo... Permettetemi che da questo ecnleo dai tristi eretto, 10 levi una verga e flagelli quegli iniqui che vollero perdere la patria , quegli accidiosi che nulla fecero per lei, quei superbi che si credettero atti a grandi cose, quegli ipocriti che ci lodavano e ci tradivano....Sepolcri imbiancali, profumati ed aurei vasi che nascondevano il lezzo e la putredine.","NO"
"Ferrari_Costanzo-Maria_da_Brescia-1849","Ferrari Costanzo","Maria da Brescia","1849","Da questo terreno ove crebbero gli allori soperchiati dalle spine, lasciate che io spicchi una fronda e ne inghirlandi la mia città... Povera Brescia! La tua fede ti valse la morte... ma non la morte! La tua fede ti valse l'immortalità!","NO"
"Ferrari_Costanzo-Maria_da_Brescia-1849","Ferrari Costanzo","Maria da Brescia","1849","Oh la patria! Quell'abitazione sacra e domestica che Iddio ci ha data onde ivi magnificassimo 11 sno nome, e rabbellissimo, e ne consolidassimo le fondamenta sicché fosse lo spettacolo dei viandanti, l'ospizio degli infelici, l'albergo delle virtù e della gloria.... ov'è la nostra patria! La nostra patria è la reina dalle cento città: il suo capo si posa tra le nevi delle alpi, il suo piede si bagna nelle acque del mare: le fanno corona i monumenti di Roma, di Firenze, di Napoli; le stanno intorno piangenti i figli della Trinacria e del Po; giammai più belle sembianze adomarono il volto di un mortale; giammai forza più possente-scorse nei nervi di un gigante: essa dorme incatenata, i suoi figli medesimi la cullarono nel sonno, l'uomo straniero le recise le chiome e ne fece catene, le tolse la corona e la torse in ceppi, le bruttò le sembianze: quella donna mosse non ha mollo la sua destra e si sorresse sul suo gomito, già spezzava le funi, già brandiva la spada, i nemici erano in fuga....... perchè si è di nuovo addormentata?","NO"
"Ferrari_Costanzo-Maria_da_Brescia-1849","Ferrari Costanzo","Maria da Brescia","1849","Oh chi la risveglia? Ma essa deve risorgere: l'incantesimo che ora le grava le pupille sarà infranto e l'Italia sorgerà tutta e in nome di se stessa, e diffidente di tutti, nelle proprie forze confidente soltanto. Essa cadde , ma nella sua caduta lanciava la parola della maledizione agli oppressori e additava come avrebbe potuto risorgere.","YES"
"Ferrari_Costanzo-Maria_da_Brescia-1849","Ferrari Costanzo","Maria da Brescia","1849","Il pensiero religioso e popolare agitò le nostré sorti, le nefandilà gesuitiche e dinastiche la minarono. Popolo e Dio, ecco gli elementi della nuova vita, se a vita siamo chiamali; libertà e indipendenza, ecco il vestibolo del nostro tempio di gloria: concordia ed unione, ecco la nostra bandiera. Così vinceremo.","NO"
"Ferrari_Costanzo-Maria_da_Brescia-1849","Ferrari Costanzo","Maria da Brescia","1849","Le torture che il mio animo esacerbarono nella rivoluzione lombarda, io volli esprimere con neglette parole; i nostri fatti parlano eloquenti anche sotto forme dimesse, sotto vesti disadorne e con umili frasi. Io voglio nel passato aprire la scuola dell'avvenire. Otterrò il mio intento?","NO"
"Ferrari_Costanzo-Maria_da_Brescia-1849","Ferrari Costanzo","Maria da Brescia","1849","Se male non conosco i miei fratelli, ione sono sicuro. Con questo racconto ingannava le ore d'esilio, spargeva una lagrima per la mia patria, intesseva un serto ai buoni. Me non spingono interessi privati, spirito di parte, simpatie d'uomini.","NO"
"Ferrari_Costanzo-Maria_da_Brescia-1849","Ferrari Costanzo","Maria da Brescia","1849","Io credo che sconcie, infami sieno tali futilità nel cuore di un italiano. Io racconto gli eventi, spargo lagrime, do la vita ai miei sogni, lavoro per l'avvenire. Chi potrà condannarmi del mio ardimento ?","NO"
