"filename","nome","titolo","anno","chunk","DIL"
"Ferri_Giustino_Lorenzo-Il_capolavoro-1901","Ferri Giustino Lorenzo","Il capolavoro","1901","﻿IL CAPOLAVORO Io avevo alcune ragioni di non ristampare la storia del traviamento di un uomo che, nell’amore disperato dell’arte e nell’acuto rimorso delle sue colpe, smarrisce il senso normale della vita. Anche il conte di Fagnara è un dilettante, un esteta, un decadente, un po’ più vecchio forse dei troppi esteti che popolano il romanzo moderno. Ora chi non si è accorto che qualche cosa di noi se ne è andata col secolo XIX?","NO"
"Ferri_Giustino_Lorenzo-Il_capolavoro-1901","Ferri Giustino Lorenzo","Il capolavoro","1901","L’anima, il pensiero, la parola si vanno trasformando. Nuovi aspetti delle cose, nuovi impulsi intellettuali e affettivi avran presto costretta l’umanità a inventare altre forme di godere, esercitare, soffrire, integrare o guastar la vita. Che cosa può importare e a chi può importare ora il sacrilego esperimento estetico del conte di Fagnara?","YES"
"Ferri_Giustino_Lorenzo-Il_capolavoro-1901","Ferri Giustino Lorenzo","Il capolavoro","1901","Ma ho pensato che al peccato empirico del conte di Fagnara potrebbe pur sopravvivere la femminilità proterva e l’elegante ferocia di Fiora de Rosa: cose di ogni tempo; e per ciò ho ristampato questo romanzo. A rileggere le bozze, confesso che mi è parso di ritrovare non so quale confusa visione di giorni passati, la cui incertezza s’illuminasse e colorasse nelle caligini della lontananza. Ond’è che a lasciare al volume la sua vera data sottintesa, ho rispettato, nel correggere le stampe, nomi, circostanze e fatti accessori che avrei potuto facilmente rinnovare.","NO"
"Ferri_Giustino_Lorenzo-Il_capolavoro-1901","Ferri Giustino Lorenzo","Il capolavoro","1901","Ma se sia tutto invecchiato ovvero possa parer ancora temerario come parve a qualche lettore di nove anni fa, quando la prima volta Il Capolavoro fu pubblicato in appendice al Caffaro di Genova, giudichi chi legge. Roma, gennaio MCMI. G. L.","NO"
"Ferri_Giustino_Lorenzo-Il_capolavoro-1901","Ferri Giustino Lorenzo","Il capolavoro","1901","FERRI. — Signore, con vostra licenza... se io vi ho bene inteso, il duca ha abbracciato la vita claustrale, rinnegando le pompe della Corte. — Così ha fatto.","NO"
"Ferri_Giustino_Lorenzo-Il_capolavoro-1901","Ferri Giustino Lorenzo","Il capolavoro","1901","— Voglio andarlo a trovare. C’è molto da apprendere da cotesta specie di convertiti. SHAKSPEARE.","NO"
"Ferri_Giustino_Lorenzo-Il_capolavoro-1901","Ferri Giustino Lorenzo","Il capolavoro","1901","Come vi piace. A. V. sc.","NO"
"Ferri_Giustino_Lorenzo-Il_capolavoro-1901","Ferri Giustino Lorenzo","Il capolavoro","1901","IV. LIBRO PRIMO § 1. Prima che l’accenditore del gaz, era giunta la notte nell’angusto e tetro vicoletto.","NO"
"Ferri_Giustino_Lorenzo-Il_capolavoro-1901","Ferri Giustino Lorenzo","Il capolavoro","1901","Fermi davanti a una porta chiusa, due signori coi cappelli a cilindro luccicanti nell’ombra discorrevano a mezza voce: il discorso in quel buio, consigliere d’intimità, s’era avviato, dal canto di uno degli interlocutori, per la china sdrucciolevole delle mezze confessioni. — Ti pare strano che io tema di essere indemoniato! La conosci tu la storia dei Lancinena?","NO"
"Ferri_Giustino_Lorenzo-Il_capolavoro-1901","Ferri Giustino Lorenzo","Il capolavoro","1901","— Siete venuti dal Portogallo. — Sì, a Roma. Ma nel Portogallo eravamo arrivati dalle provincie basche.","NO"
"Ferri_Giustino_Lorenzo-Il_capolavoro-1901","Ferri Giustino Lorenzo","Il capolavoro","1901","I signori di Lancinena, scomparvero dal territorio di Bajona e di San Giovanni de Luz, dopo che nel 1609 un Lancinena e una Lancinena furono accusati di stregoneria. — Stregoneria? — Il marito era stato Vescovo del Sabba, la moglie aveva servito la Messa Nera; il giudice de Lancre, che li fece arrestare, ha lasciato nei suoi scritti memoria del fatto.","NO"
"Ferri_Giustino_Lorenzo-Il_capolavoro-1901","Ferri Giustino Lorenzo","Il capolavoro","1901","— E poi? — Nel 1650 i Lancinena sbucano fuori a Evora, in Portogallo, e s’imparentano in poco tempo co’ Monteira, co’ Feira, co’ Barbosa de Braganza. Ma dom Paulo, il capostipite dei Lancinena di Portogallo, era fratello, nipote o era figlio de’ nobili baschi processati dal giudice de Lancre?","NO"
"Ferri_Giustino_Lorenzo-Il_capolavoro-1901","Ferri Giustino Lorenzo","Il capolavoro","1901","I miei antenati: monsignori, esenti delle guardie nobili, vescovi, cardinali, hanno sempre sostenuto che dom Paulo era fratello dello stregone. — Possibile. — Mentivano.","NO"
