"filename","nome","titolo","anno","chunk","DIL"
"Ferri_Giustino_Lorenzo-La_fine_del_secolo_XX-1906","Ferri Giustino Lorenzo","La fine del secolo XX","1906","﻿La Fine del Secolo XX Storia Futura di G. L. FERRI Con 22 tav. fuori testo di R. PELLEGRINI PARTE PRIMA IL POEMA DEGLI EDONISTI","NO"
"Ferri_Giustino_Lorenzo-La_fine_del_secolo_XX-1906","Ferri Giustino Lorenzo","La fine del secolo XX","1906","Da più di un’ora la vecchia luna astronomica era sorta all’orizzonte. I guardiani, spegnendo la luna eliare sulla torre di ferro del Quirinale, erano andati a dormire. E tutta l’immensa città, – dal suburbio Capeno al quartiere Milviano, dalle radure edilizie del borgo ostiense di san Paolo all’aristocratico villaggio nomentano di Casal de’ Pazzi, – si addormentava stanca del frastuono di feste popolari e di spettacoli solenni, prolungati eccessivamente nella sera e nella notte dopo una lunga giornata di maggio.","NO"
"Ferri_Giustino_Lorenzo-La_fine_del_secolo_XX-1906","Ferri Giustino Lorenzo","La fine del secolo XX","1906","Ria di Valchiusa che, seduta alla sua piccola tavola, aveva trascorso lavorando parecchie ore nella solitudine, claustrale della Casa dell’Aurora, lungi da quelle fastidiose gazzarre, sentì le dita irrigidirsi nervosamente sulla tastiera della macchina da scrivere: prese una sigaretta di the e di tabacco delle isola Molucche, e guardò il foglio, rileggendone le ultime righe. «Noi, intelligenti, dobbiamo armarci e combattere contro la tirannia dell’intelligenza. «Noi, buone, dobbiamo abbattere il dispotismo insopportabile della bontà.","YES"
"Ferri_Giustino_Lorenzo-La_fine_del_secolo_XX-1906","Ferri Giustino Lorenzo","La fine del secolo XX","1906","«Noi, giuste e serene, dobbiamo ribellarci alla scellerata giustizia e alla indifferente serenità dei potenti che ci opprimono col loro amabile disprezzo. «Noi...». Qui la macchina s’era fermata.","YES"
"Ferri_Giustino_Lorenzo-La_fine_del_secolo_XX-1906","Ferri Giustino Lorenzo","La fine del secolo XX","1906","— Noi... che cosa? Noi... chi? Siamo forse venti ancora a Roma, cinquecento in Italia, sei o settemila fra l’Europa, l’Asia e l’America e, come le ultime vestali, tentiamo invano di mantener viva la fiamma della Dea su qualche altare clandestino.","YES"
"Ferri_Giustino_Lorenzo-La_fine_del_secolo_XX-1906","Ferri Giustino Lorenzo","La fine del secolo XX","1906","Ria di Valchiusa pensava ad alta voce. S’interruppe colpita dal suono della frase e ne prese rapidamente nota, sopra una paginetta, dove segnava le idee accessorie che per analogia le sorgevano in mente durante il lavoro o le fantasticherie, a cui si abbandonava con mistico fervore. Quindi riprese mentalmente: — Ma domani non saremo forse più nemmeno venti a Roma.","NO"
"Ferri_Giustino_Lorenzo-La_fine_del_secolo_XX-1906","Ferri Giustino Lorenzo","La fine del secolo XX","1906","Saremo diciotto, quindici, dieci. Forse ne mancheranno anche più alla somma. Io forse... Ricominciò a scrivere rapidamente, svolgendo il pensiero della nota.","YES"
"Ferri_Giustino_Lorenzo-La_fine_del_secolo_XX-1906","Ferri Giustino Lorenzo","La fine del secolo XX","1906","«Così, al quarto secolo, le vestali non potendosi più riscaldare al povero fuoco semispento dell’antica religione, corsero a chiedere un posto sulle agapi consolatrici della nuova (consultare il libro di Giuliana Dorte sui Culti e riti muliebri dell’antichità)». Gittò la sigaretta e andando verso la finestra mormorò, in un grande sconforto: — Anche noi sentiamo ora l’inutilità del sacrifizio. Anche noi sappiamo ora perchè il mondo ci condanna come allucinate.","NO"
"Ferri_Giustino_Lorenzo-La_fine_del_secolo_XX-1906","Ferri Giustino Lorenzo","La fine del secolo XX","1906","Dall’ultimo ventennio del secolo XIX alla fine del XX tutta la parabola del femminismo pratico era stata percorsa, e la sommità da lungo tempo oltrepassata. Quelle poche donne che pensavano ancora come Ria di Valchiusa, trascinate da una forza invincibile oramai discendevano tutte lungo la linea della decadenza, e si sentivano vicine a scomparire, nell’infinito suo prolungamento. Ria di Valchiusa affondò una mano nella folta chioma tagliata a zazzera, già sottilmente rigata di rari capelli bianchi.","NO"
"Ferri_Giustino_Lorenzo-La_fine_del_secolo_XX-1906","Ferri Giustino Lorenzo","La fine del secolo XX","1906","Era ancora molto bella, a trentacinque anni, nella persona eretta e forte, col profilo aquilino, gli occhi ardenti, la fronte un poco sfuggente del fanatico, il labbro inferiore continuamente morso dai denti bianchi, come se volesse cancellare il sorriso amaro che l’increspava. Dopo l’attuazione che se n’era voluta fare ne’ primi decenni del secolo XX, il femminismo era andato sempre declinando con altri sogni e fantasie della metà e della fine del secolo XIX. Nel 1998 non si rideva più nemmeno del femminismo.","NO"
