"filename","nome","titolo","anno","chunk","DIL"
"Ferrua_Giuseppe_Umberto-Il_Wasp_scene_marittime_della_guerra_d_America-1863","Ferrua Giuseppe Umberto","Il Wasp scene marittime della guerra d America","1863","Il Mare. Veleggia.... veleggia, leggiadro naviglio, sovra l'onde increspate dell'Oceano.... veleggia, veleggia, e tranquillo il mare, propizio il vento, dolcemente gonfii le tue vele, sì che volar tu possa come rapido augello per la solitaria superficie dell'acque. Come è svelta la tua alberatura!","NO"
"Ferrua_Giuseppe_Umberto-Il_Wasp_scene_marittime_della_guerra_d_America-1863","Ferrua Giuseppe Umberto","Il Wasp scene marittime della guerra d America","1863","Come sorridenti di un terribile amore sono le tue carronate!... E qual nome hai tu?... Il Wasp.... è tua culla l'America: tua patria è il mare!...","NO"
"Ferrua_Giuseppe_Umberto-Il_Wasp_scene_marittime_della_guerra_d_America-1863","Ferrua Giuseppe Umberto","Il Wasp scene marittime della guerra d America","1863","Ecco l'Inglese che sorge dall'estremo confine dell'orizzonte.... ecco il mercatante del sangue umano!.... avanti, marinai! Il Wasp ha un'anima generosa, buon braccio e acuto pugnale!...","NO"
"Ferrua_Giuseppe_Umberto-Il_Wasp_scene_marittime_della_guerra_d_America-1863","Ferrua Giuseppe Umberto","Il Wasp scene marittime della guerra d America","1863","Urrà! Egli saprà figgerlo in cuore di ogni nemico. Tuona il cannone, la squilla della battaglia risuona, d'armi è ingombro il ponte, le rilucenti batterie presentano lor formidate bocche vomitando la morte..... Urrå!","NO"
"Ferrua_Giuseppe_Umberto-Il_Wasp_scene_marittime_della_guerra_d_America-1863","Ferrua Giuseppe Umberto","Il Wasp scene marittime della guerra d America","1863","Il combattimento è impegnato.... Viva l'America! Ecco infrante l'opere morte dell'ostile vascello; ecco l'alberatura crivellata dai colpi, decimato l'equipaggio dalla mitraglia..... All'Abbordaggio! Dieci minuti... e il brick inglese arde crepitando in mille fulgidissime scintille, e le grida dei feriti e i gemiti de' moribondi nel cupo flagellar de' flutti si confondono.... dieci minuti ancora... e la nave britanna abbassò la bandiera!","NO"
"Ferrua_Giuseppe_Umberto-Il_Wasp_scene_marittime_della_guerra_d_America-1863","Ferrua Giuseppe Umberto","Il Wasp scene marittime della guerra d America","1863","Ecco il Wasp, non superbo di sua vittoria, non despota co' vinti, come solca leggiero l'Oceano agli ultimi riflessi dell'incendiato naviglio! Ecco il Wasp, come le grandi vele ha spiegate, e si rialza e s'abbassa, e di un solco argentino segna la via percorsa dalla sua chiglia! Veleggia!","NO"
"Ferrua_Giuseppe_Umberto-Il_Wasp_scene_marittime_della_guerra_d_America-1863","Ferrua Giuseppe Umberto","Il Wasp scene marittime della guerra d America","1863","veleggia! ed al tuo canto di guerra si prostrino nella polve i servi e gli oppressori!.... Desso era infatti un ben forte vascello, colla Santa Barbara munita, coi cannoni anneriti, col ponte marcato dalle gloriose vestigia de' conflitti!","YES"
"Ferrua_Giuseppe_Umberto-Il_Wasp_scene_marittime_della_guerra_d_America-1863","Ferrua Giuseppe Umberto","Il Wasp scene marittime della guerra d America","1863","Il Wasp! Oh! come si sente rigonfiar il petto di un nobile orgoglio ripensando a te, signor de' mari, che il terrore hai sparso nelle file della pallida Albione!","YES"
"Ferrua_Giuseppe_Umberto-Il_Wasp_scene_marittime_della_guerra_d_America-1863","Ferrua Giuseppe Umberto","Il Wasp scene marittime della guerra d America","1863","Oh! si viva la libertà dell' Oceano, viva la libertà della fiera repubblica, libertà di genio e di battaglia, di sterminio e di trofei! La nave inglese era distrutta dalle fiamme e il Wasp vincitore allontanavasi dall'ondosa pianura della pugna, seco traendosi la riportata preda d'armi e di prigioni.","NO"
"Ferrua_Giuseppe_Umberto-Il_Wasp_scene_marittime_della_guerra_d_America-1863","Ferrua Giuseppe Umberto","Il Wasp scene marittime della guerra d America","1863","Comandava la corvetta Americana il capitano Blakely: il brick incendiato era il Reindeer, capitano Manners. Ove or sei, superba dominatrice del mondo, che alle città dell'Anglia, dall'Indo alle irrigue contrade legasti l'oro del ricco, l'industria, la scienza, ogni moto di ingegno umano, ove or se' co' tuoi mille vascelli? Per quali paraggi volgon le prore i navigli tuoi?","NO"
"Ferrua_Giuseppe_Umberto-Il_Wasp_scene_marittime_della_guerra_d_America-1863","Ferrua Giuseppe Umberto","Il Wasp scene marittime della guerra d America","1863","Perchè, perchè non corri a soffocar questo insetto, che ha osato insultar al tuo invincibile vessillo? Dormi forse? Orsù, ti sveglia, nembosa Albione, ti sveglia, e i biondi figli tuoi chiama all' armi, e le tue naviganti schiere, e le tue temute armate affida in grembo a' flutti.....","NO"
"Ferrua_Giuseppe_Umberto-Il_Wasp_scene_marittime_della_guerra_d_America-1863","Ferrua Giuseppe Umberto","Il Wasp scene marittime della guerra d America","1863","Vedi che un pugno di ribelli ti ha gettato sulla fronte il guanto della sfida, e non ti muovi, e non voli a vendicar l'onore de' tuoi vascelli, che il povero, il pauroso, il debellato Americano fa servir di faro alle sue vittorie?.... Morte all'Inglese! Questo è il grido che terribile suonerà al tuo orecchio per tutte le venture generazioni, come suonò dal dì che sul palco de' condannati ascese una regina..... è nulla quel sangue nell'eguaglianza del sepolcro... è nulla ne' rivolgimenti delle cose, ma la tua corona ha disonorata, la tua spada cangiò in una mannaia!","YES"
"Ferrua_Giuseppe_Umberto-Il_Wasp_scene_marittime_della_guerra_d_America-1863","Ferrua Giuseppe Umberto","Il Wasp scene marittime della guerra d America","1863","Galeggiano sui biancheggianti marosi gli avanzi del Reindeer, e penzoloni giaciono tuttor le vele squarciate del Wasp, ma non un grido di gioia vi s'ode, non un accento, non un' imprecazione al vinto! Tale era la disciplina dell'equipaggio che conduceva il capitano Blakely. Bravo, intrepido, fermo al fuoco, pieno di entusiasmo, che non piegavano disastri, non scemavano avversità, di un unico volere, valoroso egualmente che umano verso il nemico, aveasi questi si fattamente acquistata la stima de' marinari suoi, che li rese più che in una sola famiglia concordi: feroci senza odio, senza ira, senza premeditazione; obbedienti, passivi, automi anzichè uomini, lungi dal frastuono, educati nella severità del comandante, nella cieca esecuzione degli ordini imposti.","NO"
"Ferrua_Giuseppe_Umberto-Il_Wasp_scene_marittime_della_guerra_d_America-1863","Ferrua Giuseppe Umberto","Il Wasp scene marittime della guerra d America","1863","Non ci volea che una parola, che un cenno di capitan Blakely, perchè tutto l'equipaggio si trovasse in pochi istanti sulla tolda colla sua tunica aperta, col fazzoletto negligentemente annodato al collo, co' larghi calzoni; non ci volea che un fischio del comandante perchè tutti que' volti nel più energico modo abbronziti dal sole, arsi dalla polvere, ad un fiero sorriso si inarcassero schierandosi in militari evoluzioni. Oh! la bella vista davvero!","YES"
"Ferrua_Giuseppe_Umberto-Il_Wasp_scene_marittime_della_guerra_d_America-1863","Ferrua Giuseppe Umberto","Il Wasp scene marittime della guerra d America","1863","Ammirar quelle robuste figure in orgogliosa attitudine, arrampicarsi su per le sartie, ed eseguir la manovra colla precisione del nauta nelle vicende della navigazione invecchiato, ammirar que' giovani mozzi che in tutta l'altezza dell' albero maestro dominano la nave, e strisciano per le gomene, ed invergano le vele, e dalle giarte scivolano sul ponte: ammirar il capitano fisso al suo banco di quarto col portavoce nella destra comandar quinci e quindi, e volger sui restii uno sguardo minaccioso che faceva ai più audaci abbassar le ciglia! Oh! la bella vista davvero!","YES"
"Ferrua_Giuseppe_Umberto-Il_Wasp_scene_marittime_della_guerra_d_America-1863","Ferrua Giuseppe Umberto","Il Wasp scene marittime della guerra d America","1863","Tutto era quivi pulito ed attrezzato: levigati, siccome il marmo, i palchi, ricovri sotto coperta i feriti, attillata l'alberatura, quasi fosse preparata a rinnovar una seconda danza colla mitraglia; scorgevasi tuttavia, ad onta dell'abitudine di silenzio, una insolita agitazione in alcuni marinai, fra cui il nostromo mastro Lowrie e il pilota La-Stange. Capitan Blakely passeggiava lentamente, misurando con severe occhiate lo stato della sua gente. Comandante si fe' a dire mastro Lowrier avvicinandoglisi - questa mane mio fratello.... » « Ebbene chiese bruscamente Blakely - che si vuole con questo mormoreggiare?","NO"
