"filename","nome","titolo","anno","chunk","DIL"
"Ferruggia_Gemma-Il_mio_bel_sole-1906","Ferruggia Gemma","Il mio bel sole","1906","﻿a Sfinge, anima fiera e mente forte, dono — in tutta fraternità — la storia dove ho voluto che palpitasse, libero, un cuore femminile della terza Italia. PARTE PRIMA UN’ALBA La piccola Regina Frescobaldi era sola e pensava. Ella era abituata alla solitudine quanto una donna vecchia, disillusa di tutti e d’ogni cosa: e abituata a pensare per credere di non essere sola.","NO"
"Ferruggia_Gemma-Il_mio_bel_sole-1906","Ferruggia Gemma","Il mio bel sole","1906","I bambini dei poveri — quando sono intelligenti — godono di questo privilegio che culla la fantasia, prepara alla virtù del silenzio e alla più bella conquista individuale: bastare a sè stessi. Tanto come dire che Regina Frescobaldi, quantunque avesse appena nove anni, non era una bambina. Il suo fondo cuore, già pieno di ricordi, non racchiudeva un solo raggio di luce schiettamente infantile.","NO"
"Ferruggia_Gemma-Il_mio_bel_sole-1906","Ferruggia Gemma","Il mio bel sole","1906","Pareva una posatrice consumata, alle bimbe della sua età: invece era sincera. Ella non sapeva, proprio, nè divertirsi, nè ridere. La donnina sorrideva, qualche volta: una sfumatura di sorriso che ispirava terrore e pietà agli adulti: le smorte labbra innocenti sembravano fare una concessione alla vita degli altri.","NO"
"Ferruggia_Gemma-Il_mio_bel_sole-1906","Ferruggia Gemma","Il mio bel sole","1906","E sembravano, anche, aver bevuto il sorriso breve — in cui balenava l’ironia — a una torbida acqua: come se una tragica coppa, ricolma di tossico misterioso, fosse stata offerta alla bocca già dolorosa, già consapevole dei fremiti che trattengono i singhiozzi; delle pieghe amare che sigillano lo sdegno. Educata nel riserbo fiero dei poveri orgogliosi, Regina detestava i giuochi chiassosi delle sue coetanee. Nulla l’attirava nelle corse gioiose e folli: nei «giri tondi» accompagnati dal coretto stonato delle filastrocche popolari, imaginose e senza senso.","NO"
"Ferruggia_Gemma-Il_mio_bel_sole-1906","Ferruggia Gemma","Il mio bel sole","1906","Ma era una precoce osservatrice, quella malinconica diseredata: e Regina si rammentava dell’abitudine ch’ella aveva presa, un tempo. Seduta a piè delle scale, nei luminosi dopopranzi estivi, ella guardava le molte bimbe che giuocavano nel cortile della vecchia casa: esse apparivano prive di dignità, alla minuscola donna — che le fissava tranquilla; e volgari, e anche un po’ malvage. Pure ella non le amava e non le odiava, in una perfetta signorilità di sentimenti che le era naturale.","YES"
"Ferruggia_Gemma-Il_mio_bel_sole-1906","Ferruggia Gemma","Il mio bel sole","1906","Esse odiavano lei, invece: dell’odio speciale che l’infanzia mediocre e ben nutrita ha per ogni superiorità. La figuretta, attenta e silenziosa, sorprese le altre bimbe: poi sembrò loro una sfida, e se ne irritarono. Le ostilità cominciarono quasi subito: erano smorfie, erano allusioni sciocche alla decorosa povertà di Regina, la figlia del «sciür» duca... che stava al quarto piano: erano le volgarità ereditarie di una mala razza priva dell’istinto generoso del popolo e incapace di delicate comprensioni: così che Regina fu esclusa dalle sue casigliane senza che ella avesse chiesto di partecipare ai loro divertimenti.","YES"
"Ferruggia_Gemma-Il_mio_bel_sole-1906","Ferruggia Gemma","Il mio bel sole","1906","I bimbi delle gente ricca — aristocratica o borghese — sono allevati in una pietà dei poveri... che ha la sua letteratura a parte. Questa letteratura, piena di spazzacamini e di vecchi mendicanti alle porte delle chiese, insegna il rimedio di un tozzo di pan bianco o di una monetina d’argento, economizzata sul superfluo; e culla il dilettantismo della beneficenza nel cuoricino posticcio del piccolo felice, pronto a trasformarsi in sorridente egoista. I bimbi della bassa borghesia, invece, sono meno stupidi: ma più odiosi.","NO"
"Ferruggia_Gemma-Il_mio_bel_sole-1906","Ferruggia Gemma","Il mio bel sole","1906","I genitori li allontanano sistematicamente dai poveri, che vivono in loro prossimità, e che essi — affezionati al denaro conquistato con fatica — non vogliono aiutare. E i figli crescono nel dispregio di ogni cosa alta e fine, nel disdegno di ogni ricchezza che il denaro non acquista. Il gruppo, petulante e prepotente, delle ragazzine — seccate dalla presenza silenziosa di Regina — le rimproverava un ammasso di colpe: e gravissime, se si considerano le speciali condizioni di una casa semipopolare, posta nel cuore di Milano — venticinque anni or sono.","NO"
"Ferruggia_Gemma-Il_mio_bel_sole-1906","Ferruggia Gemma","Il mio bel sole","1906","Regina era educata alla perfezione: portava con grazia gli abitini di ricercata eleganza che le faceva sua madre: salutava in atto gentile, ma non parlava con nessuno: e non doveva far capricci, poi che mai l’eco di una sgridata scendeva da quelle due camere — a livello dei tetti — in cui i Frescobaldi tentavano invano di nascondere la loro miseria. Solo, dalle finestre schiuse, si sentiva la bella voce di quella strana bimba che mandava a memoria poesie scritte per i grandi; o conversava seriamente con suo padre — in italiano. E parlare in lingua era allora un delitto di posa per la borghesia milanese: mentre era addirittura un soggetto di scherno per i popolani cui il «taliano» dava ai nervi.","NO"
"Ferruggia_Gemma-Il_mio_bel_sole-1906","Ferruggia Gemma","Il mio bel sole","1906","E’ che essi erano bene i simpatici e generosi figli del quarantotto: ma degli italiani ancora in fasce. Di più: Regina era brutta, di una bruttezza che disperava sua madre tanto sembrava senza rimedio: e i bambini sono degli esteti feroci. Esteti che esigono la fusione armonica dell’insieme, nell’incapacità naturale di cogliere la particolare bellezza di un dettaglio.","YES"
"Ferruggia_Gemma-Il_mio_bel_sole-1906","Ferruggia Gemma","Il mio bel sole","1906","I capelli di Regina, sempre sciolti, di color nero lucido, fini, ricciuti, abbondanti — cura della dolce mamma — sembravano alle sue nemiche una criniera selvaggia. Eppure, attorno al visetto pallido e magro, erano di una regalità tragica. Infine, esse non volevano quella compagna: e glie lo dichiararono subito.","YES"
"Ferruggia_Gemma-Il_mio_bel_sole-1906","Ferruggia Gemma","Il mio bel sole","1906","— Tu no. Noi non vogliamo giuocare con te. La prima volta, Regina udì il verdetto d’ostracismo senza batter ciglio.","NO"
"Ferruggia_Gemma-Il_mio_bel_sole-1906","Ferruggia Gemma","Il mio bel sole","1906","La sera dopo, l’esclusa, la poverella che non apparteneva alla tradizione, tornò al suo posto. Sull’orlo dello scalino, Regina pareva ancora più seria, più pallida: di una fragilità, di una malinconia senza eguali. Fu dopo una tregua di qualche tempo che la più aggressiva, tra quelle figliuolette di bottegai, prese la parola — e dovette arringare a meraviglia perchè le amiche sue mossero tutte insieme verso la bimba solitaria, apostrofandola in dialetto.","NO"
"Ferruggia_Gemma-Il_mio_bel_sole-1906","Ferruggia Gemma","Il mio bel sole","1906","— Ti abbiamo già detto che non ti vogliamo. Regina si levò, tremante, guardando il gruppo assalitore — misurandone la viltà con lo spirito lucido di un’adulta. Ma tacque.","NO"
"Ferruggia_Gemma-Il_mio_bel_sole-1906","Ferruggia Gemma","Il mio bel sole","1906","— Hai capito, sì o no? La voce della piccola tormentata si levò come un’onda musicale lungo il portico che fiancheggiava il cortile. — Neppure io voglio giocare con voi — disse calma, cessando di tremare.","NO"
"Ferruggia_Gemma-Il_mio_bel_sole-1906","Ferruggia Gemma","Il mio bel sole","1906","— E allora che cosa fai lì? — Nulla... così — rispose Regina, con un gesto vago, col tono leggermente drammatico della sua voce di contralto puro. Aveva voluto accennare a tante, tante cose che le passavano per la mente, che le affluivano dal cuore al pensiero, quando era sola tra la gente, o sola davvero; e che erano immagini di luce e grandi ombre, fluttuanti e leggere, o dolorose e pesanti come un sogno cattivo: cose, insomma, note a lei sola, di paura e di bellezza; che avevano sapor dolce o sapor amaro... che non poteva e non voleva dire: e che forse, anzi certo avrebbe detto, a tutti, tra molti anni — in giorni di vittoria.","YES"
"Ferruggia_Gemma-Il_mio_bel_sole-1906","Ferruggia Gemma","Il mio bel sole","1906","Per il momento, l’accolse un coro derisorio: — Che stupida! — Te set minga bona de parlà meneghin? — Vui, cara lei, che stufato.","NO"
"Ferruggia_Gemma-Il_mio_bel_sole-1906","Ferruggia Gemma","Il mio bel sole","1906","— Perchè te discorret inscì in gnau gnau? — Parlo come vuole il babbo. Nuova ilarità.. — Il babbo!","NO"
"Ferruggia_Gemma-Il_mio_bel_sole-1906","Ferruggia Gemma","Il mio bel sole","1906","Car Signur, te sentet? — Se dis papà, minga babbo. — Bau!","NO"
"Ferruggia_Gemma-Il_mio_bel_sole-1906","Ferruggia Gemma","Il mio bel sole","1906","Bau! — Va via, scimbiœu! — Va via!","NO"
