"filename","nome","titolo","anno","chunk","DIL"
"Ferruggia_Gemma-Verso_il_nulla-1890","Ferruggia Gemma","Verso il nulla","1890","﻿I. La giovane donna era brutta — e bellissima. Ella si chiamava Adriana, e aveva un tipo spiccato, meridionale: occhi neri, vivacissimi; bocca larga, sensuale, denti piccini e forti: una ricca massa di capelli neri, incorniciatura forse troppo abbondante per il piccolo viso rotondo, da monella impenitente.","NO"
"Ferruggia_Gemma-Verso_il_nulla-1890","Ferruggia Gemma","Verso il nulla","1890","No, certo: non aveva un’aria distinta, ma dalle mosse rapide e ardite, delle fiere audacie da popolana, degli scatti d’entusiasmo, delle potenti rivolte quasi maschili — e tutto ciò unito a delle risolute cortesie da giovinetto convinto del proprio ingegno, che sa d’esser destinato a grandi cose, e non chiede protezioni. Col suo contegno poco femminile, e coi suoi lineamenti irregolari, Adriana apparteneva a quel genere di donne che gli uomini temono, ammirano, e non amano forse per paura di adorarle. Quella sera, nell’elegante salottino della redazione, Adriana Errera leggeva attentamente il nuovo romanzo di Arnaldo Da Mira, senza curarsi del biondo e roseo giovinotto, che scriveva presso di lei.","NO"
"Ferruggia_Gemma-Verso_il_nulla-1890","Ferruggia Gemma","Verso il nulla","1890","La penna di Fabio Sorrenti, scorrendo ardita sulla carta lucida, e bianca, sembrava raccontare di cose maligne, mentre il giornalista ripeteva due, tre volte ogni parola, ad alta voce, fermandosi spesso per rileggere quel brano scandaloso di cronaca che gli usciva dalla mente come uno squarcio di poesia dell’epoca romantica, irto di punti d’esclamazione, infiorato di interrogazioni, ricco, straricco di puntini di sospensione. Con quale prodigiosa rapidità si succedevano quelli scellerati puntini! Fitti, fitti, regolari, uno dopo l’altro, a regolare distanza, tre volte malevoli: calcolata civetteria di una prosa perversa, che nell’insieme assomigliava assai a quelle lettere stupide e cattive che provano tutto e non provano nulla: frutto della passione, negazione dell’amore.","YES"
"Ferruggia_Gemma-Verso_il_nulla-1890","Ferruggia Gemma","Verso il nulla","1890","Curioso tipo davvero Fabio Sorrenti: col volto bianco e delicato, come quello di una donna, profumato come una dama, con un eterno e simbolico fiore all’occhiello dell’abito corretto, con un sorriso di bestia malvagia, e uno sguardo grigio da gatto in agguato. Non mancava di un certo ingegnaccio: la coltura era scarsa, ma più che sufficiente per la parte che sosteneva lui nel giornale, ed era fin troppa per Sorrenti che aveva nel sangue la scienza bieca dell’ingrandire lo scandalo che esiste, e del crearlo dove non esiste. Dicevano che, prima, era stato farmacista, poi elegante strozzino: l’idea di darsi al giornalismo era venuta da ultimo, come un’infamia seducente — poichè Fabio scriveva sempre rasentando il limite del codice, senza varcarlo mai.","NO"
"Ferruggia_Gemma-Verso_il_nulla-1890","Ferruggia Gemma","Verso il nulla","1890","Pareva si divertisse a contemplare la porta della prigione che per lui era eternamente socchiusa, e come paurosa d’aprirsi. Qualche volta i colleghi gli dicevano: «Bada, Sorrenti: ora ci caschi!» Egli sogghignava: sogghignare era la sua delizia; sogghignare, per Fabio, era discorrere; e quell’eloquenza odiosa aveva ragione. Non ci cascava.","YES"
"Ferruggia_Gemma-Verso_il_nulla-1890","Ferruggia Gemma","Verso il nulla","1890","Strana cosa: non si era battuto neppure una volta, e nessuno avrebbe potuto dire se avesse coraggio: forse sì, forse no. La penna era certo la sua spada: ma se ne serviva come di una slealissima arma che dilaniava le carni, senza offendere la pelle. La pelle no — l’accarezzava.","YES"
"Ferruggia_Gemma-Verso_il_nulla-1890","Ferruggia Gemma","Verso il nulla","1890","Adriana leggeva dunque senza badargli, e con un interesse vivo sul volto intelligente, tormentando colla manina destra la stecca nera che le serviva a tagliare rapidamente le pagine del libro — procedendo nella lettura. Il nuovo romanzo era opera di un suo collega ed amico, al quale dava del tu, e al quale aveva promesso un articolo critico da pubblicarsi nelle colonne dell’Audace, giornale politico artistico-letterario nel quale collaboravano insieme, un po’ di mala voglia, per dire il vero, disgustati dallo scopo del giornale stesso, che viveva di scandalo. L’Audace era assoluta proprietà del commendatore Lazzaro Damala, un arricchito impertinente fino alla provocazione, vigliacco fino all’untuosità: più volte Arnaldo Da Mira aveva minacciato di abbandonare il giornale, e più volte Adriana Errera aveva parlato di ritornarsene a Napoli, ma avevano poi sempre finito col cedere alle preghiere dell’ambizioso commendatore che tra le sue cattive qualità non contava l’avarizia, e pagava bene, con una puntualità rara, meravigliosa nella storia del giornalismo di tutti tempi e di tutti i paesi.","NO"
"Ferruggia_Gemma-Verso_il_nulla-1890","Ferruggia Gemma","Verso il nulla","1890","Ora, finalmente, Arnaldo abbandonava davvero Milano e l’Audace, per andare a dirigere un nuovo giornale di Como: e Adriana attendeva la comparsa di un suo nuovo libro di novelle per partire anche lei. Fabio fece scricchiolare ancora per qualche momento la onestissima penna: poi piegò due o tre fogli, li mise in un cassetto, si alzò per aggiustarsi la cravatta irreprensibile davanti allo specchio, passò in rivista delle fotografie nuove, sorridenti, disposte con garbo intorno alla mezzaluna di velluto rosso, e finì col toglierne una dall’elegante semicerchio. — Come!","NO"
"Ferruggia_Gemma-Verso_il_nulla-1890","Ferruggia Gemma","Verso il nulla","1890","— disse — Anche Désirée de Bondy! Graziosa questa ballerina! Come la trova, lei, signora Errera?","NO"
"Ferruggia_Gemma-Verso_il_nulla-1890","Ferruggia Gemma","Verso il nulla","1890","— Insignificante. — Rispose Adriana, senza alzare il capo. Sorrenti strinse le palpebre con quel particolare atto dei miopi che dà a certi volti un’espressione di immensa malizia, e sorrise — pensando che di solito le donne belle sono insignificanti per le donne brutte.","YES"
