"filename","nome","titolo","anno","chunk","DIL"
"Filangieri_Francesco-Il_milite_ed_il_masnadiere-1853","Filangieri Francesco","Il milite ed il masnadiere","1853","AL LETTORE Se per avventura l' indole tua fosse si paziente da farti durare a leggere sino al fine questi miei scritti, te ne prego, siimi cortese di compatimento; poichè son certo che verun interesse, veruna soddisfazione essi desteranno in te. Ed in vero qual prò può trarsi da varii avvenimenti, parte veri, parte creati da povera fantasia, malamente accozzati, ed esposti con umile stile; senza slancio di fantasia, senzu spirito; privi di apotegmi, di sentenze, di paragoni; mancanti di quel bello, di quel' ideale ch'è l'anima, ed il nerbo di tal sorta di compoоnimenti? A che li scrivesti dunque ?","NO"
"Filangieri_Francesco-Il_milite_ed_il_masnadiere-1853","Filangieri Francesco","Il milite ed il masnadiere","1853","mi si potrà dire. Nol so nemmen io. Una irresistibil forza; una natural tendenza ad impiastricciar carta, ed a non rimanere nell' oziosaggine mi fecero un di venir voglia di scrivere e narrare alcune avventure sapute cosi per caso.","NO"
"Filangieri_Francesco-Il_milite_ed_il_masnadiere-1853","Filangieri Francesco","Il milite ed il masnadiere","1853","Ma datomi una volta a sissatto genere di occupazione non seppi più ristarmene, e però nuove cose sapendo, nuova smania venivami di narrarle e così via via, sino a che poi mi surse il pensiero di far sì che ciò che io sapeva altri il sapesse, quindi il pungolo di darle alla luce per le stampe. Protesto perciò che non desio d' aver fama d' Autore, di Novelliere, di Scrittore; non isperanza di vedere questa mia opericciuola fra le mani di molti, per acquistare una popolarità che troppo coscienziosamente so di non meritare, a ciò m' indusse; ma la fidanza soltanto che la narrazione delle avventure d'alcuui de'miei protagonisti, i quali pure un tempo vissero e durarono nella sventura, e nell'obblivione, possa destare nel cuore sensibile di qualche raro leggitore la commiserazione per le loro sciagure, la ricordanza delle virtù loro, onde avere almeno un tributo di compianto, il quale, ancorchè tardo pure quando largito è desso dalle anime ben formate, e nobili è bastevole suffragio alla memoria di chi non è più. 1 Leggi dunque se vuoi, ma senza prevenzione di sorta: Attienti solo all' esposizione de'fatti che io ti vado narrando, e non allo stile ed alle forme cui son narrate; mentre io, circoscritto nel mio nulla, sarò almeno confortato dal pensiero che questo mio lavoro non potrà dar esca che alla sola noia, ma giammai alla mordacità ed alla critica: poichè eqli è cosa sì dappoco, che non varrebbe la pena di fermarvisi sopra neppure un istante, nè prenderne alcun pensiero, e però sarà la mia più gran ventura se valendo essa a far perdere qualche ora in una mera distrazione, possa esser poscia compatita, ed obliata.","NO"
"Filangieri_Francesco-Il_milite_ed_il_masnadiere-1853","Filangieri Francesco","Il milite ed il masnadiere","1853","IL MILITE ED IL MASNADIERE CAPITOLO 1. IL DANARO O LA VITA. Nella Provincia di Basilicata, e propriamente tra i due fiumi detti il Basiento, e la Salandrella evvi una vasta foresta nomata del Giavone.","NO"
"Filangieri_Francesco-Il_milite_ed_il_masnadiere-1853","Filangieri Francesco","Il milite ed il masnadiere","1853","Sul cader d'uno degli ultimi giorni del mese di giugno dell' anno 1744, mentre impetuoso vento agitava le centenarie quercie adorne delle verdi loro frondi; nell' atto che la pioggia cadeva giù a rovescio, e nel punto che lo spesso balenare, cui seguiva tosto il cupo muggir del tuono, rendeva sì spaventevole l'aspetto di quel bosco, che ben trista cosa era il trovarvisi in quel momento, due individui avvolti in ampii mantelli, per guarentirsi non dal freddo, ma dalla piova, cercavano di guadagnar via, spronando i loro cavalli, affin di giungere pria di sera al luogo in cui avevan fissato di passare la notte, e riposarsi dal disagio sofferto per lo Jungo, e disastroso viaggio da loro fatto in quel giorno.. Corbezzoli, (diceva il più attempato dei due) la giornata è cominciata malamente, e par che voglia finir peggio. Abbiam preso un bagno fuori stagione, e, per tutti i diavoli, i panni mi si sono attaccati addosso in modo che mi converrà scucirli, se me ne vorrò svestire. Non pensare, soggiungeva l'altro, un buon fuoco, ed una buona cena ci rinfrancheranno d'o gni disagio.","NO"
"Filangieri_Francesco-Il_milite_ed_il_masnadiere-1853","Filangieri Francesco","Il milite ed il masnadiere","1853","- Ma per cento saette, capitano, questa foresta, è spaventevole, ed io mi sento un formicolio per tutte le membra che mi dà l' idea di paura. Che so... si raccontano tante strane storie di questi boschi che non vorrei... Eh!","NO"
"Filangieri_Francesco-Il_milite_ed_il_masnadiere-1853","Filangieri Francesco","Il milite ed il masnadiere","1853","via, vergognati un vecchio soldato farsi girar pel capo tali puerilità nel punto in cui ha duopo di tutto il suo coraggio per... In tal momento lo scroscio orribile d'un tuono, cui era stato preceduto dal cader d' una saetta pochi passi lungi da loro, fece sostar di botto i cavalli, per lo spavento e nell' istante istesso circa dodici masnadieri, armati d'archibugi, di pistole, e di lunghi pugnali, sbucarono da una spessa fratta, che costeggiava ta strada e slanciatisi sui viandanti, afferrarono le briglie de destrieri per arrestarne il cammino; appuntando ai loro petti le carabine, con minaccie di privarli di vita se un sol atto ostile avessero tentato di fare. Su via, disse uno della masnada, di robusta complessione che pareva esserne il capo, smontate tosto da cavallo, e dateci il vostro danarò. 2 Il capitano, che da ora innanzi chiameremo col proprio suo nome di Riccardo, sembrandogli una viltà di cedere a quell' intimazione senza opporre resistenza alcuna, diede di piglio ad una delle pistole che stavano nelle fonde attaccate innanzi all'arcione, e già impugnata l'aveva sulla testa del brigante, che afferrato teneva il suo cavallo, allorchè il masnadiere che per lo primo parlato aveva, con ferrea mano gli fermò il braccio dicendogli : Ma che!","YES"
"Filangieri_Francesco-Il_milite_ed_il_masnadiere-1853","Filangieri Francesco","Il milite ed il masnadiere","1853","avete perduto il senno? Qul la vita si ricambia con la vita; nè credo che sarete sì sciocco da volerla perdere di sicuro. mentre noi siamo tanto disereti da lasciarvela, contentandoci che ne diate invece, tutto il denaro che avete indosso.","NO"
"Filangieri_Francesco-Il_milite_ed_il_masnadiere-1853","Filangieri Francesco","Il milite ed il masnadiere","1853","Riccardo visto che saggio era il consiglio, e che sarebbe stato stoltezza d' impegnarsi in una lotta con tanta disparità di forze, frend il suo sdegno, smonto di cavallo, e nell' incominciare a cavar dalle scarselle le monete che vi aveva riposte, disse : - Spiacemi di potervi dar po. chissimo, poichè io sono un uffiziale che vivo col soldo che mi vien largito dal mio Sovrano; ritorno or ora dal mio paese, ove sono stato per rivedere la mia famiglia pria di partire per la guerra, ed ora ritornava al mio reggimento; perchè prossimo è a spirare il congedo che mi fu accordato, onde la mia borsa è quasi vuota, ciò nonostante io ve la dono tal quale si trova, 1 8 assicurandovi che fuor di essa null' altro posseggo. Brutto affare, soggiunse il brigante, e volgendosi quindi al domestico di Riccardo disse - Quest' altro forse... Davvero, che vi siete ben diretto prese a dir subito Francesco, (che tal nomavasi il Trabante di Riccardo), Che mai può darvi un povero diavolo che vive col salario d'un soldato, il quale avendo un buon padro ne, che certo non lo abbandonerà ne' suoi futuri bisogni, non pensa mai al dimani, e che se per disgrazia mette qualche quattrino in serbo, lo và subito a depositare in mano del primo bettoliere che gli si para d' innanzi?","NO"
"Filangieri_Francesco-Il_milite_ed_il_masnadiere-1853","Filangieri Francesco","Il milite ed il masnadiere","1853","Ed ora proprio, per mille saette, la mia scarsella è asciutta come l'esca. Sì, ma voi, ripigliò il masnadiere indirizzandosi al capitano, diceste d'aver famiglia, quindi quel che non potrete dar voi, ce lo daranno i vostri parenti, e però rimarrete con noi in ostaggio, sino a che i vostri genitori od altri, a cui tosto scriverete, manderanno una buona somma affin di riscattarvi; e son sicuro che lo faranno presto, se non vorranno farvi perdere l' impiego, e forse peggio, non facendovi ritornare al vostro posto, spirato che sarà il permesso che vi è stato accordato, e così l' affare sarà aggiustato ottimamente. E vedendo che a tali detti, Riccardo fremeva di sdegno, soggiunse : Non vi disperate, la faccenda potrà essere sbrigata sollecitamente, se vi piace; frattanto, fra noi nulla vi mancherà, e siate pur sicuro, che vi saranno usati tutti i riguardi che vi si devono.","NO"
