"filename","nome","titolo","anno","chunk","DIL"
"Franco_Giovanni_Giuseppe-Sei_racconti-1866","Franco Giovanni Giuseppe","Sei racconti","1866","PROLOGO Oh che ti ho da proemizzare, lettore mio, sopra il Racconterello a cui metti mano? Forse già lo conosci, poichè uscì in pubblico ne' quaderni della Civiltà Cattolica: tuttavia, per dare un contentino alla benemerita società delle Letture oneste, che lo ristampa, voglio farti avvisato, che la presente edizione è di non poco migliore della prima.","NO"
"Franco_Giovanni_Giuseppe-Sei_racconti-1866","Franco Giovanni Giuseppe","Sei racconti","1866","Il testo è stato ricorretto, i capitoli meglio spartiti; e per giunta vi ho gittato una manatella di note. Alcuni miei benevoli avrebbero desiderato che vi spargessi in copia le osservazioni filologiche. Ma con qual pro?","YES"
"Franco_Giovanni_Giuseppe-Sei_racconti-1866","Franco Giovanni Giuseppe","Sei racconti","1866","dico io. Appunti così fatti riescono rose e gelsomini pei giovinetti vogliolosi di imparare, e malva e papavero per lettori vaghi di passatempo. Ora dicemi un angiolino, che queste carte cadranno in mano ai secondi anzi che ai primi, e però gli è onesto contentare i più.","NO"
"Franco_Giovanni_Giuseppe-Sei_racconti-1866","Franco Giovanni Giuseppe","Sei racconti","1866","Con tutto ciò non sono sì lungi dal rendermi alle richieste dei meno, che non abbia formato, così in aria, un mezzo disegno di appagare i giovani studiosi, quando, se piace a Dio, ristamperò questa scritturella con altre mie degli anni addietro. Questo, quanto all' edizione. Quanto all' argomento del Racconto, l' ho tratto da memorie storiche, e con intendimento di giovare ai lettori di ogni stato e di ogni condizione.","NO"
"Franco_Giovanni_Giuseppe-Sei_racconti-1866","Franco Giovanni Giuseppe","Sei racconti","1866","Se a te sembrasse che lo scopo mio sia in qualche modo raggiunto, e tu, per amore de' tuoi fratelli, fa di promuovere la lettura del libro; chè ne avrai da Dio mercede, e da me riconoscenza e gratitudine. Vivi felice. La serata dei folletti.","NO"
"Franco_Giovanni_Giuseppe-Sei_racconti-1866","Franco Giovanni Giuseppe","Sei racconti","1866","Il lento squillo delle campane annunziava a Napoli religiosa la serata dei morti: e intorno a don Agnello formicolava una chiassosa brigata, piovutagli in casa dalle abitazioni del vicinato, per recitarvi il rosario secondo il costume delle famiglie cristiane. Erano una buona frotta di garzoni e ragazze, il più, di tenera età, che solevano di tempo in tempo raccogliersi a veglia presso quell'uom dabbene, ad udirvi qualche storiella; la quale o per diritto o per rovescio era sempre piegata da don Agnello a moralità, da vantaggiarsene gli ascoltatori. I fattarelli erano per sè una potente calamita ad attirare quanti fanciulli avessero conoscenza di don Agnello, e fossero licenziati dai genitori di venirgli in casa.","NO"
"Franco_Giovanni_Giuseppe-Sei_racconti-1866","Franco Giovanni Giuseppe","Sei racconti","1866","Ma oltre il diletto dell'udito, vi trovavano anche spesso il solletico del palato. Quel giorno era corsa la voce che don Agnello imbandirebbe per la sera caldarroste a macca; una ragione di più, perchè i ghiottoncelli vi traessero in maggior numero, e più vispi del solito. Il buon vecchio sedeva gaio e giulivo presso il braciere, colla papalina a orecchioni calati, come se piovesse; teneva una pezzuola grande, a quadrettoni scuri, distesa sulle ginocchia; e a quando a quando nella tabacchiera badiale, posata sur una sedia lì vicino, pescava certi presoni di tabacco di Lecce, così maiuscoli da poterne sementare un solco.","NO"
"Franco_Giovanni_Giuseppe-Sei_racconti-1866","Franco Giovanni Giuseppe","Sei racconti","1866","Osservavano però i zitelli ch' egli aveva cura di sperderne quasi tre terzi prima che la polvere giugnesse al suo termine naturale: di che tutto era intorno coperto d'uno strato giallino la predella, il sedione, il corpetto e le lattughe, che larghe e rigogliose portava in sul petto all'uso antico. Egli era amorevolissimo de' fanciulli, e non pure sopportava le loro vivezze, ma godeva vederli sgallettare vispi e bagattellieri, purchè non portasser le baie sino a fare a sgrugnotti troppo sul serio. Soleva dire : nè ragazzi savii, nè vecchi matti, furon mai buoni a nulla: - e intendeva il proverbio con un miccin di sale.","NO"
"Franco_Giovanni_Giuseppe-Sei_racconti-1866","Franco Giovanni Giuseppe","Sei racconti","1866","Or mentre intorno a lui si menava un bruslo strepitoso, disse una vecchia fante, deponendo la conoc E io, se siete buoni, vi conterò Anzi no; della fata bianca piuttosto, rispose una vocina; chè i morti mi fanno paura. - Be', sarà della fata, se così volete: ma sst, fatela finita, ch' io non senta un zitto. - Il fatto sta, che non solo i garzonetti, ma gli altri ben anco sospesero il fiato per ascoltare la filastrocca della vecchia, la quale aveva nome di grande narratrice, e fioriva le sue leggende di quanto v'ha di più saporito napolitano su pel Mercato e pei chiassuoli del Lavinaio.","NO"
"Franco_Giovanni_Giuseppe-Sei_racconti-1866","Franco Giovanni Giuseppe","Sei racconti","1866","Cominciò coll'obbligato: - C'era una volta, - si continuò di lena, spaziando pei castelli incantati, pei sotterranei delle fantasime, pei nidi dei folletti e altre siffatte mirabilie, che pareva ad ogni tratto fosse appena all' esordio. Don Agnello che benigno era, lasciava quella taccola camminare a bell' agio, senza far motto: se non che a un punto del racconto eterno, sembrandogli che certi particolari pizzicassero un non so che di scorbutico, cominciò a duplicare le prese del tabacco, poi ad accelerarle, poi ad incalzare, che una non aspettava l'altra: e questo nell' almanacco di famiglia indicava impazienza. In fine la ruppe con uno schianto di tosse, e conchiuse: - Antonia (era il nome della vecchia) andate per le bruciate.","NO"
"Franco_Giovanni_Giuseppe-Sei_racconti-1866","Franco Giovanni Giuseppe","Sei racconti","1866","- No no; richiamaronsi dieci tra piccoli uditori e piccole uditrici, lasciatela terminare la storia. La finirò io, chè la so tutta per filo e per segno. Antonia, spicciati, chè l'ora si fa tarda.","NO"
"Franco_Giovanni_Giuseppe-Sei_racconti-1866","Franco Giovanni Giuseppe","Sei racconti","1866","La storia, udite bambini, finì così, che la figliuola del pastore, trovandosi nel castello col figliuolo del re, gli domandò la grazia del padre condannato a morte, offerendosi a morire in vece di lui: di che il principe prese ammirazione, e tolse a volerle bene, e sì tanto, che la si sposò e fecela regina. Figliuoli, chi è osservante dei genitori, non finirà mai male. Ma è poi vero tutto ?","YES"
"Franco_Giovanni_Giuseppe-Sei_racconti-1866","Franco Giovanni Giuseppe","Sei racconti","1866","Che? le son favole: ma io vė ne vo' raccontare una, che avrà più sugo assai, e che è verissima. Ma che la sia lunga.","YES"
"Franco_Giovanni_Giuseppe-Sei_racconti-1866","Franco Giovanni Giuseppe","Sei racconti","1866","Dovete sapere che nei tempi addietro fu un vecchio savio, prudente, pratico, insomma un secondo Salomone; e abitava entro una capanna sopra una montagna. La gente d'ogni parte traeva a lui per consiglio, ed egli, senza confondersi di nulla, trovava partiti per tutti e per tutto, che riuscivano infallibili e maravigliosi. Ora avvenne che una povera donna aveva una vacca grassa, e la notte tenevala custodita nella stalla, ed essa dormiva nella stanza di sopra.","NO"
"Franco_Giovanni_Giuseppe-Sei_racconti-1866","Franco Giovanni Giuseppe","Sei racconti","1866","Alla mattina scendeva a mugnerla: il latte era copioso, e la donna ci campa va la vita. Un bel mattino la vacca non rende più latte. Sarà un caso, disse la donna sospirando; ne darà dimani.","YES"
"Franco_Giovanni_Giuseppe-Sei_racconti-1866","Franco Giovanni Giuseppe","Sei racconti","1866","Il dì seguente e il giorno poi fu lo stesso: e di più osservò che la stalla era soqquadrata un di peggio dell' altro. Una volta la rastelliera si tro vava capovolta, un'altra il fieno attaccato sotto la coda dell' animale, un'altra le corna eran inghirlandate di trecce di paglia e di coccole di stabbio. Che sarà?","YES"
"Franco_Giovanni_Giuseppe-Sei_racconti-1866","Franco Giovanni Giuseppe","Sei racconti","1866","il folletto, pensò la donna, il quale non pago di struggere. il latte, bindolo ch'egli è dispettoso, aggiunge le beffe al danno. Che farci?","YES"
"Franco_Giovanni_Giuseppe-Sei_racconti-1866","Franco Giovanni Giuseppe","Sei racconti","1866","andiamo al sapiente della montagna. — Si mette in via di buon mattino, e va e va. Il vecchio udi la trista novella e rispose: La stalla per essere al coperto dagli spiriti vagabondi, prima cosa dev' essere munita di una buona porta.","NO"
"Franco_Giovanni_Giuseppe-Sei_racconti-1866","Franco Giovanni Giuseppe","Sei racconti","1866","- E c'è; soggiunse la donna. C'è anco una finestra ? Si certo, ma non si può chiudere, altro che accostando la imposta.","NO"
"Franco_Giovanni_Giuseppe-Sei_racconti-1866","Franco Giovanni Giuseppe","Sei racconti","1866","- Or bene, conchiuse il vecchio, io vi comporrò un amuleto gastigafolletti di mirabile bontà. Togliete qua questa polizza: sospenderetela con tre agugliate di refe, sì ch'ella batta giusto di sopra al vano della finestra: ad ogni terzo d'ora vi converrà affacciarvi di sopra, ed esaminare se il vento per avventura non l'avesse spostata. In questo badate a tenere spento il lume, e socchiuse le imposte affinchè nessuno vi vegga: perchè dove il folletto v' avvisasse alla finestra, la fatagione dell' amuleto è ita in fumo.","NO"
"Franco_Giovanni_Giuseppe-Sei_racconti-1866","Franco Giovanni Giuseppe","Sei racconti","1866","La donna eseguì per l'appunto tutta la ricetta: ed ecco a notte fitta accostarsi gatton gattone un cotale del vicinato, con un secchiello in mano, spingere le imposte, porre il secchiello sul davanzale e scavalcare bravamente il muro, e poco di poi fare altrettanto in direzione opposta, e portarsene il latte. La donna non fiato durante quella tresca; ma il dimani ne pose querela al magitrato, e d'allora in poi nè la stalla nè la mucca ebbero più molestia di folletti. - Oh, e che bisogno di una carta per cotesto?","YES"
"Franco_Giovanni_Giuseppe-Sei_racconti-1866","Franco Giovanni Giuseppe","Sei racconti","1866","che c'era nella scritta? - Una bella parola: Vigilanza! - Lo volevo dire anch' io (entrò qui Nicola, un giovinetto in su i diciotto anni, figliuolo di don Agnello); coteste tregende di folletti, di fate, di diavoli, di morti che vengono a far le berte ai vivi, le son tutte fanfaluche da far veder le lucciole agl' ignoranti.","YES"
"Franco_Giovanni_Giuseppe-Sei_racconti-1866","Franco Giovanni Giuseppe","Sei racconti","1866","E tu, omino mio bello, rispose a Nicola il padre, tu vai più là del bisogno. Se mi dicessi, che non si vuol essere di que' credenzoni del terzo cielo, che per ogni po' poco di novità sognano le fattucchierie e la jettatura 1, saresti giusto al punto : ma quando vai oltre, sino a disdire qualsivoglia commercio degli spiriti maledetti cogli umani spiriti militanti in terra, e tu ne vuoi troppo. Or sappi, che nei paesi sottoposti alla idolatria, la magia e il culto del demonio che appare ai suoi settatori e fa malefizii, è cosa indubitata e co 1 Jettatura dicono nel Napolitano invece di malia: ma giusta le apprensioni del volgo è una specie di fascino particolare, come un influsso malefico che raggia specialmente per gli occhi e pel naso, e talora anche contro la volontà del jettatore.","NO"
"Franco_Giovanni_Giuseppe-Sei_racconti-1866","Franco Giovanni Giuseppe","Sei racconti","1866","mune assai, per testimonianza dei missionarii: e son gente, sai, che non beve grosso, per quanto si pare dalle loro imprese e dalle lor lettere. E anco nella nostra vecchia Europa di diavolerie non c'è carestia, e ti so dire che ne corre in buon dato, proprio di quelle che sembrano leggende delle fate e sono storia di noi, che nel nostro secolo vogliamo con tanta sicumera prenderci festa delle grullerie dei buoni vecchi. Nicola era un figliolaccio di pasta reale; con tutto ciò, siccome allora aveva cominciato il suo second' anno di filosofia, si figurava che una patina di spregiudicato gli appiccicasse un non so che di decoro virile.","YES"
"Franco_Giovanni_Giuseppe-Sei_racconti-1866","Franco Giovanni Giuseppe","Sei racconti","1866","Non osò contraddire al padre apertamente, e si contentò di terminare le sue riflessioni con un : Mi pare impossibile. - E don Agnello continuò : - Quando avrai qualche annetto di più in sul gobbo, leggerai le storie delle società segrete e gli studii di quel dottissimo scrittore tedesco, che è il Görres, e ti persuaderai allora che il diavolo bazzica anche troppo a questo mondaccio. Oh che vuoi altro?","NO"
"Franco_Giovanni_Giuseppe-Sei_racconti-1866","Franco Giovanni Giuseppe","Sei racconti","1866","e i fatti stessi, che ci vengono ora su pei giornali di America, degli spiriti picchianti e dei mediums, non son diavolesimi finissimi di ventiquattro carati? Oh va va, che don Chiappino ha i suoi divoti così a' nostri di, come a' tempi dei vecchi Dottori della Chiesa e dei Vangelisti, che ne fecero memoria per lo passato. Durante cotali filosofemi del patriarca don Agnello i fanciulli avevan ricominciato il loro passeraio, e poco stante entrava l'Antonia, recando sopra un vassoio grande tre piatti.","YES"
"Franco_Giovanni_Giuseppe-Sei_racconti-1866","Franco Giovanni Giuseppe","Sei racconti","1866","- Ecco le mondine, gridò, le ballotte, i vecchioni, le arrostite, ogni generazione di castagne, e sì belle, che meglio non le fa il bruciataio col tamburo 1. E i zitelli balzare festosi e fare i complimenti ad Antonia, e più ancora dare il benvenuto alle castagne. Ma don Agnello: - Un momento!","NO"
"Franco_Giovanni_Giuseppe-Sei_racconti-1866","Franco Giovanni Giuseppe","Sei racconti","1866","prima è da recitare il Deprofundis pei poveri morti. Lesti, in ginocchio: De profundis... Un patriarca.","NO"
