"filename","nome","titolo","anno","chunk","DIL"
"Frescura_Attilio-L_isola_dei_fiori-1921","Frescura Attilio","L isola dei fiori","1921","﻿I. La vittoria vera è del vinto. L’isola dei morti veneziani si velava già nella prima luce del turchino caldo della sera quando Leone, fermo innanzi al cancello che racchiudeva coloro che risorgeranno, si curvò sul piccino per togliergli il carico dei fiori che egli serrava a stento con le piccole braccia conserte.","NO"
"Frescura_Attilio-L_isola_dei_fiori-1921","Frescura Attilio","L isola dei fiori","1921","— Vuoi dare al papà, Renato? — Il piccino, ripigliando più in fretta il cammino quasi per sfuggirgli, protestò; — No, no... Li voglio portare io alla mammina. Leone sorrise un poco e chiese, incamminandosi: — E il tuo papà non dovrà adunque portare neanche un fiore a mammina?","NO"
"Frescura_Attilio-L_isola_dei_fiori-1921","Frescura Attilio","L isola dei fiori","1921","— Quando saremo là, — rispose Renato — ti darò il fiore più grande; gli altri, tutti io. — Leone sorrise ancora, seguendo il piccino che camminava spedito per l’ampio viale tenuto a ghiaia minuta, fiancheggiato di marmi e di aiuole. Qua e là, nel biancore delle tombe, qualche figura nera oscillava nella bisogna pietosa; in fondo una distesa di verde incolto attendeva i suoi morti; ovunque, sui marmi e attorno alle croci, un fulgore smaltato di luci armonizzava la gioia dei fiori.","NO"
"Frescura_Attilio-L_isola_dei_fiori-1921","Frescura Attilio","L isola dei fiori","1921","Fiori, fiori... ovunque, ovunque... Com’è gaia la morte per i vivi, che la vestono di corolle, la cingono di verde, la fermano in legni lucidi serrati da borchie dorate e la suggellano di marmi! Il piccino che beveva con l’occhio avido tutta quella bellezza colorata domandò, svoltando per lo stesso sentiero che portava alla tomba nota: — Paparino: morirai anche tu? — Anch’io, Renato — rispose Leone.","YES"
"Frescura_Attilio-L_isola_dei_fiori-1921","Frescura Attilio","L isola dei fiori","1921","— Perchè paparino? — Perchè tutti muoiono. — Tutti?","NO"
"Frescura_Attilio-L_isola_dei_fiori-1921","Frescura Attilio","L isola dei fiori","1921","Io no, non muoio. — E perchè no? — Perchè non voglio.","NO"
"Frescura_Attilio-L_isola_dei_fiori-1921","Frescura Attilio","L isola dei fiori","1921","Leone sorrise ancora, godendo la dolcezza delle piccole grandi parole del bambino. Continuarono un poco per lasciare il passo a una coppia che rideva forte. Il piccino disse ancora: — Paparino: quando morirai ti porterò tanti fiori belli, come questi che portiamo a mammina.","NO"
"Frescura_Attilio-L_isola_dei_fiori-1921","Frescura Attilio","L isola dei fiori","1921","— Sì — disse semplicemente Leone curvando il capo quasi per rendere grazie. — Quando morirò io — continuò il piccolo Renato, già dimentico del suo proposito — quanti me ne porterai tu dei fiori? — Tu non morirai — disse Leone con una stretta al cuore.","NO"
"Frescura_Attilio-L_isola_dei_fiori-1921","Frescura Attilio","L isola dei fiori","1921","— Sì, che morirò. Voglio morire — replicò Renato. — Ma non hai detto prima che non vuoi?","NO"
"Frescura_Attilio-L_isola_dei_fiori-1921","Frescura Attilio","L isola dei fiori","1921","— Sì, ma adesso voglio. — Sta bene. Ma morirai dopo di me.","NO"
"Frescura_Attilio-L_isola_dei_fiori-1921","Frescura Attilio","L isola dei fiori","1921","Molto dopo di me. — No, prima — insistè il piccino — prima. — Leone si curvò su di lui, cercò il suo viso fra i fiori, gli baciò la fronte umida per la fatica pietosa.","NO"
"Frescura_Attilio-L_isola_dei_fiori-1921","Frescura Attilio","L isola dei fiori","1921","Disse: — No, Renato... non devi, per non dare tanto dolore al tuo papà. — Una rosa rossa, aperta, quasi morente, si staccò dall’abbraccio, cadde sulla ghiaia. Il piccino si curvò per raccoglierla, ma altre rose traboccarono, sparpagliandosi sulla ghiaia candida.","NO"
"Frescura_Attilio-L_isola_dei_fiori-1921","Frescura Attilio","L isola dei fiori","1921","— Ah, paparino! — esclamò Renato tutto disperato. Leone, curvo, lo aiutò a raccogliere i fiori che il piccino serrò con gioia tra le braccia.","NO"
"Frescura_Attilio-L_isola_dei_fiori-1921","Frescura Attilio","L isola dei fiori","1921","Si incamminarono nuovamente; svoltarono ancora per uno stretto sentiero appena segnato nel terreno arso dal sole. — Ecco mammina! — disse il bambino scorgendo il marmo su cui agonizzavano dei fiori.","NO"
"Frescura_Attilio-L_isola_dei_fiori-1921","Frescura Attilio","L isola dei fiori","1921","— Ecco mammina. — ripetè Leone con voce che tremava. Poi tolse dalla tomba i fiori avvizziti e il piccolo Renato depose il carico odoroso; le rose rosse formarono allora una nota di gioia sul candore del marmo.","NO"
"Frescura_Attilio-L_isola_dei_fiori-1921","Frescura Attilio","L isola dei fiori","1921","Il piccino chiese accennando ai fiori appassiti: — E questi, dove si mettono? — Si buttano via — rispose Leone aprendo il cespo delle rose deposte. Ma Renato girò lo sguardo attorno, poi disse: — Paparino... Li poniamo su questa tomba accanto, che non ha fiori?","NO"
"Frescura_Attilio-L_isola_dei_fiori-1921","Frescura Attilio","L isola dei fiori","1921","Ogni volta che siamo venuti non ne ho mai visti lì, dei fiori... — Sì, Renato, dà a quel dimenticato anche questa rosa fresca. È carità. — Il bambino, lieto di poter fare qualcosa, portò sulla tomba sconsolata i fiori morenti; la rosa sanguigna, posta nel mezzo, sembrava la carità della giovinezza che illumina un tramonto.","NO"
"Frescura_Attilio-L_isola_dei_fiori-1921","Frescura Attilio","L isola dei fiori","1921","Poi, con l’incoscienza della sua età, curiosò tra tutti i fiori dei morti. Leone curvò il capo per raccogliere la preghiera, invocando la povera creatura, morta con uno spasimo muto negli occhi che invano avevano fissato la porta, attendendo che egli l’aprisse. E gli sembrò allora che ella giungesse dal suo mondo sconosciuto per accogliere il giuramento che le rinnovava, accanto al suo piccino.","YES"
"Frescura_Attilio-L_isola_dei_fiori-1921","Frescura Attilio","L isola dei fiori","1921","«Non temere — pensò — mia buona morta... Amerò questa creatura come se fosse mia, anzi, nostra, e frutto della gioia di amare, che ti ho contesa, e che tu non hai trovato — io lo so — nel disperato tentativo in cui hai lacerato le tue povere carni. Le carni solo; chè l’anima io avevo già troncata con mani crudeli, mia povera dolce compagna che amo nella morte... «Ecco: io parto ancora, ma tu sai perchè; una mano indifferente ti porterà i fiori del mio ricordo, perchè la primavera non muoia; ritornerò nella grande città, non più in cerca di una gioia, non più premuto da una inquieta ambizione, ma per spianare la strada a questo tuo figlio, il quale — per ascoltare la voce di Dio — tengo accanto al mio focolare, di cui veglio la fiamma.","NO"
"Frescura_Attilio-L_isola_dei_fiori-1921","Frescura Attilio","L isola dei fiori","1921","«Tu, frattanto, dormi in pace, chè Iddio ti ha donato la eterna requie e la sua luce perpetua. «Rifarò la via sonante che si snoda dalla nostra laguna, corre tra campagne quiete, trabocca nella grande città dagli alti comignoli fumosi, quella che un giorno lontano ho tentato nella ricerca della gioia, quella che mi ha trascinato, premuto dal male, alla ricerca ignobile di una passione torbida, quella che mi ha gittato, ignaro e buono, nel vortice sanguigno della guerra, quella che non ho compiuto per ascoltare il tuo appello disperato, indugiandomi nel ritorno della passione... Mia creatura umile e devota che io ho gettato nel baratro dal quale, di roccia in roccia di spuntone in spuntone, sei salita sino a Dio, ecco: io curvo il capo e di curvarmi sono lieto, perchè la vittoria vera è del vinto. Ma tu, dal profondo, invoca Iddio che esaudisca il mio voto e sollevi l’anima mia, nella sua parola, chè in Dio solo ed eterno io spero.","YES"
"Frescura_Attilio-L_isola_dei_fiori-1921","Frescura Attilio","L isola dei fiori","1921","Così sia». Si rialzò, cercò con lo sguardo il piccolo Renato che ammucchiava della ghiaia, sognando di costruire dighe sonanti e ponti e murature. Il camposanto, quasi deserto nella prima sera, smorzava nella luce raccolta la troppa gioia di tutto il suo biancore, di tutto il suo verde, di tutti i suoi fiori.","NO"
"Frescura_Attilio-L_isola_dei_fiori-1921","Frescura Attilio","L isola dei fiori","1921","Poco discosto una donna, coperta dal magnifico scialle veneziano, pregava con lo sguardo in alto, offrendo alla tenue luce del sole il volto magro e bellissimo. Un uomo, più discosto, curiosava tra le tombe, curvandosi sui marmi, per leggere le pietose menzogne dei vivi che perdonano ai morti. Su tutte quelle tombe, su tutti quei morti, il segno romano di infamia, nobilitato da un uomo chiamato Gesù di Nazareth apriva le gran braccia ai viventi, poggiando sulla pace dei morti.","NO"
"Frescura_Attilio-L_isola_dei_fiori-1921","Frescura Attilio","L isola dei fiori","1921","In fondo, presso il verde tenero che attendeva il tormento del badile per rinserrarne degli altri, una lunga distesa ordinata di croci, austere e semplici, ricordava i battaglioni inghiottiti dalla guerra. Fortunati costoro! Avevano trascinato negli ospedali bianchi della città marinara la inconscia agonia; qui la riconoscenza dei vivi aveva coperto la carne straziata con un drappo tricolore, allineandoli uno accanto all’altro, in più durevole fraternità.","NO"
