"filename","nome","titolo","anno","chunk","DIL"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","LA FONTE DI PIETRARSA __________________ Lo riconobbi da lontano.","NO"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","Lo riconobbi dal suo cavallino bianco. tanto fido e trottatore, e dall'arsenale di pertiche, di biffe e di altri arnesi del mestiere che lui, ingegnere del Comune, si affastellava sul barroccino tutte le volte che aveva da battere la campagna per affari della sua professione. Quando mi fu vicino gli feci un cenno con la mano, e lui rallentò il trotto e si fermò per il saluto e per la chiacchierata indispensabile quando due persone di conoscenza s'incontrano su per i monti, in mezzo ai boschi e in luoghi solitari.","NO"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","— Lei torna dalla strada nuova dell'Acquaviva ! — No. Vengo da Pietrarsa dove mi son trattenuto due giorni per quella benedetta fonte....","NO"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","— Ah, a proposito! Siamo ancora a nulla? — Sì; finalmente è tutto sistemato: livellazioni, espropriazioni, permesso della Provincia.... è fatto tutto; ho sfilato i fondamenti, ho dato gli ordini all'accollatario, e lunedì, salvo che ce lo impedisca la stagione, si mette mano al lavoro.","NO"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","— E lei, ingegnere, ci crede proprio! Crede proprio sul serio che la fontana sarà fatta? — Per bacco!","NO"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","Che impedimenti vuole che saltino fuori al punto nel quale siamo? — Si vede che lei, caro ingegnere, mi scusi, veh! si vede che lei non conosce ancora bene che panni vestono i buoni villici di questi poggi remoti.","NO"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","— Ma, abbia pazienza, cotesto è un pessimismo.... — Ebbe'; oggi siamo agli otto di marzo. Scommettiamo che fra un anno il primo mattone della fontana non è stato ancora","NO"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","murato. — Le rubo la scommessa; ma scommetto. — Che cosa scommettiamo!","NO"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","— Una bella pipa di radica di scopa. — Va bene; va bene la pipa di scopa. — Il dì otto di marzo.","NO"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","— Il dì otto di marzo. Siamo d'accordo; ma è una pipa rubata. — Sarà quel che sarà.","NO"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","Dì otto di marzo. — Pipa di radica. E stipulammo il contratto con una risata e una stretta di mano.","NO"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","— E lei si trattiene molto quassù? — No; forse un paio di giorni. Giovedì sera sarò di ritorno a casa.","NO"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","Anzi, ingegnere,lei potrebbe farmi un gran favore. Se stasera vede il mio fratello, mi faccia il piacere di dirgli che quella ricevuta, che ho cercato tanto stamani prima di partire, la troverà di certo sotto a quel libro giallo nella cassetta a destra della scrivania. — Lei sarà servito puntualmente.","NO"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","Dunque ?.... — Il dì otto di marzo! — Il dì otto di marzo!","NO"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","A rivederci, e buona passeggiata. — Salute, ingegnere. E si ricordi di quella ricevuta, e....","NO"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","— E della pipa di radica! Dette in un gran ridere e riprese la corsa, a martinicca serrata, giù per la china tortuosa. Allontanatosi il rumore delle ruote e il cigolìo della martinicca, cominciai a sentire lo scroscio d'una cascata d'acqua lontana.","NO"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","Era il famoso sbocco d'una quantità di polle ricchissime, le quali, venendo dall'alto dei poggi e scorrendo quasi alla superficie sotto il paese di Pietrarsa, facevano tutte capo in quel punto, pochi metri sotto la via, e, con un largo gètto, di lì si scaricavano sonore nel sottoposto torrente. Lo sbocco di quelle acque era inaccessibile; il paese soffriva la sete, e il Comune deliberò, fai fai, l'allacciamento delle vene superiori e la costruzione della fontana. La deliberazione era stata accolta con suono di campane, musica e sbandierate per tutto il giorno, e gran baldoria di lumi e di fiammate, la sera.","NO"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","Non c'è dubbio, pensavo; non manca altro che metter mano ai lavori. Ma fra un anno, caro ingegnere, voi pagherete, e io fumerò alla vostra bella pipa di radica di scopa. Il paese di Pietrarsa, un piccolo borgo con quattrocento abitanti circa, si stende tutto lungo la via provinciale, senza alcuna strada traversa.","NO"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","Di sopra, il monte ripido; di sotto, il precipizio in fondo al quale va a frangersi la cascata. Il paesello ha tre punti che chiameremo centrali: a un capo la chiesa, all'altro un piazzaletto dove trovasi l'unico albergo e le rimesse della posta; nel centro il palazzotto comunale, un caffè e le botteghe più importanti. Naturalmente fu scelto il mezzo del paese come più comodo a tutti, e lì, un rientro di muro accanto al palazzo comunale, facilitava i lavori e si prestava ad accogliere con decoro la fontana che, con fregi barocchi e ceffi di leoni spaventosi, aveva ideato e disegnato il mio ingegnere della pipa.","NO"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","Dopo un'ora di cammino, arrivato a Pietrarsa quasi a buio, mi accorsi subito che gli eventi precipitavano e che gli affari andavano assai peggio di quello che avrei potuto supporre. Gli usci, le finestre e tutte le botteghe del centro erano chiuse; e un grosso assembramento di persone, armate di quei picchetti, di quelle biffe e di quei pali che l'ingegnere aveva piantati la mattina, dopo chi sa quante fatiche e pentimenti, urlavano sotto le finestre del sindaco. Erano gli abitanti dei due punti estremi del paese i quali, alleati per l'occasione, protestavano di non volere la fonte nel centro.","NO"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","E i più violenti, brandendo alti i pali e le biffe, minacciavano legnate, morte e distruzione a chi si fosse azzardato di murare anche una pietra sola nel rientro di miro accanto al palazzo comunale. Le donne e i ragazzi erano i più feroci. Il sindaco si provò tre volte a persuaderli dalla finestra; ma la sua voce fu soffocata sotto un uragano di urli, finchè non ebbe promesso di sospendere l'incominciamento dei lavori e di scrivere alla Prefettura.","NO"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","La mattina dopo, tutto era ritornato nella calma; tutti avevano ripreso le loro faccende, e soltanto l'accollatario della fonte girava stralunato per il paese, con una gran pèsca in un occhio prodotta da una legnata ammollatagli, non sa nè anche lui chi ringraziare, quando jersera, in quel trambusto, si trovò a dire la sua. In fin dei conti, considerata bene la cosa, i protestanti non avevano torto. Sempre ogni cosa per comodo dei signori!","YES"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","La fontana nel mezzo, eh! perchè nel mezzo ci sta il sindaco, tre assessori e quel porcone del sor Girolamo! Bene, eh?","YES"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","Tutti i lampioni gli hanno a cavare di cima e di fondo, e piantarli tutti davanti alla spezieria! Hanno a lastricare solamente lì, se voglion far bene! Non gli basta il vino, e vorrebbero anche l'acqua!","YES"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","La fonte lì, il telegrafo lì, la farmacia lì, la balia l'hanno voluta lì, e lì ci avrebbero a portare anche un serpente che s'avventasse a mangiargli il core a tutti quanti sono! Legnate! schioppettate!","YES"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","veleno!... E noi poveri si creperà. E la chiesa non conta nulla?","YES"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","E il povero Gambacciani, che ha da lavare le diligenze tutti i giorni e ha tre gubbie di muli nella stalla, dovrebbe andare fin laggiù a pigliar l'acqua?! Ma il sindaco è un galantuomo, e lui, vedrete, accomoderà ogni cosa. Speriamo!","YES"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","Questi, press'a poco, i discorsi nel caffè e dal tabaccaio; ma, alla peggio, in capo a due giorni, tutti si abbonacciarono, e, quando me ne venni per tornare a casa, nessuno si sarebbe accorto che poche ore avanti s'era scatenata in paese quella po' po' di tempesta. Intanto l'acqua della sorgente che si scaricava impetuosa giù nella profondità del dirupo, scrosciava con tanto rumore da dare perfino noia alla figliola del signor Girolamo, la quale da due mesi, Dio glielo perdoni, studiava al pianoforte il valtzer della Traviataper un'accademia a benefizio degli Ospizj marini. Quando fui a metà di strada per tornarmene a casa, incontrai l'ingegnere il quale, facendo sfegatare il suo povero cavallino su per quelle salitacce, veniva verso Pietrarsa.","YES"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","Aveva un diavolo per capello. Mi provai a rammentargli il dì otto di marzo e la pipa di radica; ma non agguantò la conia. Mi salutò, fece le viste di ridere e, scusandosi, tirò avanti per la sua strada.","NO"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","Passavano i mesi. E in quel tempo io vedevo spesso alla sfuggita l'ingegnere, il quale, quando poteva farlo senza dar nell'occhio, scantonava e mi scansava come un creditore molesto. Intanto a Pietrarsa gli affari andavano di male in peggio.","NO"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","Il Consiglio comunale deliberò, e la Prefettura approvò, che la fontana fosse costruita sulla piazzetta delle rimesse, riconoscendo quello il luogo più adatto per il comodo della popolazione. Ma allora quelli del centro e della chiesa ripeterono le solite scenate, e tutto fu nuovamente sospeso e accomodato con una gran bastonatura all'accollatario, il quale questa volta si dovè mettere a letto e uscirne dopo un mese per andare, tutto fasciato, al debà. Andai per curiosità alla prima seduta del tribunale, dove trovai l'ingegnere chiamatovi come testimone; e allora non potè nè scantonare nè scansarmi.","NO"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","Era indemoniato. — Venti disegni, questi assassini! cento viaggi m'avranno fatto fare questi malfattori!","YES"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","e nessuno paga gli straordinari! M'hanno rovinato tutti gli strumenti, ho dovuto vendere il mi' povero cavallino e son vivo per miracolo! Ma oggi mi vendico!","YES"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","Ma oggi mi vendico, dovessi anche rimetterci la paga, la reputazione e la pelle! Oggi mi vendico! Cercai di calmarlo, ma fu inutile.","YES"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","Smanacciando e sbatacchiandosi il cappello nelle ginocchia, mi lasciò per entrare nella stanza dei testimoni, dicendomi di sull'uscio: — Lei avrà la pipa; ma con questa canaglia oggi mi vendico! Come si svolgesse il processo non lo so, perchè gli affari m'impedirono di tenerci dietro; ma so che ci furono tre condannati: Il sor Girolamo a quindici giorni di carcere per ingiurie al pubblico dalla finestra; l'accollatario a quattro settimane per eccesso di difesa, e l'ingegnere a trecento lire di multa per contravvenzione alla legge sul bollo. — Ma perchè, santo Dio!","NO"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","— osservò un ombrellaio ambulante, chiacchierando una sera nel caffè, — perchè non vi mettete d'accordo e costruite, invece d'una sola fontana dispendiosa, tre modeste fontanelle nei tre punti contrastati del paese ? La fece bona! — Sperperare a quel modo i quattrini del pubblico quando una fontana sola bastava!","NO"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","Eppoi perchè disonorare Pietrarsa con tre indecenti pioli di sasso quando ci sono i mezzi per averne una di marmo coi delfini, coi leoni e ogni cosa? Voi non siete nativo di questi posti, e vi si compatisce. In quel momento, la cascata, presa da un'improvvisa onda di vento, mandò uno strepito gaio come scoppio di risa d'una moltitudine lontana.","YES"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","Anche la seconda deliberazione del Comune andò, naturalmente, all'aria; e dopo molti, molti mesi venne la terza. Venne, cioè, quella buona, quella vera, quella definitiva per conciliare gl'interessi di tutto il paese; una deliberazione giusta, ponderata e distesa con mirabile chiarezza d'argomentazione ed eleganza di forma dal consigliere Balestri; una deliberazione che, riandando scrupolosamente la storia dei fatti, terminava inneggiando alla concordia dei popoli e alla santa religione dei nostri padri. Fu deliberato di costruire la fontana in faccia alla chiesa.","NO"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","Prima che questa deliberazione tornasse al Comune col visto della Prefettura, gli abitanti del centro e quelli della piazzetta delle rimesse, s'erano già trovati d'accordo: — Se murano un mattone davanti alla chiesa, segue un macello! La deliberazione tornò approvata; ma nessuno si fece più vivo. Il Sindaco dette le dimissioni per procurarsi la soddisfazione d'essere rieletto, e il Segretario fu lesto a mettere tutte quelle carte in uno scaffale a dormire.","YES"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","Dell'accollatario non se n'è saputo più nulla. L'ingegnere ha da pensare alla sua famiglia dopo la multa che ha dovuto pagare, e ha da imporsi privazioni d'ogni genere per estinguere il debito di parecchie centinaia di lire, che gli è toccato contrarre per accomodature e per acquisto di nuovi strumenti. Son passati due anni, e della pipa non si è più parlato.","YES"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","Lui sta zitto; io non ho il cuore di rammentargliela. Intanto il paese di Pietrarsa soffre la sete. Ma nelle sere d'agosto, quando le fronde dormono raggrinzate sui rami, e le cicale stesse tacciono spossate, è un gran conforto all'arsura lo scroscio della cascata che larga e perenne, rumoreggiando si perde nelle profondità del dirupo.","NO"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","IL BATTELLO1 __________________ Dopo una nottata d'inferno, nevica sempre.","NO"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","I faggi, nudi e stecchiti, agitandosi sotto la furia del vento, si frustano tra loro con le cime, mandando uno strepito secco come di scheletri combattenti nel buio per l'aria. Fra poco spunterà il giorno. Lo dice quell'albore squallido che si affaccia laggiù in fondo dalla parte di levante; ma che trista giornata si prepara per i taciturni abitatori della montagna!","YES"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","La scala del misero albergo risuona ai colpi d'un passo grave e ferrato. — O che volete andare in giro anche stamani, Battello, — domandò dal letto la padrona.— Io dico che siete impazzato! — O che oggi non si mangia, Mariannina?","NO"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","Dio ci assista. Sempre avanti, Savoia! E con questa risposta fra il desolato e il burlesco, il Battello, curvo sotto il peso del suo grosso carico di mercanzia, si sbacchia l'uscio dietro le spalle e via, nel buio, fra la neve che lo accieca e il vento che lo tribola, frugandolo fino alla carne, attraverso agli strappi della giacchetta sempre umida dalla pioggia dei giorni passati.","YES"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","— Donne, il Battello! — grida quel martire, passando vicino alle prime casette affumicate. Nessuno risponde.","NO"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","Dormono. — Avanti, avanti! — Sul far del giorno, la bufera rinforza e il freddo diventa più acuto.","NO"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","Il Battello non se ne accorge. Anzi ha caldo, anzi è sudato, e la fronte gli cola a goccia a goccia. — Avanti, avanti!","NO"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","— La salita è di una asprezza diabolica; l'andare è un pericolo, fra la neve sempre più alta e insidiosa, su per quei dirupi e per quei viottoli tracciati dalle pecore lungo gli orli delle forre profonde. Ecco un'altra casetta! — Donne, il Battello.","NO"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","— Ce n'avete salacche. Battello? — domanda una donna dallo spiraglio d'una finestra.","NO"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","— Sì; levate ora dal mare. — O matasse di cotone? — Anche quelle.","NO"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","Specialità della casa; prodotti di Parigi. Dopo un quarto d'ora il primo affare è fatto, e il Battello riprende la via, tastandosi nelle tasche della giacchetta i tre soldi e le due uova che ha guadagnato. Anche le uova!","YES"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","perchè lui, dove i suoi clienti non abbiano da pagarlo con danari, si adatta a far cambio della merce con polli, cacio, agnelli, castagne e che so io. Ma le uova sono pericolose. La settimana passata, rotolando in un burrone, se ne schiacciò addosso una dozzina, e tutto il guadagno della giornata andò in fumo.","YES"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","La luce del giorno è finalmente comparsa; una luce bianca e diffusa come in una notte di luna. La neve è quasi cessata, ma il vento si scatena più indemoniato che mai, e il freddo si fa sempre più intenso. Dalla fronte del Battello cola abbondante il sudore che, scorrendogli a gore per la faccia, si rappiglia in gelo all'estremità della barba.","NO"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","— Avanti, avanti! — La neve del terreno, che già arriva al ginocchio, comincia a indurire. Fra poco, se il freddo aumenta ancora, sarà capace di reggere alla superficie il peso del suo carico e quello del suo carico di mercanzia.","YES"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","— Allora sarà un andare da principi, — pensa rallegrandosi il Battello. — Dio ci assista! Dio ci assista!","NO"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","Sempre avanti, Savoia! — Era il suo grido di guerra favorito. Ma quelle invocazioni si dispersero, non ascoltate, fra gli urli della bufera che, dopo una breve sosta, incominciò a turbinargli dintorno più minacciosa e più folta.","NO"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","Girò tutto il giorno, facendo sentire ad ogni casa il suo grido: — Donne, il Battello — che da ultimo pareva un lamento; cadde più volte, rovesciando la merce del corbello; si riposò sfinito a ridosso dei castagni spaccati; soddisfece la fame con una coda d'aringa e si dissetò succhiando la neve. — Donne, il Battello.... Donne, il Battello.... — A notte fitta, la padrona del l'alberguccio dove era alloggiato il Battello, e un gruppo dei suoi conoscenti, stavano seduti davanti al fuoco, parlando impensieriti di lui e della sua famiglia lontana.","NO"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","— Eccolo! — gridò a un tratto la padrona. — È lui, è lui!","NO"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","— Questa, sì, è la sua voce! — gridarono gli uomini. Il Battello, appena rientrato nella via maestra e visto ormai assicurato il suo ritorno, veniva avanti cantando un'ottava della Gerusalemme.","NO"
"Fucini_Renato-All_aria_Aperta-1897","Fucini Renato","All aria Aperta","1897","Entrò acclamato nella cucina calda e piena di fumo, si alleggerì del suo peso, e girandosi allegro intorno alla fiamma, annunziò i buoni affari della giornata, dichiarando che quella sera voleva fare scialo. La padrona intese, e si mise subito all'opera. Lo scialo del Battello voleva dire una farinata gialla col soffritto di porri, e un'aringa intera sul treppiede.","NO"
