"filename","nome","titolo","anno","chunk","DIL"
"Fucini_Renato-Foglie_Al_Vento-1922","Fucini Renato","Foglie Al Vento","1922","PRIMI RICORDI MIA NASCITA E INFANZIA(dal 1843 al 1849) Se mi accingo a scrivere i ricordi della mia vita, non lo faccio per vedere attoniti e a bocca spalancata i popoli del globo al racconto delle mie gesta.","NO"
"Fucini_Renato-Foglie_Al_Vento-1922","Fucini Renato","Foglie Al Vento","1922","Per ingannare la noia dolorosa del momento, della stagione e della solitudine, incomincio a vergare questi ricordi oggi 8 Febbraio 1902 a ore 9 della mattina, qui in Dianella dove mi trovo ad assistere mia madre, gravemente ammalata. In questo giorno ho sulle spalle cinquantotto anni e sei mesi precisi. La salute e gli interessi mi vanno bene; tutto il resto, male.","NO"
"Fucini_Renato-Foglie_Al_Vento-1922","Fucini Renato","Foglie Al Vento","1922","Piove e vuol piovere. Non avendo modo di metterci un riparo, lasciamo piovere e tiriamo innanzi. Me ne guardi Iddio!","YES"
"Fucini_Renato-Foglie_Al_Vento-1922","Fucini Renato","Foglie Al Vento","1922","Per grazia sua e per volontà mia conosco quanto valgo, e il sangue di Dulcamara non è entrato neanche per una goccia a scaldare le mie vene. Scrivo per voi soli, nipotini miei, scrivo per voi perchè, diventati adulti e sentendo parlare da qualche amico superstite di questo nonno al quale tanta gente ha voluto tanto bene, possiate almeno correggerlo in qualche sbaglio di nomi o di date; e scrivo anche per voi. perchè so che dagli avvenimenti della vita di un uomo, chiunque esso sia, vi è sempre qualche cosa da imparare.","NO"
"Fucini_Renato-Foglie_Al_Vento-1922","Fucini Renato","Foglie Al Vento","1922","Da Giovanna Nardi e dal dott. David Fucini, nacqui al tocco di mattina del dì 8 Aprile 1843, in Monterotondo della Maremma Grossetana presso Massa Marittima. Mio padre, giovane di 25 anni, uscito quasi allora dall'Università di Pisa, si trovava là come medico della Commissione Sanitaria governativa per la cura delle febbri malariche. Sento dire che appena nato ero un discreto rotolo di carne rosea e promettente, ma che poi detti in ciampanelle perchè, essendo mia madre alquanto scarsa di latte, e per l'impossibilità di trovarmi una buona balia, ebbi a saziarmi sui primi tempi — trasportato spesso di qua e di là a scorciare il desinare dei miei coetanei — sulle braccia delle più floride mamme del paese, le quali, con pietosa carità, mi porgevano, una dopo l'altra, l'abbondanza dei loro seni ricolmi.","NO"
"Fucini_Renato-Foglie_Al_Vento-1922","Fucini Renato","Foglie Al Vento","1922","Un'altra grave botta toccò al mio gracile corpicino da una fiera polmonite che all'età di sei mesi mi portò quasi alla fossa, e per la quale i miei genitori ebbero a piangermi come morto, poichè una emorragia sopraggiuntami dalle ferite delle mignatte, e arrestata a stento con l'applicazione di bottoni infuocati sulle ferite (dei quali porto ancora le tracce sul petto), mi lasciò senza flato e senza sangue. L'igiene, per fortuna, non aveva fatto a quei tempi i passi di gigante che ha fatto oggi, e per conseguenza mi ricostituii presto e solidamente. Le pappe agliosamente antielmintiche che si sostituirono forse troppo presto al latte delle mie varie nutrici, l'ossigeno di quei monti selvosi e l'alito del mare vicino fecero quello che dovevano fare, e fu salvato alla patria questo prezioso rampollo, senza del quale chi sa se anche voi sareste stati, prima ad ascoltare le sue novelle nel canto del fuoco a Dianella, poi a leggere, come fate ora, queste pagine.","NO"
"Fucini_Renato-Foglie_Al_Vento-1922","Fucini Renato","Foglie Al Vento","1922","Poco io so dei miei primissimi anni, e poco importa il saperne. So che, dopo qualche mese, passai con la famiglia, da Monterotondo a Campiglia dove stetti fino all'età di cinque anni. Di Campiglia mi rammento bene come se ne fossi venuto via ora dopo un soggiorno di molti anni, ed ho fresco e lieto il ricordo di persone amiche e di piccoli e grossi avvenimenti accaduti a me e in paese.","NO"
"Fucini_Renato-Foglie_Al_Vento-1922","Fucini Renato","Foglie Al Vento","1922","I piccoli avvenimenti, quelli che accadono a tutti i bambini: stincature, capate, ruzzoloni, strilli, sculaccioni, baruffe e punizioni fra le quali terribile quella di esser messo a mangiare in disparte, seduto sopra un basso panchetto e per mensa una seggiola, fulminato dagli occhi di mio padre, allegro e burlone, il quale, quando si trattava di dovermi punire per mancanze che sapessero di cuore cattivo, non ne lasciava passare una ed era inesorabile. Sante, sacrosante lezioni che mi sono bastate per tutta la vita e che hanno valso a tenermi fino da vecchio, umile, timoroso e dimesso come un bambino dinanzi al rigido sguardo di mio padre. Ho in mente che fino da quei giorni lontani cominciò a svilupparsi in me, innato e fecondo, il sentimento della natura, quel sentimento per il quale io non ho mai conosciuto la noia.","NO"
"Fucini_Renato-Foglie_Al_Vento-1922","Fucini Renato","Foglie Al Vento","1922","Un filo d'erba mosso dal vento, un ragno faticante intorno alla sua tela, come il frastuono d'una burrasca infuocata o il silenzioso fioccare della neve erano buoni a distrarmi allora dai miei più giocondi passatempi, come sono buoni ora a farmi dimenticare i più gravi affanni della vita. Anche quella confidenza e quell'amore degli animali, per il quale anche oggi mi par deserta una casa se non v'è un cane, un gatto o almeno un uccellino, data la sua origine da quel tempo felice. Con mio padre cacciatore appassionatissimo e amico di cacciatori più appassionati di lui, i cani furono i primi e più cari amici miei ed anche i più sicuri e fedeli, perchè se dagli uomini ho avuto qualche morso, dai cani non ne ho avuti mai.","NO"
"Fucini_Renato-Foglie_Al_Vento-1922","Fucini Renato","Foglie Al Vento","1922","E non solamente i cani e gli uccelli erano amici miei, ma anche tutti gli altri animali, anche se ributtanti o pericolosi. Per modo che, dilettandomi e litigando con chi me ne avesse fatto rimprovero, avevo sempre tra le mani o ranocchi, o serpi o lucertole che acchiappavo e portavo a casa, nascondendoli alla vista di tutti, — fuori che a quella di mia madre, amica come me di ogni essere animato, — per non essere disturbato da chi mi stava dintorno. Soltanto i ragni e gli scorpioni non hanno mai trovato posto fra le mie simpatie.","NO"
"Fucini_Renato-Foglie_Al_Vento-1922","Fucini Renato","Foglie Al Vento","1922","Da quei giorni e da questa passione data il primo grave dolore della mia vita. Una mattina mio padre mi fece vedere un povero topolino preso nella trappola. Me lo mostrava non per mettermi su contro quel malcapitato animaluccio, ma per toccare di compassione il mio cuore di bambino, commovendomi fino alle lacrime sulla misera sorte toccata, per l'ingordigia, a quella timida bestiolina.","NO"
