"filename","nome","titolo","anno","chunk","DIL"
"Fucini_Renato-Le_Veglie_Di_Neri-1882","Fucini Renato","Le Veglie Di Neri","1882","Il Matto delle giuncaie Quella sera non stavo bene di spirito. Alla smodata allegria d'un intiero giorno passato sulle praterie in mezzo a cari amici, laggiù convenuti per esser pronti la mattina dopo ad aprire la caccia, era subentrata una profonda tristezza, alimentata forse dalla scena mestissima d'un tramonto di sole in padule. Alcuni de' miei compagni, occupati in varie faccenduole riguardanti la caccia del domani, si erano accoccolati sull'erba, smontando schioppi, lustrando fiaschette, facendo cartucce e tante altre simili cose; altri, stanchi, s'eran buttati sopra uno strapunto di paglia nella Casina delle Guardie e s'erano addormentati; ed io, senza avvedermene, avevo preso lungo l'alberata e, passo passo, m'ero allontanato d'un buon tratto, quando, accortomi di non esser seguìto da nessuno, provai come un senso di repugnanza ad inoltrarmi maggiormente in quella solitudine; ma siccome ero stanco, prima di tornare indietro, mi fermai un poco per riposarmi.","NO"
"Fucini_Renato-Le_Veglie_Di_Neri-1882","Fucini Renato","Le Veglie Di Neri","1882","Seduto sull'argine erboso d'un canale, lasciavo correre l'occhio smarrito su quella immensa superficie d'acqua stagnante e di lunghe cannéggiole, e fantasticando dinanzi a quel malinconico quadro, richiamavo alla mente i più minuti ricordi della prima giovinezza, e per un misterioso fenomeno psicologico, anco le più liete memorie prendevano in me in quel momento l'aspetto di tristissime cose. E mi sentivo stringere il cuore, e quasi avrei pianto senza saperne di perché. Il caldo era soffocante e non dava respiro nonostante una leggera brezza di marino che sulla sera si era alzata languida languida e che, insieme con qualche raro fischio di uccelli palustri, rompeva l'alto silenzio di quella deserta pianura, correndo fra i biódi e le cannéggiole che, tremolando e lievemente fra loro percotendosi, mandavano un rumore come d'una moltitudine che lontana lontana applaudisse gridando e battendo le mani.","NO"
"Fucini_Renato-Le_Veglie_Di_Neri-1882","Fucini Renato","Le Veglie Di Neri","1882","A mano a mano che il sole calava dietro le colline dal lato opposto del padule, si stendeva su quello un leggiero velo di nebbia bianchiccia, rendendo di minuto in minuto più squallida la scena che mi stava davanti. Ed intanto io pensavo; e quasi che un velo di nebbia si addensasse anche su i miei pensieri, mi si affollavano alla mente mille idee confuse e ondeggianti, che rapidamente passavano per dar luogo ad altre più delle prime annebbiate, confuse ed incerte. E quel vasto campo che un istante prima mi parlava di morte, lo vedevo ora popolato da una quantità innumerevole di pallide e rabbuffate figure padulane dalla fibra d'acciaio e dall'animo generoso e feroce, nel petto delle quali le passioni scoppiano con tal violenza, che il delitto ne diventa spesso il termine funesto.","NO"
"Fucini_Renato-Le_Veglie_Di_Neri-1882","Fucini Renato","Le Veglie Di Neri","1882","E idillj soavi e drammi sanguinosi si svolgevano dinanzi alla mia immaginazione, e la tristezza intanto si faceva maggiore nell'animo mio, quando una voce di fanciulla, di una di quelle tante miserabili che vivono felici in quell'ambiente mefitico i mesi e gli anni interi, lavorando con l'acqua fino alla cintola e il fango fino alle ginocchia, intonò un canto malinconico, piano come la superficie dello stagno, lento come le acque del canale, e portò fino a me queste dolenti parole: È morto l'amor mio che amavo tanto: Ahi! dal dolor più reggere non posso; L'han portato laggiù nel camposanto, E gli han buttato anco la terra addosso.","NO"
"Fucini_Renato-Le_Veglie_Di_Neri-1882","Fucini Renato","Le Veglie Di Neri","1882","Dimmelo te, te che lo sai, gran Dio, Se mai lo rivedrò l'angiolo mio; Dimmelo te, gran Dio... ma il mio lamento Vola e si perde sull'ali del vento. «Ho bisogno di veder gente... ho bisogno di rivedere i miei amici... mi annoio, mi annoio, mi annoio troppo.» E così pensando mi alzai, e con passi concitati tornai al punto di convegno. «Son tutti a dormire», mi disse una guardia.","YES"
"Fucini_Renato-Le_Veglie_Di_Neri-1882","Fucini Renato","Le Veglie Di Neri","1882","«Come! così presto?», osservai. «Cascavano a pezzi.","NO"
"Fucini_Renato-Le_Veglie_Di_Neri-1882","Fucini Renato","Le Veglie Di Neri","1882","O lei non va?» «No.» «O che vòl fare?» «Non lo so nemmen'io; ma qualche cosa inventerò: non ho sonno.» «Vòl venire con me? vado a rivedere i bertuelli.» «Se mi lasci andar solo, vado; con te non vengo.» «Ma sarà bono di maneggiare il barchino?» Lo guardai ridendo. «O senta, veh.","NO"
"Fucini_Renato-Le_Veglie_Di_Neri-1882","Fucini Renato","Le Veglie Di Neri","1882","Una dozzina sono nel canaletto subito dopo il ponte; altri sei a quello degli Sparacannelle, e due, quelli meglio, al canale traverso... Che lo sa il canale traverso?» «Non me ne ricordo, ma ne domanderò.» «O a chi ne vòl domandare?» «Ho sentito cantare...» «Ah, sì ha ragione! c'è quelle donne; eppoi a quest'ora, verso le Svolte, troverà il Matto di certo.» Una mezz'ora dopo, aiutandomi col forcino a sfondare le foglie di copripentole e quei viluppi foltissimi di alghe d'ogni genere che nell'estate permettono appena la navigazione negli stretti fossi del padule, avevo già vuotato sul pagliòlo una dozzina di libbre di pesce fra lucci, tinche e anguille, quando, non sapendo dove trovare chi mi indicasse il canale traverso, mi alzai in piedi per vedere se potevo scorgere anima viva da domandarglielo... «Che ci ha una pipata di tabacco?» A quella voce che si partiva da un folto cespuglio di salci, mi scossi quasi impaurito e, voltomi indietro, vidi una figura semiselvaggia che, mostrandomi una pipa spenta, aspettava la mia risposta. «Tabacco non ne ho», risposi.","NO"
"Fucini_Renato-Le_Veglie_Di_Neri-1882","Fucini Renato","Le Veglie Di Neri","1882","«Se vuoi un sigaro...». «E allora lo ringrazierò. Lo butti, lo butti.» «Non vorrei che andasse nell'acqua.» «O aspetti, veh.» Così dicendo si alzò e reggendosi con la destra ad un ramo, si spenzolò tenendo nella sinistra il cappello, e: «Lo butti, lo butti qui; se va nell'acqua lo ripiglio io».","NO"
"Fucini_Renato-Le_Veglie_Di_Neri-1882","Fucini Renato","Le Veglie Di Neri","1882","Tirai il sigaro nel suo cappello; lo prese e mi ringraziò di nuovo, mettendosi subito a stritolarlo nella pipa. «Che vado bene per andare al canale traverso?» «Sissignore; eccolo subito lì... O chi è lei?» «Sono il figliolo del sor Giuseppe.» «Senti, senti! Del sor Giuseppe!","NO"
