"filename","nome","titolo","anno","chunk","DIL"
"Garibaldi_Giuseppe-I_Mille-1874","Garibaldi Giuseppe","I Mille","1874","I MILLE. Quel che giurâr ottennero, Han combattuto, han vinto,","NO"
"Garibaldi_Giuseppe-I_Mille-1874","Garibaldi Giuseppe","I Mille","1874","Sotto il tallon del forte Giace lo sgherro estinto. (Berchet).","NO"
"Garibaldi_Giuseppe-I_Mille-1874","Garibaldi Giuseppe","I Mille","1874","O Mille! in questi tempi di vergognose miserie - giova ricordarvi - l'anima si sente sollevata pensando a voi - rivolta a voi - quando, stanca di contemplar ladri e putridume pensando che non tutti - perchè la maggior parte di voi ha seminato l'ossa su tutti i campi di battaglia italiani - non tutti ma bastanti ancora per rappresentare la gloriosa schiera - restante - avanzo superbo ed invidiato - pronto sempre a provare ai boriosi nostri detrattori, che tutti non son traditori e codardi - non tutti spudorati sacerdoti del ventre in questa terra dominatrice e serva! «Ove vi sono dei fratelli che pugnano per la libertà Italiana - là bisogna accorrere» voi diceste.","YES"
"Garibaldi_Giuseppe-I_Mille-1874","Garibaldi Giuseppe","I Mille","1874","«Essi combattono per liberarsi dalla dominazione d'un tiranno; per affratellarsi alla grande famiglia Italiana». E non trovaste il codardo pretesto - se la loro bandiera era più o meno rossa. - Anzi - Repubblicani veri - voi faceste non solo il sacrifizio della vita, ma delle convinzioni politiche vostre.","NO"
"Garibaldi_Giuseppe-I_Mille-1874","Garibaldi Giuseppe","I Mille","1874","Come Dante repubblicani - come lui diceste: «Facciam l'Italia anche col diavolo!» E ben faceste, perchè ai dottrinarii che predican principii che non praticano, voi vittoriosamente potrete sempre rispondere: «Noi non conosciamo altri principii se non che i due, del bene e del male. - E per l'Italia sarà sempre principio del bene quello di volerla unificare.","NO"
"Garibaldi_Giuseppe-I_Mille-1874","Garibaldi Giuseppe","I Mille","1874","- Far il bene della patria è la nostra Repubblica». Voi cercaste il pericolo in soccorso di fratelli senza chiedere s'eran molti i nemici, se sufficiente il numero dei volenterosi - se bastanti i mezzi per l'impresa. Voi accorreste sfidando gli elementi, i disagi, le privazioni, i pericoli con cui ne attraversavano la via nemici e sedicenti amici.","NO"
"Garibaldi_Giuseppe-I_Mille-1874","Garibaldi Giuseppe","I Mille","1874","Invano il Borbone, con numeroso naviglio, stringeva in un cerchio di ferro la Trinacria, gloriosa, insofferente di giogo, e solcava in tutti i sensi il Tirreno, per profondarvi nei suoi abissi. Invano! Vogate!","NO"
"Garibaldi_Giuseppe-I_Mille-1874","Garibaldi Giuseppe","I Mille","1874","Vogate pure Argonauti della libertà - là sull'estremo orizzonte di Ostro splende un astro, che non vi lascierà smarrire la via, che vi condurrà per la mano al compimento della grande impresa - l'astro che scorgeva il grandissimo cantore di Beatrice, e che scorgevano i grandi che gli successero, nel più cupo delle tempeste - la Stella d'Italia! Ove sono i piroscafi che vi presero a Villa Spinola e vi condussero attraverso il Tirreno salvi nel piccolo porto di Marsala? Ove?","NO"
"Garibaldi_Giuseppe-I_Mille-1874","Garibaldi Giuseppe","I Mille","1874","Son forse essi nuovi Argo, gelosamente conservati, e segnati all'ammirazione dello straniero e dei posteri, simulacro della più grande e più onorevole delle imprese italiane? Tutt'altro; essi sono scomparsi. - L'invidia e la dappocaggine di chi regge l'Italia, hanno voluto distruggere quei testimoni delle loro vergogne.","YES"
"Garibaldi_Giuseppe-I_Mille-1874","Garibaldi Giuseppe","I Mille","1874","Chi dice: Essi furon perduti in premeditati naufragi. - Chi li suppone a marcire nel più recondito d'un arsenale, - e chi venduti agli ebrei per pochi soldi, come vesti sdruscite. Vogate però, vogate impavidi - Piemontee Lombardo2, nobili veicoli d'una nobilissima banda - la storia rammenterà i vostri illustri nomi, a dispetto dell'invidia e della calunnia.","NO"
