"filename","nome","titolo","anno","chunk","DIL"
"Geremicca_Achille-i_fantasmi_della_mia_vita-1925","Geremicca Achille","i fantasmi della mia vita","1925","﻿ACHILLE GEREMICCA I FANTASMI DELLA MIA VITA ROMANZO I. Spiriti e forme Quando cerco la più antica memoria di me stesso, mi ritrovo tremante di paura dinanzi a un mostro minaccioso. Tutto d’intorno è vago, senza linee, avvolto in ombre fluttuanti, ma io sono vivo, sebbene così piccolo che potrei nascondermi sotto una sedia; ed anche vivo, terribilmente vivo, è il mostro che balza fuori dalle ombre e punta contro di me la testa cornuta.","NO"
"Geremicca_Achille-i_fantasmi_della_mia_vita-1925","Geremicca Achille","i fantasmi della mia vita","1925","Mi dicono che quello è un bisonte, ma essi, i grandi, che lo chiamano così, non ne hanno per nulla paura: gli voltano tranquillamente le spalle, s’appoggiano col gomito sulla sua testa incurvata, gli battono familiarmente una mano sul muso. A poco a poco le ombre cominciano a diradarsi, ed io vedo meglio le cose. Il bisonte ha per tana una stanza a pianterreno, dove la vecchia Rosaria stira, su d’una tavola coperta da un tappeto verde, le mie camiciole e i miei grembiali.","NO"
"Geremicca_Achille-i_fantasmi_della_mia_vita-1925","Geremicca Achille","i fantasmi della mia vita","1925","Il mostro non va in collera per ciò, ma se nella stanza entro io, spinto o trascinato da qualcuno, esso mi scorge subito e mi si volta contro, minacciandomi con le corna ritorte. A questo punto mi echeggiano nella memoria, prendendo la cara voce di mio padre, frasi come queste: Dipinto murale... Figura fatta col pennello... Al primo ricordo se ne sovrappongono altri successivi; e il mostro comincia a perdere un po’ della sua ferocia, cosicchè, pur riluttante, io lascio che mio padre mi prenda una manina e l’alzi fino a farle toccare il corpo della bestia. In qualche ora del giorno, quando la stanza è piena di sole e molta gente vi si raccoglie dentro, il bisonte diventa anche per me un dipinto murale, di cui posso perfino beffarmi: le sue corna somigliano a quelle d’una capra e, fors’anche, agli uncini dell’attaccapanni ch’è nella mia camera da letto.","NO"
"Geremicca_Achille-i_fantasmi_della_mia_vita-1925","Geremicca Achille","i fantasmi della mia vita","1925","Ma se la stanza è solitaria o in penombra, se comincia a cader la sera e tuttavia non s’accendono ancora i lumi, la belva s’avviva nel suo odio contro di me e si prepara all’assalto. Ed è inutile cercar di rassicurarmi con le solite parole: dipinto, figura, immagine. Se fosse di carne e d’ossa, mi spaventerebbe meno, perchè potrebbe essere rinchiusa nel suo covo o uccisa una buona volta per sempre.","YES"
"Geremicca_Achille-i_fantasmi_della_mia_vita-1925","Geremicca Achille","i fantasmi della mia vita","1925","Ahimè, nessuno mi può proteggere da un’immagine, che la notte lascia il muro, passa attraverso le porte e le pareti, entra indomabile nei miei sogni! Non so dire con precisione a che tempo rimonti il terribile assalto, in cui per poco le corna del bisonte non mi sbalzarono di là della vita. Se mi palpo il mento, ritrovo ancora la cicatrice, che sotto la spinta degli anni ha scavalcato la mascella e s’è distesa di traverso fin quasi a toccare il pomo d’Adamo.","YES"
"Geremicca_Achille-i_fantasmi_della_mia_vita-1925","Geremicca Achille","i fantasmi della mia vita","1925","Spesso, quando mi faccio la barba, me la guardo nello specchio e mi par di vederla ravvivarsi, rosseggiare, stillare ancora qualche goccia del mio vermiglio sangue di bambino. Potrei additarla, questa cicatrice, ai reduci dalle cacce grosse e domandar loro se l’avventura di un piccolo di tre anni, ferito, a casa sua, da un bisonte, meriti o no d’esser narrata. Allora dormivo in un lettuccio di cui l’una e l’altra sponda erano chiuse da una diga di reti metalliche.","NO"
"Geremicca_Achille-i_fantasmi_della_mia_vita-1925","Geremicca Achille","i fantasmi della mia vita","1925","Accanto a me (tra i due letti c’era appena posto per il comodino) dormiva la vecchia Rosaria. La porta che dava in camera della mamma stava sempre aperta, e sulla soglia, posata a terra, una lampada di vetro conteneva l’oscillante fiamma di un lumino di cera. Ma l’altra, di contro, rimaneva in ombra, e perciò era misteriosa.","NO"
"Geremicca_Achille-i_fantasmi_della_mia_vita-1925","Geremicca Achille","i fantasmi della mia vita","1925","Il giorno, metteva in un corridoio; la notte, diventava il limitare dell’ignoto, la bocca delle tenebre. Il bisonte entrò di lì. Non venne al galoppo, non fece rumore con le sue zampe di capro: apparve all’improvviso, arruffando il pelo come un enorme gatto inferocito; poi, con le corna basse, s’avventò contro le reti del mio letto.","NO"
"Geremicca_Achille-i_fantasmi_della_mia_vita-1925","Geremicca Achille","i fantasmi della mia vita","1925","Balzando in piedi, cercai di chiamare al soccorso; ma dalla gola non m’uscì nemmeno un filo di voce. Fui travolto, sollevato in alto e gettato a terra da una cornata. Quando apersi gli occhi, mi trovai in braccio alla mamma che mi guardava ansiosa; sentii un bruciore al mento e toccai una striscia di tela che mi fasciava dalla gola ai capelli.","NO"
"Geremicca_Achille-i_fantasmi_della_mia_vita-1925","Geremicca Achille","i fantasmi della mia vita","1925","— Il bisonte! – gemetti, movendo a fatica la mascella prigioniera. — Come dici?","NO"
"Geremicca_Achille-i_fantasmi_della_mia_vita-1925","Geremicca Achille","i fantasmi della mia vita","1925","Il bisonte? Hai sognato il bisonte!... Volevo dire che non avevo sognato; ma parlare mi riusciva difficile, e richiusi gli occhi sul petto di mia madre.","NO"
