"filename","nome","titolo","anno","chunk","DIL"
"Giannelli_Giulio-Storia_di_Pipino_nato_vecchio_e_morto_bambino-1911","Giannelli Giulio","Storia di Pipino nato vecchio e morto bambino","1911","﻿Giulio Gianelli Storia di Pipino nato vecchio e morto bambino A Ughè e Mariù due cuori nel mio cuore Una pipa di buon cuore Sul tavolo c'erano due cose importantissime: una pipa e un piccolo bozzetto in creta, che raffigurava un vecchio. La notte era alta, forse scoccavano le tre del mattino quando la pipa notò la presenza del vecchietto immobile presso di lei appoggiato alla sua testa. Regnava nell'ampia stanza un silenzio profondo, come pure sul tavolino ingombro di matite, penne, temperini, libri e fogli di carta.","NO"
"Giannelli_Giulio-Storia_di_Pipino_nato_vecchio_e_morto_bambino-1911","Giannelli Giulio","Storia di Pipino nato vecchio e morto bambino","1911","Due farfalle che avevano roteato per alcune ore intorno al lume ora dormivano, l'una dentro la vocale O sul frontispizio di un libro italiano e stava bene, l'altra sopra due sillabe di lingua greca e si trovava male. Quella pipa era una pipa di buon cuore; come tutte le donne, un po' sentimentale. Il suo padrone aveva da poco smesso di fumare ed essa calda tuttora, pensando ai bei ghirigori di fumo usciti dalla sua bella testa durante il giorno, con la coscienza tranquilla del compiuto dovere, aspettava di prender sonno.","YES"
"Giannelli_Giulio-Storia_di_Pipino_nato_vecchio_e_morto_bambino-1911","Giannelli Giulio","Storia di Pipino nato vecchio e morto bambino","1911","Ma l'idea del vecchietto la distoglieva. — Se lo riscaldassi? Se provassi a dargli la vita col mio calore?","YES"
"Giannelli_Giulio-Storia_di_Pipino_nato_vecchio_e_morto_bambino-1911","Giannelli Giulio","Storia di Pipino nato vecchio e morto bambino","1911","A cambiarlo da creta in carne umana? Ci voleva un prodigio né più né meno. Ma chi desidera giovare al prossimo, può tutto: anche dal nulla deriva meraviglie.","YES"
"Giannelli_Giulio-Storia_di_Pipino_nato_vecchio_e_morto_bambino-1911","Giannelli Giulio","Storia di Pipino nato vecchio e morto bambino","1911","La buona pipa trattenne il respiro, fece una mossa leggerissima per collocare la sua testa dove ardevano le ultime briciole di tabacco, vicino al cuore del vecchierello. Passò un'ora. Ed ecco cominciava a sciogliersi il torpore delle piccole membra.","NO"
"Giannelli_Giulio-Storia_di_Pipino_nato_vecchio_e_morto_bambino-1911","Giannelli Giulio","Storia di Pipino nato vecchio e morto bambino","1911","Prima di tutto il vecchio mosse un piede: un solletico forte, pungente, continuo, non gli permetteva più di tenerlo fermo. Il medesimo solletico dal piede destro si trasportò al sinistro con esito eguale. Una mano che pendeva sull'orlo all'imboccatura della pipa, sentì scottarsi e si levò in alto; l'altra mano, venuta in soccorso della sorella per carezzarla sulla scottatura, si sentì viva, senza saperlo, solo per istinto d'amore.","NO"
"Giannelli_Giulio-Storia_di_Pipino_nato_vecchio_e_morto_bambino-1911","Giannelli Giulio","Storia di Pipino nato vecchio e morto bambino","1911","Allora libero nei suoi movimenti, il vecchietto si stiracchiò, poi si stropicciò gli occhi, i quali si aprirono: due occhi un po' dolorosi ma belli e lucenti come due stelle. Gli mancava la parola. Ma proprio in quell'istante il calore attraverso le vene giunse al suo cuore ed egli parlò: — Io sono nato!","NO"
"Giannelli_Giulio-Storia_di_Pipino_nato_vecchio_e_morto_bambino-1911","Giannelli Giulio","Storia di Pipino nato vecchio e morto bambino","1911","Eccomi qui. Pieno di meraviglia si passò la mano sulla barba bianca. — Dove sono?","NO"
"Giannelli_Giulio-Storia_di_Pipino_nato_vecchio_e_morto_bambino-1911","Giannelli Giulio","Storia di Pipino nato vecchio e morto bambino","1911","Chi sono? Una voce rispose: – Ti dirò tutto se prometti di ubbidirmi. — Prometto di ubbidire, parola d'onore, ma chi mi parla?","NO"
"Giannelli_Giulio-Storia_di_Pipino_nato_vecchio_e_morto_bambino-1911","Giannelli Giulio","Storia di Pipino nato vecchio e morto bambino","1911","— Io. Egli guardò intorno: — Come, una pipa? — Sicuro, io pipa ti parlo.","NO"
"Giannelli_Giulio-Storia_di_Pipino_nato_vecchio_e_morto_bambino-1911","Giannelli Giulio","Storia di Pipino nato vecchio e morto bambino","1911","Tu eri poco fa un semplice impasto di creta: io ti svegliai alla vita col mio calore. Credevo di farti piacere. — Infatti, ne sono contento.","NO"
"Giannelli_Giulio-Storia_di_Pipino_nato_vecchio_e_morto_bambino-1911","Giannelli Giulio","Storia di Pipino nato vecchio e morto bambino","1911","Grazie, grazie; ti amerò come una mamma. — Mi commuovi nel più profondo della mia cannetta: tu senti la gratitudine. E io ti seguirò dovunque.","NO"
"Giannelli_Giulio-Storia_di_Pipino_nato_vecchio_e_morto_bambino-1911","Giannelli Giulio","Storia di Pipino nato vecchio e morto bambino","1911","Lasciami piangere di consolazione almeno per un minuto e mezzo. — Fa pure, mamma pipa. Si chinò intanto e la baciò.","NO"
"Giannelli_Giulio-Storia_di_Pipino_nato_vecchio_e_morto_bambino-1911","Giannelli Giulio","Storia di Pipino nato vecchio e morto bambino","1911","Poi domandò: — Chi sono io? — Tu sei un uomo piccolo piccolo, un grazioso nano pieno di buon senso. — E qual è il mio nome?","NO"
"Giannelli_Giulio-Storia_di_Pipino_nato_vecchio_e_morto_bambino-1911","Giannelli Giulio","Storia di Pipino nato vecchio e morto bambino","1911","— Il tuo nome è Pipino. — Mi piace ed è giusto che io mi chiami così: sì, Pipino. E dove mi trovo?","NO"
"Giannelli_Giulio-Storia_di_Pipino_nato_vecchio_e_morto_bambino-1911","Giannelli Giulio","Storia di Pipino nato vecchio e morto bambino","1911","— Nella casa di un uomo civile. — Cioè? — In casa di un uomo che, avendo molto studiato, non sa più nulla e passa la vita a far delle cose inutili.","NO"
"Giannelli_Giulio-Storia_di_Pipino_nato_vecchio_e_morto_bambino-1911","Giannelli Giulio","Storia di Pipino nato vecchio e morto bambino","1911","Sarà bene andarsene lontano. Vivrai da povero, ma quasi felice. — Io seguirò i tuoi consigli.","YES"
"Giannelli_Giulio-Storia_di_Pipino_nato_vecchio_e_morto_bambino-1911","Giannelli Giulio","Storia di Pipino nato vecchio e morto bambino","1911","— Va bene. Senti Pipino. Ti pare di essere giovane?","NO"
"Giannelli_Giulio-Storia_di_Pipino_nato_vecchio_e_morto_bambino-1911","Giannelli Giulio","Storia di Pipino nato vecchio e morto bambino","1911","— No, mamma pipa, no. Anzi. Porto la barba bianca ed ho le membra piuttosto debolucce.","NO"
"Giannelli_Giulio-Storia_di_Pipino_nato_vecchio_e_morto_bambino-1911","Giannelli Giulio","Storia di Pipino nato vecchio e morto bambino","1911","— Vedi quello specchio? Guardati. Pipino, fatti alcuni passi, trovò, al di là di un vocabolario, un piccolo specchio, e si rimirò.","NO"
"Giannelli_Giulio-Storia_di_Pipino_nato_vecchio_e_morto_bambino-1911","Giannelli Giulio","Storia di Pipino nato vecchio e morto bambino","1911","— Ahimè! quante rughe sul mio viso e intorno agli occhi! In bocca non ho che ventidue denti, e due che direi se l'intendano per cadere al più presto.","NO"
"Giannelli_Giulio-Storia_di_Pipino_nato_vecchio_e_morto_bambino-1911","Giannelli Giulio","Storia di Pipino nato vecchio e morto bambino","1911","Dimmi, pipa, quanti anni posso avere, su per giù? — Sessantacinque. — Poco mi resta da vivere, dunque.","NO"
