"filename","nome","titolo","anno","chunk","DIL"
"Giordana_Tullio-L_occhio_del_lago-1899","Giordana Tullio","L occhio del lago","1899","﻿TULLIO GIORDANA L’OCCHIO DEL LAGO ROMANZO Io non vedo per te, su le grandi ginocchia del Destino, nè un segno d’amore, nè una scintilla di gloria, nè un’ora che sorrida..... Alba, seduta sopra una cassa, raccoglieva nel grembo un mazzo di lilla appassiti che si abbandonavano come livide mani morenti. Fissava il fratello che, sulla porta, ritto, seguiva nel crepuscolo nebbioso due rondini nuove trillanti intorno ai peri fioriti.","NO"
"Giordana_Tullio-L_occhio_del_lago-1899","Giordana Tullio","L occhio del lago","1899","Egli restava lì, senza muoversi, triste, pensoso della città per sempre abbandonata, pensoso della fragile creaturina ammalata che lo aveva seguìto, e forse ancora di quell’altra donna lontana ed immemore. Forse ancora egli, invece del lago che si velava, invece delle rondini, vedeva quei suoi due occhi vivi, profondi, simili al cuore delle viole. Come nel cuore delle viole, dal mezzo di essi si partivano fasci di raggi gialli che nella luce si indoravano, vibravano, e, come le viole, gli occhi avevano una dolcezza grave, misteriosa, parevano occultare un’anima non umana.","NO"
"Giordana_Tullio-L_occhio_del_lago-1899","Giordana Tullio","L occhio del lago","1899","Forse Paolo li vedeva. Li avrebbe potuti dimenticare in quella solitudine di primavera, dove la natura respirava armoniosa come una fanciulla? Alba lo chiamò: — Se dobbiamo andare a Brovi, partiamo subito.","YES"
"Giordana_Tullio-L_occhio_del_lago-1899","Giordana Tullio","L occhio del lago","1899","S’imbruna. — Io vado solo, Alba. È troppo tardi per te.","NO"
"Giordana_Tullio-L_occhio_del_lago-1899","Giordana Tullio","L occhio del lago","1899","La fanciulla tremò: — Resto qui, io? Io ho paura, Paolo – e girò i grandi occhi intorno per la camera rustica, dove, lungo le pareti, quadri religiosi sfilavano la lor cattiva fattura. Una contadina entrava in quel punto.","NO"
"Giordana_Tullio-L_occhio_del_lago-1899","Giordana Tullio","L occhio del lago","1899","Attraversò dondolando, sporgendo il ventre grave e un naso sottile puntuto sul mento magrissimo. — Questa donna... come si chiama?... ti farà compagnia – disse Paolo.","NO"
"Giordana_Tullio-L_occhio_del_lago-1899","Giordana Tullio","L occhio del lago","1899","— Come si chiama? Chiedilo. No.","NO"
"Giordana_Tullio-L_occhio_del_lago-1899","Giordana Tullio","L occhio del lago","1899","Diamole noi un nome. Chiamiamola..... l’Ombra! — L’Ombra!","NO"
"Giordana_Tullio-L_occhio_del_lago-1899","Giordana Tullio","L occhio del lago","1899","– assentì il fratello. – Addio, Alba, io scendo a Brovi. Sta tranquilla.","NO"
"Giordana_Tullio-L_occhio_del_lago-1899","Giordana Tullio","L occhio del lago","1899","La vettura, appena ebbe svoltato sulla via opposta a Cerete, si fermò. Un ceffo, incerto nell’ombra che calava, senza chiedere, salì di fianco a Paolo, e, come questi sorpreso ed un po’ spaventato si ritraeva, quegli lo rassicurò in un italiano misto di piemontese su cui batteva un fiato vinoso nauseante: — Scusi. Credevo che la carrozza tornasse vuota a Brovi.","NO"
"Giordana_Tullio-L_occhio_del_lago-1899","Giordana Tullio","L occhio del lago","1899","Ho fatto nove miglia. Permette che resti qui? E come l’altro assentiva, pur sembrando ancora incerto: — No, no, non abbia paura!","NO"
"Giordana_Tullio-L_occhio_del_lago-1899","Giordana Tullio","L occhio del lago","1899","Sono un ubbriacone, ma un buon uomo, sarto di Brovi. Sto in faccia all’albergo dove ella ha preso il cavallo. La prima dichiarazione aveva già rinfrancato Paolo che sorrise.","NO"
"Giordana_Tullio-L_occhio_del_lago-1899","Giordana Tullio","L occhio del lago","1899","— Le farò buona compagnia. L’altro dubitava. Ma il sarto cominciò subito, confusamente, a parlargli del paese ricco di torba, dei milioni che erano scomparsi, di un suo figlio a Torino.","YES"
"Giordana_Tullio-L_occhio_del_lago-1899","Giordana Tullio","L occhio del lago","1899","Diceva le parole roche, troncandole talvolta a mezzo, ridendo di un egual riso stupito. Aveva le labbra piatte, sottili, seminascoste da una barba nera, foltissima e ricciuta, incolta, odorante di vino. — L’albergo del Castello è molto buono, – diss’egli rispondendo ad un’interrogazione di Paolo che dovette alfine rompere il suo mutismo.","NO"
"Giordana_Tullio-L_occhio_del_lago-1899","Giordana Tullio","L occhio del lago","1899","– Da trent’anni frequenta Brovi. Ammazza tutti.....ogni cosa! — Il padrone si chiama?","NO"
"Giordana_Tullio-L_occhio_del_lago-1899","Giordana Tullio","L occhio del lago","1899","L’ubbriacone si raccolse un poco, e poi confessò ingenuamente: — Ho bevuto troppo e non ricordo più. Pensò ancora: — Ho bevuto troppo e non ricordo più. Intanto la carrozza saltellava sul selciato di Brovi.","NO"
"Giordana_Tullio-L_occhio_del_lago-1899","Giordana Tullio","L occhio del lago","1899","Il sarto scese; prendendo con devozione la mano che Paolo gli stese. E questi vedeva già spuntare dal buio gli occhi del tramway che doveva portare i suoi ultimi bagagli. Venivano innanzi enormi, soli, allargando le tenebre, come terribili di un mistero; e incutevano da vero spavento in quella bassa valle chiusa da monti neri, aspri, contro il cielo che tratteneva qualche ultima luce.","NO"
"Giordana_Tullio-L_occhio_del_lago-1899","Giordana Tullio","L occhio del lago","1899","Paolo si sentiva smarrito, oppresso come da un affanno in quella profondità sconosciuta. E i monti eguali di nero parevano intorno enormi caverne che si spalancassero nel buio. E il silenzio intorno pareva unire alla sua anima sospesa tutte le anime ancor deste del paese.","YES"
