"filename","nome","titolo","anno","chunk","DIL"
"Giovannetti_Eugenio-Il_libro_degli_innamorati_inverosimili-1923","Giovannetti Eugenio","Il libro degli innamorati inverosimili","1923","﻿EUGENIO GIOVANNETTI Il libro degli innamorati inverosimili L’INNAMORATO DELLE OMBRE Quando appartenevo al «Club dei soliti ignoti», avevo le mie grandi ore di festa in un popoloso cinematografo dei Prati di Castello. Convenivamo là tutti, musicisti e poeti, non appena il nostro diabolico Barilli avesse qualcosa di nuovo da farci sentire. Poichè il Club non poteva concedersi il lusso di prendere in affitto un pianoforte e poichè il nostro satanico Barilli era l’oscuro pianista quotidiano del cinematografo dei Prati, era naturale che tutti i «soliti ignoti» si riversassero in quella sala tenebrosa ad ascoltare le novità del sulfureo Barilli.","NO"
"Giovannetti_Eugenio-Il_libro_degli_innamorati_inverosimili-1923","Giovannetti Eugenio","Il libro degli innamorati inverosimili","1923","Così, in barba al grosso pubblico borghese e al direttore del cinema, nell’ombroso mistero di quella sala popolosa, ci eravamo regalati «audizioni» celebri. Una sera, in cui si proiettava la famosa film comica Tartufini ha il mal di denti, il fosforico pianista ci aveva fatto sentire una sua «Fantasia sulle perfette nozze spirituali di Ruysbröck l’Ammirabile». Un’altra sera, mentre sullo schermo passavano le eleganze delicate di Soava Gallone, il turbinoso musicista ci aveva fatto sentire il suo «Tamerlano», tutto ferro e bandiere epiche.","NO"
"Giovannetti_Eugenio-Il_libro_degli_innamorati_inverosimili-1923","Giovannetti Eugenio","Il libro degli innamorati inverosimili","1923","Un’altra sera, che doveva essere per me l’ultima e l’indimenticabile, ci aveva detto al Club: «Questa sera siate puntuali alle otto chè vi farò sentire finalmente l’Ifigenia». L’Ifigenia! Finalmente!","YES"
"Giovannetti_Eugenio-Il_libro_degli_innamorati_inverosimili-1923","Giovannetti Eugenio","Il libro degli innamorati inverosimili","1923","La si aspettava da mesi. Si sapeva già che il demoniaco Barilli aveva fatto di Ifigenia il suo capolavoro. Chi ne aveva sentito qualche pagina, aveva pianto.","YES"
"Giovannetti_Eugenio-Il_libro_degli_innamorati_inverosimili-1923","Giovannetti Eugenio","Il libro degli innamorati inverosimili","1923","«C’è tutto il dolore di una nobile giovinezza spezzata» avevano detto i poeti austeri della «Ronda», con Vincenzo Cardarelli alla testa. L’Ifigenia! Quale dei «soliti ignoti» avrebbe potuto mancare a quell’audizione destinata a rimaner storica negli annali del Club?","YES"
"Giovannetti_Eugenio-Il_libro_degli_innamorati_inverosimili-1923","Giovannetti Eugenio","Il libro degli innamorati inverosimili","1923","Contro la mia abitudine, io giunsi quella sera al cinematografo un po’ in ritardo. Una folla di piccoli borghesi si pigiava già nell’andito: la scala era già presa d’assalto. Dovetti aspettare qualche minuto prima di giungere allo sportello dei biglietti e, mentre aspettavo, un portiere gallonato che mi squadrava da qualche istante, mi domandò: «È lei il signor Giovannetti?» A un mio cenno affermativo, mi consegnò una letterina, dicendo: «Da parte del pianista».","NO"
"Giovannetti_Eugenio-Il_libro_degli_innamorati_inverosimili-1923","Giovannetti Eugenio","Il libro degli innamorati inverosimili","1923","Che cosa aveva di così urgente l’enigmatico Barilli? Avrei voluto aprire subito la lettera, ma la folla mi incalzava già da tutte le parti. Avendo già preso il biglietto, mi sentii respinto verso la scala, sollevato, compresso, incastrato fra due file di sedie.","NO"
"Giovannetti_Eugenio-Il_libro_degli_innamorati_inverosimili-1923","Giovannetti Eugenio","Il libro degli innamorati inverosimili","1923","Che ressa! Mi sedetti un po’ accasciato. Era tempo!","NO"
"Giovannetti_Eugenio-Il_libro_degli_innamorati_inverosimili-1923","Giovannetti Eugenio","Il libro degli innamorati inverosimili","1923","La luce si spense, lo schermo si illuminò, l’apparecchio cinematografico cominciò il suo ronzio e l’infernale Barilli picchiò sul pianoforte le prime battute di Ifigenia. Aveva appena suonato la prima battuta, quando, nella sedia vicina alla mia, alla mia destra, sgusciò una donnina jolie, jolie, jolie. Io non amo il joli.","YES"
"Giovannetti_Eugenio-Il_libro_degli_innamorati_inverosimili-1923","Giovannetti Eugenio","Il libro degli innamorati inverosimili","1923","L’estetica del Settecento non è la mia. Io amo i grandia corpora, le figure alte e soavi della poesia antica, io amo Ifigenia tutta splendore e tutta lealtà. Io la vedevo già nei suoni del mio magico Barilli, triste e insigne, con le braccia bianche protese.","YES"
