"filename","nome","titolo","anno","chunk","DIL"
"Giustina_Giuseppe_Alessandro-Il_processo_Lampi-1889","Giustina Giuseppe Alessandro","Il processo Lampi","1889","﻿G.A. Giustina - Il processo Lampi PROLOGO Finale alle Assisie.","NO"
"Giustina_Giuseppe_Alessandro-Il_processo_Lampi-1889","Giustina Giuseppe Alessandro","Il processo Lampi","1889","Permettete che tralasci le date precise della storia e non fiaba che, o lettori e lettrici, io sto per narrarvi. Voi vorrete con quella fina cortesia, che vi so propria, con quell’intuito, che non vi manca, comprendere il perchè di questo riguardo, il quale potrebbe avvolgersi nella toga di una Santa Dea: la Pietà! Sì quella Pietà, che s’asside sui mausolei funerari, e invoca anche per le ceneri dei colpevoli, per quanto è possibile, l’oblio del loro malfatto, dicendo ai passanti: pregate per loro!","NO"
"Giustina_Giuseppe_Alessandro-Il_processo_Lampi-1889","Giustina Giuseppe Alessandro","Il processo Lampi","1889","Del resto le date nulla tolgono alla verità storica del fatto, alla drammaticità interessante degli avvenimenti, che voi vedrete passarvi innanzi in rivista, tenendo fino all’ultimo istante desta la curiosità vostra. Fatti, persone, contorni, tutto storico - ma di una storia, che parrebbe un romanzo, se il documento giudiziario compulsato non la dicesse crudele realtà della vita. Udite… Siamo nell’aula della nostra Corte d’Assisie - nella vecchia aula, quella, che da una parte guarda nella via Sant’Agostino, una via là quale aspetta il piccone demolitore; in nome dell’igiene pubblica, distributrice di aria, a beneficio dei torinesi polmoni.","NO"
"Giustina_Giuseppe_Alessandro-Il_processo_Lampi-1889","Giustina Giuseppe Alessandro","Il processo Lampi","1889","In quella sala quante superbe altezze chinarono la fronte innanzi ad un terribile sì di popolare responso! Quanti dall’alto, dall’Olimpo si videro precipitare abbasso, ma molto abbasso, nell’Erebo di un reclusorio, di un bagno penale! Quanti avvocati vi fecero le prime armi, per diventare lume e decoro del patrio foro.","NO"
"Giustina_Giuseppe_Alessandro-Il_processo_Lampi-1889","Giustina Giuseppe Alessandro","Il processo Lampi","1889","Per quelle vòlte quante e quante fiate risuonarono le voci eloquenti dei più grandi oratori forensi, che illustrarono la toga, le discipline giuridiche, il patriottismo, la tribuna parlamentare, l’ufficio del P. M., quello non; meno illustre dell’avvocato dei poveri e il banco presidenziale! Inutile che io qui ricordi quei nomi, scolpiti nella mente, nel cuore di quanti buoni italiani hanno seguite le fasi del nostro risorgimento. Molti di coloro i quali, o come difensori, o come sostenitori dell’accusa, o come magistrati giudicanti, perorarono e sentenziarono in quell’aula, hanno preso parte, soldati della patria, colla parola, colla penna, colla spada, alle sacre battaglie nazionali.","NO"
"Giustina_Giuseppe_Alessandro-Il_processo_Lampi-1889","Giustina Giuseppe Alessandro","Il processo Lampi","1889","I torinesi non hanno proprio bisogno che in mezzo al racconto giudiziario del Processo Lampi io mi fermi a tessere il loro elogio. Salvete, o gloriosi eroi della toga - salvete! È sera.","NO"
"Giustina_Giuseppe_Alessandro-Il_processo_Lampi-1889","Giustina Giuseppe Alessandro","Il processo Lampi","1889","A rompere le tenebre, che nella sala si addensano, in mezzo ad un silenzio solenne, s’avanza, bianco per antico pelo, un buon savoiardo, il quale non so da quanti anni aveva la sua residenza nel monumentale palazzo di giustizia. Quanti egli ha veduti andare in galera; a quanti processi non ha egli assistito! Egli faceva loro quello, che oggi è compreso nelle mansioni del buon Marei, il commesso della Corte.","NO"
"Giustina_Giuseppe_Alessandro-Il_processo_Lampi-1889","Giustina Giuseppe Alessandro","Il processo Lampi","1889","Va ad accendere i lumi, i quali in un momento accesi gettano luce in quell’ambiente, ove risuona solo la voce del magistrato che presiede. - Signori giurati, ora che i giudicandi non sono più in quella gabbia, per obbligo di processura, non perchè voi ne abbiate bisogno io invito il cancelliere a darvi lettura degli articoli di legge, i quali riguardano appunto il modo, in cui voi dovete scrivere le vostre risposte, come le si debbano interpretare, quando una d’esse fosse intelligibile e riflettono le norme che il giury e per esso il suo capo deve seguire nella votazione. Ciò detto, il presidente, che dalla una del mattino, fino allora non aveva cessato di parlare, riassumendo colla tradizionale imparzialità del magistrato subalpino, con chiarezza e con schietta eleganza di eloquio quanto in quattro giorni di vero duello forense avevano detto tre valorosi difensori contro la dotta e severa requisitoria dei Ministero Pubblico, fa cenno al cancelliere di ottemperare all’invito.","NO"
"Giustina_Giuseppe_Alessandro-Il_processo_Lampi-1889","Giustina Giuseppe Alessandro","Il processo Lampi","1889","Si alza un coso non tanto lungo, mingherlino, biondo, ma di un biondo, che stava per diventare grigio, con un paio d’occhiali inforcati perennemente sul naso, e con una voce ingrata, stridula, come il cigolìo di una lima. Se non lo si avesse veduto là a quel posto, al sentirlo a leggere, lo si sarebbe scambiato per uno scuolaro di prima elementare, il quale compita ancora maledettamente, e non lascia molto bene comprendere il significato delie parole. Oggi al suo posto fortunatamente abbiamo il simpatico, l’infaticabile Goffi, con una voce baritonale, che squilla, come una nota armonica in una sinfonia di Auber.","NO"
"Giustina_Giuseppe_Alessandro-Il_processo_Lampi-1889","Giustina Giuseppe Alessandro","Il processo Lampi","1889","Non è un oboe fuori di chiave Il suo antecessore, poveretto, è morto. Sia pace all’anima sua! Finita quella lettura, della quale i giurati, come tutti, avrebbero fatto senza, il presidente, un vecchio venerando, alzandosi: - Signori - dice al giuri - voi potete entrare nell’aula delle vostre deliberazioni… Che Iddio vi assista.","YES"
"Giustina_Giuseppe_Alessandro-Il_processo_Lampi-1889","Giustina Giuseppe Alessandro","Il processo Lampi","1889","L’usciere, il capo della forza pubblica hanno l’incarico di custodire la porta della sala dei giurali, onde alcuno non vi penetri. Ciò detto, si calca in testa il tocco; seguito dai due giudici si ritira. - Ne ha bisogno; tanta è la sua stanchezza, che, chiusosi in una cameretta, si dà al riposo, certo che, dovendo i giurati rispondere ad un numero considerevole di quesiti, e nel frattempo prendere un po’ di cibo, onde ristorarsi, gli potranno concedere un poco di requie.","NO"
"Giustina_Giuseppe_Alessandro-Il_processo_Lampi-1889","Giustina Giuseppe Alessandro","Il processo Lampi","1889","Al ritirarsi della Corte, sciamano col P. M. anche gli avvocati e nell’aula si alza un bisbiglio da non dirsi, un bisbiglio senza freno; talchè l’Usciere ad ogni tanto col suo mantello rosso sulle spalle, colla sua fascia ponsò, pompeggiante sul ventre abbastanza elevato e rotondo, deve fare la sua comparsa ed intimare il si-lenzio, il rispetto al tempio della giustizia con psts che pare un sibilo di vento forte ed impetuoso. Per un paio di minuti i rumori cessano, per ricominciare, se non su più alto, almeno sul medesimo tono, in modo che stanco il buon Aimasso, il granatiere degli uscieri passati, presenti e futuri, data una scrollatina di spalle non se ne dà nemmen più per inteso, Come cucire la bocca agli abbonati della Corte d’Assisie, come impedir loro il giudizio sull’arringa di un avvocato, la critica su un’argomentazione fiscale, un’osservazione sulla parzialità od imparzialità del presidente, un accenno alle probabili risposte del giurì? Come potete impedire ad un vecchio habituè il diritto di dir la sua sul conto dei giudicando sul loro contegno, manifestare la propria impressione ricevuta dalla figura dell’imputato, dalle risultanze orali del dibattimento, dalle requisitorie, dalle difese, dal riassunto pre-sidenziale, dalla maggiore o minore attenzione prestata dal giurì ad uno piuttosto che ad un altro degli oratori?","YES"
"Giustina_Giuseppe_Alessandro-Il_processo_Lampi-1889","Giustina Giuseppe Alessandro","Il processo Lampi","1889","- Più facile ritentare l’opera di Giosuè - fermare il sole in pieno mezzodì - anzichè imporre il silenzio alla chiacchera di un frequentatore delle Assisie, l’incubo del presidente, la noia del P. M., la mosca tormentatrice degli avvocati, il tenia dei giornalisti. Il frequentatore assiduo dei dibattimenti criminali è per lo più un pensionato, il quale, non avendo più nulla da fare, stanco della lettura dei giornali, annoiato della partita al caffè, trova comodo di passare il tempo commentando le altrui sventure, assistendo a spettacoli, i quali attristano sempre. Oh egli non si commuove più - questo uomo-processo ha per lo più sviluppata la bozza del fiscalismo, non vede che cogli occhiali affumicati.","NO"
"Giustina_Giuseppe_Alessandro-Il_processo_Lampi-1889","Giustina Giuseppe Alessandro","Il processo Lampi","1889","Per lui il difensore ha il merito di un abile artista, di un celebre imbroglione, ma nulla di più. Lui è più fiscale del fisco stesso, e se per avventura assiste al ritiro da parte del P. M. dell’accusa, non se ne sa dar pace, e, annasando una presa di tabacco, non sa tenersi dall’esclamare: - Troppo buon cuore! Non è tempra da magistrato quell’uomo là!","YES"
"Giustina_Giuseppe_Alessandro-Il_processo_Lampi-1889","Giustina Giuseppe Alessandro","Il processo Lampi","1889","Al giornalista vuol comunicare la propria impressione, far conoscere il giudizio che si è formato nella sua testa, e spera di ridurlo alla sua parte. Se ne avesse il coraggio, suggerirebbe all’accusatore pubblico qualche suo pensiero, qualche sua idea in armonia sempre al forca e galera - galera e forca. Ecco l’abbonato della Corte d’Assisie.","YES"
"Giustina_Giuseppe_Alessandro-Il_processo_Lampi-1889","Giustina Giuseppe Alessandro","Il processo Lampi","1889","Nel mentre che la Corte si è ritirata, ed il buon Aimasso non riesce coi suoi psts a imporre il silenzio, sentiamo che cosa dicono i signori abbonati. Naturalmente il loro discorso si aggira attorno al dibattimento, che sta per chiudersi. - Finirà ad ora tarda - dice uno - è impossibile che il giurì possa rientrare prima della mezzanotte.","YES"
"Giustina_Giuseppe_Alessandro-Il_processo_Lampi-1889","Giustina Giuseppe Alessandro","Il processo Lampi","1889","- I giurati erano stanchi e spossati - osserva un altro - Hanno portato loro da pranzo. - Io - ricorda un vecchio, il più noioso e il più instancabile degli habitues - ricordo quando i giurati rimasero a deliberare tre giorni e tre notti. - Non sarà questo il caso!","NO"
"Giustina_Giuseppe_Alessandro-Il_processo_Lampi-1889","Giustina Giuseppe Alessandro","Il processo Lampi","1889","- scatta a dire un giovinotto, che avrebbe fatto meglio ad andarsene altrove, anzichè a perdere il suo tempo in quell’afa pesante, gravida di miasmi e di malaria. - Io dico che la finiscono assai più presto di quello che non la pensiamo noi - commenta un quinto interlocutore. - Potrebbe darsi!","YES"
"Giustina_Giuseppe_Alessandro-Il_processo_Lampi-1889","Giustina Giuseppe Alessandro","Il processo Lampi","1889","L’accusa è evidente… gli avvocati è vero hanno parlato, hanno tentato di commuovere, di fare passare il bianco per nero, ma spero che non vi saranno riusciti. - Oh la reità del conte non potrebbe risultare nè più chiara, nè più evidente. Fu un gran birbante e si abbia la meritata punizione!","NO"
"Giustina_Giuseppe_Alessandro-Il_processo_Lampi-1889","Giustina Giuseppe Alessandro","Il processo Lampi","1889","Io non sento pietà per quella gente. - Il notaio! Già, secondo lui, fu vittima!","NO"
"Giustina_Giuseppe_Alessandro-Il_processo_Lampi-1889","Giustina Giuseppe Alessandro","Il processo Lampi","1889","Ma lo credete voi altri? - Io no! - C’è quella sua povera figlia, che rassomiglia la statua del dolore.","NO"
"Giustina_Giuseppe_Alessandro-Il_processo_Lampi-1889","Giustina Giuseppe Alessandro","Il processo Lampi","1889","- Guai, se si lascia intenerire dalle lagrime delle donne! Addio giustizia! Tutti i bricconi hanno o una madre o una sorella, o una moglie, o una amante, che con quattro lacrime li salverebbero.","YES"
"Giustina_Giuseppe_Alessandro-Il_processo_Lampi-1889","Giustina Giuseppe Alessandro","Il processo Lampi","1889","- Qui è stato troppo grave il delitto; e perchè chi lo ha commesso si trova in alto bisogna che il castigo sia grave ed esemplare. - Bravo! Non è solo le brache di tela quelle, che devono andar all’aria!","NO"
"Giustina_Giuseppe_Alessandro-Il_processo_Lampi-1889","Giustina Giuseppe Alessandro","Il processo Lampi","1889","- Il segretario del conte poi - esclama un Tizio, che fino allora non ha parlato - non se la deve svignare; è più di ogni altri colpevole. La contessa non avrebbe passati tanti mesi al manicomio per una… se lui non avesse tenuto mano al marito. E così via in questa intonazione di chiose giunge la mezzanotte, quando nell’aula si ode, coi rintocchi dell’orologio, squillare il campanello della giurìa.","NO"
"Giustina_Giuseppe_Alessandro-Il_processo_Lampi-1889","Giustina Giuseppe Alessandro","Il processo Lampi","1889","Tutti come un uomo solo esclamano: - Ecco il giurì. L’aspettazione si fa viva, intensa, talchè senza il psts del colossale. Aimasso non si sente una mosca volare.","NO"
"Giustina_Giuseppe_Alessandro-Il_processo_Lampi-1889","Giustina Giuseppe Alessandro","Il processo Lampi","1889","Ma quale delusione! L’usciere s’avanza, cerca per ogni dove gli avvocati e finalmente annunzia che i giurati domandano degli schiarimenti. Questo incidente provoca, la cosa è naturale, delle nuove chiose.","YES"
"Giustina_Giuseppe_Alessandro-Il_processo_Lampi-1889","Giustina Giuseppe Alessandro","Il processo Lampi","1889","- Che cosa vorrà dir ciò? domanda uno dei primi interlocutori - Mah - soggiunge il vecchio. - Ciò mi dà da pensare; a questi lumi di luna, il giurì dà in certe cantonate… madornali!","NO"
"Giustina_Giuseppe_Alessandro-Il_processo_Lampi-1889","Giustina Giuseppe Alessandro","Il processo Lampi","1889","- Non mi maraviglierei che si finisse ad un’assolutoria. - Per carità non bestemmiate. - Prima negate Iddio e poi la reità di coloro che sono oggidì imputati.","NO"
