"filename","nome","titolo","anno","chunk","DIL"
"Gozzano_Guido-L_altare_del_passato-1918","Gozzano Guido","L altare del passato","1918","﻿GUIDO GOZZANO L'altare del passato L'ALTARE DEL PASSATO","NO"
"Gozzano_Guido-L_altare_del_passato-1918","Gozzano Guido","L altare del passato","1918","Ho ripensato al conte Fiorenzo X... l'altro giorno, dinnanzi al suo palazzo distrutto, con una mia cara amica, settantacinquenne. E la signora mi rivelò un mistero sentimentale, un poco buffo, che dormiva nel mio ricordo da quasi vent'anni. ***","NO"
"Gozzano_Guido-L_altare_del_passato-1918","Gozzano Guido","L altare del passato","1918","Io frequentavo la casa dei conti X... diciott'anni or sono - ne avevo otto - ed ero coetaneo di Vittorino, il nipote del conte; facevo con lui la terza elementare in quella triste scuola dei Padri Barnabiti, nella vecchia Torino. L'amicizia dei due scolaretti era nata per interesse reciproco; Vittorino era forte in matematiche, io in componimento; l'uno svolgeva i temi, l'altro i quesiti. E ci si scambiava l'ospitalità nei giorni di vacanza.","NO"
"Gozzano_Guido-L_altare_del_passato-1918","Gozzano Guido","L altare del passato","1918","Per giungere alla casa del mio amico, si passava attraverso la parte vecchia della città - ora quasi tutta scomparsa - un labirinto di viuzze buie ed umidicce odoranti di bettola e di conceria, di frutta marcia e di vinaccia, dove il cielo appariva dall'alto come un nastro sottile e tortuoso, fra le mura decrepite dei palazzi nobiliari. Rivedo il palazzo del mio amico. Un edificio di puro '600 piemontese; una serie di finestroni immensi; sulle due colonne d'ingresso un gran balcone dalla ringhiera curva con in mezzo l'anagramma in corsivo e la corona comitale, e molte campanule, molte rose, molti garofani che s'attorcevano, straripavano tra i ferri consunti come fresche capigliature.","NO"
"Gozzano_Guido-L_altare_del_passato-1918","Gozzano Guido","L altare del passato","1918","Era lo studio del conte Fiorenzo, e quelli erano i fiori coltivati con le sue mani. L'atrio e la scala erano a colonne di granito, vasti, cupi, freddi, polverosi. Non c'era portiere.","NO"
"Gozzano_Guido-L_altare_del_passato-1918","Gozzano Guido","L altare del passato","1918","Da portiere fungeva quel povero Mini - il fedelissimo del conte, suo compagno di gioventù, di viaggi, d'avventure - il quale era anche cuoco, domestico, staffiere, maestro, e completava, con una fantesca decrepita come lui, ed un giovinetto avventizio, tutta la servitù della casa. Triste casa, dove fin dalla soglia s'intuiva l'abbandono, la decadenza, l'orgoglio pertinace, la ristrettezza mal dissimulata. Quanti giovedì, quante domeniche, trascorse in quelle sale oscure, fra quelle cose tarlate, logore, stinte!","NO"
"Gozzano_Guido-L_altare_del_passato-1918","Gozzano Guido","L altare del passato","1918","All'ultima parola del còmpito - fatto subito al mattino, sotto l'egida del conte Fiorenzo - si balzava dalla sedia con un grido di sollievo, si prendeva di corsa il grande corridoio oscuro, si giungeva precipitosi in cucina, a somma desolazione del povero Mini, della povera Ghita affaccendati per la colazione. E per tutto il giorno si cercava d'interpretare a rovescio i rettorici ammonimenti del Libro di Buona Lettura. Somme nostre delizie - fra le confessabili - aizzare la servitù, spellare il pollame nelle capponaie, colpire con il Flobert gli antenati delle vecchie tele, tormentare la zia Ernesta, la maniaca del secondo piano, salire sui solai, e di là, protesi a certe finestrette ovali, lanciare cartocci pieni d'acqua o peggio sulla testa dei passanti.","NO"
"Gozzano_Guido-L_altare_del_passato-1918","Gozzano Guido","L altare del passato","1918","A mezzodì preciso scoccava la campana per la colazione. Allora si lasciava ogni cosa , ci si lavava, ci si ricomponeva per tavola una maschera di dolce ipocrisia. Se chiudo gli occhi rivedo la vasta sala da pranzo, rivedo in una mezz'ombra alla Rembrandt le varie figure.","YES"
"Gozzano_Guido-L_altare_del_passato-1918","Gozzano Guido","L altare del passato","1918","La marchesa Amalia, vedova e mamma del mio amico, la zia Ernesta, muta e spettrale, lo zio prete gesuitico e goffo, lo zio capitano goffo e arrogante. E fra tutti la bella figura - l'unica simpatica - del conte Fiorenzo, il signor papà: un bell'uomo dalla persona ancora agile e svelta, dalla folta chioma d'argento, dal profilo perfetto di vecchio Lord Byron decaduto... Egli - comprendo oggi - era uno spirito colto, infinitamente superiore ai suoi figli; a quei due campioni mediocri della chiesa e dell'esercito, a quella zitella idiota, a quella vedova arcigna e irascibile.","YES"
"Gozzano_Guido-L_altare_del_passato-1918","Gozzano Guido","L altare del passato","1918","Doveva essere stato il giovane sentimentale e romantico, l'intellettuale dei suoi tempi, nutrito di Byron e di Lamartine, d'Alfieri e d'Aleardi... Ricordo certe discussioni coi figli, ho impresse nella memoria intere sue frasi. “...ancora una volta; l'Alfieri va esaltato non fosse che per una cosa sola: aver trovato metastasiana l'Italia e averla lasciata alfierana!...” E rivedo la sua mano alzata, mano pallida e perfetta di patrizio, dall'indice adorno di un grosso cammeo, la bella testa candida sfavillante in un raggio di sole obliquo, la bocca volontaria, l'occhio azzurro, giovanile, sotto il vasto arco cigliare. E non era il caso di pensare ad una vita austera, alla virtù premiata... Doveva avere avuto un'esistenza gaudiosa... viaggiato molto, amato molto, dissipato molto, secondo i dettami della poesia del suo tempo.","YES"
