"filename","nome","titolo","anno","chunk","DIL"
"Gradi_Temistocle-Racconti-1864","Gradi Temistocle","Racconti","1864","AL LETTORE. Se questi poveri Racconti avranno mai nessun lettore, io voglio ch' egli sappia innanzi come iluoghi, pe' quali noi andremo vagando, saranno le campagne della bella Toscana; e le persone con cui faremo più stretta conoscenza, e forse anche amicizia, saranno quasi sempre genti d'umile condizione, e più spesso del contado che della città. Che se per me questo tornare in luoghi dove un tempo, esercitando il mio piccolo ingegno, sono stato ospite, è un dovere di memore gratitudine; io credo poi, che, considerando la vita di questa povera e dimenticata gente, potremo dal loro esempio apprendere insegnamenti fecondi.","NO"
"Gradi_Temistocle-Racconti-1864","Gradi Temistocle","Racconti","1864","E soprattutto la semplicità de' costumi, la forza e la rassegnazione nel sopportare i patimenti delle miserie che, frenando l'intemperanza delle voglie, impedisce che si confonda l'idea dell' utile con quella dell' onesto. E questo potrebbe esserci scuola a ritemprarci a fortezza, a virtù, o anche, se si credesse di non averne di bisogno, a confermarci in quella via colla efficacia dell'esempio. Nè questa semplicità gioverebbe meno all' arte, poichè, avvezza la mente a considerare e cose e persone spoglie di que' falsi ornamenti che del bello nascondono le vere sembianze e ne traviano il sentimento, troveremmo di nuovo nella natura, dopo tanti errori e deliramenti, quella pura bellezza che invano si cerca nell' artificio.","NO"
"Gradi_Temistocle-Racconti-1864","Gradi Temistocle","Racconti","1864","E gli studii di lingua allora solo potrebbero esser veramente fruttuosi ed efficaci,. quando andassero congiunti colla schiettezza del sentire e del pensare. Se gli antichi nostri tanto ci innamorano per il candore dello stile, per l' evidenza del linguaggio, e se perfino la loro rozzezza ci è così cara, non lo debbon solo ai vezzi infantili di una lingua bambina, ma molto ancora alla semplicità dei costumi, alla severità della vita, alla verità dell' affetto, quanto meno predicato, tanto più sentito: e i vezzi infantili tanto ci piacciono e ci commuovono, perchè son chiaro segno della semplicità di cuore.","NO"
"Gradi_Temistocle-Racconti-1864","Gradi Temistocle","Racconti","1864","Ma questa scuola è dura molto e difficile, specialmente a coloro che, nati e cresciuti fra il lusso e le stravaganze di un gusto capriccioso e sperverso, in nessun altro luogo trovano il bello, che nell' artifizio, il quale, dipingendo con colori che avventano, abbaglia la vista per far dimenticare la falsità del disegno e la mancanza dell' affetto. Così in un ordine molto più basso di cose avviene di coloro che, dati alla crapula e allo stravizzo, nessuna vivanda trovano gustosa, se non è condita di salse pic canti, che ottundono il senso e non lasciano avvertire qual rea vivanda si trangugia. Ma il letterato che ama l'arte, non per la vanità degli applausi, ma per il bene che col mezzo di quella può fare, non deve per ossequio alla moda e per amore di una bugiarda gloriuzza secondare il mal gusto, nè seguire le inclinazioni fallaci della folla che non ragiona, poichè in questo modo ei mancherebbe all' ufficio suo d' educatore, e, invece d'essere guida per una via retta e sicura, sarebbe, più che compagno, consigliatore di rovina.","NO"
"Gradi_Temistocle-Racconti-1864","Gradi Temistocle","Racconti","1864","E quando egli avesse la coscienza di quello che è suo dovere, e si sentisse nel cuore affetto vero, non temerebbe già che l'opera sua andasse perduta insieme col suo nome; poichè l'arte ha mille accorgimenti per cattivarsi amore e attenzione. Se lo scrittore, non ostante il gusto difettoso che domina, fa tanto di conciliarsi quest' amore e quest' attenzione, anche per un lato solo, è certo che da ultimo avrà vinto in tutto; poichè chi accetta il vero nelle premesse non lo potrà rifiutare nelle conseguenze. Del resto qual sia il nostro gusto letterario a'giorni presenti ora non vorrei sapere ; ma certo si è che nè un nuovo sragionato, nè il copiare le opere dei forestieri può dare letteratura confacente all' indole nostra; nè lo studio gretto e pecoresco dell' antico, senza meditare il presente, può fare una letteratura veramente utile e secondo il bisogno, una letteratura che non sia la secca rappresentazione del passato o del presente; ma che di qua e di là e di per tutto attingendo il vero e il bello sappia e la natura e le opere dell'ingegno confrontare col tipo ideale, che gli siede moderatore nella mente, e con quell'arte, che più si ama quanto più modesta cerca di nascondersi, correggere, educare e preparare a nuovi destini l'umana società che cammina, cammina.","NO"
"Gradi_Temistocle-Racconti-1864","Gradi Temistocle","Racconti","1864","Ma io già sento che, seguitando a questo modo, anderei oltre il termine che mi son segnato, e poichè altro non ho voluto che esporre le idee direttrici, quanto alla parte letteraria, de' miei lavori, parrebbe, se qui non m'arrestassi, che avessi la presunzione d'insegnare a chi ne sa più di me. Mentre, a dir la verità, se quando pubblicai la prima volta parte di questi Racconti mi pareva d' esser lontano, per modo di dire, dieci dal tipo che avevo in mente; ora, che ho emendato e cresciuto il volume, mi par d'esser lontano cento. E questo avviene, secondo me, e perchè il tipo coll'amore continuo del bello s'è avvicinato qualche poco di più alla perfezione, e perchè nelle cose proprie più che le si guardan da lontano e più si scoprono i difetti.","NO"
"Gradi_Temistocle-Racconti-1864","Gradi Temistocle","Racconti","1864","Così la vita del letterato, che vuol propriamente bene all'arte sua e aborre il mestiero, è piena di pentimenti e di mortificazioni; perchè certe sue cose che un tempo gli son parse belle e delle quali dentro di sè s'è compiaciuto, un altro tempo gli paiono molto men belle, e del proprio compiacimento si duole, e rimprovera sè stesso di poca esperienza. Quando poi, dopo aver mutato e corretto con studio amoroso, crede d'essersi avvicinato di più al suo tipo, egli si accorge che quel tipo è divenuto sibbene più puro, ma sem 1 pre più s'è allontanato. E se non paresse, e talvolta anco non fosse vanità il parlar di sè stesso, io vorrei soggiungere, che, tornando a questi Racconti, Dio sa le volte che ho provato que' pentimenti e quelle mortificazioni; e sebbene io sia andato diligentemente ritoccandoli a parte a parte, nondimeno chi sa di quanti difetti avrò ancora a rimproverarmi, e quanto il dolore che n'avrò sarà più grande del piacere che immaginando provai!","NO"
"Gradi_Temistocle-Racconti-1864","Gradi Temistocle","Racconti","1864","Che se poi all' indulgente lettore parrà che in questa edizione siano alcune mutazioni da aversi per miglioramenti, e se a lui, non toscano, torneranno utili le postille di lingua qua e là appiè di pagina, ne voglia bene ancora (come gliene voglio io) ai consigli ed all'opera del mio valente e carissimo amico Professor Giuseppe Rigutini, il quale per amor mio ha voluto assistere la presente edizione con sollecitudine veramente fraterna. Che se tutti i suoi consigli io non ho accettati, non gliene chiedo scusa, sapendo con quanta riservatezza egli me gli abbia porti, e quanto discretamente intenda, anche in questa parte, le ragioni dell' amicizia. T. GRADI.","NO"
"Gradi_Temistocle-Racconti-1864","Gradi Temistocle","Racconti","1864","Siena, Novembre 1864. BEN VENUTA SE SE'SOLA. PARTE PRIMA.","NO"
"Gradi_Temistocle-Racconti-1864","Gradi Temistocle","Racconti","1864","La valle di Bisenzio, dove il Firenzuola finge essere avvenuti tanti di quei fatti ch'egli sì graziosamente racconta, e dove ha seminato ville e città a modo suo, sarà il luogo pel quale noi ora andremo vagando. Ma e i luoghi e gli usi che verrò descrivendo non saranno una invenzione a posta per dilettare: quello che ho veduto e di cui mi ricordo chiaramente racconterò con fedeltà, studiandomi sempre, se pur ci riescirò, di non noiare il lettore. Giace dunque la valle di Bisenzio lontano da Firenze circa a due ore di cammino dalla parte di maestro-tramontana, e si stende nei dintorni di Prato, dove comprende due altre vallicelle, quella della Marina e quella della Marinella, e molte piccole borgate e ville, che tutto quel paese fanno gaio e ridente.","NO"
