"filename","nome","titolo","anno","chunk","DIL"
"Grossi_Tommaso-Marco_Visconti-1834","Grossi Tommaso","Marco Visconti","1834","Limonta è una terricciuola presso che ascosa fra i castagni al guardo di chi, spiccatosi dalla punta di Bellagio, per navigar verso Lecco, la cerca a mezza costa, in faccia a Lierna. Cominciando dall'ottavo secolo, fino agli ultimi tempi che fur tolti i feudi in Lombardia, essa fu sempre soggetta al monastero di S. Ambrogio di Milano; e l'Abate fra gli altri titoli avea quello di conte di Limonta. Sul confine tra il dominio dei monaci e il territorio di Bellagio, segnato ancora al dì d'oggi con una pietra, sorgeva nel 1329 un vecchio castello che fu poi rovinato verso il terminar di quel secolo, e del quale non si conserva più nessun avanzo.","NO"
"Grossi_Tommaso-Marco_Visconti-1834","Grossi Tommaso","Marco Visconti","1834","Questo castello, al tempo da noi indicato, era posseduto da un conte Oldrado del Balzo, i cui antenati doveano, a quel che pare, essere stati anticamente signori di Bellagio che allora si reggeva a comune. Il conte Oldrado, quantunque avesse molti possedimenti in varie parti di Lombardia, passava ivi la maggior parte dell'anno in compagnia della moglie e di una sola figlia, innamorate entrambe, al par di lui, di quel bel cielo, di quel bel lago, di quel clima molle, lieto e delizioso. Ricca, illustre, potente di parentadi e di attenenze, la famiglia del Balzo era sempre stata la protettrice naturale degli abitanti dei paesi vicini alla sua dimora; e tutti per una lunga tradizione di padre in figlio avevano imparato a riverirne e ad amarne il nome.","NO"
"Grossi_Tommaso-Marco_Visconti-1834","Grossi Tommaso","Marco Visconti","1834","Successore di un sì bel retaggio, il conte Oldrado non avea però saputo mantenerselo, ed era scaduto assai nel concetto degli antichi clienti della sua casa: non ch'egli fosse cattivo; era una bella e buona pasta d'uomo; ma essendogli capitato di vivere in tempi difficili, in circostanze forti e malagevoli, non trovava nella sua natura floscia, timida, e non altro che vanitosa, il vigore necessario per far il bene che avrebbe pur voluto. Intorno a quel tempo era calato in Italia Lodovico detto il Bavaro, e, deposto di proprio capo, il sovrano pontefice Giovanni XXII residente ad Avignone, dal quale era stato scomunicato, erasi arrogato di far crear papa in sua vece in Roma un Pietro da Corvara dell'ordine dei Minori, che prese il nome di Niccolò V, empiendo per tal modo tutta cristianità di scandalo e di scisma. Milano, che gemeva già da molti anni sotto l'interdetto stato fulminato per odio dei Visconti, potenti ed accaniti favoreggiatori di parte ghibellina, si dichiarò tosto per l'antipapa; ed avendo questi ribenedetto lo Stato, la città capitale, le altre città minori e i borghi più considerabili riapersero le chiese, e il poco clero rimasto fra noi, riprese le funzioni ecclesiastiche e l'amministrazione dei sacramenti, come a tempi ordinari.","NO"
"Grossi_Tommaso-Marco_Visconti-1834","Grossi Tommaso","Marco Visconti","1834","Ma nelle campagne, sul lago di Como principalmente, il popolo, meno infuriato negli odi di parte, si mantenne fedele al vero pontefice, e rifiutando di aprir le chiese, considerava come scismatici e scomunicati i sacerdoti che vi venivano spediti dalla capitale. V'eran poi, come è facile a supporsi, nelle città e nei borghi di quelli che la pensavano come i contadini, e v'erano degli abitanti di piccole terre che partecipavano alle opinioni di quelli delle grosse borgate, il che potete pensare quanto dovesse render dolce e riposato il viver civile in quei poveri tempi. Dappertutto profanazioni, violenze, risse e sangue.","NO"
"Grossi_Tommaso-Marco_Visconti-1834","Grossi Tommaso","Marco Visconti","1834","Frate Aicardo, arcivescovo di Milano, l'abate di Sant'Ambrogio, la maggior parte degli abati dei più ricchi ed insigni monasteri, fuggiti già da un pezzo; la più eletta porzione del clero sì regolare, che secolare, errante, mendica per le terre d'Italia e di Francia; la mensa arcivescovile, le abbazie, i benefici ecclesiastici di minor conto, occupati e tenuti violentemente da' signori laici, o da sacerdoti scismatici amici dell'imperatore. In tanta perturbazione, in tanto viluppo di cose, Giovanni Visconte, parente dei principi, che era stato nominato abate di S. Ambrogio, in luogo del vero abate Astolfo da Lampugnano, avea mandato a Limonta procuratore del monastero un furfante, mettitor di dadi malvagi, stato già condannato in Milano come falsario, il quale per vendetta della fedeltà che quei poveri montanari serbavano al loro legittimo signore, li veniva succiando, pelando, scorticando senza pietà, faceva loro mille angherie, mille soprusi, li trattava come roba di rubello. I Limontini si rivolgevano al conte Oldrado perchè s'adoperasse presso l'abate, intercedesse dai signori, facesse valer le loro ragioni; ma gli era come a pestar l'acqua nel mortaio; il conte avea tanti rispetti, tante paure, non voleva commettersi con alcuno, non voleva arrischiare di andar in disgrazia dei Visconti, e compiangendo in cuor suo quei miseri malmenati, gli avrebbe lasciati sparare prima di risolversi a levare un dito per aiutarli.","NO"
"Grossi_Tommaso-Marco_Visconti-1834","Grossi Tommaso","Marco Visconti","1834","Il Pelagrua (tal era il nome del procuratore del monastero) fatto pertanto sempre più animoso e bizzarro, alla fine ne pensò una per disertar del tutto in una volta que' suoi governati, una bricconata temeraria che glieli desse in balìa anima e corpo, come suol dirsi, senza aver a piatire con essi ad ogni piè sospinto. Andò a cavar fuori certe antiche scritture della donazione fatta da Lotario Augusto di quella terra ai monaci di S. Ambrogio, colle quali scritture pretese di far dichiarare i Limontini non già vassalli, com'erano, ma servi del monastero, e citolli a quest'effetto a Bellano per essere giudicati. Bellano era allora Corte arcivescovile (corte chiamavasi una tenuta dove il signore del feudo avesse casa e chiesa, e più propriamente dove si amministrasse giustizia), e ai messi dell'arcivescovo sarebbe toccata appunto la decisione di una lite di quella natura.","NO"
"Grossi_Tommaso-Marco_Visconti-1834","Grossi Tommaso","Marco Visconti","1834","Ma essendo l'arcivescovo fuggito dalla diocesi, molti beni della mensa sulla riviera di Lecco e nella Valsassina, e fra questi appunto la corte di Bellano, erano stati occupati da un Cressone Crivello, signore potente e favoreggiatore dei Visconti; perciò non già ai messi arcivescovili, ma a quel del Crivello veniva a devolversi la causa dei Limontini. Ora, questo nuovo signore era troppo palesemente amico del falso abate di S. Ambrogio, troppo interessato a favorire le usurpazioni ch'egli medesimo non cessava di esercitare su i nuovi suoi vassalli, perchè s'avesse ad aspettare da lui altro che male per quei di Limonta. Non domandate se essi ne levarono le strida, se si tornarono a raccomandare al conte del Balzo; tutto fiato buttato via: il conte, quantunque pregato e supplicato da Ermelinda, così avea nome sua moglie, e dalla figlia Bice ch'era il cuor suo, non ebbe mai il coraggio di pigliar le difese degli oppressi, i quali dovettero lasciarsi trascinare avanti a quel tribunale incompetente e iniquo, aspettando un giudizio che avvisavano pur troppo non poter esser altro che un assassinamento.","NO"
"Grossi_Tommaso-Marco_Visconti-1834","Grossi Tommaso","Marco Visconti","1834","Volgeva verso la sera il giorno in cui s'era trattata la causa, e il falconiere del conte stava su 'n rivellino del castello guardando giù il lago fin dove poteva giunger l'occhio se si vedesse spuntare qualcuna delle barche che doveano tornare da Bellano. Finalmente scoperse in lontananza una vela color marrone, la vide crescere, farsi vicina, vide approdare la barchetta che la portava, e si mosse sollecitamente per darne avviso al padrone. Stava questi in una ricca sala, seduto su 'n seggiolone a bracciuoli, colla spalliera che terminava in punta, e ai piedi di lui su d'un basso predellino si vedeva un leggiadro paggetto vispo, gaio come un amore.","NO"
"Grossi_Tommaso-Marco_Visconti-1834","Grossi Tommaso","Marco Visconti","1834","Condannato dal suo uffizio a starsene zitto e quieto a quel posto, il ragazzo baloccavasi di soppiatto con un grosso levriere, il quale, dimenando la coda, aguzzando gli orecchi, dando di tratto in tratto qualche salterello, qualche lancio, rispondeva a' suoi inviti. Il conte del Balzo era un uomo più vicino ai cinquanta che ai quarant'anni: di sotto ad un berretto riquadrato di sciamito nero gli uscivano su i polsi due cernecchi, ch'egli avea sempre chiamati biondi fin da giovane, quand'eran rossi, e che continuava magnanimamente a chiamar biondi ancora, con tutto che fossero brizzolati tanto che il bianco oramai era il colore che dava più nell'occhio: una faccia affilata e lentigginosa si terminava in un mento aguzzo sul quale, allorchè il conte parlava, vedevasi ballare una barbetta rada rada, corta corta, del color de' capelli: due occhietti bigi con una guardatura fra' peli aveano pur qualche fuoco, ma su quel viso di stecco, in compagnia d'una bocca artificiosamente stretta ai canti e rialzata nel mezzo, non significavano che una vanità beata in sè stessa. Gli posava sul pugno un superbo girifalco che parea goder tutto delle sue carezze, ed ora si chinava mollemente sotto di quelle, mandando un lieve gemito, ora arruffando le penne avventavasi alla mano che lo toccava, e non facea però che bezzicarla domesticamente.","NO"
"Grossi_Tommaso-Marco_Visconti-1834","Grossi Tommaso","Marco Visconti","1834","Quando il falconiere entrò nella sala, il generoso uccello riconobbe tosto il maestro che l'avea mansuefatto; e scuotendo le ali e gemendo più forte, parea invitarlo a prenderlo in pugno. - E così? - domandò il padrone al falconiere, - vengono costoro da Bellano?","NO"
