"filename","nome","titolo","anno","chunk","DIL"
"Guerrazzi_Francesco_Domenico-Il_Marchese_di_Santa_Prassede-1853","Guerrazzi Francesco Domenico","Il Marchese di Santa Prassede","1853","LA VENDETTA PATERNA «Maledetto chi non onora suo padre; - maledetto nella città, maledetto nella campagna. Io ti percuoterà con miseria, febbre, freddo, ardore, melume e malaria finchè tu muoia.","NO"
"Guerrazzi_Francesco_Domenico-Il_Marchese_di_Santa_Prassede-1853","Guerrazzi Francesco Domenico","Il Marchese di Santa Prassede","1853","- Il cielo sopra te sia di bronzo, la terra che tu calpesti di ferro. Il Signore sommuova dalla terra polvere, dal cielo piova cenere finchè tu vi rimanga sepolto; - ti dia in mano ai tuoi nemici; e mentre tu sorti per una via contro di loro, tu ne fugga per sette andando disperso per la terra. Il tuo cadavere diventi pasto di tutti i volatili del cielo, di tutte le bestie della terra, e nessuno lo porti via...","NO"
"Guerrazzi_Francesco_Domenico-Il_Marchese_di_Santa_Prassede-1853","Guerrazzi Francesco Domenico","Il Marchese di Santa Prassede","1853","Sii percosso d'insania, di pazzia, di furore di mente. - Va di mezzogiorno tentoni come il cieco nelle tenebre. - La tua moglie accolga nel suo braccio adulteri.","NO"
"Guerrazzi_Francesco_Domenico-Il_Marchese_di_Santa_Prassede-1853","Guerrazzi Francesco Domenico","Il Marchese di Santa Prassede","1853","- Fabbricherai la tua casa, ma non vi abiterai; pianterai la vigna, ma non la vendemmierai; ti uccideranno il bove, e tu non ne mangerai... e di questo si vedranno in te segni espressi, e prodigi.» Deuteronom. CAP.","NO"
"Guerrazzi_Francesco_Domenico-Il_Marchese_di_Santa_Prassede-1853","Guerrazzi Francesco Domenico","Il Marchese di Santa Prassede","1853","27. 28. Orazio, come tutti i personaggi di romanzo, prima ricusa a raccontare, e poi racconta; però che diversamente non si stamperebbe la storia. «In quanto a' capelli diventati bianchi tutto ad un tratto, notò un bandito mentre scuoteva la pipa per farne uscire la cenere del tabacco, ho inteso raccontare, che quando don Flaminio il Marchese di santa Prassede maledisse i suoi figliuoli, le imprecazioni del vecchio bruciassero i capelli su cotesti loro capi, e ne calcinassero i cervelli come pietra in fornace: insomma, che il fuoco di Sodoma non facesse men peggio, nè più tardi.» «Fanfaluche!» esclamò Orazio avviluppandosi nel gabbano, e mutando fianco sopra il letto di foglie, che si era fatto sotto la quercia.","YES"
"Guerrazzi_Francesco_Domenico-Il_Marchese_di_Santa_Prassede-1853","Guerrazzi Francesco Domenico","Il Marchese di Santa Prassede","1853","«E come potete voi affermare che le sono fanfaluche?», «Perchè lo so. - Ah!, soggiunse poi troppo più dura sorte incolse a quei miseri. «In fede di Dio, interrogò una voce diversa che usciva da un cespo, che cosa mai poteva loro accadere di peggio?» «Marco, rispose Orazio con parole lente, e pàrti poi gran male la morte se ti coglie subita, e improvvisa?","NO"
"Guerrazzi_Francesco_Domenico-Il_Marchese_di_Santa_Prassede-1853","Guerrazzi Francesco Domenico","Il Marchese di Santa Prassede","1853","Di minuto in minuto limarti anima e corpo, e mandarteli dispersi come limatura di ferro, allungarti l'agonia, e non darti la morte, lasciarti la smania di rifuggirti sotto terra, e levarti il flato di percuoterla, e dire: o terra, cuoprimi! Questo vedi, Marco, è troppo peggio della famosa spinta che un giorno o l'altro ti darà mastro Alessandro, per la quale fa conto di trovarti nello altro mondo senza che tu te ne accorga nemmeno.» «E pure, riprese il bandito che fu primo a parlare, che il caso dei figli del Marchese di santa Prassede fosse successo per lo appunto come io l'aveva contato seppi per cosa certa da un cugino della cognata del guardaportone del palazzo Massimi, che di coteste faccende doveva essere a parte meglio di voi. A voi chi lo ha raccontato, Orazio?» «A me?","NO"
"Guerrazzi_Francesco_Domenico-Il_Marchese_di_Santa_Prassede-1853","Guerrazzi Francesco Domenico","Il Marchese di Santa Prassede","1853","Nessuno.» «Or dunque, come lo sapete?» «Io ho veduto morire i figli maledetti.» «La notte è lunga; e al sonno, quando posa su le palpebre del bandito, par di sedere su i pettini da lino: or dunque narraci questa storia, Orazio; noi ti staremo a udire.» «Io conto, e narro quando me ne piglia l'estro, disse Orazio riponendosi a giacere sopra il letto di foglie: - voi poi, soggiunse poco dopo, se non sapete logorare meglio o peggio il vostro tempo, fischiate.» Ma il giovanetto, che soleva cantare le canzoni composte da Orazio, gli si pose accanto; mise le mani incrociate sopra la sinistra spalla di quello, e sopra le mani appoggiò la guancia; poi levando dolcemente gli occhi, così prese piuttosto a mormorare, che a dire: «Racconta, mio buono Orazio, racconta. Dio ti ha creato apposta per raccontare, come il rosignolo per cantare. - Orazio, in dieci colpi di archibugio tu ne sbagli due; ma le tue storie valgono anche meglio dei tuoi tiri.","NO"
"Guerrazzi_Francesco_Domenico-Il_Marchese_di_Santa_Prassede-1853","Guerrazzi Francesco Domenico","Il Marchese di Santa Prassede","1853","Orazio, tu sai condurre una imboscata come il Cavaliere dei Pelliccioni; ma più hai talento per esporre un racconto. Tu sai tutto; tu ti sei trovato a tutto. Io penso, che tu ti fossi presente quando Dio appiccò in mezzo al cielo il gran lampione del Sole; tu devi avere insegnato a Noè a pigiare l'uva; e se non portasti mattoni alla torre di Babele ha da essere caso.","NO"
"Guerrazzi_Francesco_Domenico-Il_Marchese_di_Santa_Prassede-1853","Guerrazzi Francesco Domenico","Il Marchese di Santa Prassede","1853","Se non sapessi che tu sei carne battezzata, io ti crederei quel cane di giudeo che negò a Cristo di riposare all'ombra della sua casa, onde ei ne va condannato a ramingare pel mondo fino alla consumazione dei secoli. Se il Papa ci offrisse una coppia dei suoi cardinali in cambio di te, noi gli diremmo: - Santo Padre, tienti i tuoi cardinali, e lasciaci il nostro Orazio. - Veda un poco papa Clemente se possiede in corte un fiore di lingua come sei tu: forse il Baronio, che scrive storie da far dormire ritti?","YES"
