"filename","nome","titolo","anno","chunk","DIL"
"Gwis_Adami_Rosalia-La_vergine_ardente-1914","Gwis Adami Rosalia","La vergine ardente","1914","﻿La Vergine ardente ROMANZO DI Rosalia Gwis Adami PARTE PRIMA. AURORA MYSTICA. Elena, Edith, Micaela.... Tali i nomi delle creature palpitanti nel mio spirito e che in tutti i miei atomi cantano note armoniose.","NO"
"Gwis_Adami_Rosalia-La_vergine_ardente-1914","Gwis Adami Rosalia","La vergine ardente","1914","È la vita intiera ch’esse mi rivelano con le loro linee di bellezza, le ombre di peccato e la malìa di mistero. Io seppi il palpito più recondito del loro cuore, ignoto forse a loro stesse. Forse il destino le fece vivere intorno a me per donarmi lo spasimo incoercibile di analizzare la loro sostanza e fissare la loro imagine.","NO"
"Gwis_Adami_Rosalia-La_vergine_ardente-1914","Gwis Adami Rosalia","La vergine ardente","1914","Quale sentimento, istinto, pensiero o sogno muliebre, io non colsi nei loro triplici atteggiamenti? Ora è Elena che mi seduce con le onde tumultuose d’arte della sua psiche mutevole, ora Edith che mi culla con la sua pacata armonia, ma più sovente l’Altra batte il suo ritmo recondito e mi sussurra col suo lento alzare di ciglia: Io sono immortale. E tutta la loro vita mi è presente, come un colle ch’io contempli dal mare al cielo.","NO"
"Gwis_Adami_Rosalia-La_vergine_ardente-1914","Gwis Adami Rosalia","La vergine ardente","1914","E devo dire di questo mare, che diede loro i natali, per descrivere l’atmosfera diversa nella quale i loro spiriti si agitarono. Le rivedo quali erano bambine, nel loro primo attimo fugace. Le rivedo velate di luce pallida, dietro la lunga strada del tempo; ma così distinte, così diverse l’una dall’altra, che mi è impossibile non delinearle.","NO"
"Gwis_Adami_Rosalia-La_vergine_ardente-1914","Gwis Adami Rosalia","La vergine ardente","1914","Grandi gli occhi e i riccioli al vento! Le tre più belle bambine ch’io abbia vedute l’una accanto all’altra, con grembiulini uguali, sorelle. Ognuna aveva negli occhi la sua impronta, ognuna portava segnato in fronte il proprio destino.","YES"
"Gwis_Adami_Rosalia-La_vergine_ardente-1914","Gwis Adami Rosalia","La vergine ardente","1914","Ma la gente non se ne accorgeva. L’anima della folla passava davanti al prodigio mormorando una frase puerile: – Come sono belle! – E intanto si accumulavano scintille in quei piccoli cuori per l’incendio di poi.","YES"
"Gwis_Adami_Rosalia-La_vergine_ardente-1914","Gwis Adami Rosalia","La vergine ardente","1914","* O Elena, non vivesti tu mai inconsapevole? Nel tuo cuore di bimba io già conobbi la donna. Già sentii l’anima tua presente e palpitante, quando, attonita davanti al paesaggio, dicevi: Come canta questo grillo!","NO"
"Gwis_Adami_Rosalia-La_vergine_ardente-1914","Gwis Adami Rosalia","La vergine ardente","1914","Che rumore strano ha la fontana! – Sul tuo viso infantile di già scendeva e si componeva un velo di pensiero. Che scrivevi nel piccolo libro rosso che portavi con te?","NO"
"Gwis_Adami_Rosalia-La_vergine_ardente-1914","Gwis Adami Rosalia","La vergine ardente","1914","Le tue memorie, come se la tua vita fosse cominciata di già. Lo leggevi anche, come eri sola, a voce alta e ti compiacevi di cieli azzurri, di verde, di fiori, di lucciole. Ti pareva che un piccolo genio ti librasse per sentieri noti a te sola.","YES"
"Gwis_Adami_Rosalia-La_vergine_ardente-1914","Gwis Adami Rosalia","La vergine ardente","1914","Non mai ti vidi correre con altri fanciulli. Soltanto vestivi le bambole di Micaela, le vestivi con eleganza, a imitazione di qualche signora ammirata nella via. Io so che scrivevi nel tuo libro!","YES"
"Gwis_Adami_Rosalia-La_vergine_ardente-1914","Gwis Adami Rosalia","La vergine ardente","1914","Un ufficiale, amico del babbo, ti sollevava nelle braccia. Anche le sorelle alzava così, ma soltanto il tuo volto si faceva di fiamma. Avevi allora dieci anni.","YES"
"Gwis_Adami_Rosalia-La_vergine_ardente-1914","Gwis Adami Rosalia","La vergine ardente","1914","L’anno dopo componevi un romanzo. Era a base di sacrifizio patetico-sentimentale, e avveniva in un vasto castello, al tempo che Jolanda fece palpitare il cuore di Fernando. Era intitolato: La Duchessina.","NO"
"Gwis_Adami_Rosalia-La_vergine_ardente-1914","Gwis Adami Rosalia","La vergine ardente","1914","Forse per sentirti degna di quella storia romantica, ti tessesti nel cuore una trama di romanzo. Ricordi il biondo fanciullo della gondola? Pensavi allora versi pieni di acque limpide, di mari immensi, di barcucce snelle, di giovani biondi.","YES"
"Gwis_Adami_Rosalia-La_vergine_ardente-1914","Gwis Adami Rosalia","La vergine ardente","1914","Forse i tuoi sogni ti trasparivano dagli sguardi quando il tuo innamorato passava accanto al tuo orto, baciato dal mare. Tra fanciulli non è difficile far conoscenza, ma riuscì difficilissimo per voi che non volevate approfittare della vostra età detestabile. Oh, amarsi col cuore sul cuore e sussurrarsi parole di mistero!","YES"
"Gwis_Adami_Rosalia-La_vergine_ardente-1914","Gwis Adami Rosalia","La vergine ardente","1914","Perciò alcune settimane passarono prima che tu salissi in quella gondola e poi ancora molti giorni passarono prima ch’Egli dicesse l’arcana parola degli innamorati, quella che attendevi con cuore ansante, letta già molte volte nei romanzi rubati alla mamma, quella che i ragazzi non possono dire. Ma vi sono ragazzi e ragazzi. E tu pensavi che Dante e il Leopardi amarono a nove anni.","YES"
"Gwis_Adami_Rosalia-La_vergine_ardente-1914","Gwis Adami Rosalia","La vergine ardente","1914","Pensasti alle nozze nel velo della prima comunione, mentre Egli ti guardava estasiato dalla grata del coretto. Tu sapevi ch’Egli era lassù e pronunziasti una sola preghiera: Signore, fa ch’io sia presto sua sposa. E anche so i versi tuoi di quel giorno: Vo’ godere.","NO"
"Gwis_Adami_Rosalia-La_vergine_ardente-1914","Gwis Adami Rosalia","La vergine ardente","1914","Vo’ un uom che m’adori, che mi dica tremando: sei mia. Signore, non è fantasia. Io già intendo l’ebbrezza d’amor.","NO"
"Gwis_Adami_Rosalia-La_vergine_ardente-1914","Gwis Adami Rosalia","La vergine ardente","1914","Oh, avessi intraveduta allora, o bambina, la trama del tuo avvenire, avessi avuta la visione dei fiori che sarebbero appassiti nelle tue dita! Un nucleo di passione si formava in te. E tu entravi nel mondo.","YES"
"Gwis_Adami_Rosalia-La_vergine_ardente-1914","Gwis Adami Rosalia","La vergine ardente","1914","* Invece Edith era una creatura chiassosa. Rompeva i giocattoli e correva al sole, smaniosa di luce e di moto. Mangiava le frutta acerbe, si arrampicava sugli alberi, correva sui muricciuoli, fiutava l’odore del pericolo.","NO"
"Gwis_Adami_Rosalia-La_vergine_ardente-1914","Gwis Adami Rosalia","La vergine ardente","1914","La sua deità era una piccola acrobata ammirata al circolo equestre. Si sforzava d’imitarla. Adunava i ragazzi del paese per offrire rappresentazioni gratuite e pascersi della loro meraviglia.","NO"
