"filename","nome","titolo","anno","chunk","DIL"
"Ilari_Nino-I_signori_della_prigione-1905","Ilari Nino","I signori della prigione","1905","﻿Nino Ilari - I signori della prigione PREFAZIONE Roma, per quanto non abbia una Mala vita così pericolosa come quella che esiste a Napoli, vale a dire una vera e propria associazione di delinquenti e di gente di mal’affare che si spande - come maglia misteriosa - nel sottosuolo sociale, ha tuttavia anch’essa il suo mondo sotterraneo, un mondo ove vivono ladri di professione e luccica spesso la lama di un pugnale omicida, ove si meditano i furti più audaci, ove, tra una bestemmia e una oscenità, si strappano pochi soldi a una sventurata, ove vive la infinita classe dei ricettatori, degli speculatori di loschi affari, degli am-moniti, dei sorvegliati, dei reduci dalle patrie galere e dal domicilio coatto. Questo sudicio e losco torrente della Mala vita romana viveva una volta nei quartieracci dai vicoli stretti e fangosi dei pressi di Castel Sant’Angelo; in quelle viuzze strette e tortuose che si chiamarono o si chiamano ancora dei Vecchiarelli, del Mastro, della Scarpetta; fino a pochi anni fa sorgevano case luride, dalle scale a chiocciola, unte, fetide; là la donna si affacciava dietro le persiane socchiuse aspettando l’amante; là - nelle taverne - i ladri professionali dividevano il bianchetto (argento) sgranciato (rubato), o macchinavano, tra un bicchiere e l’altro di vino, i colpi da farsi.","NO"
"Ilari_Nino-I_signori_della_prigione-1905","Ilari Nino","I signori della prigione","1905","Oggi il piccone ha demolito, in gran parte, quelle viuzze e quegli antri, e la Mala vita si è concentrata un po’ verso il Trastevere, in quelle vie di Borgo così piene di miseria, un po’ nei prati, lungo la linea del Tevere, e principalmente nella Roma nuova, nel quartiere di San Lorenzo. Se passate - a notte alta - per una strada deserta di Roma e udite echeggiare in lontananza, finchè muore lentamente nelle tenebre, un ritornello, ponete mente a quella cantilena e a quelle parole. Qualche volta la canzone dice: O giovanotti de la mala vita nun se pò più canta gira la rota; nun se pò più cantà gira la ròta, perchè er questore ce l’à provibbita.","NO"
"Ilari_Nino-I_signori_della_prigione-1905","Ilari Nino","I signori della prigione","1905","Gira la ròta, gira la ròta der calesse, ’sta cosa nun po’ èsse’, l’avemo da cantà! 4 Quel canto funebre che fende la tristezza nera della notte, come l’ululato sinistro di un cane che abbaia al vento, è il canto dei ladri, è il canto di allarme che - gettato da chi sgama (sta in guardia) ad un angolo di strada - mette sull’attenti il compagno che sunteggia (ruba) nelle vicinanze. Quella canzone è la nènia di tutta una classe di individui che vive del mestiere del ladro, eseguendo oggi il borseggio dell’orologio, domani della spilla, svaligiando stanotte una bottega, derubando domani notte il portrїone (l’individuo addormentato).","NO"
"Ilari_Nino-I_signori_della_prigione-1905","Ilari Nino","I signori della prigione","1905","E nel mondo di costoro che Nino Ilari porta il lettore. +++ Nessuno aveva descritto la Mala vita romana: coi Signori della prigione (nel gergo dei ladri: Vaschi della bujósa) Nino Ilari - uno dei più noti e più simpatici poeti dialettali di questa nostra Roma - spalanca al pubblico curioso le porte di questo mondo sotterraneo che pochissimi conoscono. E nessuno meglio di Nino Ilari poteva offrirsi a guida del profano attraverso gli oscuri viottoli della Mala vita romana, poichè egli conosce a fondo gli ambienti che descrive, poichè egli - con l’occhio attento dell’osservatore - molte cose ha visto e molte cose conosce di questo mondo equivoco che vive camminando sull’orlo del Codice penale; egli ha studiato profondamente ciò che narra e le sue pagine sono tante fotografie istantanee della Mala vita romana colte, con grande amore, dal vero.","NO"
"Ilari_Nino-I_signori_della_prigione-1905","Ilari Nino","I signori della prigione","1905","Nino Ilari non si è accontentato di scrivere e modellare egregiamente i suoi brillanti sonetti romaneschi, egli è sceso giù nei bassi fondi della nostra Roma per vedere e studiare, parlando il gergo dei ladri e degli omicidi, si è cacciato in quelle misteriose sale di convegno ove giuoca, danza e si diverte la Mala vita. E dopo ciò, egli ha scritto. Le scene della Serenata e della Strega, la bottega del Bujaccaro, quegli oscuri antri di osteria che egli descrive, sono vere fotografie ed hanno un grande valore come studio umano.","NO"
"Ilari_Nino-I_signori_della_prigione-1905","Ilari Nino","I signori della prigione","1905","Non nascondo che spesso l’autore, trascinato dalla sua fantasia di poeta, ha ricamato scene romantiche e fantastiche interno al nodo principale del Romanzo, ma tutto ciò che riguarda la Mala vita, ripeto, è una esatta riproduzione dal vero. ALFREDO NICEFORO. La barca della morte","NO"
"Ilari_Nino-I_signori_della_prigione-1905","Ilari Nino","I signori della prigione","1905","Le ciriole di mastr’Adriano. Ad uno di quei tramonti di giugno, da natura concessi solo agli abitanti di Roma e dei colli del Lazio e del Tuscolo, tramonti rossi che sembra avvolgano la Città Eterna, sovrana del mondo, in una immensa veste di porpora, era seguita - caso non raro in tal mese - una nottata delle più tempestose. Improvvisamente densi nuvoloni, carichi di elettricità, s’erano addensati su per l’aria, e, spinti da un vento impetuoso, si rincorrevano a guisa di tanti giganteschi elefanti in una sterminata foresta, minacciati da una fiumana di fuoco impetuosamente irrompente.","NO"
"Ilari_Nino-I_signori_della_prigione-1905","Ilari Nino","I signori della prigione","1905","E strano non sembri il paragone, inquantochè il cielo, di tanto in tanto, si accendeva, e, per qualche secondo, rassomigliava ad un immane incendio, e le nubi si coloravano di sanguigno, mentre il tuono brontolava in lontananza, terribile nel suo pauroso boato. Era facile quindi prognosticare che un furioso temporale, una tropèa, come comunemente a Roma si chiama, sarebbe scoppiata di lì a poco. Ed infatti, verso le dieci, il temporale si scatenò in tutta la sua violenza.","NO"
"Ilari_Nino-I_signori_della_prigione-1905","Ilari Nino","I signori della prigione","1905","Chi, verso quell’ora, si fosse trovato (dico una cosa quasi impossibile!) nelle vicinanze del campo di tiro di Acqua Acetosa, ed avesse calcata la piccola stradicciuola campestre che costeggia la riva sinistra del Tevere, sotto il forte Antenne, e precisamente là dove l’Aniene, biforcandosi e formando una graziosissima isoletta, mette foce nel biondo (fatemelo colorire anche a me, per una volta soltanto, lo prometto!) fiume, avrebbe visto, rivolgendo gli sguardi a monte del Tevere, una fragile barchetta che, sfidando impavida la bufera, risaliva tranquillamente la corrente, la quale, per le recenti e continue pioggie che avevano gonfiato il fiume, era più del solito rapida.","NO"
"Ilari_Nino-I_signori_della_prigione-1905","Ilari Nino","I signori della prigione","1905","Ma chi guidava la barchetta doveva certo conoscere il fiume a menadito, giacchè egli, con vigorosi colpi di remo, ne vinceva la resistenza, e, benchè adagio adagio, evitando maestrevolmente i polverini, le mollacele e i rigiri, continuava ad avanzare. Andò così avanti la barchetta per circa un altri cinquecento metri, poi, giunta in prossimità dell’arbucceto, località così denominata perchè ivi è piantata una piccola macchia di abeti, s’accostò alla riva e si fermò. Evidentemente il pescatore, che tale infatti era chi la guidava, era giunto al termine del suo notturno nonchè malaugurato viaggio, ed aveva raggiunto il suo primo postarello, dove sperava certo di scajare, prendendo qualche ciriola al mazzo.","NO"
