"filename","nome","titolo","anno","chunk","DIL"
"Invernizio_Carolina-Rina-1877","Invernizio Carolina","Rina","1877","﻿Carolina Invernizio Rina o l’angelo delle Alpi Dedica","NO"
"Invernizio_Carolina-Rina-1877","Invernizio Carolina","Rina","1877","Alla nobil donna Generalessa Lavinia Bocca-Trezza Illustre Signora, Nel pubblicare in volume questo mio lavoro, che più d’ogni altro mi è caro, perchè mi ricorda le mie prime aspirazioni, i miei primi sogni d’autrice, le più dolci fantasie della mia giovinezza, non so ritenermi dal fregiarlo del suo bel nome, tanto più che da lungo tempo desideravo attestarle pubblicamente la mia devota ammirazione, l’affetto che nutro per Lei, che tanta benevolenza mi ha sempre dimostrata e che mi fu spesso larga d’incoraggiamento e di plauso. La mia offerta è poca cosa, lo so; ma il sentimento che me l’ha ispirata è tanto più grande, come l’affetto che la dettò, parlerà forte al suo nobilissimo animo.","NO"
"Invernizio_Carolina-Rina-1877","Invernizio Carolina","Rina","1877","Accolga pertanto con l’usata sua gentilezza il mio umile omaggio, e se il di Lei cuore temprato a corde così soavi e delicate, palpiterà alla lettura del mio libro; se i casi pietosi della mia Rina le inumidiranno i begli occhi, io avrò conseguita la più desiderata delle soddisfazioni; io avrò ottenuta la più bella delle ricompense. Mi creda adesso e sempre Di Lei Illustre Signora,","NO"
"Invernizio_Carolina-Rina-1877","Invernizio Carolina","Rina","1877","Dev.ma Obbl.ma Carolina Invernizio. Firenze, Luglio 1884. Introduzione: La piccola Orfana","NO"
"Invernizio_Carolina-Rina-1877","Invernizio Carolina","Rina","1877","Qual’è l’italiano che non si senta balzare il cuore in petto alla vista delle Alpi e non provi la stessa commozione di chi giunge per la prima volta in riva al mare? Non formano difatti questi monti il limite e la rócca dell’Italia? Non furono dessi insanguinati dagl’invasori della nostra patria?","NO"
"Invernizio_Carolina-Rina-1877","Invernizio Carolina","Rina","1877","Eppoi cosa si vorrebbe trovare di più bello, di più poetico, di questa grandiosa opera del Creatore? Quivi vaghe pendici e floride vallate, amene rive di fiumi, effetti pittoreschi d’acqua e di luce, stupende sinuosità, contrasti di alte cime e di placidi gioghi, di nevi e di fiori: quivi una popolazione buona, tranquilla, religiosa, intelligente, amante del lavoro, che non trova altro diletto che fra i suoi monti, sotto la volta del suo bel cielo e nelle rozze sue capanne. Presso le rovine di un antichissimo Castello, quasi a’ pie delle Alpi, in un piccolo casolare, viveva una povera donna chiamata Geltrude, con un’unica giovinetta sui quindici anni, la cui nascita era un mistero per tutti.","YES"
"Invernizio_Carolina-Rina-1877","Invernizio Carolina","Rina","1877","Dodici anni prima dell’epoca del nostro racconto, in una fredda e buia mattina d’inverno, Geltrude usciva dalla sua capanna a piedi nudi, con un secchio di latte in capo, avviandosi lesta lesta sulla collina, in cima alla quale, mezza nascosta fra grandi alberi, ai scorgeva una deliziosa villa. Il vento soffiava sordamente facendo scricchiolare le secche foglie degli alberi: radi fiocchi di neve le sbattevano contro il volto, fatto livido dal freddo;… nonostante la montanara continuava sempre a salire, non curandosi della bufera, che s’avanzava sinistra e tenta, coprendo la volta del cielo. Ad un tratto parve a Geltrude di udire un lieve gemito... Credette di essersi ingannata: stette alquanto in ascolto, ed ecco ripetersi lamentevolmente lo stesso grido;... ma sì flebile, indistinto, che svaniva nella lontananza.","NO"
"Invernizio_Carolina-Rina-1877","Invernizio Carolina","Rina","1877","— Vergine benedetta — disse la montanara — forse qualche persona è in pericolo ed ha bisogno di aiuto... dovrei lasciarla morire? E la coraggiosa donna depose il secchio, si fece il segno della croce e si avviò dalla parte donde le parve che venisse il lamento. Era ancora così buio, che riusciva quasi impossibile vedere dove ponesse il piede.","NO"
"Invernizio_Carolina-Rina-1877","Invernizio Carolina","Rina","1877","Nonostante non si perdette d’animo ed ecco, fatti appena pochi passi, una vocina dolce, ma rotta dai singhiozzi, uscire da un burrone: — Mamma... o la mia mamma!... La montanara provò un fremito di compassione e sentì raddoppiare la sua energia.","NO"
"Invernizio_Carolina-Rina-1877","Invernizio Carolina","Rina","1877","Afferrandosi ai tronchi ed ai cespugli e puntando tra le reste e le bricche dello scoglio, pervenne fino al fondo. Quivi al tenue chiarore dell’alba, potè scorgere una donna distesa, immobile, colla faccia pesta, insanguinata, e vicino a lei una vezzosa fanciullina di forse tre anni, assiderata dal freddo, e che pur nonostante colle tenere manine accarezzava il viso irrigidito della sventurata, tentando con le carezze e le lacrime di richiamarla alla vita. — Povera infelice — disse Geltrude stemprandosi in lacrime — avrà, voluto camminar di notte in questi sentieri sconosciuti e sarà caduta...","NO"
"Invernizio_Carolina-Rina-1877","Invernizio Carolina","Rina","1877","Oh! se potessi sollevarla. — Mamma, oh!","NO"
"Invernizio_Carolina-Rina-1877","Invernizio Carolina","Rina","1877","la mia mamma — diceva intanto la bambina, serrandosi stretta alle ginocchia della montanara. Questa tentò di prendere un braccio della donna, ma il braccio ricadde inerte: la sollevò per le spalle, ma il loro peso e la rigida immobilità, la fecero ben presto accorta che si trattava di un cadavere. Allora si decise di chiamar soccorso.","NO"
"Invernizio_Carolina-Rina-1877","Invernizio Carolina","Rina","1877","Presa in braccio la bambina, che vinta dal freddo stava per isvenire e non borbottava che parole inintelligibili, s’avviò correndo per uno stretto viottolo dalla parte opposta del burrone e in pochi istanti si trovò sulla strada maestra. Fosse caso o provvidenza, passavano appunto in quel mentre alcuni contadini, i quali avvisati del pietoso caso, non tardarono a seguir Geltrude, che continuava a tenere stretta la fanciulla al suo seno, e dieci minuti dopo la sventurata straniera era posta sul letto della montanara in attesa del medico e del curato. Checchè facesse l’uomo della scienza, era ormai troppo tardi: la donna non si risvegliò più.","NO"
"Invernizio_Carolina-Rina-1877","Invernizio Carolina","Rina","1877","Niuno seppe chi era e donde veniva. Il giorno dopo fu seppellita senza pompa, nel piccolo cimitero del villaggio, e la fanciullina venne adottata dalla buona Geltrude. — Sono povera, è vero — diss’ella al curato — ma un boccone di pane, se Dio vuole, non mi manca e mi parrà più dolce dividerlo con questa creatura, venuta al mondo così disgraziata.","NO"
"Invernizio_Carolina-Rina-1877","Invernizio Carolina","Rina","1877","Se qualcheduno verrà a reclamarla, io sarò pronta a renderla, ma in contrario ella resterà con me. Geltrude era rimasta vedova da due anni senza figli. La sua piccola casa era povera d’aspetto, ma non rivelava miseria.","NO"
