"filename","nome","titolo","anno","chunk","DIL"
"Ladenarda_Enotrio-La_superfemina_abruzzese-1914","Ladenarda Enotrio","La superfemina abruzzese","1914","﻿Non è il Dio in me? Mi grida entro una voce: Non son io dunque un nume? GABRIELE – Canto novo.","NO"
"Ladenarda_Enotrio-La_superfemina_abruzzese-1914","Ladenarda Enotrio","La superfemina abruzzese","1914","Uscito è dalle mie fornaci il solo Poema di vita totale, vera e propria rappresentazione d'Anima e di Corpo, che sia apparso dopo la Commedia di Dante. Questo Poema si chiama Laus Vitæ. GABRIELE – Prefazione a Più che l'amore.","NO"
"Ladenarda_Enotrio-La_superfemina_abruzzese-1914","Ladenarda Enotrio","La superfemina abruzzese","1914","FR. ENOTRIO LADENARDA La Superfemina abruzzese Ancora una volta la gente a modo mi dirà: «Tu hai mille volte ragione nella sostanza, ma nella forma tu sei eccessivo; tu riusciresti più efficace se tu fossi meno violento». Ohimè! Dunque potrebbe un tartarino camuffarsi da eroe-ammazza-re e ammazza-papi; potrebbe un tirchio darsi l'aria del serafico fraticello; un cantorino potrebbe proclamarsi uguale al divino cantore della Commedia, e non potrebbe un galantuomo bastonare quel falso eroe, prendere a pedate quel falso san Francesco, esporre al pubblico disprezzo quel cantorino?!","YES"
"Ladenarda_Enotrio-La_superfemina_abruzzese-1914","Ladenarda Enotrio","La superfemina abruzzese","1914","Ma questa è la logica di coloro che mai non fûr vivi, a Dio spiacenti ed ai nemici sui. – Là dove le leggi non minacciano – come dovrebbero – la pena della gogna contro cotesta abietta genia di ciurmadori, è necessario che i galantuomini riparino al difetto delle leggi, inchiodando essi alla gogna cotesta genia. Per altro, Cristo – che pure era il mansuetissimo – non discacciò dal tempio, a colpi di corda, quelli che lo profanavano?","NO"
"Ladenarda_Enotrio-La_superfemina_abruzzese-1914","Ladenarda Enotrio","La superfemina abruzzese","1914","– Ciò vuol dire che vi hanno dei casi in cui l'uso della violenza s'impone come una virtù cristiana. Ladenarda Temevo che, da un canto, la vecchiezza e, dall'altro, la malferma salute non mi lasciassero compiere il voto da me fatto alla patria diletta, quello, cioè, di strappare la maschera di «grandi uomini» ai tre più sfacciati e più celebrati frai contemporanei ladri di gloria, falsatori, deviatori e snervatori della nazionale letteratura. – Oggi che questo mio voto è compiuto, io – già presso ai settant'anni, sprezzando l'umana ingiustizia, posso, con fermo animo, serenamente morire.","NO"
"Ladenarda_Enotrio-La_superfemina_abruzzese-1914","Ladenarda Enotrio","La superfemina abruzzese","1914","Ladenarda Fatevi intorno a me, imberbi, barbuti e sbarbati adoratori di Gabriele. Io ho oggi bisogno di voi perchè io possa, guidato da voi, accostarmi all'altare del Divo, e perchè mi ajutiate a fargli le riverenze, le genuflessioni e le fumigazioni che da ciascun uomo sono dovute al Superuomo. Io vo' sorpassarvi tutti in devozione, in adorazione e in umiltà verso l'Immaginifico, che, dall'inaccessibile altezza cui si leva col suo minuscolo corpo, ci domina e ci riempie di gaudio e di sgomento insieme, sia che egli pieghi verso di noi il suo capo pelato e luminoso, sia che egli ci parli il Verbo di Androgine, «il più divino degli Adolescenti».","NO"
"Ladenarda_Enotrio-La_superfemina_abruzzese-1914","Ladenarda Enotrio","La superfemina abruzzese","1914","Tutte le mie forze non ad altro mi servono che a trascinare con immensa fatica qualche granello di polvere a cui la mia immaginazione dà il peso di un macigno gigantesco. Quale è la causa della mia impotenza? Gabriele – (Trionfo della morte).","YES"
"Ladenarda_Enotrio-La_superfemina_abruzzese-1914","Ladenarda Enotrio","La superfemina abruzzese","1914","A questa domanda, che l'Immaginifico fa a se stesso per la bocca di Giorgio Aurispa, suo alter-ego, risponde il presente volume. INTORNO ALLA NASCITA DEL DIVO I pettegoli della «critica» hanno lungamente discusso intorno alla data della venuta al mondo di Gabriele e intorno al luogo dal quale egli rallegrò il mondo col suo primo vagito, come se il nostro «superuomo» fosse morto. Oh!","YES"
"Ladenarda_Enotrio-La_superfemina_abruzzese-1914","Ladenarda Enotrio","La superfemina abruzzese","1914","che sì preziose notizie non potevano, oh! che non possono, anzi, chiederle al «divo» stesso, anzichè gittarsi e smarrirsi in così affannose ricerche? E dire che esiste l'atto di nascita presso l'ufficio di stato civile di Pescara e che c'è anche l'atto di battesimo presso la parrocchia di San Cetteo, nel quale, a edificazione e consolazione nostra, fra altre cose, si legge che il portentoso bambino «nacque il 12 marzo del 1863 nella casa di abitazione della puerpera.» Il parroco che stese l'atto sagramentale, assicurando che «il luogo dove Gabriele aprì la prima volta gli occhi alla luce fu quello dove abitava la puerpera», non peccò – come ognuno potrebbe credere – di ingenuità, che anzi!..","YES"
"Ladenarda_Enotrio-La_superfemina_abruzzese-1914","Ladenarda Enotrio","La superfemina abruzzese","1914","– I superbimbi, come Gabriele, non è necessario che nascano – come fa la comune dei bimbi – da umana carne, ma possono – se lo vogliono – plasmarsi da sè, e in ciò appunto consiste la prova che la natura cui appartengono non è l'umana, ma la superumana; onde, l'accorto, il molto accorto parroco di San Cetteo, il quale, dai segni prodigiosi che portava seco il bambino, intuiva che esso sarebbe stato un giorno creduto più divino di Gesù nato da una vergine, volle, sì, far sapere al mondo che Gabriele era nato «nella casa di colei che fungeva da madre»; ma quanto ad affermare che fosse venuto fuori proprio dall'alvo di costei, non era no, in coscienza, in grado di farlo. ♣ Chi prima ebbe la grazia di toccare le rosee carni del bambino Gabriele fu Angeladea (fatidico nome!) Angeladea Mungo, la levatrice, divenuta rispettabile, commendabile, ricordabile e immortalizzabile solo per questo, e il cui nome è stato strombazzato dalla nostra stampa giornaliera e periodica cretina, e registrato fra le nostre glorie nazionali.","NO"
