"filename","nome","titolo","anno","chunk","DIL"
"Leopardi_Giacomo-Operette_morali-1834","Leopardi Giacomo","Operette morali","1834","STORIA DEL GENERE UMANO Narrasi che tutti gli uomini che da principio popolarono la terra, fossero creati per ogni dove a un medesimo tempo, e tutti bambini, e fossero nutricati dalle api, dalle capre e dalle colombe nel modo che i poeti favoleggiarono dell'educazione di Giove. E che la terra fosse molto più piccola che ora non è, quasi tutti i paesi piani, il cielo senza stelle, non fosse creato il mare, e apparisse nel mondo molto minore varietà e magnificenza che oggi non vi si scuopre.","NO"
"Leopardi_Giacomo-Operette_morali-1834","Leopardi Giacomo","Operette morali","1834","Ma nondimeno gli uomini compiacendosi insaziabilmente di riguardare e di considerare il cielo e la terra, maravigliandosene sopra modo e riputando l'uno e l'altra bellissimi e, non che vasti, ma infiniti, così di grandezza come di maestà e di leggiadria; pascendosi oltre a ciò di lietissime speranze, e traendo da ciascun sentimento della loro vita incredibili diletti, crescevano con molto contento, e con poco meno che opinione di felicità. Così consumata dolcissimamente la fanciullezza e la prima adolescenza, e venuti in età più ferma, incominciarono a provare alcuna mutazione. Perciocché le speranze, che eglino fino a quel tempo erano andati rimettendo di giorno in giorno, non si riducendo ancora ad effetto, parve loro che meritassero poca fede; e contentarsi di quello che presentemente godessero, senza promettersi verun accrescimento di bene, non pareva loro di potere, massimamente che l'aspetto delle cose naturali e ciascuna parte della vita giornaliera, o per l'assuefazione o per essere diminuita nei loro animi quella prima vivacità, non riusciva loro di gran lungo così dilettevole e grata come a principio.","NO"
"Leopardi_Giacomo-Operette_morali-1834","Leopardi Giacomo","Operette morali","1834","Andavano per la terra visitando lontanissime contrade, poiché lo potevano fare agevolmente, per essere i luoghi piani, e non divisi da mari, né impediti da altre difficoltà; e dopo non molti anni, i più di loro si avvidero che la terra, ancorché grande, aveva termini certi, e non così larghi che fossero incomprensibili; e che tutti i luoghi di essa terra e tutti gli uomini, salvo leggerissime differenze, erano conformi gli uni agli altri. Per le quali cose cresceva la loro mala contentezza di modo che essi non erano ancora usciti dalla gioventù, che un espresso fastidio dell'esser loro gli aveva universalmente occupati. E di mano in mano nell'età virile, e maggiormente in sul declinare degli anni, convertita la sazietà in odio, alcuni vennero in sì fatta disperazione, che non sopportando la luce e lo spirito, che nel primo tempo avevano avuti in tanto amore, spontaneamente, quale in uno e quale in altro modo, se ne privarono.","NO"
"Leopardi_Giacomo-Operette_morali-1834","Leopardi Giacomo","Operette morali","1834","Parve orrendo questo caso agli Dei, che da creature viventi la morte fosse preposta alla vita, e che questa medesima in alcun suo proprio soggetto, senza forza di necessità e senza altro concorso, fosse instrumento a disfarlo. Né si può facilmente dire quanto si maravigliassero che i loro doni fossero tenuti così vili ed abbominevoli, che altri dovesse con ogni sua forza spogliarseli e rigettarli; parendo loro aver posta nel mondo tanta bontà e vaghezza, e tali ordini e condizioni, che quella stanza avesse ad essere, non che tollerata, ma sommamente amata da qualsivoglia animale, e dagli uomini massimamente, il qual genere avevano formato con singolare studio a maravigliosa eccellenza. Ma nel medesimo tempo, oltre all'essere tocchi da non mediocre pietà di tanta miseria umana quanta manifestavasi dagli effetti, dubitavano eziandio che rinnovandosi e moltiplicandosi quei tristi esempi, la stirpe umana fra poca età, contro l'ordine dei fati, venisse a perire, e le cose fossero private di quella perfezione che risultava loro dal nostro genere, ed essi di quegli onori che ricevevano dagli uomini.","NO"
"Leopardi_Giacomo-Operette_morali-1834","Leopardi Giacomo","Operette morali","1834","Deliberato per tanto Giove di migliorare, poiché parea che si richiedesse, lo stato umano, e d'indirizzarlo alla felicità con maggiori sussidi, intendeva che gli uomini si querelavano principalmente che le cose non fossero immense di grandezza, né infinite di beltà, di perfezione e di varietà, come essi da prima avevano giudicato; anzi essere angustissime, tutte imperfette, e pressoché di una forma; e che dolendosi non solo dell'età provetta, ma della matura, e della medesima gioventù, e desiderando le dolcezze dei loro primi anni, pregavano ferventemente di essere tornati nella fanciullezza, e in quella perseverare tutta la loro vita. Della qual cosa non potea Giove soddisfarli, essendo contraria alle leggi universali della natura, ed a quegli uffici e quelle utilità che gli uomini dovevano, secondo l'intenzione e i decreti divini, esercitare e produrre. Né anche poteva comunicare la propria infinità colle creature mortali, né fare la materia infinita, né infinita la perfezione e la felicità delle cose e degli uomini.","NO"
"Leopardi_Giacomo-Operette_morali-1834","Leopardi Giacomo","Operette morali","1834","Ben gli parve conveniente di propagare i termini del creato, e di maggiormente adornarlo e distinguerlo: e preso questo consiglio, ringrandì la terra d'ogn'intorno, e v'infuse il mare, acciocché, interponendosi ai luoghi abitati, diversificasse la sembianza delle cose, e impedisse che i confini loro non potessero facilmente essere conosciuti dagli uomini, interrompendo i cammini, ed anche rappresentando agli occhi una viva similitudine dell'immensità. Nel qual tempo occuparono le nuove acque la terra Atlantide, non solo essa, ma insieme altri innumerabili e distesissimi tratti, benché di quella resti memoria speciale, sopravvissuta alla moltitudine dei secoli. Molti luoghi depresse, molti ricolmò suscitando i monti e le colline, cosperse la notte di stelle, rassottigliò e ripurgò la natura dell'aria, ed accrebbe il giorno di chiarezza e di luce, rinforzò e contemperò più diversamente che per l'addietro i colori del cielo e delle campagne, confuse le generazioni degli uomini in guisa che la vecchiezza degli uni concorresse in un medesimo tempo coll'altrui giovanezza e puerizia.","NO"
"Leopardi_Giacomo-Operette_morali-1834","Leopardi Giacomo","Operette morali","1834","E risolutosi di moltiplicare le apparenze di quell'infinito che gli uomini sommamente desideravano (dappoi che egli non li poteva compiacere della sostanza), e volendo favorire e pascere le coloro immaginazioni, dalla virtù delle quali principalmente comprendeva essere proceduta quella tanta beatitudine della loro fanciullezza; fra i molti espedienti che pose in opera (siccome fu quello del mare), creato l'eco, lo nascose nelle valli e nelle spelonche, e mise nelle selve uno strepito sordo e profondo, con un vasto ondeggiamento delle loro cime. Creò similmente il popolo de' sogni, e commise loro che ingannando sotto più forme il pensiero degli uomini, figurassero loro quella pienezza di non intelligibile felicità, che egli non vedeva modo a ridurre in atto, e quelle immagini perplesse e indeterminate, delle quali esso medesimo, se bene avrebbe voluto farlo, e gli uomini lo sospiravano ardentemente, non poteva produrre alcun esempio reale. Fu per questi provvedimenti di Giove ricreato ed eretto l'animo degli uomini, e rintegrata in ciascuno di loro la grazia e la carità della vita, non altrimenti che l'opinione, il diletto e lo stupore della bellezza e dell'immensità delle cose terrene.","NO"
"Leopardi_Giacomo-Operette_morali-1834","Leopardi Giacomo","Operette morali","1834","E durò questo buono stato più lungamente che il primo, massime per la differenza del tempo introdotta da Giove nei nascimenti, sicché gli animi freddi e stanchi per l'esperienza delle cose, erano confortati vedendo il calore e le speranze dell'età verde. Ma in progresso di tempo tornata a mancare affatto la novità, e risorto e riconfermato il tedio e la disistima della vita, si ridussero gli uomini in tale abbattimento, che nacque allora, come si crede, il costume riferito nelle storie come praticato da alcuni popoli antichi che lo serbarono,(1)che nascendo alcuno, si congregavano i parenti e loro amici a piangerlo; e morendo, era celebrato quel giorno con feste e ragionamenti che si facevano congratulandosi coll'estinto. All'ultimo tutti i mortali si volsero all'empietà, o che paresse loro di non essere ascoltati da Giove, o essendo propria natura delle miserie indurare e corrompere gli animi eziandio più bennati, e disamorarli dell'onesto e del retto.","NO"
"Leopardi_Giacomo-Operette_morali-1834","Leopardi Giacomo","Operette morali","1834","Perciocché s'ingannano a ogni modo coloro i quali stimano essere nata primieramente l'infelicità umana dall'iniquità e dalle cose commesse contro agli Dei; ma per lo contrario non d'altronde ebbe principio la malvagità degli uomini che dalle loro calamità. Ora poiché fu punita dagli Dei col diluvio di Deucalione la protervia dei mortali e presa vendetta delle ingiurie, i due soli scampati dal naufragio universale del nostro genere, Deucalione e Pirra, affermando seco medesimi niuna cosa potere maggiormente giovare alla stirpe umana che di essere al tutto spenta, sedevano in cima a una rupe chiamando la morte con efficacissimo desiderio, non che temessero né deplorassero il fato comune. Non per tanto, ammoniti da Giove di riparare alla solitudine della terra; e non sostenendo, come erano sconfortati e disdegnosi della vita, di dare opera alla generazione; tolto delle pietre della montagna, secondo che dagli Dei fu mostrato loro, e gittatosele dopo le spalle, restaurarono la specie umana.","NO"
"Leopardi_Giacomo-Operette_morali-1834","Leopardi Giacomo","Operette morali","1834","Ma Giove fatto accorto, per le cose passate, della propria natura degli uomini, e che non può loro bastare, come agli altri animali, vivere ed essere liberi da ogni dolore e molestia del corpo; anzi, che bramando sempre e in qualunque stato l'impossibile, tanto più si travagliano con questo desiderio da se medesimi, quando meno sono afflitti dagli altri mali; deliberò valersi di nuove arti a conservare questo misero genere: le quali furono principalmente due. L'una mescere la loro vita di mali veri; l'altra implicarla in mille negozi e fatiche, ad effetto d'intrattenere gli uomini, e divertirli quanto più si potesse dal conversare col proprio animo, o almeno col desiderio di quella loro incognita e vana felicità. Quindi primieramente diffuse tra loro una varia moltitudine di morbi e un infinito genere di altre sventure: parte volendo, col variare le condizioni e le fortune della vita mortale, ovviare alla sazietà e crescere colla opposizione dei mali il pregio de' beni; parte acciocché il difetto dei godimenti riuscisse agli spiriti esercitati in cose peggiori, molto più comportabile che non aveva fatto per lo passato; e parte eziandio con intendimento di rompere e mansuefare la ferocia degli uomini, ammaestrarli a piegare il collo e cedere alla necessità, ridurli a potersi più facilmente appagare della propria sorte, e rintuzzare negli animi affievoliti non meno dalle infermità del corpo che dai travagli propri, l'acume e la veemenza del desiderio.","NO"
