"filename","nome","titolo","anno","chunk","DIL"
"Linati_Carlo-Due-1928","Linati Carlo","Due","1928","﻿A COSETTA ERRERA DEVOTAMENTE NOTTE DI FEBBRE E DI GIOIA Ritta davanti alla grande specchiera ovale in un canto della camera Patrizia era intenta a dare l’ultimo ritocco alla sua acconciatura da ballo quando d’un tratto sentì una fitta acuta sotto al costato, che le tolse di colpo il respiro. Trasalendo si premè le mani al seno, ma sentendosi subito mancar le forze indietreggiò barcollando fino al letto poi vi si gettò bocconi, alenando, colla faccia contro il guanciale. Di lì a poco quando la cameriera entrò, ella si lamentava dolorosamente e due occhiaie livide e scure attorno agli occhi parevano divorarsi la sua faccia piena di pallore.","NO"
"Linati_Carlo-Due-1928","Linati Carlo","Due","1928","— Signora! — Non è nulla... non è nulla... sospirò con un fil di voce. Un semplice capogiro... Fammi il favore di telefonare a Tamaro.","NO"
"Linati_Carlo-Due-1928","Linati Carlo","Due","1928","— Ma prima non volete che v’aiuti a spogliarvi, a mettervi a letto?... Dio, come siete pallida! — No, prima telefona.","NO"
"Linati_Carlo-Due-1928","Linati Carlo","Due","1928","La cameriera sparì. Dopo poco era di ritorno; aiutò Patrizia a spogliarsi, adagino, poi la mise a letto, rimboccò le coltri, chiuse le imposte ed uscì in punta dei piedi. Tamaro giunse dopo qualche ora.","NO"
"Linati_Carlo-Due-1928","Linati Carlo","Due","1928","Era un omicciolo magretto e calvo, vestito di blu, di bei modi. Lo dicevano medico espertissimo. Patrizia lo aveva conosciuto in casa d’amici.","NO"
"Linati_Carlo-Due-1928","Linati Carlo","Due","1928","Egli le tastò il polso, le ascoltò il cuore e palpò accuratamente i suoi spazi intercostali. Infine si rialzò e con un gesto lento e asciutto le tirò le coltri fin sotto al mento. — È prudenza, signora mia, che vi dica come stanno le cose.","NO"
"Linati_Carlo-Due-1928","Linati Carlo","Due","1928","Si tratta... ma non allarmatevi, si tratta di un piccolo aneurisma all’aorta discendente. — Lo imaginavo, fece Patrizia. Sì, sì, lo imaginavo.","NO"
"Linati_Carlo-Due-1928","Linati Carlo","Due","1928","Sempre questo mio pazzo cuore! E... sarà cosa lunga, dottore? — Purtroppo queste dilatazioni del tubo arterioso si producono alla svelta ma se ne vanno con loro comodo.","YES"
"Linati_Carlo-Due-1928","Linati Carlo","Due","1928","Del resto, vi ripeto, non è cosa grave. Poi le tolse il termometro di sotto all’ascella e si recò ad esaminarlo alla luce della lampada. — Qualche lineetta appena, disse un istante dopo; quindi vedete che la circolazione del sangue non è danneggiata.","NO"
"Linati_Carlo-Due-1928","Linati Carlo","Due","1928","State di buon animo. Patrizia sotto le coltri mandò un piccolo gemito. — Eh strapazzi, strapazzi, cara signora, continuò il dottore sedendo alla pettiniera e cominciando a scrivere la ricetta sopra un taccuino.","NO"
"Linati_Carlo-Due-1928","Linati Carlo","Due","1928","Si sa, ogni carnovale vuol le sue vittime. Del resto, se seguirete appuntino queste mie prescrizioni, entro un paio di mesi vi dò per guarita. — Un paio di mesi?","YES"
"Linati_Carlo-Due-1928","Linati Carlo","Due","1928","Ma io muoio prima! Il dottore continuò a scrivere in silenzio, e per un buon tratto non s’udì nella camera che il tic-tac dello svegliarino posato sopra il canterano e ogni tanto la tromba cupa ed ovattata dei tassì che fuggivano per la via di sotto. Quand’ebbe finito, Tamaro s’alzò, intascò la stilo e ritornò presso all’ammalata.","YES"
"Linati_Carlo-Due-1928","Linati Carlo","Due","1928","— E... perdonate, domandò dopo qualche esitazione. Avete marito? — No.","NO"
"Linati_Carlo-Due-1928","Linati Carlo","Due","1928","— E, scusatemi ancora, ma debbo pur conoscere un poco le vostre abitudini per proporvi i rimedi che meglio vi si confanno... — Volete chiedermi se ho un amante? Nemmeno, disse Patrizia. Ho avuto un fidanzato sino a qualche anno fa.","NO"
"Linati_Carlo-Due-1928","Linati Carlo","Due","1928","E poi, sì, ho fatto un po’ la vita di mondo... ecco tutto. — Balli eh? soirées, notti bianche... — Oh sì, rispose Patrizia con una specie d’esultanza nella voce.","NO"
"Linati_Carlo-Due-1928","Linati Carlo","Due","1928","Molte, molte notti bianche! — Bene, bene, continuò il dottore, voi dovrete d’ora innanzi osservare la maggior quiete possibile, l’immobilità più assoluta. Col riposo diminuiranno i battiti cardiaci e si produrranno condizioni favorevoli alla guarigione.","NO"
"Linati_Carlo-Due-1928","Linati Carlo","Due","1928","Patrizia gli sgranò in faccia due occhi attoniti e disperati poi, come travolta da una violenta crisi di pianto, scomparve tutta sotto le coltri. Sì che quando il dottore volle congedarsi ella non tolse il capo di là sotto ma gli sporse la sua puerile e candida manuccia. Si sentiva morire.","YES"
"Linati_Carlo-Due-1928","Linati Carlo","Due","1928","«Un paio di mesi! Ma io ci muoio, ci muoio!» Adesso non tanto l’angustiava quella ripresa del male (aveva già subito verso i venticinque anni un attacco di stenocardite dopo un allenamento per una gara di tennis a Saint-Moritz) quanto il pensiero di dover abbandonare quell’adorabile vita mondana alle cui ebbrezze s’era da qualche tempo data con frenesia. Questo pensiero e questo rimpianto le comunicavano un’ansia dolorosa, una disperazione senz’uscita.","YES"
"Linati_Carlo-Due-1928","Linati Carlo","Due","1928","«Ma io ci muoio, ci muoio...» E si rivoltava pel letto piagnucolando, cercando un po’ di pace in quei moti disordinati che non facevano se non acuirle il terrore del futuro. «E stasera, al ballo del Club, chissà in quanti mi avranno aspettata. O che magnifica notte perduta, il più bel ballo della stagione!...» E come in un dispettoso rinsenso si vedeva davanti lo sfolgorio delle sale allorchè il ballo era nel suo forte, e tutte le coppie, al suono di un jazz, vi s’aggiravano con ritmico languore.","YES"
"Linati_Carlo-Due-1928","Linati Carlo","Due","1928","Rivedeva il taglio audace di certe toilettes, certe figure d’uomini che stringevano tra le braccia con inimitabile grazia splendide creature ventenni, tutte quelle coppie che parevano ricevere e rendere il suono e il ritmo come fiori il profumo e il colore. «Ed ora tutto questo è perduto, perduto! Aguzzino!» gridava giù al suo cuore.","YES"
"Linati_Carlo-Due-1928","Linati Carlo","Due","1928","«Furfante!» E le lacrime gocciavano giù ad una ad una sul lenzuolo di bucato. — Dori! La cameriera apparve di lì a poco e trovò la sua signora ritta su l’origliere, col viso acceso.","NO"
"Linati_Carlo-Due-1928","Linati Carlo","Due","1928","— La mia veste da ballo, Dori. — Ma... signora, che volete fare? — La mia veste da ballo, subito, e le mie sottovesti!","NO"
"Linati_Carlo-Due-1928","Linati Carlo","Due","1928","Dorina si accostò e trepidante cominciò a prepararle sul letto le calze, la camicia. Quand’ebbe finito Patrizia si tirò fuori con pena infinita dalle coltri e si rimise in piedi. In quel pigiama pavonazzo cinto in vita da una grande gala, la sua figura parve, anche pel grande pallore della faccia, più smagrita, distrutta.","NO"
"Linati_Carlo-Due-1928","Linati Carlo","Due","1928","D’un tratto ebbe un capogiro ma Dorina la sostenne. — Non è nulla... È passato! Ma bisogna far presto!","NO"
"Linati_Carlo-Due-1928","Linati Carlo","Due","1928","E per una buona mezz’ora la camera fu piena del suo ansare febbrile. Nel fruscio delle vesti indossate con furia, gli ordini tronchi e deliranti di Patrizia si alternavano coi rassegnati «Sissignora» della povera ancella che accorreva qua e là e si dava in mille faccende per ubbidire. A quando a quando una fitta strana al cuore le mozzava di colpo il respiro, l’abbatteva giù; ella restava per un istante appoggiata al letto col viso basso, contratto di pena.","NO"
"Linati_Carlo-Due-1928","Linati Carlo","Due","1928","Ma subito in un energico scrollo di volontà, ripigliava l’abbigliamento. Presto, bisogna far presto! Finalmente fu pronta e tornò allo specchio.","YES"
"Linati_Carlo-Due-1928","Linati Carlo","Due","1928","Indossava un abito di satin di un turchino chiaro, prolungato sul dorso da uno strascico. Due bande di stoffa scendevano, quasi a collare, sul corsetto ricongiungendosi alla cintura drappeggiata, e due enormi godé sul davanti della sottana andavano a morire entro due panneggi a conchiglia pendenti ai fianchi, a cui parevano conferire una particolare ampiezza. Patrizia aveva accuratamente studiato quell’abito affinchè mettesse in rilievo il carattere aristocratico della sua bellezza.","NO"
"Linati_Carlo-Due-1928","Linati Carlo","Due","1928","Al collo si passò una collana di perle e ai polsi un braccialetto di giade. La splendida frivolità della veste parve di colpo comunicare alle sue membra un nuovo vigore, galvanizzare le sue fibre esauste. Si sentì di nuovo bella, fresca e felice.","YES"
"Linati_Carlo-Due-1928","Linati Carlo","Due","1928","— Oimè, sono proprio così pallida, Dorina?... Qua, qua, il rossetto, la batteria delle ciprie, delle matite. – E come Dorina le ebbe recato l’occorrente, in fretta si diede a ritoccare il colore delle gote, delle ciglia, delle occhiaie.","NO"
"Linati_Carlo-Due-1928","Linati Carlo","Due","1928","Quando le parve di aver trasfigurato a sufficienza quel suo strano viso di malata: — E adesso, Dorina, puoi accendere tutte le lampade di casa. — Madre mia, ma che volete fare, padrona? — Accendi, ti dico, e porta in salotto quella bottiglia di Piper che tenevi in fresco per il pranzo di domani.","NO"
"Linati_Carlo-Due-1928","Linati Carlo","Due","1928","Ed anche qui la povera Dori dovette ubbidire e dopo un istante le camere dell’appartamento, tropicalmente illuminate, vedevano passare tra le loro tappezzerie, quasi a passo di danza, questo povero fantasma di donna che tentava di rivivere in un impossibile delirio la notte di gioia che aveva perduta. CONOSCENZE, CONFIDENZE Sino a qualche anno fa, nei Cinèma, prima della film, si solevano proiettare i ritratti degli attori. Le donne sorridevano, facevano amabili boccucce, s’inchinavano, sì che il pubblico poteva considerare per ogni verso tutte le squisitezze del loro fascino.","NO"
"Linati_Carlo-Due-1928","Linati Carlo","Due","1928","È innegabile che quell’usanza aveva del buono. Intanto lusingava gli attori, poi permetteva agli spettatori di far la conoscenza personale con ciascuno di essi prima che si avventassero nel dedalo delle loro avventure. L’«Anonima Pittaluga» presenta... Già, Lei, bella o brutta, v’è nota.","YES"
"Linati_Carlo-Due-1928","Linati Carlo","Due","1928","Ora, a Lui. Chi è? Un tale Gilberto Vallorsa...","YES"
