"filename","nome","titolo","anno","chunk","DIL"
"Linati_Carlo-Natura_ed_altre_prose_selvatiche-1919","Linati Carlo","Natura ed altre prose selvatiche","1919","﻿IL TRIBUNALE VERDE Una mattina io mi trovavo a passeggiare per un paesaggio di questa terra immortale. Ero divinamente felice. La terra era bella sacra innocente e il sole, corrusco e fiero come uno scudo peltato, diluviava riccamente attraverso gli spazi cosmici e si rompeva su quel bosco in tal tripudio di ori, canti e profumi che il mio cuore trasumanava e l’anima mia piegava in un confuso e delizioso panteismo.","NO"
"Linati_Carlo-Natura_ed_altre_prose_selvatiche-1919","Linati Carlo","Natura ed altre prose selvatiche","1919","Io pensavo a quel che dice Hume dell’anima che è uno strumento a corde e stupivo meco stesso quanto fosse in potere del sole e della natura pizzicarvi sopra minuetti piuttosto che fandanghi, rozze chitaronate piuttosto che elisii arpeggiamenti. Mi affannavo molto a cercar di scoprire il secreto di questa faccenda, mentre le bianche e gialle cavolaje svolavano sulle scarlatte milzadelle dei prati, e brucavano i pecchioni e chioccolava un merlo. Io amo l’onesto merlo, questo calunniato Amleto del bosco, e fu per lui che piantai là Hume col suo strumento e mi posi a seguire il faceto cantore.","NO"
"Linati_Carlo-Natura_ed_altre_prose_selvatiche-1919","Linati Carlo","Natura ed altre prose selvatiche","1919","Volò e svolò parecchio saettando per diritto e per traverso la boscaglia: infine spiccò un lungo volo e si fermò s’una betulla che si stava sola in vetta a un brullo poggio. Di lassù si spollinava, mi sbirciava e chioccolava. E il mio sguardo cadde su quella betulla.","NO"
"Linati_Carlo-Natura_ed_altre_prose_selvatiche-1919","Linati Carlo","Natura ed altre prose selvatiche","1919","Ero divinamente felice e il sole diluviava attraverso gli spazî cosmici. Allora anche il mio vecchio cuore diè un balzo in petto e le gambe mi trascinarono a forza su pel declivio del poggio. Fu così che mi trovai in presenza della gentile alberella e con irresistibile tenerezza l’abbracciai.","NO"
"Linati_Carlo-Natura_ed_altre_prose_selvatiche-1919","Linati Carlo","Natura ed altre prose selvatiche","1919","Già attraverso le fibre del legno io sentiva battere il suo piccolo cuor freddoloso e, nel piccolo cuore, i palpiti della terra che lo nutriva e del sole che lo scaldava, già mancavo tutto nella soavità di sue amorose emanazioni quando, improvvisamente, mi sento pungere e mordicchiare ai fianchi. Mi volgo; ed ecco, due terribili pungitopi mi stanno a lato, e un d’essi, che ha spiccato accento siciliano, dice: — Siete in arresto! Il Tribunale al quale giungemmo dopo qualche giorno di cammino, sedeva, per chi nol sapesse, in vasta e comoda conca.","NO"
"Linati_Carlo-Natura_ed_altre_prose_selvatiche-1919","Linati Carlo","Natura ed altre prose selvatiche","1919","Il presidente era un vecchio Pioppo allampanato, ingiallito, tutto acciacchi e malumore. Parlava veneto e quando a quando scuoteva la venerata canizie che pareva proprio una collezione di zecchini dogali. Dentro quella le cicale continuavano a pur cantare.","NO"
"Linati_Carlo-Natura_ed_altre_prose_selvatiche-1919","Linati Carlo","Natura ed altre prose selvatiche","1919","Aveva allato due Peri, de’ più turgidi e fatticci ch’io vedessi mai. Spiravan d’ogni poro quella casalinga floridezza, quel ruminante benessere, quell’asmatica cordialità che tanto distingue i ronds-de-cuir della giustizia vegetale ed animale. Fungeva da cancelliere un magro scolorito Evonimus.","NO"
"Linati_Carlo-Natura_ed_altre_prose_selvatiche-1919","Linati Carlo","Natura ed altre prose selvatiche","1919","Egli era ormai tutto brulicante di vespe ragnateli tafani e gallozze e, fra qualche mese, sarebbe andato in pensione. Le cantaridi e i maggiolini trotterellavano allegramente su per le braccia e le gambe del Pubblico Ministero il quale era un fier Abete tutto e tutto azzimato e profumato di trementina, scontroso e barbuto quant’altri mai; era stato traslocato da una provincia del natio Tirolo dove era venuto in voce di fazioso e malversatore. Talvolta uno di quegli infami coleotteri lo mordeva in pelle e egli si grattava con un gesto stizzoso sì che n’usciva quell’odor di trementina di che però pareva compiacersi.","NO"
"Linati_Carlo-Natura_ed_altre_prose_selvatiche-1919","Linati Carlo","Natura ed altre prose selvatiche","1919","Mentre il Cancelliere leggeva il mio atto d’accusa, ch’era d’oltraggio al pudor vegetale, io andavo osservando il pubblico che m’onorava di sua presenza. L’insolito giudizio aveva chiamato folla: zeppe le tribune riservate, zeppe le popolari. Nelle prime vidi far bella mostra di sè due magnifiche roveri con quella lor aria di signorotte da villaggio che vanno a messa grande: vidi de’ grossi castani forzuti come bùtteri di Maremma e degli italici pini col loro ombrello in cerca di pioggia.","YES"
"Linati_Carlo-Natura_ed_altre_prose_selvatiche-1919","Linati Carlo","Natura ed altre prose selvatiche","1919","Vidi anche una magnolia che guardava languidamente negli occhi un cipresso: il cipresso teneva per mano un piccolo tasso barbasso, e rispondeva alle occhiate della compagna col sogghigno railleur di un lovelace. La magnolia, invece, campeggiava tutta, per l’occasione, in una galanteria di camicette vaporose e bianche, ed era tutta olezzante di un profumo che dava alla testa come un lieder di Schubert. Ma, in mezzo a questa diversità di stirpi, te pure vidi, o platano.","NO"
"Linati_Carlo-Natura_ed_altre_prose_selvatiche-1919","Linati Carlo","Natura ed altre prose selvatiche","1919","Te ne stavi pensoso e in disparte come si conviene a chi ha dato ricetto ai conviti di Caligola e all’alata parola di Platone; ma tanta serenità e forza e splendore da te discendevano ch’io pensai non esser tua sorte rammemorar tempi migliori, ma vivere in questo con ardore solitudine e lealtà grandissima. Al di là della folla aristocratica si stipava, mal rattenuto dalle sbarre, l’immenso popolo, la santa canaglia vegetale: pomodori e fagiuoli, ortiche e sambuchi, verruche e viorne, luppoli e cicute facevan là entro garbati contrasti di tinte e di murmuri. M’avvidi ben presto che in quel vario panorama, ogni età, sesso e condizione eran debitamente rappresentati.","NO"
"Linati_Carlo-Natura_ed_altre_prose_selvatiche-1919","Linati Carlo","Natura ed altre prose selvatiche","1919","V’era il panciuto vegetale borghese; v’era il linfatico càule che vive di rendita con molti appannaggi di concimi, sali wagner e acque sporche; v’era il macilento cotiledone proletario che agonizza sulle prode dei canali presso le tintorie e all’ombra dei collettori di scolo; v’era tutta la famiglia dei parassiti, dei rampicanti, dei vagabondi, tutte le delinquenze verdi, tutte le azzurre prostituzioni; poi i poeti, i filosofi, i refrattari della Babilonia fogliuta, quelli che fan professione di magie e veleni, i nati a ornar il seno d’Aspasia o a sedar il callo d’Homais, gli asceti del Cymborazo in veste cinerigna, i sottili ciurmadori del padule e della risaja. Umili o orgogliosi v’eran tutti: e io stupii che gente così diversa per costumi, idee, abitudini, reggessero a star insieme con tanta compostezza e solennità. Non tirava pur una bava di vento: la verde assemblea rameggiava muta attonita, come fusa in un mistico oro.","NO"
"Linati_Carlo-Natura_ed_altre_prose_selvatiche-1919","Linati Carlo","Natura ed altre prose selvatiche","1919","Soltanto, nelle pause che il sordido Evonimus ognitanto faceva nella sua lettura, s’udiva squittire un cardellino e qualche corvo gracchiare, e talvolta una rondine, passando a dar di frego su quella giustizia vegetale, vi lasciava cadere qualcosa che non era precisamente una goccia d’inchiostro. Come la lettura fu finita, il Pioppo si levò e, tutto tremando nella lunga monumentale persona, disse: — Stupisco ancora, Signori miei, che a me appunto venga deferito presiedere questo processo. E come?","NO"
"Linati_Carlo-Natura_ed_altre_prose_selvatiche-1919","Linati Carlo","Natura ed altre prose selvatiche","1919","Io nato su di un vecchio fosso della marca trivigiana: io che, durante la mia vita, non ho fatto altro che amoreggiar con la luna e con le stelle e figurare talora nelle liriche del signor Carducci; io che altri meriti di filantropia non ho se non quelli di fornir mazze per giovani dandies e zoccoli alle fantesche, che passo le mie ore a tremare e a rimediarvi con la cura Kneipp, ditemi, vi par giusto ch’io sia chiamato a scombujare la trama di questo complicatissimo caso di psicologia? Ah! miserie e stenti!","NO"
"Linati_Carlo-Natura_ed_altre_prose_selvatiche-1919","Linati Carlo","Natura ed altre prose selvatiche","1919","A quest’uscita, un dei Peri che s’aveva al fianco, si dimenò sì forte che una pera gli cadde addosso, per il che egli tutto infuriò e i suoi zecchini trillarono. Ma tosto si volse a me: — Che avete a dire in vostra discolpa, accusato? Su, siate più breve e vegetale che potete.","NO"
"Linati_Carlo-Natura_ed_altre_prose_selvatiche-1919","Linati Carlo","Natura ed altre prose selvatiche","1919","Allora si fece un profondo silenzio e anche il corvo cessò di gracchiare. Io mi alzai dal ceppo dove m’ero acconciato fra i due pungitopi e, schiaritami bellamente la voce, pronunciai la seguente apologia: — In primo luogo, giacchè non mi è concesso, come tra noi pur s’usa, patrocinatore alcuno, mi sia lecito, Alberi egregi e onorevoli Cespugli, trattare di una questione d’incompetenza. In qual codice sta scritto, di grazia, che una pianta possa giudicare un uomo?","NO"
"Linati_Carlo-Natura_ed_altre_prose_selvatiche-1919","Linati Carlo","Natura ed altre prose selvatiche","1919","No certo nel nostro ove non s’afferma neppure che un uomo possa giudicare di una pianta. Bonghi e Zanardelli erano troppi solleciti di buoni vini e vaghi fiori per attribuirvi sì tristo privilegio. Nel vostro forse?","YES"
"Linati_Carlo-Natura_ed_altre_prose_selvatiche-1919","Linati Carlo","Natura ed altre prose selvatiche","1919","Non l’ho letto e me ne dolgo: ma reputo ingiurioso soltanto il pensare che da’ magnanimi legislatori vostri possa essersi creduta necessaria una tale sanzione. E allora, perchè io non oso dubitare mi abbiate tolta la libertà per il solo gusto di togliermela, sono costretto a concludere che qui la legge fu apertamente violata... A queste parole seguì uno scompiglio da non si dire. I zecchini presidenziali trillarono freneticamente e l’Abete, che già stava addormentandosi sopra un jolder tirolese, avventò a me le sue terribili braccia che sembravano altrettanti ippocampi marini.","NO"
"Linati_Carlo-Natura_ed_altre_prose_selvatiche-1919","Linati Carlo","Natura ed altre prose selvatiche","1919","Io intanto mi facevo a sedare il tumulto a gran voce. — Diciamo errore, o botaniche Eccellenze, e non ne parliamo più. Fu commesso un errore.","NO"
"Linati_Carlo-Natura_ed_altre_prose_selvatiche-1919","Linati Carlo","Natura ed altre prose selvatiche","1919","Ecco tutto. La calma ritornò sull’istante: tornarono a squillare i cardellini, le rondini a svolare. Io ripresi la parola: — Sta bene.","NO"
"Linati_Carlo-Natura_ed_altre_prose_selvatiche-1919","Linati Carlo","Natura ed altre prose selvatiche","1919","Son qui per rispondere d’un reato d’oltraggio al pudor vegetale. Intanto, nella mia logica d’uomo, oso chiedervi di che pudor si tratti se tutte le Eccellenze vostre son nude. – Il pudore – disse uno dei nostri più spirituali autori – è il timore che ha la donna di non esser trovata bella abbastanza.","NO"
"Linati_Carlo-Natura_ed_altre_prose_selvatiche-1919","Linati Carlo","Natura ed altre prose selvatiche","1919","Tra voi, si vede, è un altro pajo di maniche: tutte le donne son belle e van nude ad un modo. Ond’io, a questo riguardo, rimango colla mia confusione d’uomo pur di salvare la podestà misteriosa di vostra legge vegetale. — La mattina del tredici maggio corrente – ripresi dopo una pausa – io mi trovavo a passeggiare per un paesaggio di questa terra immortale.","NO"
"Linati_Carlo-Natura_ed_altre_prose_selvatiche-1919","Linati Carlo","Natura ed altre prose selvatiche","1919","Dirvi com’io fossi divinamente felice e come il sole diluviasse attraverso tutti gli spazi cosmici e come e quanto... — Venga, venga al fatto! – interruppe in questa il Pioppo presidente – non ho tempo da perdere in simili bazzeccole io! Stasera ho da presiedere un convito di ranocchi.","NO"
"Linati_Carlo-Natura_ed_altre_prose_selvatiche-1919","Linati Carlo","Natura ed altre prose selvatiche","1919","— E io una deputazione di sparvieri, – saltò su l’Abete. — Io aspetto un famoso innesto a margotta – soggiunse un de’ Peri. — Si sbrighi!","NO"
"Linati_Carlo-Natura_ed_altre_prose_selvatiche-1919","Linati Carlo","Natura ed altre prose selvatiche","1919","– fe’ l’altro. — Pazienza! – gridai io – pazienza!","NO"
"Linati_Carlo-Natura_ed_altre_prose_selvatiche-1919","Linati Carlo","Natura ed altre prose selvatiche","1919","Se le Eccellenze vostre vorranno conformarsi a quelle auree tradizioni di equità che fan grandi e invidiati il governo e gli ordini della patria vegetante, corre loro pur l’obbligo d’ascoltare intera la mia difesa con la narrazione di quelle psicologiche peripezie che solo poterono determinare l’azione che mi vien imputata a reato. — La mattina del tredici maggio corrente il mio sentimento della natura doveva essere assai simile a quello che guidava Benoit Spinoza quando s’accingeva ad affermare non esistere che una sola sostanza che è Dio. Ricordate?","NO"
"Linati_Carlo-Natura_ed_altre_prose_selvatiche-1919","Linati Carlo","Natura ed altre prose selvatiche","1919","Non dico me deum omnino cognoscere sed me quaedam ejus attributa non autem omnia neque maximam intelligere partem. Doveva essere simile a questa ebbrezza del Divino diffuso e presentito in ogni aspetto, se io, pacifico reddituario e strenuo fumatore di pipe di radica, giungessi d’un tratto a distruggere le gloriose tradizioni di tanta tranquillità con un gesto in apparenza così bizzarro! Non dico me Deum omnino cognoscere... Sì, ricordo.","YES"
"Linati_Carlo-Natura_ed_altre_prose_selvatiche-1919","Linati Carlo","Natura ed altre prose selvatiche","1919","Era l’ebbrezza della Divinità, il delirio della sostanza assoluta, il vento dell’infinito pensiero che mi cacciarono su pel declivio e mi fecero abbracciare l’alberella. Io ero assai men modesto di Benoit Spinoza, io volevo trovar tutto Dio nel seno di una piccola betulla. Tutto Dio!","YES"
"Linati_Carlo-Natura_ed_altre_prose_selvatiche-1919","Linati Carlo","Natura ed altre prose selvatiche","1919","pazzia! orrore! Possibile che sì folle orgoglio non venisse punito?","YES"
