"filename","nome","titolo","anno","chunk","DIL"
"Linati_Carlo-Porto_Venere-1910","Linati Carlo","Porto Venere","1910","﻿per Ines e Luana Prefazione «Tutto ciò che ha fatto epoca in me» dice NIETZSCHE parlando dello STENDHAL «mi è stato sempre condotto dal caso, non mai dalle raccomandazioni». Porto Venere, la pia marina ligure, fu davvero uno de’ più bei casi della mia vita. Io vi giunsi una sera di Luglio, dopo aver vanamente errato alla ventura per quelle acque in traccia di un amabile soggiorno estivo.","NO"
"Linati_Carlo-Porto_Venere-1910","Linati Carlo","Porto Venere","1910","Pensavo passarvi la notte e dipartirmene alla mattina. Ma, in breve, tutto là, sull’estatica marina, mi sedusse e mi ammaliò così stranamente, che quella notte ne ebbe poi a prolificare parecchie, e due mesi trascorsero così, penetrati per me da una continua e prodigiosa ebbrezza di rivelazioni. Più tardi, tornato alla città, e per il corso di molti anni ancora, la mia memoria apparve tutta odorosa di quel lontano soggiorno in cui la danza delle imagini e dei miti si mescolava furiosamente, nella fantasia, alle grazie selvagge dell’aspetto marinaresco, in cui la lucida inquietudine della mia giovinezza ch’era in sul fiorire, si asolava nel vento in canti di passione alata, di voluttà piena.","NO"
"Linati_Carlo-Porto_Venere-1910","Linati Carlo","Porto Venere","1910","Da questo sentimento di nostalgia nacque adunque in me il desiderio di ricomporre in quadri successivi la bellezza stanca e appassionata di Porto Venere, le sue emozioni, il suo insegnamento di pace e di energia. Offerta dunque che più che ad altrui io faccio a me stesso. E sia.","NO"
"Linati_Carlo-Porto_Venere-1910","Linati Carlo","Porto Venere","1910","Al Lettore, poi, il quale non è d’opinione che tutte le opere dal poco al tanto nascono prodotte da un intimo bisogno di libertà e di chiarezza radicata nello spirito, io domanderò venia della mia inutile audacia. Come pure non vorrei ch’Egli mi imputasse a troppa inesperienza l’aver esposte in un modo poco organico e discorsivo queste mie imagini marittime: alle quali ho pur voluto serbare, nella loro trascuratezza formale, tutto il rilievo spontaneo e le mosse disordinate e la grazia rude ch’ebbero nel momento in cui furono godute. Ma un errore pur v’è, ed è gravissimo.","NO"
"Linati_Carlo-Porto_Venere-1910","Linati Carlo","Porto Venere","1910","Esso sta nel fatto di aver voluto comporre un libro con una materia che, forse per sè, non consentiva di essere efficacemente espressa in unità letteraria, ma la cui bellezza stava soltanto nel viverla, nel sentirla. Errore tutto mio, davvero, degno delle verghe e della croce, e dell’esser caduto nel quale nulla varrà proprio a consolarmi, se non la speranza di imbattermi in un lettore pietoso ed accorto il quale, non trovando nel mio libro un libro buono, si compiaccia tuttavia di scorgervi una parte di quegli elementi con cui un buon libro si sarebbe potuto costrurre. C.","NO"
"Linati_Carlo-Porto_Venere-1910","Linati Carlo","Porto Venere","1910","L. 15 Maggio 1910. Subitamente dall’estremo lembo del Golfo noi vedemmo rizzarsi e campeggiare netto sul cielo un ammasso di strutture lapidee, le quali, dominate com’erano dall’ombra della notte imminente, non si riusciva bene a discernere se fossero scogli anzichè greppi o ròcche piuttosto che case.","NO"
"Linati_Carlo-Porto_Venere-1910","Linati Carlo","Porto Venere","1910","Però l’assieme richiamava alla mente le favoleggiate rovine abitate dai corsari barbereschi i quali si tenevano pronti in quei covigli a scagliarsi sui naviganti che entravano nei golfi a chiedere ristoro de’ lunghi viaggi. La natura favolesca di Porto Venere, l’originalità tutta marina della sua vita presente, la vigorosa vecchiaia delle sue pietre, de’ suoi costumi, de’ suoi amori, ecco ci balenarono subito alla fantasia in quella primissima visione ch’ebbimo di lei, navigando verso i suoi litorali rupestri. Ma questa visione ci si porgeva in un modo così inatteso che per un istante ne fummo sbigottiti.","NO"
"Linati_Carlo-Porto_Venere-1910","Linati Carlo","Porto Venere","1910","Un senso come d’angoscia e d’ambiguità pareva spirasse dal fosco e magnifico viluppo di pietre nude di aride spiagge, e mentre lunghesso i lidi sino allora costeggiati, tiepidi venti ci avevan recato dai giardini e dagli uliveti spiegati in sulle balze le molli fragranze dell’estate piena e fruttuosa, colà giunti, come se un gigantesco sipario si fosse per incanto alzato su quella scena di acque e di rovine, diacce folate mulinanti aromi di aperte maree cominciarono a prorompere sibilando fuor dallo Stretto lungo il quale era adagiata quella lugubre Città di Dite. A questo punto l’amico mio pittore, anima estremamente fiera e delicata, il quale mi seguiva in quelle miti peregrinazioni estive, si scosse, esclamò: — È dunque cotesto il paradiso che dicevi? il luogo di delizie dove dobbiamo trascorrere i più bei mesi della nostra vita?","NO"
"Linati_Carlo-Porto_Venere-1910","Linati Carlo","Porto Venere","1910","Grazie tanto, ma io ripiglio la via del ritorno. E io di rimando a domandargli ragione di quella subita antipatia. — È presto detto – soggiunse – a me non garbano paesi sì scimuniti.","NO"
"Linati_Carlo-Porto_Venere-1910","Linati Carlo","Porto Venere","1910","Ecco, sognavo per l’ozio delicato de’ miei pennelli un ideale paesaggio tutto oro ed azzurro e tu mi dài invece un girone dantesco, una rupe scitica. Ma ti pensi forse ch’io proverò gusto a vivere in mezzo a quei muracci? — Intanto – ribattevo io – poichè già ci fui, ancorchè per breve tempo, ti posso giurare che questo paese ti piacerà.","NO"
