"filename","nome","titolo","anno","chunk","DIL"
"Lipparini_Giuseppe-Il_signore_del_tempo-1904","Lipparini Giuseppe","Il signore del tempo","1904","﻿GIUSEPPE LIPPARINI IL SIGNORE DEL TEMPO CAP. I. In cui il professore Antonio Schwarz parla di una meravigliosa scoperta.","NO"
"Lipparini_Giuseppe-Il_signore_del_tempo-1904","Lipparini Giuseppe","Il signore del tempo","1904","Quando il professore Antonio Schwarz entrò nella vasta sala dell’Accademia delle Scienze di Oppendorf, un mormorio di soddisfazione corse per i banchi ove sedevano gli accademici in pompa magna e per le file delle seggiole ove il pubblico era gremito. — Finalmente, – mormorò il dottore e accademico Teuffel all’orecchio del suo vicino, un matematico grave e severo: – il nostro illustre uomo si è degnato di venire. Io credeva quasi che una distrazione lo avesse impedito.","NO"
"Lipparini_Giuseppe-Il_signore_del_tempo-1904","Lipparini Giuseppe","Il signore del tempo","1904","— Infatti, – rispose il matematico, – degnatevi di considerare che il suo abito non è certo adatto all’oratore di una tale cerimonia. E veramente lo Schwarz indossava ancora sopra l’abito festivo la veste da camera che si era dimenticato di togliersi. La stoffa variopinta che lo avvolgeva, contrastava apertamente con la gravità del suo volto.","NO"
"Lipparini_Giuseppe-Il_signore_del_tempo-1904","Lipparini Giuseppe","Il signore del tempo","1904","Ma l’usciere, aiutandolo a togliersi di dosso l’incomoda veste, lo fece apparire quale doveva essere, serrato nella lunga marsina le cui ampie code gli davano l’aria di un uccellaccio rapace. Intanto il presidente della Accademia, il dotto e calvo Von Martini, gli era andato incontro con volto festoso, stendendogli la mano ove l’anello rettorale splendeva. Il pubblico, che aveva riso quando l’usciere si era avvicinato rispettosamente all’illustre scienziato per toglierli quella sopraveste di novissima foggia, cominciava a impazientirsi.","NO"
"Lipparini_Giuseppe-Il_signore_del_tempo-1904","Lipparini Giuseppe","Il signore del tempo","1904","Le seggiole si muovevano, i nasi si soffiavano, gli impeti di tosse si moltiplicavano. Passata la curiosità del primo momento, un chiacchierìo assordante si levava di tra la folla degli invitati, mentre gli altri membri della presidenza venivano a porgere i loro omaggi al più celebre dei loro colleghi. — Signorina Margherita, – domandò un giovane studente curvandosi verso la figliuola del professore che gli stava seduta accanto, – dunque oggi il mio venerato maestro svelerà finalmente il mistero della sua meravigliosa scoperta?","NO"
"Lipparini_Giuseppe-Il_signore_del_tempo-1904","Lipparini Giuseppe","Il signore del tempo","1904","Ne ha egli detto nulla con Lei? — Lei sa, – rispose la signorina, – che mio padre nelle cose della scienza è più muto di una tomba: specialmente con quelli di casa. Io non ho potuto saper nulla da lui.","NO"
"Lipparini_Giuseppe-Il_signore_del_tempo-1904","Lipparini Giuseppe","Il signore del tempo","1904","— E pure, – osservò il discepolo, – la Gazzetta di Oppendorf reca oggi alcuni particolari che farebbero credere a rivelazioni fatte dal professore al direttore di quel giornale. Senta: «Ieri, recatomi a casa della nostra maggior gloria, Antonio Schwarz, lo trovai fra i suoi strumenti e le sue....» — Fantasie! fantasie!","NO"
"Lipparini_Giuseppe-Il_signore_del_tempo-1904","Lipparini Giuseppe","Il signore del tempo","1904","– interruppe sorridendo la signorina: – Lei sa che ieri nessuno è venuto da noi. – E fissava, scotendo il capo, il biondo interlocutore, che non sostenendo lo sguardo di quei grandi occhi azzurri e soavi, arrossì e guardò con aria compunta il soffitto. — Hai veduto?","NO"
"Lipparini_Giuseppe-Il_signore_del_tempo-1904","Lipparini Giuseppe","Il signore del tempo","1904","disse allora il giovinetto Wolf al suo inseparabile Arrigo Fischer: – Martino Christ non ha ancora ottenuto con Margherita quel successo che desiderava. Certo, le ha fatto una dichiarazione. —Anzi, – osservò Arrigo, – io ho sentito la parola «amore».... — Ah!","NO"
"Lipparini_Giuseppe-Il_signore_del_tempo-1904","Lipparini Giuseppe","Il signore del tempo","1904","se io volessi... – sospirò il ragazzo pavoneggiandosi, e lanciando da dietro gli occhiali sguardi infiammati verso la giovanetta: – Se io volessi, vedi?, io potrei.... Ma un applauso fragoroso gli ruppe in bocca la vanteria e la parola. Il professore Schwarz era salito alla tribuna tenendo in mano un ampio scartafaccio, alla cui vista molti volti si rannuvolarono.","NO"
