"filename","nome","titolo","anno","chunk","DIL"
"Lipparini_Guendalina_Anna_alias_Di_Luanto_Regina-Gli_agonizzanti-1900","Lipparini Guendalina Anna alias Di Luanto Regina","Gli agonizzanti","1900","﻿Regina di Luanto Gli agonizzanti A metà di via del Tritone Nuovo, in una casa recentemente restaurata, abitava la famiglia Bessardi. Nell’aspetto esteriore, quel grande fabbricato non aveva nulla che lo distinguesse particolarmente: vi si ritrovavano il solito sfoggio di una volgare appariscenza, caratteristica predominante di tutte quelle costruzioni moderne, destinate a favorire le speculazioni dei proprietari, e le traccie troppo evidenti del lavoro affrettato.","NO"
"Lipparini_Guendalina_Anna_alias_Di_Luanto_Regina-Gli_agonizzanti-1900","Lipparini Guendalina Anna alias Di Luanto Regina","Gli agonizzanti","1900","Da un portone di proporzioni grandiose si penetrava in un atrio troppo angusto al suo confronto: le due pareti laterali avevano ciascheduna due usci, simmetricamente disposti gli uni di faccia agli altri, e nel fondo la scala, scarsamente illuminata da un piccolo lucernario, posto su in cima al tetto, appariva abbastanza ampia e comoda. Al primo piano, sul vasto pianerottolo, due sole porte: da una di esse si accedeva negli uffici della banca Maurigi, dalla seconda, nella abitazione privata del banchiere. Dopo, la scala si ristringeva: i gradini di pietra diventavano più alti, per aumentare ancora ad ogni nuovo piano.","NO"
"Lipparini_Guendalina_Anna_alias_Di_Luanto_Regina-Gli_agonizzanti-1900","Lipparini Guendalina Anna alias Di Luanto Regina","Gli agonizzanti","1900","E così a ciascun pianerottolo si facevano più fitti gli usci: tre al secondo, quattro al terzo, sei al quarto, indicando la graduale suddivisione dei quartieri, nei quali gli inquilini si ammucchiavano, contro qualsiasi più elementare regola d’igiene. Al secondo piano abitava la famiglia dell’ingegnere Bessardi; per rendere indipendenti dall’ingresso comune le stanze destinate a suo uso particolare, Giulio, il figlio dell’ingegnere, aveva fatto aprire una piccola porticina che appena scorgevasi nella uniforme bianchezza del muro. E soltanto quando quella porta misteriosa, di cui egli solo possedeva l’unica chiave, si era richiusa su di lui, Giulio si trovava a suo agio.","NO"
"Lipparini_Guendalina_Anna_alias_Di_Luanto_Regina-Gli_agonizzanti-1900","Lipparini Guendalina Anna alias Di Luanto Regina","Gli agonizzanti","1900","Ripeteva sempre che l’aspetto comune e borghese delle scale e dell’ingresso lo affliggevano talmente, da costringerlo ad inventare un modo di vederli il meno possibile. Perciò aveva preso l’abitudine di attraversarli sempre di corsa, dopo aver abbandonato il tentativo di camminare ad occhi chiusi, in seguito ad un formidabile ruzzolone fatto per aver inciampato in una cesta di pane, lasciata dal fornaio a metà scala. Si limitò quindi ad adottare il sistema di correre, sistema assai meno originale, meno straordinario certo, ma incomparabilmente più pratico.","NO"
"Lipparini_Guendalina_Anna_alias_Di_Luanto_Regina-Gli_agonizzanti-1900","Lipparini Guendalina Anna alias Di Luanto Regina","Gli agonizzanti","1900","Poiché lo stesso Giulio qualche volta era costretto a riconoscere in petto la necessità di ricorrere a cotesta parola aborrita, che ad alta voce proclamava bandita dal suo vocabolario. Egli si era esclusivamente dedicato al culto della “Bellezza pura” e tutto ciò che si allontanava da essa gli ispirava una sprezzante pietà. La sua preoccupazione costante consisteva nell’informare tutto sé stesso alle leggi della più rigorosa estetica, mettendovi in più un colorito di originalità personale, che egli si sforzava di ottenere in ogni cosa, tanto nel suo vestiario, quanto nei suoi modi, nelle sue idee, nei suoi atti, nelle sue produzioni letterarie, nei versi che già gli avevano procacciato fama di poeta geniale.","NO"
"Lipparini_Guendalina_Anna_alias_Di_Luanto_Regina-Gli_agonizzanti-1900","Lipparini Guendalina Anna alias Di Luanto Regina","Gli agonizzanti","1900","E per raggiungere meglio cotesto intento, nel suo intimo, Giulio si era costituito una specie di tribunale, al quale venivano sottoposte in rapidissimo esame le più ardue questioni. Egli non pronunciava una parola, non scriveva una sillaba, non compieva l’azione più semplice, senza aver prima consultato il suo giudice intimo. “Non è un po’ volgare questo?” “È estetico quest’altro?” A seconda della approvazione suprema, l’atto veniva sì o no compiuto.","YES"
"Lipparini_Guendalina_Anna_alias_Di_Luanto_Regina-Gli_agonizzanti-1900","Lipparini Guendalina Anna alias Di Luanto Regina","Gli agonizzanti","1900","Tutto ciò diventava un lavoro faticosissimo, ma al quale Giulio si era tanto abituato, da credere quasi che quell’opera di epurazione non fosse che la manifestazione spontanea di una individualità eccezionalmente privilegiata. Tale supposizione, compiacendolo assai, non tardò molto a trasformarsi in una ferma persuasione, che egli fece di tutto per comunicare agli altri. Infatti non mancavano coloro ai quali la artificiosa stravaganza di Giulio imponeva una ammirazione mista ad un senso di meraviglia.","NO"
"Lipparini_Guendalina_Anna_alias_Di_Luanto_Regina-Gli_agonizzanti-1900","Lipparini Guendalina Anna alias Di Luanto Regina","Gli agonizzanti","1900","Egli era un bel giovane, indubbiamente, ma più ancora il suo modo di vestire bizzarro, il suo linguaggio gli avevano procurato vari successi molto lusinghieri fra le donne. Giulio però affettava a questo proposito la più grande indifferenza: la illimitata sicurezza che aveva delle superiorità del sesso maschile in genere e della propria in particolare, gli faceva considerare come un tributo naturale e dovuto qualunque prova di benevolenza gli venisse data, riservandosi inoltre il diritto di ricambiare la benefattrice con un profondo disprezzo, altamente manifestato e che gli creava intorno un’aureola di seduzione, più irresistibile ancora. Per le persone della sua famiglia, Giulio era un oggetto di curiosità: la madre e la sorella subivano totalmente il suo ascendente e lo circondavano di un affetto pieno di deferenza; esse non volevano discutere i gusti, le idee strane di lui, anche quando non riuscivano a capirle, anzi specialmente allora la loro ammirazione non aveva limiti.","NO"
"Lipparini_Guendalina_Anna_alias_Di_Luanto_Regina-Gli_agonizzanti-1900","Lipparini Guendalina Anna alias Di Luanto Regina","Gli agonizzanti","1900","Solo l’ingegnere Bessardi opponeva un’aperta resistenza al figlio; sebbene uomo di mente limitata e poco abituato alle sottigliezze delle analisi psicologiche, egli si era formato di Giulio un’opinione abbastanza esatta, che formulava volentieri in una frase con la quale spesso metteva fine alle loro interminabili e sempre rinnovate discussioni. «O tu sei matto e allora sei un disgraziato, o non lo sei e fai le viste di esserlo e allora sei un imbecille, perché, che io sappia, nessuno si è mai gloriato di avere il cervello guasto.» A questo, Giulio rispondeva con un mezzo sorriso di compassione, che aveva il potere di mettere fuori dai gangheri l’ingegnere padre, fino a che la moglie Amalia e la figliuola Livia non si intromettevano per ricondurre la pace in famiglia. E il desinare, perché le sole ore nelle quali padre e figlio si trovavano insieme erano quelle dei pasti, si terminava in un silenzio interrotto da qualche sordo brontolio dell’ingegnere, mentre Giulio componeva la sua fisionomia ad una espressione stanca e distratta, che gli valeva gli sguardi supplichevoli della madre e della sorella.","NO"
"Lipparini_Guendalina_Anna_alias_Di_Luanto_Regina-Gli_agonizzanti-1900","Lipparini Guendalina Anna alias Di Luanto Regina","Gli agonizzanti","1900","Poi appena finito, con un lieve cenno di saluto il giovinotto se ne andava nelle sue stanze, in quelle stanze che egli si era fatto arredare a piacere suo e che il padre aveva visto una unica volta, giurando, dopo, che mai più ci avrebbe rimesso piede. Giulio aveva ascoltato, con la solita indifferenza, le sfuriate paterne e si era accontentato di stringersi nelle spalle. Del resto quelle stanzette erano il suo orgoglio e sebbene non lo mostrasse, perché l’intimo tribunale della sua coscienza aveva dichiarato cotesto sentimento più prossimo alla abilissima volgarità che agli elevati precetti della estetica e della originalità, il suo più grande piacere consisteva nel constatare la sorpresa e lo sbalordimento di quelli che per la prima volta varcavano la soglia della bizzarra dimora.","YES"
