"filename","nome","titolo","anno","chunk","DIL"
"Lopez_Savi_Maria-Nani_e_folletti-1900","Lopez Savi Maria","Nani e folletti","1900","﻿MARIA SAVI LOPEZ Nani e folletti Agli illustri professori Pio Rajna e Guido Mazzoni Introduzione Le figure dei nani e dei folletti, che si trovano nei vecchi poemi, nelle tradizioni antichissime dei popoli, nelle leggende sparse ancora adesso in ogni parte della terra, sono così strane nel loro aspetto soprannaturale, che mi hanno indotta a raccogliere con amore la parte più dilettevole della loro storia. Eccoli dunque innanzi a noi! Provengono dalle profondità della terra e del mare, dalle cime dei monti e dai boschi, dalle valli e dai laghi, dalle loro città misteriose e dalle povere case del volgo: escono dai fiori e scendono dal cielo: lasciano per noi i deserti del Polo o le foreste americane.","NO"
"Lopez_Savi_Maria-Nani_e_folletti-1900","Lopez Savi Maria","Nani e folletti","1900","Molti sono vestiti di luce o di gemme; altri, oscuri minatori o custodi di tesori, hanno le cappe grigie o nere, altri ancora hanno qualche cosa di satanico nelle lunghe vesti rosse. Fra essi non mancano i nani bianchi o verdi, i piccoli gobbi maligni o faceti; le facce orribili dei truci guardiani di belle fanciulle; i demonietti esperti nel mettere alla prova la pazienza dei poveri mortali; i fabbri minuscoli delle spade incantate, delle corazze sfavillanti, dei gioielli meravigliosi ambiti dalle dee. E in quanti modi adornano o nascondono in parte i capelli rossi, verdi o bianchi!","NO"
"Lopez_Savi_Maria-Nani_e_folletti-1900","Lopez Savi Maria","Nani e folletti","1900","Molti hanno sul capo la corona reale, altri portano cappucci neri o rossi, altri ancora ghirlande di gemme, di stelle o di foglie, o cappelli bizzarri, berretti rossi o neri. E pare che dietro alle loro schiere innumerevoli, sul nebbioso orizzonte, si affolli un altro popolo più meraviglioso di numi diversi, dai quali trassero l'origine lontana. Ma prima che la folla irrequieta si allontani, prima che i nani ed i folletti ritornino a schiere in ogni parte della terra e del mare, alle danze, al lavoro, alle insidie, alla custodia dei tesori e delle fanciulle, e non risuonino più intorno a noi le loro voci stridule e beffarde e il canto divino dei piccoli elfi emuli delle Sirene, cerchiamo di delineare fra queste pagine le loro figure meravigliose e diverse.","NO"
"Lopez_Savi_Maria-Nani_e_folletti-1900","Lopez Savi Maria","Nani e folletti","1900","Oberon I nani più famosi per la loro forza, per la potenza, la ricchezza e la bellezza sovrumana hanno parte importante in parecchi poemi del Medioevo; e pare che i loro poeti si siano compiaciuti nel delinearne le figure strane, così diverse da quelle degli eroi, per i quali s'accesero d'amore le castellane di Francia e di Germania, o le Saracene che rinnegarono per essi la fede dei loro avi. Questi nani, siano essi padroni di tesori o di regni meravigliosi sotto il triste cielo dell'Islanda e della Scandinavia, nell'ignoto paese dei Nibelunghi, sui monti del Tirolo, o sulle sponde del nostro lago di Garda, hanno fra loro relazioni strettissime. Così avviene che il Laurino del vecchio poema tirolese, del quale è il personaggio principale, non sia meno bello del famoso Oberon francese.","NO"
"Lopez_Savi_Maria-Nani_e_folletti-1900","Lopez Savi Maria","Nani e folletti","1900","Entrambi, poi, hanno ricchezza pari a quella dell'Andvari e del Regin dell'Edda, dell'Alberico dei Nibelunghi, e dell'altro Alberico divenuto cittadino d'Italia nel vecchio poema Ortnit, appartenente al ciclo longobardo. Quante volte nelle sale dei castelli o sulle piazze, dove la gente credula, amante delle avventure portentose, si radunava intorno allo skaldo, al giullare, al minnesinger, questi avranno ripetuto il verso facile, il racconto dilettevole nella sua semplicità, narrando della bellezza di Oberon, «le roy faés», e del dolore di Laurino, il re dei nani del Tirolo; della forza di Alberico e dell'anello incantato di Andvari; o avranno descritto le meraviglie dei tesori che i nani custodivano nelle loro città sotterranee, e le lotte da essi sostenute contro eroi famosi! Sarà parso allora agli ingenui uditori di vedere quei nani alti tre piedi, o più piccoli ancora, con le splendide corazze tempestate di gemme, i piccoli berretti incantati, le spade sfavillanti e gli scudi che nessuna forza umana poteva rompere.","NO"
"Lopez_Savi_Maria-Nani_e_folletti-1900","Lopez Savi Maria","Nani e folletti","1900","Poi gli ultimi skaldi, i giullari, i minnesinger sono discesi nella tomba. Nessuno ha raccontato più le gesta dei nani nelle sale dei castelli e sulle piazze affollate. La canzone epica, il romanzo d'avventure hanno perduto ogni valore per la gente colta, allettata in Francia ed in Germania da una fiacca e tardiva imitazione della poesia classica, e non hanno più commosso il popolo travolto in nuove guerre e divenuto indifferente alle gesta dei padri, al sorgere dell'Evo moderno.","NO"
"Lopez_Savi_Maria-Nani_e_folletti-1900","Lopez Savi Maria","Nani e folletti","1900","I vecchi manoscritti, che erano stati la gloria dei poeti in tanta parte dell'Europa medioevale, ed avevano procurato ai cantori popolari il pane quotidiano, furono dimenticati o distrutti; e soltanto alcuni di essi, salvi per caso, ci hanno conservato il racconto delle imprese dei piccoli nani, riapparsi innanzi a noi in questo secolo forse per opera della loro magica potenza, fulgidi e belli, coperti d'oro e di gemme, vicino alle pagine vetuste e polverose, Vedremo che sono comuni le origini mitiche e lontanissime di questi nani, nei quali possiamo trovare una grandezza epica, se osavano combattere contro il Siegfried dei Nibelunghi, contro Teodorico di Verona e il longobardo Ortnit. Ma sarebbe più opportuno discorrere prima di quelli che più si avvicinano a queste origini. Sono, senza dubbio, l'Andvari ed il Regin dell'Edda, e l'Alberico dei Nibelunghi, più antichi nell'aspetto, mentre le figure degli altri ci vengono presentate con maggiori ornamenti, con parvenza più bella e dilettevole, da poeti già avvezzi a lavorare con amore intorno ad una figura nota, ignari del valore mitico che questa ebbe in altri tempi.","NO"
"Lopez_Savi_Maria-Nani_e_folletti-1900","Lopez Savi Maria","Nani e folletti","1900","Ma fra tutti i nani la gloria maggiore spetta ad Oberon, il piccolo re «du pays de féerie», che ha tanta parte nel vecchio poema francese Huon de Bordeaux. Egli ha ispirato allo Shakespeare ed al Wieland pagine immortali, e ride nel Fausto di Goethe. A lui dobbiamo l'opera bellissima di Weber che porta il suo nome; per lui il popolo di Francia ha sempre avuto una predilezione singolare, e durante parecchi secoli si sono moltiplicate le edizioni popolari di un rifacimento moderno dell'Huon de Bordeaux.","NO"
"Lopez_Savi_Maria-Nani_e_folletti-1900","Lopez Savi Maria","Nani e folletti","1900","Più bello del sole, destinato alla gloria del Paradiso dove si trova il suo seggio; re di un paese incantato; potente a tal punto da compiere tutto ciò che brama con la sola forza della sua volontà, forse Oberon ha anche voluto che l'arte della parola e quella dell'armonia, nella loro perfezione maggiore, rendessero più durevole e fulgente quella fama, che gli aveva già data l'ingenua e semplice parola dell'ignoto suo poeta medioevale. Credo dunque che fra queste pagine il posto d'onore spetti a colui che rise accanto al gran tragico inglese nel dolcissimo Sogno di una notte d'estate; che fece discendere nel cuore di Weber le note del suo corno incantato, dolci nel suono come la lira di Orfeo; che dettò forse al Wieland i versi armoniosi nei quali venne esaltata la sua gloria, e che appare fra le pagine che ricordano l'amore ed il pianto di Margherita. Da quale vecchio poema il cantore di Huon de Bordeaux trasse l'immagine luminosa del piccolo re selvaggio, figlio di Giulio Cesare e della fata Morgana?","NO"
"Lopez_Savi_Maria-Nani_e_folletti-1900","Lopez Savi Maria","Nani e folletti","1900","Come potè il trovèro francese presentarci Oberon, re di Monmur e di tutta la «féerie» della vecchia Bretagna, con certe qualità soprannaturali che lo congiungono strettamente ai più illustri nani della Germania e della Scandinavia, al Laurino tirolese, ed all'Alberico del poema longobardo, Ortnit? La creazione poetica della figura di Oberon, che protegge Huon e la sua bella sposa Esclarmonda, è anteriore o posteriore a quella dell'Alberico che aiuta il re Ortnit a conquistare una sposa nel lontano Oriente? È ardua cosa trovare risposte soddisfacenti a queste domande, e pare che non sia bastata ad Oberon, dopo i suoi trionfi medioevali, la nuova gloria acquistata fra l'arte moderna.","NO"
