"filename","nome","titolo","anno","chunk","DIL"
"Macina_Gervasio_Luisa-Corona_di_spine-1908","Macina Gervasio Luisa","Corona di spine","1908","﻿PARTE PRIMA TERRA SANTA I. Mentre cadono l’ombre... Il cielo aveva una meravigliosa tinta d’azzurro trasparente, che diveniva color d’oro verso il fondo dell’orizzonte, sul fiume, ed era quasi d’un verde tenero a oriente, sulla montagna.","NO"
"Macina_Gervasio_Luisa-Corona_di_spine-1908","Macina Gervasio Luisa","Corona di spine","1908","Si accendevano le prime stelle d’argento, come magiche lampade sopra un arazzo di seta, e un sottile corno di luna appariva a ponente, ma così limpido che pareva un’unghia di diamante, tagliato in un’unica gemma. Era bene una notte orientale, questa che scendeva sul bianco villaggio di Bet-Berack, una notte di primavera, lucida, chiara, senza ombre, piena di trasparenze e di profumi. Sul tetto di quelle case bianche, tagliate a cubo, che sono da migliaia d’anni la prediletta forma architettonica in oriente, presso alla balaustra tutta cinta di rosai, dalla parte che guardava sul fiume, sedeva un giovine, e teneva fra le sue le mani di una donna sdraiata in terra ai suoi piedi, sopra una larga stuoia di cocco.","NO"
"Macina_Gervasio_Luisa-Corona_di_spine-1908","Macina Gervasio Luisa","Corona di spine","1908","Tacevano, e l’uomo guardava giù nella valle, come a raccogliere con avido occhio quello strano e malioso paesaggio. Il fiume luccicava fra le alte erbe, nelle quali passavano improvvisi fruscii. Erano enormi rane, grosse come la mano di un uomo, che saltellavano pesantemente sfuggendo alle insidie di qualche uccello notturno; erano serpentelli e ramarri, che guizzavano tra le canne.","NO"
"Macina_Gervasio_Luisa-Corona_di_spine-1908","Macina Gervasio Luisa","Corona di spine","1908","Qualche molle colpo d’ala passava nell’aria tiepida; o un rapido squittire, o un ronzio misterioso. Voci della natura che al giovine parevano nuove, e che egli ascoltava curiosamente, come se avesse sperato di comprenderle. Così che forse non si accorgeva neppure del silenzio della donna, sdraiata ai suoi piedi, che, sorda e cieca a ogni altro suono, a ogni altra bellezza, teneva fissi gli occhi grandi, neri di velluto sul biondo viso maschile, e ascoltava il respiro che gli usciva dal petto, e qualche volta un breve interrotto sospiro, quando, forse, un pensiero, (di quale angoscia a lei occulta?)","YES"
"Macina_Gervasio_Luisa-Corona_di_spine-1908","Macina Gervasio Luisa","Corona di spine","1908","gli gravava d’improvviso il cuore. Qualche volta ella appoggiava piano le sue labbra sulle mani di lui, e sentiva allora fremere la mano sotto quel bacio, ma esso pur non valeva a distogliere il giovine dalla sua muta contemplazione. Scendeva la sera, ma non l’ombra; anzi pareva che il cielo si facesse più chiaro, le stelle più luminose; un chiarore diffuso era su tutta la valle.","NO"
"Macina_Gervasio_Luisa-Corona_di_spine-1908","Macina Gervasio Luisa","Corona di spine","1908","A occidente il cielo era così limpido che si potevano distinguere i minareti di Gaza, e una linea lucida nel fondo, che forse era il mare. A oriente, le montagne di Ebron erano tutte bianche, come creta bianca, con qualche tinta viola, che vi scendeva dal cielo. Ma tutta la valle era piena di verde e di fiori, e se i colori scomparivano ora nella penombra che invadeva il piano, tanto più forti salivano i profumi confusi di iris, di anemoni, di balsami, di rose.","NO"
"Macina_Gervasio_Luisa-Corona_di_spine-1908","Macina Gervasio Luisa","Corona di spine","1908","E non era forse questa la terra promessa in antico ai figliuoli d’Abramo? La terra che scorreva latte e miele? Che Mosè contemplò dall’alto del monte, poichè il suo piede non fu degno di toccarla?","YES"
"Macina_Gervasio_Luisa-Corona_di_spine-1908","Macina Gervasio Luisa","Corona di spine","1908","Quelle laggiù sono bene le montagne della Giudea, che udirono i lamenti dei figli d’Israele, e le profezie degli inspirati; e laggiù in fondo, invisibile ancora agli occhi, ma presente all’anima inquieta, Gerusalemme! — Signore, – mormorò a un tratto la donna – tu non mi guardi! Il giovane si scosse, e si chinò verso di lei.","YES"
"Macina_Gervasio_Luisa-Corona_di_spine-1908","Macina Gervasio Luisa","Corona di spine","1908","E vide che era bella! Il viso ovale, dolcemente rotondo sulle guancie, dal mento piccolo e acuto; la bocca pura, la fronte breve sotto due pesanti lucide bande di capelli nerissimi, gli occhi carezzevoli e sereni, magnifici, morbidi, e il fine arco delle sopracciglia, la pelle trasparente, d’un pallido raso, richiamavano immediatamente alla memoria il tipo della Madonna, vivente ancora, e assai diffuso, in tutta la terra di Canaan. La acconciatura del capo, il lungo velo bianco posato sulle tempie, e ricadente indietro sul bel collo ignudo, rendeva più perfetta l’illusione.","YES"
"Macina_Gervasio_Luisa-Corona_di_spine-1908","Macina Gervasio Luisa","Corona di spine","1908","E anche l’atteggiamento molle e adorante di lei, l’abbandono grazioso, ma temperato di grande dignità, lo sguardo pieno di dolcezza, avevano alcunchè di divino. — Se pure non ti guardo non ti ho sempre presente, amor mio? – rispose infine il giovine, chinandosi a baciare la bocca purpurea che si schiuse al sorriso.","NO"
"Macina_Gervasio_Luisa-Corona_di_spine-1908","Macina Gervasio Luisa","Corona di spine","1908","— Sì... ma che t’importa di mirare tanto questi monti, questo cielo, quel fume? – disse ella – i monti, il fiume, la campagna, il cielo si vedono sempre! Ma io invece non mi sazio mai di guardare te, signore mio!","NO"
"Macina_Gervasio_Luisa-Corona_di_spine-1908","Macina Gervasio Luisa","Corona di spine","1908","— Piccola selvaggia! – disse ridendo il giovine. – Tu non hai senso alcuno per le bellezze della natura.","NO"
"Macina_Gervasio_Luisa-Corona_di_spine-1908","Macina Gervasio Luisa","Corona di spine","1908","Tutte queste cose è già troppo tempo che tu le vedi; ci sei abituata; tu fai parte di questo cielo, di questa valle, di questi profumi; per questo forse non senti, non intendi... La mia anima qua dentro è nuova, e stenta ad abituarsi, per questo sono sempre pervaso come da un senso alto di stupore... E poi – continuò a voce più bassa – son cose che non vedrò forse mai più.","NO"
"Macina_Gervasio_Luisa-Corona_di_spine-1908","Macina Gervasio Luisa","Corona di spine","1908","— Perchè, o mio signore? – esclamò dolorosamente la giovane donna, stringendo con le sue mani le ginocchia dell’amato. — Non badare a ciò che dico – mormorò lui, chinandosi a baciarla ancora.","NO"
"Macina_Gervasio_Luisa-Corona_di_spine-1908","Macina Gervasio Luisa","Corona di spine","1908","– Ho dei momenti così... di malinconia... È forse il pensiero del mio viaggio imminente; quindici giorni lontano da te!... Ciò mi turba. — Ma dopo – disse appassionatamente la giovane – dopo tu resterai con me sempre; non è vero?","NO"
"Macina_Gervasio_Luisa-Corona_di_spine-1908","Macina Gervasio Luisa","Corona di spine","1908","— Sempre! – mormorò con tono ironico il giovine. – Le donne son dunque tutte le stesse, in oriente come in occidente.","NO"
"Macina_Gervasio_Luisa-Corona_di_spine-1908","Macina Gervasio Luisa","Corona di spine","1908","Sempre! Ma perchè non vi contentate dell’ora presente? Chi dunque è padrone di dir sempre?","NO"
"Macina_Gervasio_Luisa-Corona_di_spine-1908","Macina Gervasio Luisa","Corona di spine","1908","Senza rispondere ella nascose il viso tra le ginocchia di lui, e stette immobile come ferita per le dure parole; il giovine allora, pentito di averle pronunciate, carezzò pianamente quella testina abbandonata in un oscuro dolore, occupata da un dubbio che non sapeva o non osava trovare parole. — Sarah – disse egli – sta’ lieta, amor mio! Ella alzò il viso e sorrise.","NO"
"Macina_Gervasio_Luisa-Corona_di_spine-1908","Macina Gervasio Luisa","Corona di spine","1908","— È che tu vuoi farmi paura qualche volta – disse con una smorfietta infantile. – Sì, qualche volta ho paura di te. — Perchè, mia piccola colomba?","NO"
