"filename","nome","titolo","anno","chunk","DIL"
"Macina_Gervasio_Luisa-Daniela-1921","Macina Gervasio Luisa","Daniela","1921","﻿I. LA VEGLIA. Era la prima veglia dell'anno, e, naturalmente si teneva nella stalla di pare Gioanni.","NO"
"Macina_Gervasio_Luisa-Daniela-1921","Macina Gervasio Luisa","Daniela","1921","Ma era una veglia speciale, una veglia festiva, perchè, la sera dei Morti, sarebbe stato un sacrilegio lavorare. Già mare Viginia aveva recitato il rosario, al quale, tutti, uomini e donne, avevano risposto, anche quelli che, o per avere fatto il soldato, o per leggere di tanto in tanto la Gazzetta del Circondario, ostentavano idee liberali; ma coi morti non si scherza... Intanto Daniela, la figliuola di pare Gioanni, aiutata dal suo fratellino Geppino e dalla serva Rita, portavano dalla cucina tre enormi piatti di castagne, per tutti i gusti, arrostite, ballotte e mondine; e li deponevano sopra un asse, che, per la circostanza era stato elevato su dei cavalletti, e doveva servire da mensa.","YES"
"Macina_Gervasio_Luisa-Daniela-1921","Macina Gervasio Luisa","Daniela","1921","Pare Gioanni e Gerolamo detto Trumlin, il suo servitore, collocarono sullo stesso asse tre grossi boccali di vino e parecchi bicchieri, e così cominciò per quei montanari la parte più piacevole della veglia. Ho chiamato Rita una serva e Trumlin un servitore. Ma nessuno s'immagini per questo di vedere in Rita una di quelle azzimate servette, che siamo avvezzi a trovare nelle nostre case cittadine, e in Trumlin qualche antipatico sbarbato in livrea; no, Trumlin e Rita, meglio che servi, si potrebbero chiamare aiuti dei loro padroni, essi vestono anche alla foggia montanara, come i padroni, badano alla stalla, al granaio, ai campi: tagliano legna nel bosco; fanno insomma tutti quei lavori ai quali le braccia di pare Gioanni non basterebbero, mentre Geppino non ha che otto anni, mare Vigina è quasi sempre malata, e Daniela non è di grande aiuto a suo padre, come vedremo tra poco.","YES"
"Macina_Gervasio_Luisa-Daniela-1921","Macina Gervasio Luisa","Daniela","1921","Non meravigliatevi dunque di vedere Trumlin e Rita seduti alla stessa mensa coi padroni, prendere parte a tutti i discorsi, e considerarsi, insomma, come perfettamente uguali a tutti gli altri invitati.... È un senso di uguaglianza istintivo e mantenuto dall'uso benchè nè Trumlin nè Rita non sappiano affatto che sia il socialismo. Pare Gioanni era certo il più ricco proprietario di Tuolo, un paesetto, anzi una borgata, buttata come un branco di capre sul pendio della montagna, e così piccola e meschina che nessun geografo si è degnato di segnarla sopra una carta. Forse la troverete indicata su qualche schizzo di manovre militari, perchè talvolta qualche compagnia di alpini pianta le sue tende lassù, per pochi giorni; ma il paese manca così assolutamente di tutto, quello che la civiltà ci ha abituati a considerare come indispensabile, che nemmeno i soldati ci vengono e vi si fermano volentieri.","NO"
"Macina_Gervasio_Luisa-Daniela-1921","Macina Gervasio Luisa","Daniela","1921","Pare Gioanni, dicevo, è il più ricco di quegli altipiani. Egli possiede un bel numero di vacche, pecore, capre, che gli permettono una larga industria di latticini, di carni macellabili, di cuoi e lane; e parecchi campi di segale, di orzo, di fagiuoli, di patate, senza contare un bel bosco e alcune vaste praterie, dove le sue bestie, quando, nell'autunno sono discese dall'alta montagna, trovano lauti pascoli a primavera. Ora, benchè pare Gioanni sia di natura piuttosto avara ed egoista, come lo sono quasi sempre i montanari, nelle circostanze sa stare, come dicono i suoi amici, e quando egli fa un invito a casa sua per mangiare e per bere, tutti sanno che vi si mangerà e berrà sul serio.","NO"
"Macina_Gervasio_Luisa-Daniela-1921","Macina Gervasio Luisa","Daniela","1921","Eppure il vino è una delle poche cose che pare Gioanni, è costretto a comprare. Lassù non alligna più la vite, e le donne sono costrette di portare a spalle, nelle gerle pesanti dal paese vicino, il vino che si consuma a Tuolo; ma assai pochi, oltre che nella famiglia di pare Gioanni, ne bevono abitualmente. Sì, il farmacista, il dottore, (Tuolo ha, da due anni, un medico condotto) il notaio e il parroco; non certo il maestro nè la maestra di scuola, che, col loro stipendio di 500 lire ciascuno, non potrebbero permettersi il lusso di bere del vino.","NO"
"Macina_Gervasio_Luisa-Daniela-1921","Macina Gervasio Luisa","Daniela","1921","Del resto, la storia che vi narro è di qualche anno fa; non sarei niente stupita che adesso Tuolo avesse un albergo con luce elettrica e ascensore, per i turisti e alpinisti di passaggio, e che i costumi fossero cambiati; oramai, anche sulle nostre Alpi, i paesi immuni dalla civiltà, dagli alberghi e dagli automobili sono così pochi! Per tornare al vino di pare Gioanni vi dirò che anche quella sera era offerto con abbondanza, ed era buono, tanto che assai presto esso aveva sciolto tutte le lingue, e messo nei cuori una grande allegria, nonostante che la serata fosse destinata a ricordare i defunti; ma per loro si era già pregato, e che cosa si poteva fare di più? Stanno meglio di noi, era il pensiero comune e consolante, di quei montanari, che non vedendo nella morte tutta la paurosa incertezza che vediamo noi, e la considerano come un fatto naturale e necessario, che non ha in se niente di troppo terribile... Gli invitati di quella sera erano quasi tutti proprietari di bestie e di terre; l'alpigiano che non possiede proprio nulla, (e sono ben rari) emigra, e va in Francia o in America, a fare il muratore; sa lavorare nelle miniere e nelle ferrovie; c'erano, se vi piacesse conoscerne alcuni, Ambrogio Criscen, un giovanottone di ventisei anni, vero tipo del montanaro, vigoroso, abbronzato, con due buoni occhi verde–azzurro, come le acque di montagna, pieni di candore.","YES"
"Macina_Gervasio_Luisa-Daniela-1921","Macina Gervasio Luisa","Daniela","1921","Che Ambrogio andasse più volentieri che altrove alle veglie di pare Gioanni, lo sapeva tutto il paese, e tutto il paese aspettava da un momento all'altro di vedere annunziato il matrimonio del giovane con Daniela; difatti Ambrogio era benestante, lavoratore e sobrio; e pare Gioanni non poteva pretendere di più per la sua figliuola. V'era Stefano Loi, detto Stenlino, ammogliato da poco con Annin; un giovanotto che aveva fatto il soldato, ed era sempre molto allegro, faceto, assai pregiato nella società delle stalle, per i suoi scherzi e le sue buffonate; pare Gioanni si teneva onorato delle sue visite. Sua moglie Annin era invece una creatura taciturna e malinconica...","NO"
"Macina_Gervasio_Luisa-Daniela-1921","Macina Gervasio Luisa","Daniela","1921","V'era il Gobbo Bastiano, un curiosissimo tipo, di carnagione verdastra, di età indefinita; i giovani lo avevano sempre veduto allo stesso modo, con la sua faccia rugosa e i suoi capelli brizzolati; i vecchi non si ricordavano che egli fosse stato mai giovane. Viveva poveramente, in una catapecchia miserabile; ma lo si sospettava di avere dei soldi, eppoi era il contastorie della compagnia, un uomo che aveva letto, e che sapeva una quantità di fiabe, di leggende, racconti meravigliosi, che narrava senza farsi molto pregare; pare Gioanni lo stimava assai. Non dimentichiamo il maestro di scuola, il signor Busio, un omone tarchiato, che parlava sempre il dialetto, anche nella scuola, (e credo avesse lo sue buone ragioni) e oltre a fare il maestro zappava anche un suo campicello, e conduceva al pascolo una sua magra vacca e due pecore, e la maestra, la signora Carotti, una buona donna che univa alla sua professione di insegnante comunale anche quella di sarta...","NO"
"Macina_Gervasio_Luisa-Daniela-1921","Macina Gervasio Luisa","Daniela","1921","E siccome quest'ultima le lasciava molto tempo disponibile, perchè le signore di Tuolo non seguivano con troppo accanimento la moda, ella era pure una grande allevatrice di galline al cospetto del Signore. Nè la signora Carotti nè il maestro Busio erano stretti da vincoli coniugali, e nel paese da molti anni si aspettava che i due dispensatori del pane della scienza ai marmocchi di Tuolo si decidessero a sposarsi tra di loro, perchè parevano proprio fatti l'un per l'altro... ma i due pedagoghi non si erano ancora decisi, benchè sì l'uno che l'altro non aspettassero più la quarantina. Il maestro e la maestra erano dei più diligenti frequentatori della stalla di pare Gioanni, perchè questi era pure il sindaco di Tuolo, e chi poteva rifiutarsi di rendere omaggio all'autorità costituita?","NO"
"Macina_Gervasio_Luisa-Daniela-1921","Macina Gervasio Luisa","Daniela","1921","Altri personaggi importanti, che venivano di tanto in tanto a passare un'oretta alle veglie di pare Gioanni, (e quella sera c'erano tutti) erano Bigotti, il farmacista; il notaio Lappoli; il dottor Fausari, medico condotto. Il farmacista e il notaio erano ammogliati, e si facevano accompagnare quasi sempre dalle loro donne; il dottore era scapolo… e già da molti anni non manifestava più nessuna intenzione matrimoniale. Quella sera c'era anche il parroco don Balsamo, e Rosa, la sua Perpetua, ma erano casi rari; tanto il padrone che la serva soffrivano di reumatismi, e non si arrischiavano volentieri fuori, le sere d'inverno.","NO"
"Macina_Gervasio_Luisa-Daniela-1921","Macina Gervasio Luisa","Daniela","1921","Oltre a questi già nominati v'era un popolo minuto di giovanotti e di ragazze; una dozzina, che si mettevano in un angolo, tutti insieme, e ciarlavano e ridevano tra loro; la gente seria badava poco a loro, e loro badavano poco alla gente seria. Quando tutti ebbero castagne e vino bianco e vino nero in abbondanza, Daniela venne a sedere pur lei vicino alle ragazze, che l'accolsero con grandi esclamazioni di gioia. Ambrogio Criscen, che fino allora era stato veduto presso a Margherita Roggia, una bella e grossa biondina di vent'anni, subito trasportò il suo sgabello vicino a quello di Daniela, e le presentò le sue due larghe mani, piene di castagne arrostite, come un vassoio.","NO"
"Macina_Gervasio_Luisa-Daniela-1921","Macina Gervasio Luisa","Daniela","1921","Daniela ne prese una, così per complimento, dicendo: – Grazie, ma non ho appetito, – con un tono che mise un'ombra di dispiacere sul viso di Ambrogio, e forse un lampo di soddisfazione su quello di Margherita. Un giovanotto, Richetto Grignola, continuò una descrizione che aveva incominciata del ballo pubblico a cui aveva assistito due settimane prima a Pinerolo; e Ambrogio, senza ascoltarlo, si pose a guardare con amorosa intensità la sua Daniela, che masticava lentamente la castagna. La sua Daniela!","YES"
"Macina_Gervasio_Luisa-Daniela-1921","Macina Gervasio Luisa","Daniela","1921","Eh, non era ancora sua! Povero Anbrogio! La divorava con gli occhi.","YES"
"Macina_Gervasio_Luisa-Daniela-1921","Macina Gervasio Luisa","Daniela","1921","Gli pareva assai bella, Daniela, la più bella di tutte. Difatti aveva qualcosa di diverso da tutte le altre montanare. Era alta e piuttosto magra, il che le dava una figura slanciata, che ella sapeva avvantaggiare ancora con un busto attillato, come lo portano le signorine della città.","YES"
