"filename","nome","titolo","anno","chunk","DIL"
"Majocchi_Platis_Maria-Pagine_mistiche-1919","Majocchi Platis Maria","Pagine mistiche","1919","﻿PAGINE MISTICHE OPERA POSTUMA JOLANDA","NO"
"Majocchi_Platis_Maria-Pagine_mistiche-1919","Majocchi Platis Maria","Pagine mistiche","1919","I. Il Vangelo. Molti libri sono stati composti con pensieri e massime raccolte da questo o quell'autore; e diversi autori, anche, hanno riunito le scintille e le gocciole del loro ingegno creativo e meditativo a formare volumetti ricchi di saggi insegnamenti e densi di idee originali e profonde.","NO"
"Majocchi_Platis_Maria-Pagine_mistiche-1919","Majocchi Platis Maria","Pagine mistiche","1919","Ma nessuno ancora, ch'io mi sappia, ha pensato di raccogliere in un piccolo libro, che dovrebbe essere di veste preziosa e austera come il suo contenuto, alluminato sui margini da qualche fine artista di puro cuore e d'ispirazione misticamente ardente; nessuno, ch'io mi sappia, ha, finora pensato di raccogliere i pensieri e le massime del Grande Maestro della vita spirituale e pratica: di Gesù di Nazareth. Il Vangelo è ricco di questa fioritura olezzante e fresca e spontanea come quella d'un rigoglioso prato di qualche vergine pendice alpestre, nei bei giorni del maggio. Già ne considerammo alcuni il mese scorso; vediamo oggi alcuni altri, compresi in quel capitolo del Vangelo di S. Matteo sotto il semplice titolo di «Diversi precetti».","NO"
"Majocchi_Platis_Maria-Pagine_mistiche-1919","Majocchi Platis Maria","Pagine mistiche","1919","Nessuna cosa ebbe Gesù in dispregio come l'ipocrisia, questa profanazione che commette il vizio a danno della virtù. Indulgeva Egli e perdonava ai peccatori che provavano il dolore e la vergogna del loro fallo – ma sbugiardava e additava al disprezzo – Egli così mite – i subdoli artefici del male. – «Guardatevi dai falsi profeti – diceva – che vengono a voi in vesti da pecore; ma di dentro son lupi rapaci».","NO"
"Majocchi_Platis_Maria-Pagine_mistiche-1919","Majocchi Platis Maria","Pagine mistiche","1919","E insegnava il modo infallibile per distinguerli: osservare i risultati delle loro azioni. Giacchè se non è difficile agli astuti salvare le apparenze, come comunemente si dice, difficilissimo, anzi impossibile è nascondere le conseguenze palesi delle male azioni e della cattiva condotta. – «Li conoscerete da' loro frutti – avvertiva Cristo.","NO"
"Majocchi_Platis_Maria-Pagine_mistiche-1919","Majocchi Platis Maria","Pagine mistiche","1919","– Si coglie forse uva dalle spine, o fichi dai triboli? Così ogni buon albero porta buoni frutti: e ogni albero bacato porta frutti cattivi. Non può un buon albero fare frutti cattivi, nè un albero bacato fare frutti buoni.","NO"
"Majocchi_Platis_Maria-Pagine_mistiche-1919","Majocchi Platis Maria","Pagine mistiche","1919","– Il Maestro divino insisteva su questo, sapendo quanto spesso la generalità degli uomini si lascia abbagliare e persuadere dalle apparenze, dalle parole, dalle forme, ostentate. Egli che consigliava a pregare brevemente e semplicemente e a fare di tutta la propria vita, invece, una preghiera in azione, dava grande importanza ai risultati, alle opere, all'esempio. E invero, la dottrina di Gesù non ci apparirebbe così sublime se oltre ad essere stata predicata, non fosse vissuta dal suo divulgatore.","NO"
"Majocchi_Platis_Maria-Pagine_mistiche-1919","Majocchi Platis Maria","Pagine mistiche","1919","– «Ogni pianta che non porti buon frutto, si taglia e si getta nel fuoco, continuava. Voi li riconoscerete dunque dai frutti loro». Era il consiglio prudente di allontanare da noi e non farne conto, chi è sterile di virtù buone, fosse anche il più potente personaggio della terra.","NO"
"Majocchi_Platis_Maria-Pagine_mistiche-1919","Majocchi Platis Maria","Pagine mistiche","1919","Rileviamo lo spirito profondo di questo breve discorso in cui traluce l'anima sopraumana del più grande dispregiatore delle apparenze vane e pompose, delle convenzionalità farisaiche, che abbia avuto il mondo. Non chi si consuma nelle lunghe preghiere fatte materialmente col labbro e nelle implorazioni d'una misericordia che poi non usano col prossimo, conducendo una vita in disaccordo coi precetti del Signore, avrà l'aiuto divino della grazia. E nemmeno chi si fa ministro di Dio e profana la fede e il culto con le opere troppo in aperta opposizione con le facili esortazioni della parola e il materiale esercizio del proprio ufficio.","NO"
"Majocchi_Platis_Maria-Pagine_mistiche-1919","Majocchi Platis Maria","Pagine mistiche","1919","Alte e terribili ai preti indegni, agli ecclesiastici che abusano dei loro poteri per esercitare ingiustizie sugli uomini «mondi di cuore e dalle pure intenzioni» alte e terribili devono suonare dal profondo degli evi le severe sdegnose meritate parole di Colui nel cui nome falsamente agiscono e sotto cui tentano ricoverarsi «Non v'ho mai conosciuti – ritiratevi da me, voi tutti operatori d'iniquità». Il Maestro divino afferma ai suoi seguaci la sicurezza, la pace, l'intima gioia che possono venire all'anima dal mettere in pratica i suoi suggerimenti di vita, così semplici, così dolci, così puri, così ben uniformati al desiderio intimo d'amare, di beneficare, d'elevarsi, di mondarsi, ch'è insito nell'anima accesa da Dio. – «Chi ascolta queste mie parole e le mette in pratica – dice Gesù – sarà paragonato ad un uomo avveduto che fondò la sua casa su la roccia.","NO"
