"filename","nome","titolo","anno","chunk","DIL"
"Majocchi_Platis_Maria-Suor_Immacolata-1904","Majocchi Platis Maria","Suor Immacolata","1904","﻿JOLANDA SUOR IMMACOLATA AVVERTENZA ALLA I EDIZIONE","NO"
"Majocchi_Platis_Maria-Suor_Immacolata-1904","Majocchi Platis Maria","Suor Immacolata","1904","Questo breve e semplice racconto dove non è tutta la storia d'una vita, ma l'episodio d'una vita monacale, mentre può stare completamente a sé, può essere un seguito e un complemento al mio romanzo Le tre Marie pubblicato vari anni or sono presso l’editore Cappelli. I lettori che s'interessarono alla giovinezza delicata e malinconica della bionda Maria Farigliano, la ritroveranno qui nella sua maturità sotto il nome di suor Immacolata, ritemprata dalla sua fede, guarita con la consacrazione di tutta se stessa a un'alta idea. E chi la seguì nel suo passato, certo potrà meglio intendere la virtù di alcune rievocazioni, la poesia di qualche pagina di vita rivissuta, che si trovano in questo volumetto.","NO"
"Majocchi_Platis_Maria-Suor_Immacolata-1904","Majocchi Platis Maria","Suor Immacolata","1904","L'AUTRICE al professore DON TOMMASO NEDIANI con rispettosa e cordiale amicizia dedico Nous disons que le mal existe.","NO"
"Majocchi_Platis_Maria-Suor_Immacolata-1904","Majocchi Platis Maria","Suor Immacolata","1904","Nous dont la sagesse consiste À savoir le fuir en tout lieu; Mais ta coscience le nie. Tu n'y crois plus, toi dont la vie N'est qu'un long combat contre lui, Et tu ne sens pas ses atteintes Car ta bouche n'a plus de plaintes Que pour les souffrances d'autrui.","NO"
"Majocchi_Platis_Maria-Suor_Immacolata-1904","Majocchi Platis Maria","Suor Immacolata","1904","(A. De Musset - Vers inèdits à Soeur Marceline). Per aspera ad astra","NO"
"Majocchi_Platis_Maria-Suor_Immacolata-1904","Majocchi Platis Maria","Suor Immacolata","1904","La suora entrò nella camera della giovinetta inferma con un mazzo di rose bianche tra le mani: — Guardi che bellezza.... Jole socchiuse appena le palpebre, pigramente, dal letto ove giaceva nel dolce languore della convalescenza appena iniziata. La suora, giovane, esile, assai alta di statura, vestiva l'abito bianco dell'Ordine Domenicano.","NO"
"Majocchi_Platis_Maria-Suor_Immacolata-1904","Majocchi Platis Maria","Suor Immacolata","1904","Per avvicinarsi al letto, passò attraverso a un raggio di sole che s'insinuava nella stanza dalle imposte semichiuse. E la sua figurina ascetica ebbe in quell'istante l'incanto d'una apparizione. — Guardi.... — ella insistè con una voce tenera e armoniosa: — si svegli, basta dormire, adesso.","NO"
"Majocchi_Platis_Maria-Suor_Immacolata-1904","Majocchi Platis Maria","Suor Immacolata","1904","Jole sbadigliò, aperse un occhio solo, sorrise ai fiori e alla sua vigile infermiera insieme, poi trasse dalle coltri la piccola mano magra, esangue, piegò il mazzo di rose verso il suo viso, ve lo immerse un momento. — Come sono fresche.... e che odore acuto.... Chi le ha colte?","NO"
"Majocchi_Platis_Maria-Suor_Immacolata-1904","Majocchi Platis Maria","Suor Immacolata","1904","— Le ho colte io per portarne alla Madonna. Oggi comincia maggio, — rispose suor Immacolata. — Ne ho messe tutto intorno all'immagine, e ne ho riempito il vasetto della mensola sotto.","NO"
"Majocchi_Platis_Maria-Suor_Immacolata-1904","Majocchi Platis Maria","Suor Immacolata","1904","Pare un altare. — Nella sua camera, non è vero? — chiese la fanciulla con una specie d'ansiosa premura.","NO"
"Majocchi_Platis_Maria-Suor_Immacolata-1904","Majocchi Platis Maria","Suor Immacolata","1904","— Nella camera dove dormo — spiegò tranquilla la suora. — Credo che là non potrà dispiacere a nessuno.... — No, là no.... — mormorarono le labbra pallide di Jole dopo un silenzio. — E di queste che ne fa?","NO"
"Majocchi_Platis_Maria-Suor_Immacolata-1904","Majocchi Platis Maria","Suor Immacolata","1904","— Le darò alla cameriera perchè le accomodi in qualche portafiori del salotto. Non qui da lei perchè hanno troppo profumo. — Due.... me ne lasci due.... per compagnia.... così — pregò la convalescente con quel suo fare tra docile rassegnato e mesto a cui nemmeno suor Immacolata sapeva resistere.","NO"
"Majocchi_Platis_Maria-Suor_Immacolata-1904","Majocchi Platis Maria","Suor Immacolata","1904","E lieta della sua conquista continuò sollevandosi un poco sul gomito: — Suora.... mi faccia un piacere.... quelle rose lì, le porti lei nello studio di papà.... Ero sempre io a mettergli i fiori sullo scrittoio!... ora nessuno certo ci pensa più.","NO"
"Majocchi_Platis_Maria-Suor_Immacolata-1904","Majocchi Platis Maria","Suor Immacolata","1904","La suora acconsentì subito, contenta di quel desiderio espresso dalla fanciulla a cui la lunga, gravissima malattia superata pareva aver attutito ogni forza di pensiero e di volontà. — Vado subito, carina. Ma non ricominci a dormire.... Sa bene, è il dottore che non vuole.","NO"
"Majocchi_Platis_Maria-Suor_Immacolata-1904","Majocchi Platis Maria","Suor Immacolata","1904","Al nome del dottore, Jole fece una smorfia e la suora rise, un breve riso fresco spontaneo, di coetanea, quasi. Ed uscì dalla stanza per adempiere all'incarico ricevuto. Quasi tutti gli ambienti di quel quartiere comodo, ma non vasto, davano su un corridoio.","NO"
"Majocchi_Platis_Maria-Suor_Immacolata-1904","Majocchi Platis Maria","Suor Immacolata","1904","Lo studio del professore era in fondo, vicino all'uscio d'ingresso, e quantunque suor Immacolata sapesse di trovarlo deserto a quell'ora mattutina in cui lo scienziato impartiva le sue lezioni all'Università, non potè impedire al suo cuore sensibilissimo di provare una specie di sgomento nel varcare quella soglia. Senza sole, coi vetri delle finestre chiusi, le pareti occupate da scaffali enormi pieni di opere voluminose; i mobili coperti di giornali, d'altri libri e di riviste: tra le finestre una larga tavola invece di scrittoio, pure ingombra di carte e volumi, lo studio parve cupo, fosco come non mai, a colei che vi entrava vestita della tonaca bianca, con un mazzo di rose candide fra le mani, simile ad una visione di purezza e di poesia. E non era la severità del luogo che attristava la sua anima avvezza a ben altre tristezze, negli ospedali, negli ospizi, dovunque si era inclinata pietosa sulle miserie, sulle infermità, sui dolori, sulla morte: era un senso più oscuro e più gelido della tristezza l'impressione che il suo spirito angosciato provava fra quelle pareti, dove nulla rifletteva una fede, un ideale divino.","NO"
