"filename","nome","titolo","anno","chunk","DIL"
"Manganella_Renato_Eduardo_alias_D_Ambra_Lucio-Il_trampolino_per_le_stelle-1922","Manganella Renato Eduardo alias D Ambra Lucio","Il trampolino per le stelle","1922","﻿LUCIO D'AMBRA Il trampolino per le stelle Tre dialoghi e due racconti","NO"
"Manganella_Renato_Eduardo_alias_D_Ambra_Lucio-Il_trampolino_per_le_stelle-1922","Manganella Renato Eduardo alias D Ambra Lucio","Il trampolino per le stelle","1922","Il trampolino per le stelle In un qualunque tempo, in un paese qualunque, poichè Pierrot è sempre Pierrot, maschera e uomo, poeta e fanciullo. Egli stesso lo ha detto: «Io dico sempre la stessa cosa, perchè è sempre la stessa cosa; e se non fosse sempre la stessa cosa io non direi sempre la stessa cosa». Che cosa dice Pierrot?","NO"
"Manganella_Renato_Eduardo_alias_D_Ambra_Lucio-Il_trampolino_per_le_stelle-1922","Manganella Renato Eduardo alias D Ambra Lucio","Il trampolino per le stelle","1922","Dice che vuole essere amato più di quanto egli sappia amare. Dice che vuole un'innamorata sempre fedele, alla quale egli possa essere sempre infedele. Dice che tutto vorrebbe, senza dare mai niente: o tutt'al più un sospiro, un verso, una serenata, una canzone, un bacio, tuttociò insomma, che fa a lui piacere di dare prima che faccia piacere agli altri di ricevere.","NO"
"Manganella_Renato_Eduardo_alias_D_Ambra_Lucio-Il_trampolino_per_le_stelle-1922","Manganella Renato Eduardo alias D Ambra Lucio","Il trampolino per le stelle","1922","Sono io, Pierrot, io che scrivo. Sei tu, Pierrot, tu che leggi. Siamo tutti Pierrot, quanti noi siamo: uomini, fanciulli, poeti.","NO"
"Manganella_Renato_Eduardo_alias_D_Ambra_Lucio-Il_trampolino_per_le_stelle-1922","Manganella Renato Eduardo alias D Ambra Lucio","Il trampolino per le stelle","1922","Questo mio Pierrot di stasera è, come tanti, è come tutti. Poeta anche lui. Innamorato anche lui.","YES"
"Manganella_Renato_Eduardo_alias_D_Ambra_Lucio-Il_trampolino_per_le_stelle-1922","Manganella Renato Eduardo alias D Ambra Lucio","Il trampolino per le stelle","1922","Vive lassù, in soffitta, tra cieli e venti, e vorrebbe una reggia. Ha per amica Colombina, fiorista nella strada accanto, e vorrebbe una regina. Ha per amici quattro studenti come lui e vorrebbe per amici i dotti di Salamanca e il Principe di Galles.","YES"
"Manganella_Renato_Eduardo_alias_D_Ambra_Lucio-Il_trampolino_per_le_stelle-1922","Manganella Renato Eduardo alias D Ambra Lucio","Il trampolino per le stelle","1922","Ha le tasche vuote e vorrebbe i milioni di Rothchild. Ha poco sale in zucca e crede d'avervi la saggezza di Socrate. Ama le donne, i fiori e i bambini, ma le donne se non pretendono, i bambini se non piangono e i fiori se non sono destinati a dire addio ai morti.","NO"
"Manganella_Renato_Eduardo_alias_D_Ambra_Lucio-Il_trampolino_per_le_stelle-1922","Manganella Renato Eduardo alias D Ambra Lucio","Il trampolino per le stelle","1922","È un piccolo egoista, pieno di cuore, come me, come voi, come tutti. È un bugiardo che pretende la verità negli altri, è uno che strappa agli altri le illusioni e vorrebbe averle tutte lui, è un omettino che crede di saper tutto e non sa nulla. Si vanta di tutto potere e nulla può, proclama di amare tutti e non ama che sè.","NO"
"Manganella_Renato_Eduardo_alias_D_Ambra_Lucio-Il_trampolino_per_le_stelle-1922","Manganella Renato Eduardo alias D Ambra Lucio","Il trampolino per le stelle","1922","Ora è lì, nella soffitta, al suo tavolino coperto di carte e di libri. È con lui un amico, che lo lascia parlare, che lo sta sempre, povero Giobbe, pazientemente a sentire. Fuori nevica da un cielo di farina.","YES"
"Manganella_Renato_Eduardo_alias_D_Ambra_Lucio-Il_trampolino_per_le_stelle-1922","Manganella Renato Eduardo alias D Ambra Lucio","Il trampolino per le stelle","1922","È l'ultimo giorno di carnevale. Lì, sul tavolino, gettata su un libro, c'è una mascherina nera, quella che Pierrot ha messo iersera e che rimetterà stasera, quando crede di andare per le bettole e fra le maschere a divertirsi. Nel caminetto una sedia rotta fa un po' di luce e quel po' di luce par che faccia anche un po' di caldo.","NO"
"Manganella_Renato_Eduardo_alias_D_Ambra_Lucio-Il_trampolino_per_le_stelle-1922","Manganella Renato Eduardo alias D Ambra Lucio","Il trampolino per le stelle","1922","E Pierrot e l'amico chiacchierano per chiacchierare. [2] L'AMICO Come mai oggi Colombina non c'è? PIERROT Mai più vedrai Colombina in questa onesta casa d'un poeta.","NO"
"Manganella_Renato_Eduardo_alias_D_Ambra_Lucio-Il_trampolino_per_le_stelle-1922","Manganella Renato Eduardo alias D Ambra Lucio","Il trampolino per le stelle","1922","Colombina è una fraschetta, una civetta, Colombina è l'ultima delle donne. L'ho scacciata un'ora fa da questa casa. Le ho gettato giù dalla finestra i suoi cenci e la sua cuffia, i suoi scialletti ed i suoi nastri, i suoi riccioli finti e i suoi fiori di carta.","YES"
"Manganella_Renato_Eduardo_alias_D_Ambra_Lucio-Il_trampolino_per_le_stelle-1922","Manganella Renato Eduardo alias D Ambra Lucio","Il trampolino per le stelle","1922","E non la rivedrò mai più, mai più, mai più, mai più... L'AMICO Te l'ho sentito dir cento volte e il giorno dopo Colombina era qui. PIERROT Non ero io a richiamarla.","YES"
"Manganella_Renato_Eduardo_alias_D_Ambra_Lucio-Il_trampolino_per_le_stelle-1922","Manganella Renato Eduardo alias D Ambra Lucio","Il trampolino per le stelle","1922","Era Colombina a ritornare. L'AMICO Colombina diceva il contrario. PIERROT Colombina ha sempre mentito.","NO"
"Manganella_Renato_Eduardo_alias_D_Ambra_Lucio-Il_trampolino_per_le_stelle-1922","Manganella Renato Eduardo alias D Ambra Lucio","Il trampolino per le stelle","1922","L'AMICO E tu non le hai mentito mai? PIERROT Mai! E, senti, se vuoi rimanermi amico, se tu vuoi che non ci guastiamo, non mi parlare mai più di Colombina.","NO"
