"filename","nome","titolo","anno","chunk","DIL"
"Mantegazza_Paolo-Elogio_Della_Vecchiaia-1893","Mantegazza Paolo","Elogio Della Vecchiaia","1893","Capitolo Primo La vecchiaia nel cuore e nel pensiero dell'uomo D'ailleurs, il faut vieillir sous peine de la vie, c'est un arrêt du ciel, et le moindre des maux c'est la vieillesse, pour qui sait la porter avec courage et avec dignité. CHEV.","NO"
"Mantegazza_Paolo-Elogio_Della_Vecchiaia-1893","Mantegazza Paolo","Elogio Della Vecchiaia","1893","DE BOUFFLERS Veux-tu savoir vieillir? Compte dans ta vieillesse, Non ce qu'elle te prend, Mais ce qu'elle te laisse.","NO"
"Mantegazza_Paolo-Elogio_Della_Vecchiaia-1893","Mantegazza Paolo","Elogio Della Vecchiaia","1893","LEGOUVÉ Vetustas quidem nobis, si semper sapimus, adoranda est. MACROBIO","NO"
"Mantegazza_Paolo-Elogio_Della_Vecchiaia-1893","Mantegazza Paolo","Elogio Della Vecchiaia","1893","L'uomo vecchio per il selvaggio è un delinquente, che deve esser punito, o una creatura schifosa, che fa ribrezzo. Egli deve esser punito con lo sprezzo, con l'odio; se occorre anche con la morte, perché ha voluto arrogarsi il sacrilego privilegio di campar molti anni. Nella famiglia è un peso seccante, un parassita.","NO"
"Mantegazza_Paolo-Elogio_Della_Vecchiaia-1893","Mantegazza Paolo","Elogio Della Vecchiaia","1893","Non può più seguire i compagni alla caccia, alla pesca, alla guerra. È un inciampo nei viaggi e nella fuga. Convien nutrirlo, sorreggerlo, difenderlo.","YES"
"Mantegazza_Paolo-Elogio_Della_Vecchiaia-1893","Mantegazza Paolo","Elogio Della Vecchiaia","1893","Se poi il vecchio è una donna, oh allora lo schifo che ispira è ancora maggiore. Il selvaggio dimentica che quella donna lo ha partorito, lo ha allattato, lo ha amato più di se stessa. È una creatura immonda, ributtante, che nessun maschio desidera: è assai meno del cane che lo aiuta nella caccia.","YES"
"Mantegazza_Paolo-Elogio_Della_Vecchiaia-1893","Mantegazza Paolo","Elogio Della Vecchiaia","1893","Tutt'al più si può farla cuocere, si può mangiarla; ma la sua carne è dura e amara. Dovrei intinger la mia penna nel sangue per descrivervi tutti i trattamenti crudeli inflitti dall'uomo fuegino, dall'australiano all'uomo che ha il torto di aver troppo vissuto; ed io non voglio funestare il lettore (ch'io vorrei mi accompagnasse in un viaggio giocondo), rattristandolo e facendolo rabbrividire fin dalla prima pagina del mio libro. Se è un pessimista arrabbiato che si compiace nella lettura di Lourdes o della Terre, prenda un trattato di etnologia e vedrà in quali e quanti modo si insulti, si maltratti, si seppellisca vivo o si mangi morto, colui che fu padre amoroso, fors'anche guerriero intrepido o cacciatore fortunato.","NO"
"Mantegazza_Paolo-Elogio_Della_Vecchiaia-1893","Mantegazza Paolo","Elogio Della Vecchiaia","1893","Il mio libro è scritto con la penna di un ottimista, che cerca il meglio della natura umana, e ne studia il male soltanto per guarirlo o per migliorarlo. In questo elogio della vecchiaia io non sono un giudice, ma un avvocato. Le razze inferiori devono scomparire affatto dalla faccia della terra e non v'ha pietà di filantropo o scuola di missionario, che possa salvarli da questa distruzione.","NO"
"Mantegazza_Paolo-Elogio_Della_Vecchiaia-1893","Mantegazza Paolo","Elogio Della Vecchiaia","1893","Vorrei piuttosto parlarvi del posto che occupa il vecchio nella società civile, in quella in cui siam nati e viviamo; in quella società che cammina ben lavata e ben pettinata, che porta guanti e istituisce ospedali pei malati, ospizi pei vecchi; ma che fa ancora la guerra e nella fine d'un secolo così ricco di gloria e di scienza si ammala di anarchia. In questa società civile si celano ancora i semi dell'antica e animalesca ferocia, e sbocciano qua e là, come il loglio fra le spighe del grano, appena l'egoismo li inaffi e la passione li riscaldi. Noi non uccidiamo più e molto meno mangiamo i nostri vecchi, ma li disprezziamo spesso e spesso gettiamo loro in faccia come una colpa la loro debolezza e i loro acciacchi.","NO"
"Mantegazza_Paolo-Elogio_Della_Vecchiaia-1893","Mantegazza Paolo","Elogio Della Vecchiaia","1893","Tutt'al più verso di essi si sente la compassione, quasi mai le simpatia o l'amore; si giunge fino alla pietà, quasi mai fino alla stima. Eppure la posizione del vecchio si è andata sempre migliorando col progredire della civiltà, come è accaduto per la donna, che con lui divide la colpa della debolezza. Il Vangelo di Cristo e quello più universale dell'umanità pietosa ha parlato anche per il vecchio, dandogli un posto al sole.","NO"
"Mantegazza_Paolo-Elogio_Della_Vecchiaia-1893","Mantegazza Paolo","Elogio Della Vecchiaia","1893","Quando il nerbo dei muscoli non fu più l'unica o la prima delle umane virtù, si trovò che anche nelle teste canute il pensiero è desto e operoso; si trovò che il vecchio non è un parassita della società, ma un membro utile e necessario del grande organismo sociale. Nel mondo cattolico, il vecchio diventò papa, il rappresentante di Dio in terra. Nel mondo politico, il Senato ebbe il posto d'onore fra il Re e la Camera dei deputati.","NO"
