"filename","nome","titolo","anno","chunk","DIL"
"Marinetti_Filippo_Tommaso-Gli_indomabili-1922","Marinetti Filippo Tommaso","Gli indomabili","1922","﻿F.T. MARINETTI Gli Indomabili (1922) A Benedetta Lo stile parolibero Come definire Gli Indomabili? Romanzo d’avventura? poema simbolico?","NO"
"Marinetti_Filippo_Tommaso-Gli_indomabili-1922","Marinetti Filippo Tommaso","Gli indomabili","1922","romanzo fantastico? fiaba? visione filosofico-sociale?","NO"
"Marinetti_Filippo_Tommaso-Gli_indomabili-1922","Marinetti Filippo Tommaso","Gli indomabili","1922","– Nessuna di queste denominazioni può caratterizzarlo. È un libro parolibero. Nudo crudo sintetico.","NO"
"Marinetti_Filippo_Tommaso-Gli_indomabili-1922","Marinetti Filippo Tommaso","Gli indomabili","1922","Simultaneo policromo polirumorista. Vasto violento dinamico. Certo lo avevo nelle mie vene libere e nei miei liberi muscoli quando giocavo bambino nudo coi monelli negri nudi sulle dune roventi di Ramleh.","NO"
"Marinetti_Filippo_Tommaso-Gli_indomabili-1922","Marinetti Filippo Tommaso","Gli indomabili","1922","Una tenda beduina bruna orlata di cani scheletrici stracci carogne immondizie. Silenzio rosso delle facce dei negri accovacciati intorno ad un fuoco aromatico. Crepitio.","NO"
"Marinetti_Filippo_Tommaso-Gli_indomabili-1922","Marinetti Filippo Tommaso","Gli indomabili","1922","Spirale del fumo azzurro. Silenzio assoluto. Cristallo ansioso dell’aria.","NO"
"Marinetti_Filippo_Tommaso-Gli_indomabili-1922","Marinetti Filippo Tommaso","Gli indomabili","1922","Il silenzio geme. Un flauto. Sogna forse di spremere la dolcezza della purissima sera verde.","NO"
"Marinetti_Filippo_Tommaso-Gli_indomabili-1922","Marinetti Filippo Tommaso","Gli indomabili","1922","Avevo certamente nelle vene Gli Indomabili durante il mio ultimo viaggio nell’Alto Egitto. Ma la concezione di questo poema parolibero mi assalì il cervello nel dormiveglia di un mattino di settembre, qualche giorno dopo aver compiuto L’alcova d’acciaio, ad Antignano. – Sulle officine livornesi occupate dagli operai garrivano bandiere rosse.","NO"
"Marinetti_Filippo_Tommaso-Gli_indomabili-1922","Marinetti Filippo Tommaso","Gli indomabili","1922","Ma sembravano grigie sulla bianca scarlatta risata negra del mare ispiratore. Le parole in libertà contano opere importantissime. Dopo le mie prime parole in libertà: Battaglia Peso + Odore (11 Agosto 1912) e Zang tumb tumb, le Edizioni Futuriste di «Poesia» diffusero in Italia e nel mondo intero Piedigrotta di Francesco Cangiullo, Ponti sull’Oceano di Luciano Folgore, L’Elisse e la Spirale di Paolo Buzzi, Guerrapittura di Carrà, Rarefazioni e Parole in libertà di Corrado Govoni, Baionette di Auro d’Alba, Archi voltaici di Volt, Equatore notturno di Francesco Meriano, Firmamento di Armando Mazza, Les mots en liberté futuristes di Marinetti.","NO"
"Marinetti_Filippo_Tommaso-Gli_indomabili-1922","Marinetti Filippo Tommaso","Gli indomabili","1922","Presso altri editori e in esposizioni, apparvero tavole parolibere di Balla, Boccioni, Buzzi, Cangiullo, Caprile, Carli, Carrozza, Cerati, Primo Conti, De Nardis, Depero, Folicaldi, Forti, Ginna, Guglielmino, Guizzidoro, Illari, Jamar 14, Jannelli, Leskovic, Mainardi, Marchesi, Masnata, Morpurgo, Nannetti, Nicastro, Olita, Pasqualino, Presenzini Mattioli, Rognoni, Sandri Sandro, Settimelli, Simonetti, Ardengo Soffici, Soggetti, Soldi, Steiner. Il paroliberismo ha vinto, influenzando tutte le letterature. Le riviste estere d’avanguardia sono piene di parole in libertà.","NO"
