"filename","nome","titolo","anno","chunk","DIL"
"Mascheroni_Carlo-I_Neri-1863","Mascheroni Carlo","I Neri","1863","Un sorriso edito al volo. La marchesa Camilla Agrifoglio teneva, tre volte la settimana, splendida veglia in casa sua; splendida per coloro che v'intervenivano e per lei che li accoglieva. Bella, giovane, ricca, nobile, elegante e civetta, ella possedeva tutto quel corredo di qualità che valgono a costituire una regina della galanteria.","NO"
"Mascheroni_Carlo-I_Neri-1863","Mascheroni Carlo","I Neri","1863","E la marchesa Camilla l'era divenuta regina, per grazia della natura e per volontà de' suoi ammiratori. Ella teneva il suo trono molle sale del proprio palazzo, ove le schiume dorate del blasone e della finanza, ove le notabilità più illustri del figurino convenivano a deporle ai piedi i loro omaggi. É appunto nella costei reggia che io introdurrò il lettore.","NO"
"Mascheroni_Carlo-I_Neri-1863","Mascheroni Carlo","I Neri","1863","Gli farò grazia però di tutti i particolari della scena che .ci si spiega dinanzi e non ne coglieremo che l'insieme. È schizzato in pochi tratti. Un miscuglio, una specie di caos di lumi, di fiori, di vesti sfoggiate, di gioielli sfavillanti, di sorrisi tra eloquenti ed equivoci, di motti spiritosi, pungenti, leggiadramente micidiali.","NO"
"Mascheroni_Carlo-I_Neri-1863","Mascheroni Carlo","I Neri","1863","Gli è un incrociamento, una fusione di raggi, di suoni e-di profumi, che abbagliano gli occhi, la mente e talvolta il cuore. — Marchesa, la vostra serata è deliziosa. — Accetto il lusinghiero aggettivo per conto de' miei intervenuti e sopratutto delle amabili mie intervenute.","NO"
"Mascheroni_Carlo-I_Neri-1863","Mascheroni Carlo","I Neri","1863","— Accettatelo, ve ne prego, per conto vostro, per voi sola, che siete la più amabile di tutte. — È la centesima volta che me lo dite, cavaliere. — É la millesima che lo penso in cuor mio, marchesa.","NO"
"Mascheroni_Carlo-I_Neri-1863","Mascheroni Carlo","I Neri","1863","La marchesa appressò il suo mazzolino alle labbra. — La vostra espressione equivale quasi a una dichiarazione. — Mettete che lo sia.","NO"
"Mascheroni_Carlo-I_Neri-1863","Mascheroni Carlo","I Neri","1863","— Che? cavaliere Brembani, sareste innamorato di me?' — fece la bella con un sorriso tra incredulo e canzonatore.","NO"
"Mascheroni_Carlo-I_Neri-1863","Mascheroni Carlo","I Neri","1863","— Alla follia) alla disperazione! — È troppo poco. — No, perchè ve lo provo.","NO"
"Mascheroni_Carlo-I_Neri-1863","Mascheroni Carlo","I Neri","1863","— Con che, mio Dio? — Con un miracolo. — Che fate voi?","NO"
"Mascheroni_Carlo-I_Neri-1863","Mascheroni Carlo","I Neri","1863","— No, che fate voi. — Dev' essere un miracolo davvero, se io stessa non me ne accorgo ! — Guardate il vostro mazzolino, madama, — continuò lo spasimante — o piuttosto guardate i mazzetti delle altre signore che son qui ; col caldo che regna in questa sala, essi sono già appassiti nelle loro mani, mentre dalle vostre, il vostro acquista sempre più in freschezza e profumo.","NO"
