"filename","nome","titolo","anno","chunk","DIL"
"Mastriani_Francesco-La_cieca_di_Sorrento-1852","Mastriani Francesco","La cieca di Sorrento","1852","﻿I. lo studente di medicina. In quel laberinto d’infiniti viottoli, ronchi e stradelle non più larghe d‘un distender di braccia, dai cento barbari nomi, vestigia funeste di straniera gente, attraversando le quali si ha sempre una certa sospensione di animo, come quando si visita una carcere o un ospedale; in quell’ammasso di luride e nere case ammucchiate le une sulle altre, e così poco rallegrate dalla luce del sole; in quei quartieri, dove l’occhio e il pensiero dell’opulenza penetran di rado, e che pur raccolgono nelle umide loro pareti oneste famiglie di giornalieri di bassa mano; in quella rete insomma di popolati chiassuoli antichi, di cui compongonsi i quartieri del Mercato, del Pendino e del Mandracchio, e che con un solo e generico nome soglionsi addimandare la Vecchia Napoli, giace un vicoletto, o meglio un bugigattolo, uno di que’ mille che destano una specie di paura in petto dello stesso Napolitano che per la prima volta va a visitarli.","NO"
"Mastriani_Francesco-La_cieca_di_Sorrento-1852","Mastriani Francesco","La cieca di Sorrento","1852","Questo vicoletto storto, malaugurato e fetido porta il nome di Vico Chiavetta al Pendino: indarno, o lettore, ti sforzeresti di trovarlo in quell’almanacco ibero-gallo-latino di vice-regnale memoria, tranne che per qualche casualità in esso t’imbatti. Da un’ora è passata la mezzanotte del 10 novembre 1840. Soffia con violenza il vento di terra ne’ vecchi archi di quelle fabbriche da’ mezzi tempi, urlando come demone arrabbiato sull’addormentata città, e squassando le imposte secolari delle finestre.","NO"
"Mastriani_Francesco-La_cieca_di_Sorrento-1852","Mastriani Francesco","La cieca di Sorrento","1852","Il silenzio di quella strada domina assoluto e solenne negl’intervalli che il vento mette nelle sue grida... È l’ora in cui la generazione degl’infelici e de’ sofferenti trova nel sonno il balsamo delle sue piaghe. Ma che cosa fa quell’uomo da costa a quel tavolo, su cui brucia il mozzicone d’una candela di sego colorata? Che cosa è gittato su quel tavolo?","YES"
"Mastriani_Francesco-La_cieca_di_Sorrento-1852","Mastriani Francesco","La cieca di Sorrento","1852","Cielo! una testa!.. una testa umana!..","YES"
"Mastriani_Francesco-La_cieca_di_Sorrento-1852","Mastriani Francesco","La cieca di Sorrento","1852","ed il sangue è tuttavia rappreso sulla parte svelta dal tronco!... Ed un coltello... è nelle mani di colui! Non vi spaventate... Quell’uomo non è mica un assassino... egli è semplicemente uno studente di medicina.","YES"
"Mastriani_Francesco-La_cieca_di_Sorrento-1852","Mastriani Francesco","La cieca di Sorrento","1852","Allo smorto chiarore della candela rivelasi il suo volto bruno, magro, incavato e brutto. Egli ha il capo coverto da capelli rossi ma duri e ricci; il labbro superiore sporge in fuori carnuto, e tocca quasi la punta d’un naso grosso aquilino: direbbesi che gl’irsuti peli dei baffi non trovino luogo per ficcarsi tra quelle due prominenze, e li vedi però contorcersi in varie guise e quasi a forma d’istrice comporsi. I suoi occhi non poco inchinati allo strabismo, sono impertanto pregni di vivacità ed estremamente movibili sotto una fronte larga e spianata, in mezzo alla quale una ruga profonda apre un gran solco, come ferita, ovvero come la traccia d’una maledizione onde Iddio l’ha fulminata.","NO"
"Mastriani_Francesco-La_cieca_di_Sorrento-1852","Mastriani Francesco","La cieca di Sorrento","1852","Nel complesso della fisonomia di quest’essere umano leggesi a prima vista l’odio che ei concepir riebbe per ogni bellezza, e quell’irascibilità di carattere naturale nei deformi; ma, meglio studiando i suoi lineamenti, restasi colpito dalla espressione di profonda sagacità di cui sono improntati, e da quella solenne imponenza di cui rivestesi il volto di quegli uomini che fanno della scienza la consueta loro occupazione. La meschina candela serve più a gittare sinistre ombre nella camera, anzichè a rischiararla; pochi libri in quarto sono ammucchiati in un angolo di muro; alquanti sono aperti sul tavolo, ed indicano che da poco il giovane ha cessato dall’attingervi il pasto intellettuale. Le pareti della camera, lottanti tra il bianco e il nero, davanle piuttosto l’aspetto d’une prigione, tanto più che freddo e umido erane il suolo senza mattoni.","NO"
"Mastriani_Francesco-La_cieca_di_Sorrento-1852","Mastriani Francesco","La cieca di Sorrento","1852","La miseria senza dubbio, con tutta la sua corte di privazioni, di stenti e di sofferenze, regnava in quella casa; quello squallore, quella povertà, quelle ricordanze della morte, quella notte così tetra e oscura, quelle voci lamentevoli che il vento facea passare attraverso le imposte, tutto parea che mettesse in bocca al padron di quella casa le bibliche parole: Da ogni parte l’anima mia è presa di tristezza, fino alla morte: restate qui, e vegliate con me. Ed in fatti, pel girare che quel giovane facea talora le sue pupille quasi spaventate intorno intorno alla camera, sembrava che invocato avesse qualche compagno che fosse rimasto a vegliare con lui. Quest’uomo, cui diresti all’apparenza già di matura età, ha solo di pochi anni varcato il quinto lustro; nomasi Gaetano, ed è calabrese.","NO"
"Mastriani_Francesco-La_cieca_di_Sorrento-1852","Mastriani Francesco","La cieca di Sorrento","1852","Sono circa due ore che non si è mosso d’accanto a quel tavolo, con gli occhi immobilmente fissi in quel livido capo. Ma che cosa fa? Perchè di repente si è alzato a soprassalto ed ha gittato un logoro cencio su quella testa, dando uno sguardo verso un canticello della camera?","YES"
"Mastriani_Francesco-La_cieca_di_Sorrento-1852","Mastriani Francesco","La cieca di Sorrento","1852","Ah! una donna, una vecchia riposa sovra un misero pagliereccio gittato a terra, ed involta in uno straccio di coperta di pessima lana. Nel sonno essa avea chiamato a nome Gaetano, e questi, credutala desto, si era subitamente rivolto verso di lei, non senza un moto di spavento, imperocchè due ragioni avea di nasconderle quel pezzo anatomico.","NO"
