"filename","nome","titolo","anno","chunk","DIL"
"Matteotti_Velia_Titta-L_idolatra-1920","Matteotti Velia Titta","L idolatra","1920","﻿ANDREA ROTA L’IDOLATRA ROMANZO La prima cosa che rivide, appena messo piede ne la stanza che serviva da vestibolo, fu l’angioletto liutista del Rosso Fiorentino, in quella stessa luce che veniva da i tetti a sollevargli da le corde la testina scapigliata. Fuori, le stesse fragranze di caffè e di basilico, lo stesso rumore leggero di stoviglie e di cristalli, che veniva dal giardino de l’albergo ogni sera prima di cena; e lì su la terrazza piena di canne e di colombi il tramonto di una di quelle giornate d’inverno terse e vibranti che empivano la città di luci rosse e di fluidi.","NO"
"Matteotti_Velia_Titta-L_idolatra-1920","Matteotti Velia Titta","L idolatra","1920","Entrando per la porta socchiusa, nessuno si era accorto di lui. Attaccò il soprabito al solito braccio spezzato che sporgeva dal muro e si accostò ai vetri a guardare l’interno de la casa, in quello stesso brivido d’aria che precedeva le stelle nei passati crepuscoli di tramontana. Tutto era simile ad allora.","NO"
"Matteotti_Velia_Titta-L_idolatra-1920","Matteotti Velia Titta","L idolatra","1920","Presso una finestra, al di là di un tetto, una donna cullava un bambino con le spalle rivolte al davanzale. Si vedeva ne l’interno de la stanza la culla sopra due assi, e in fondo un lume acceso tra un’urna e una pianta. La cantilena interrotta da lo scampanare di una chiesa arrivava a quando a quando fin lassù, tremante e fatta suono da la improvvisa devozione di un’eco.","NO"
"Matteotti_Velia_Titta-L_idolatra-1920","Matteotti Velia Titta","L idolatra","1920","Nessuno si era accorto di lui, ma un colpo d’aria cruda gonfiò fino in fondo la tenda nel vano della porta facendola battere con violenza, e Landino gli comparve a le spalle, fra la soglia e la parete, con la corrente nei capelli e la commozione su le labbra. — È proprio vero, sei tu Dani! – Lo abbracciò stretto e lo spinse verso la finestra.","NO"
"Matteotti_Velia_Titta-L_idolatra-1920","Matteotti Velia Titta","L idolatra","1920","– Sì, sei tu, lascia che ti veda alla luce; oh Santissimo! Me l’avevano detto giù i commessi: è passato, è andato di sopra! Ma come crederlo se da anni non ho più tue notizie?","NO"
"Matteotti_Velia_Titta-L_idolatra-1920","Matteotti Velia Titta","L idolatra","1920","Ah figliuolo! Anche Landino era quasi lo stesso di allora: forte, piantato, ancora con quel che di giovanile in tutto l’aspetto, nonostante i capelli imbiancati e le spalle un po’ curve; ma lo sguardo conservava quella dolcezza profonda che Dani aveva tanto amato da ragazzo. — Siediti un momento, ho bisogno di riavermi.","YES"
"Matteotti_Velia_Titta-L_idolatra-1920","Matteotti Velia Titta","L idolatra","1920","Nessuno sa nulla, nessuno. – Lo scosse, lo lasciò, andò due o tre volte da la finestra a la porta senza poter parlare per l’agitazione, poi si piantò in mezzo a la stanza con gli occhi in terra e le mani in tasca. – Ebbene, ora ti dirò a poco a poco.","NO"
"Matteotti_Velia_Titta-L_idolatra-1920","Matteotti Velia Titta","L idolatra","1920","Sappi che non c’è quasi più nessuno di tutta la gente nostra di magazzino. Purtroppo è così. Ma i pochi rimasti sono quelli che ti amavano assai.","NO"
"Matteotti_Velia_Titta-L_idolatra-1920","Matteotti Velia Titta","L idolatra","1920","Tu forse non sai più che cosa vuol dire la buona memoria di una persona. Daniele lo guardava con curiosità, senza saperne il perchè, richiamato a la vita sua trascorsa là dentro, da quell’odore sottile d’olio di lino e di violette sfiorite che circolava tra il pavimento e le pareti. Quella vita non gli era mai parsa meritevole di memoria; eppure adesso era laggiù lontana e agitata, come il piccolo fuoco rimasto a veglia di una festa che non si celebrò.","YES"
"Matteotti_Velia_Titta-L_idolatra-1920","Matteotti Velia Titta","L idolatra","1920","— La buona memoria.... – ribattè soprappensieri. – Già sono dieci anni ormai. No, aspetta, non ancora.","NO"
