"filename","nome","titolo","anno","chunk","DIL"
"Mauri_Achille-Caterina_Medici_di_Brono-1837","Mauri Achille","Caterina Medici di Brono","1837","AL LETTORE Ho poche cose a dirti, paziente e discreto lettore. Se tu vuoi fare a modo mio, devi leggere questa scucita novella, senza aspettarti altro che l'esposizione drammatica di un fatto vero, e leggerla così fra il sonno e la veglia, che son sicuro ti recherà qualche giovamento; nè ti voglio dir quale. Il fatto, che è in essa raccontato, avvenne in Milano l'anno 1616, e tu lo puoi trovare riferito con sufficienti particolarità nel iv.","NO"
"Mauri_Achille-Caterina_Medici_di_Brono-1837","Mauri Achille","Caterina Medici di Brono","1837","tomo della Storia di Milano del Conte Pietro Verri alle pagine 152 e seguenti dell'edizione milanese del 1825. Esso m'è paruto degno d'essere richiamato alla notizia dei presenti per più motivi, che il tuo buon senno ti farà agevolmente indovinare. Nè io voglio altro se non che tu mi dia qualche merito della mia buona intenzione.","NO"
"Mauri_Achille-Caterina_Medici_di_Brono-1837","Mauri Achille","Caterina Medici di Brono","1837","Che se questa novella ti andasse a genio, vedrei di raffazzonarne altre, mettendoci più studio, e impiegandoci maggior tempo che non abbia potuto fare con questa, che abbandono, lettor paziente e discreto, alla tua cortese indulgenza. E il cielo ti scampi propizio dalla noja, e me fortifichi contro i critici ingiusti e severi. Addio.","NO"
"Mauri_Achille-Caterina_Medici_di_Brono-1837","Mauri Achille","Caterina Medici di Brono","1837","La sera del 27 settembre 1616 tornava alla sua casa in Milano, il senatore don Giorgio Melzi: tornava dalla conversazione di S. E. il Gran Cancelliere don Giovanni di Salamanca, e fra via pensava alle benigne parole, che erasi degnato rivolgergli questo gran personaggio, e ai lucenti dobloni che, giuocando all'ombretta aveva veduti passare dalla sua borsa in quella di Sua Eccellenza il Gran Cancelliere e di due altri illustrissimi di minor conto. Se il grato senso di quelle melliflue parole, che gli risuonavano ancora dolcemente all'orecchio, destasse più piacevoli vibrazioni negli organi sensorii del Senatore, che non ve ne destasse di disaggradevoli il rammarico de dobloni perduti, nè io il saprei dire, nè forse il sapeva lo stesso don Giorgio, che, per quanto a me consta, non aveva un ingegno gran che metafisico.","NO"
"Mauri_Achille-Caterina_Medici_di_Brono-1837","Mauri Achille","Caterina Medici di Brono","1837","Fatto è, ch'ei camminava con un passo più grave del solito, come se andasse ruminando qualche gran concetto legale da farne il Cum sit quod (1) d'una sentenza, d'una grida ; e camminando, sentiva una mala voglia che non sapeva a che cosa attribuire. Giunto a casa, ordinò a Stefano, ch'era il suo servo fidato, che gli facesse lume alla stanza; e quando vi fu, dimando una tazza d'aequa fresca. Stefano gliela portò, e squadrato un momento il viso del padrone, prese animo a rivolgergli la parola.","NO"
"Mauri_Achille-Caterina_Medici_di_Brono-1837","Mauri Achille","Caterina Medici di Brono","1837","« Che ha, illustrissimo, che ha ella', signor padrone? Non mi pare ch'ell'abbia la sua solita faccia lustra ». « Niente, niente rispose il Senatore.","NO"
"Mauri_Achille-Caterina_Medici_di_Brono-1837","Mauri Achille","Caterina Medici di Brono","1837","« So (1) Con queste parole cominciavano d'ordinario le gride e le sentenze, e servivano come clausola del motivo di esse. lo che mi pare di sentire un po' di peso sullo stomaco ». << Eh, illustrissimo!","NO"
"Mauri_Achille-Caterina_Medici_di_Brono-1837","Mauri Achille","Caterina Medici di Brono","1837","è quel tavolino che lo ammazza, son quelle carte, quegli affari: giả ella è tenuto pel senatore il più attivo da tutta la città ». Don Giorgio fece un sorriso (solita moneta con che si pagano di primo tratto le adulazioni , o le lodi, che spesso son tutt'uno) e messo un gran soffio, con una faccia benigna benigna, si volse a Stefano: « E vero, Stefano, che spesso mi danno un po'di fastidio le tante cose che ho per la testa; ma ora siamo alle ferie d'autunno, e sebbene non me la spassi, pure non posso dire che la troppa applicazione mi faccia male. Sarà tutť'altra la causa della mala voglia che ho indosso ».","YES"
"Mauri_Achille-Caterina_Medici_di_Brono-1837","Mauri Achille","Caterina Medici di Brono","1837","« Voglio sperare che sarà un incomoduc cio leggiero e passeggiero, e che domattina ella si alzerà lesto e vispo al suo solito ». « Lo spero anch'io ». << Intanto comanda ella, che domandi don Lodovico che mandi a cercare il medico della casa, che... » « Oh, non occorre, non occorre; spero che il dormire mi farà bene.","NO"
"Mauri_Achille-Caterina_Medici_di_Brono-1837","Mauri Achille","Caterina Medici di Brono","1837","Buonanotte, Stefano ». Stefano, o a dir meglio, il signore Stefano (poichè fuor del cospetto de' padroni anch'egli diventava Signore, e guai a quelli de' suoi compagni che se ne dimenticavano!) era un di quei servi faccendoni, che sanno tutto, fanno tutto, bastano a tutto, e che amano i padroni di quell'amor cordiale con che ama l'avaro i suoi zecchini.","NO"
"Mauri_Achille-Caterina_Medici_di_Brono-1837","Mauri Achille","Caterina Medici di Brono","1837","Non voglio già dire che l'affezione del signore Stefano per don Giorgio fosse del tutto interessata: ho troppa stima dell'umana famiglia (o razza o specie ch'ella abbiasi a dire) per insinuare una tale opinione sul conto d'un uomo, che poteva a tutto rigor * di termini esser chiamato un galantuomo : voglio dir solo, che nell'amore del signore Stefano pel Senatore entrava gran dose di quel sentimento indefinito di riverenza e di devozione, che raccosta ed affeziona chi nulla possiede a chi possiede qualche cosa, o, a dirlo con frase più nobile e più cristiana, che raccosta ed affeziona il benefattore al beneficato. Ma qualunque fosse la natura degli intimi affetti di questo signore Stefano, pochi avevan più di lui l'arte di farne mostra, e di saper cogliere l'opportuna occasione di chiarirsi uom servizievole e pieno di premura pel bene dei padroni. Or dunque ei si credette obbligato d'accorrere innanzi tutto ad avvertire don Lodovico che l'illustrissimo signor Senatore era un po' disturbato da un'apprensione di malanno.","NO"
