"filename","nome","titolo","anno","chunk","DIL"
"Meda_Giuseppe-Il_famigerato_Pietro_Perego_a_Solferino-1860","Meda Giuseppe","Il famigerato Pietro Perego a Solferino","1860","Sulla riva destra del fiume Chiese, nella pianura che stendesi da questo fiume all' Oglio, e propriamente sulla strada che da Pontevico conduce a Castelgoffredo, trovasi il villaggio di Visane. Nell' osteria del Caval Bianco, situata nella prima casa che il viandante incontra partendosi dal fiume, e rinomata ne' dintorni, per la bontà del vino e per la grossezza della moglie dell'oste; verso la sera del giorno 14 giu-> gno 1859, ad una giornata di calma perfetta, era succeduto un gran movimento, per un viaggiatore arrivato poco prima, in un modesto calessino tirato da due cavalli bigi grondanti di sudore e coperti di polvere, il quale con un salto, posto piede a terra, ordinò che preparas 4 sero in tutta fretta l'occorrente per pranzare altre tre persone che dovrebbero arrivare di li a una mezz'ora. Dato dappoi ordine di staccare i cavalli, e raccomandatili al mozzo di stalla, sali per una scaletta al piano superiore, ed entrò in una camera segnata col n. 1, cve solevano radunarsi quelli che non volevano aver nulla in comune coll'oste, ne coi soliti avventori dell'osteria.","NO"
"Meda_Giuseppe-Il_famigerato_Pietro_Perego_a_Solferino-1860","Meda Giuseppe","Il famigerato Pietro Perego a Solferino","1860","Costur era un giovane di circa ventotto anni, di mezzana statura, con occhi neri e vivaci, volto rotondo, due baffi color castano, e di piacevole fisonomia. Quando fu entrato nella camera, apri la finestra che guardava nella strada, ed al di là della strada ne' campi, e vi si affacció, contemplando l'aspetto maestoso e aggradevole della natura nel momento del tramonto. E veramente.","NO"
"Meda_Giuseppe-Il_famigerato_Pietro_Perego_a_Solferino-1860","Meda Giuseppe","Il famigerato Pietro Perego a Solferino","1860","bella e dilettevole era la scena che si presentava ai suoi sguardi. Dappertutto messi biondeggianti, le cui spighe, ripiene e curvate sotto il loro peso, agitate dal venticello vespertino, apparivano dorate dagli ultimi raggi del sole cadente. Poi prati e praticelli amenissimi, smaltati d'ogni sorta di fiorellini a varie fogge e colori, irrigati da ruscelletti nelle cui acque si riflettevano i mille vaghi colori dei raggi solari.","NO"
"Meda_Giuseppe-Il_famigerato_Pietro_Perego_a_Solferino-1860","Meda Giuseppe","Il famigerato Pietro Perego a Solferino","1860","- Poi file di gelsi intrecciate da viti, che cadevano a festoni vaghi e graziosi; e per ultimo, in lontananza, le catene di colline che stendonsi al mezzodi del lago di Garda, sparse di villaggi e casali, coi loro campanili aguzzi o rotondi, in diverse maniere e a diversi disegni. - A destra vedevasi una fila d'alti pioppi, che stendendosi lungo il fiume, disegnavano nello spazio le loro cime alte e informi, scosse ora dal vento, con uno scro scio continuo e monotono, che nel silenzio generale, riempiva l'animo di una certa malinconia non dolorosa nè dispiacevole. - Dai campi, e pei sentieruoli, ritornavano a frotte le villanelle cariche dei prodotti raccolti in quel giorno, cantarellando allegre e felici.","NO"
"Meda_Giuseppe-Il_famigerato_Pietro_Perego_a_Solferino-1860","Meda Giuseppe","Il famigerato Pietro Perego a Solferino","1860","Alcune più piccole, si tiravano dietro a stento la vaccherella, e con grida o con percosse procuravano di spingerla avanti. Al calore della giornata era subentrata un'aria fresca e olezzante, spandendo tutto all' intorno un soave profumo che deliziava vagamente l'odorato. Gli uccelli che finora avevano svolazzato d' albero in albero, o saltellato sulle spighe, cogliendone i frutti, o uniti in coro avevano ringraziato coi loro flebili garriti il Creatore del giorno loro concesso, ora quasi timidi e paurosi si nascondevano nelle foglie, finchè tacevansi del tutto; e più nulla si udiva, se non lo squillo delle campane delle circostanti chiese, che suonavano l'Avemmaria della sera, finchè si morivano in lontananza.","NO"
"Meda_Giuseppe-Il_famigerato_Pietro_Perego_a_Solferino-1860","Meda Giuseppe","Il famigerato Pietro Perego a Solferino","1860","- Una calma generale successe dovunque. Il viaggiatore si ritrasse dalla finestra, e sedè su una scranna vicina, contemplando il cielo che si andava tutto empiendo di stelle. Pareva commosso.","NO"
"Meda_Giuseppe-Il_famigerato_Pietro_Perego_a_Solferino-1860","Meda Giuseppe","Il famigerato Pietro Perego a Solferino","1860","Poco dopo picchiandosi ad un tratto colla mano destra la fronte, esclamó con un accento doloroso: e anch'io nacqui poeta!... E anch'io nacqui per amare!... e abbassati gli occhi, stette pensando.","YES"
"Meda_Giuseppe-Il_famigerato_Pietro_Perego_a_Solferino-1860","Meda Giuseppe","Il famigerato Pietro Perego a Solferino","1860","Egli era Pietro Perego (creato ora cavaliere dall'imperator d'Austria) l'uomo che aveva giurato di perdere la patria, di tradire i suoi fratelli per meritarsi una croce dal tiranno che serviva, o una tenue ricompensa che avrebbe saziata la sua avarizia. Per chi non lo conosce, basteranno questi brevi cenni. Il suo nome é oramai fatalmente storico.","NO"
"Meda_Giuseppe-Il_famigerato_Pietro_Perego_a_Solferino-1860","Meda Giuseppe","Il famigerato Pietro Perego a Solferino","1860","Sedotto dalle lusinghe e promesse austriache, disertò la causa nazionale si caldamente abbracciata nel 48, e tutto si adoperò pel bene e vantaggio dell'Austria, e per la rovina della sua patria. D'ingegno pronto e vivace, avrebbe potuto bene meritarsi da' suoi connazionali, e tramandare ai posteri un nome onorato. Ma di cuore corrotto fino dalla prima giovinezza, d'ambizione smoderata, d'un'avarizia insaziabile, vide che la patria serva, non poteva soddisfargli nè l'una nè l'altra, e diede facilmente retta alle suggestioni della polizia austriaca, che conoscendolo povero e dato ad ogni vizio, lo tento, ed egli cedè.","NO"
"Meda_Giuseppe-Il_famigerato_Pietro_Perego_a_Solferino-1860","Meda Giuseppe","Il famigerato Pietro Perego a Solferino","1860","Dopo varii disonorevoli impieghi, nei quali mostró di quanti talenti fosse fornito, era divenuto fin da prima della guerra segretario del conte Giulay, ed ora più che mai s'era dato in anima e in corpo a procurare il maggior bene a' suoi padroni, e il maggior male all'Italia. Cogli occhi fissi al suolo, pensava. Pensava al suo delitto, alla patria che aveva tradita, all'infamia sua, alle speranze deluse, alla ricompensa perduta, all'odio di tutti, e perfino di quelli che serviva.","NO"
"Meda_Giuseppe-Il_famigerato_Pietro_Perego_a_Solferino-1860","Meda Giuseppe","Il famigerato Pietro Perego a Solferino","1860","Allora la sua immaginazione, già troppo ardente, gli presentava un avvenire tristo .... cupo,... gli presentava la povertà, gli stenti, la fame, si la fame, poichè diceva: nessuno mi darà un tozzo di pane a satollarmi: ma sarò segnato a dito, e deriso,... schernito, insultato, e nessuno avrà per me compassione! Oh! l'orribile castigo serbato ai traditori !","YES"
"Meda_Giuseppe-Il_famigerato_Pietro_Perego_a_Solferino-1860","Meda Giuseppe","Il famigerato Pietro Perego a Solferino","1860","A scuoterlo da' suoi funesti pensieri, si fece sentire a tempo il rumore d'una carrozza proveniente dal paese. Ando subito alla finestra ad osservare se conducesse quelli ch' egli aspettava; ed infatti la carrozza si fermò alla porta dell'osteria. Accorse da tutta fretta l'oste, e fece intendere ai nuovi arrivati ch' erano attesi da mezz'ora da un altro forestiere.","NO"
