"filename","nome","titolo","anno","chunk","DIL"
"Meini_Vincenzo-Eleonora_novella_musicale-1865","Meini Vincenzo","Eleonora novella musicale","1865","Dopo l'Accademia. Policarpo, già ricco mercante fiorentino, per poco prudenti speculazioni e per un po' troppo di fasto, s' era ridotto quasi al verde de' pingui e solleciti guadagni, con poca fatica accumulati. Egli in una sera d'inverno, si trovava in un modesto salotto della sua casa in Firenze coll'unica sua figlia Eleonora, giovinetta vispa avvenente di circa 17 anni, insieme ad una radunata di conoscenti, più o meno amici di casa.","NO"
"Meini_Vincenzo-Eleonora_novella_musicale-1865","Meini Vincenzo","Eleonora novella musicale","1865","Nella comitiva entrava qualche altra persona di quelle che stanno, con un piede nell'arte e con l'altro nel gran mondo, invitate apposta dal padre, che ambiva a procacciare alla figlia ammiratori e partigiani dei suoi precoci talenti musicali. Eleonora, nei disegni segreti del padre, era destinata a rifare coll'arte del canto, e co' vicini trionfi teatrali il patrimonio di Policarpo, diminuito per improvvisi rovesci tanto subitamente, quanto, per assiduo favore della fortuna, era in poco tempo cresciuto. Nel salotto del ritrovo geniale vedevi e il tavolino intarsiato, e le poltroncine coperte di dommasco e i mobili rilustrati; avanzi della ricca suppellettile d'un tempo, ormai destinati a servire di zimbello alle future intenzioni di Policarpo; il quale colla logica positiva del mercante diceva, che l'aspetto della miseria non conciliava nè amici nè protettori.","NO"
"Meini_Vincenzo-Eleonora_novella_musicale-1865","Meini Vincenzo","Eleonora novella musicale","1865","Eleonora, d'indole sveglia e vivace, sul fiore degli anni, avea ben capito, che doveva diventare lo strumento delle nuove ricchezze del padre, e de'nuovi agj domestici; e che il canto cui s'era, da non molto tempo applicata, doveva aprirgli le miniere delle Indie e della California. E, dotata com'era, di bella voce di soprano, di svelta e ben proporzionata presenza, e di certa facilità di comprendere; ell'avrebbe tenuto un ragguardevole posto nell'arte, se la presunzione e l'ignoranza del suo maestro non avesse isterilito in lei quei germi fecondi. Ma, per sua mala ventura, capitata alla scuola d'un maestrino di piano-forte che insegnava il canto coi tasti dello strumento, e che dell' arte non possedeva che la buccia; in pochi mesi di strilli credette d'averla condotta ad emulare la Pasta o la Malibran.","NO"
"Meini_Vincenzo-Eleonora_novella_musicale-1865","Meini Vincenzo","Eleonora novella musicale","1865","Non diremo nè la Gabbrielli, nè la Crescini; chè il poveretto non sapeva nemmeno chi fossero. Non essendo stata Eleonora, per la sua poca età di fanciullina, in grado di pregiare al suo giusto valore l'abbondanza e l'agiatezza che avanti regnava nella casa paterna, poco o nulla si curava della presente condizione, e quasi neppur ne sentiva la differenza; imperocchè, se lautezza e scialacquo non vi dimorava, era bensì quella discreta comodità, e quella sufficienza, onde non è mancanza del pecessario. D'altra parte, Eleonora vedeva più che largo compenso alle perdite fatte nella ridente prospettiva dei Teatro; campo a lei, quanto al padre, di ricchezze, di palme e di non piccola turba d'ammiratori.","NO"
"Meini_Vincenzo-Eleonora_novella_musicale-1865","Meini Vincenzo","Eleonora novella musicale","1865","Vicina a tante beatitudini, già le pregustava colla facile imaginativa; e questo, a lei giovinetta e d'indole fervida e allegra, era grato eccitamento allo studio del canto. E già lo proseguiva con impegno da 14 o 16 mesi sotto un discreto maestro di pianoforte; il quale, a forza d'imboccarle i passi della romanza e della grande scena con aria, aria, era riuscito a metterla in grado di dare un'Accademia, a saggio dei profitti, e a malleveria dei sicuri trionfi. La sera che noi descriviamo risale appunto all'epoca dell'Accademia, la quale, com'è naturale, fu trionfante per Eleonora, e promettitrice d'altre più nobili e compiute vittorie.","NO"
"Meini_Vincenzo-Eleonora_novella_musicale-1865","Meini Vincenzo","Eleonora novella musicale","1865","Nel salotto di Policarpo, era tra gl' invitati soliti, un giovine di bell'aspetto, ma piuttosto pensoso, e quasi assorto in qualche grave proponimento. Pareva non troppo allettato dalla conversazione, e s'era quasi ritirato in un cantuccio; forse a celare il proprio abbigliamento un po' troppo modesto. Era un amico, o, a dir meglio, un giovane beneficato da Policarpo ne' suoi bei giorni di sfarzo e d'opulenza; bersagliato dalla fortuna, povero, ma onesto e sincero; e che non avea saputo nè voluto allontanarsi dal suo benefattore, ora che lo vedeva caduto in condizione assai più dimessa.","NO"
"Meini_Vincenzo-Eleonora_novella_musicale-1865","Meini Vincenzo","Eleonora novella musicale","1865","Prendeva parte alla conversazione, oltre a Policarpo, un maestro di musica, di quei pochi religiosamente affezionati alla scuola dei classici, e a quella gloriosa coorte dei nostri italiani che v'appartengono. Qua e là sparsi in piccoli capannelli scherzavano e motteg giavano alcuni zerbinotti, amatori, o, come suol dirsi, buongustai di musica, e che soglion dare il tratto alla bilancia, tanto ne' teatri che nelle accademie. Generazione di giudici molto esiziale all'arte e agli artisti; e che, per l' insufficiente e molto sospetto tribunale degli orecchi, sentenzia con non poco proterva sicurezza, di metodo, di scienza, e di meriti di compositori e d'esecutori.","NO"
"Meini_Vincenzo-Eleonora_novella_musicale-1865","Meini Vincenzo","Eleonora novella musicale","1865","Il maestro d'Eleonora, tutto tronfio e pavoneggiantesi nella gloria dell' alunna, con intorno qualche altro maestrucolo di musica, si dava un gran moto a persuadere dei progressi dell'arte, e dei pochi mezzi che oggi bastano a fare, come si dice, una buona carriera, un tale, che stava ascoltando con molta attenzione, e che pareva una delle parti principali della brigata. Ed era infatti.. Dopo l'esito splendido dell' Accademia d' Eleonora, un impresario era venuto a scritturarla; e colui che ascoltava i maestrucoli era l'impresario in persona.","NO"
"Meini_Vincenzo-Eleonora_novella_musicale-1865","Meini Vincenzo","Eleonora novella musicale","1865","Ma che bella stoffa di voce! Maravigliosa! Eppoi che estensione !","YES"
"Meini_Vincenzo-Eleonora_novella_musicale-1865","Meini Vincenzo","Eleonora novella musicale","1865","Dal là basso, al re sopracuto! Eh con questi bei doni, si pena poco a farsi nome e quattrini: entrava a dire il precettore. E qui gli zerbinotti orecchianti, sentito il tasto dove pretendeano di suonar bene: Davvero, la signorina ha un patrimonio nella gola!","YES"
