"filename","nome","titolo","anno","chunk","DIL"
"Misasi_Nicola-L_Assedio_Di_Amantea-1893","Misasi Nicola","L Assedio Di Amantea","1893","PROLOGO Con la fronte alle imposte socchiuse di un balcone, donna Lucia Guiscardi, baronessa di Roccanera, fissava immota la campagna lontana. Un lungo camice bianco ne vestiva la bella persona che appariva assai sofferente, e la rotondità del grembo era indizio che fra poco sarebbe divenuta madre.","NO"
"Misasi_Nicola-L_Assedio_Di_Amantea-1893","Misasi Nicola","L Assedio Di Amantea","1893","Il villaggio sottoposto alla casa baronale risuonava di grida, di fucilate e di un rullar continuo di tamburi: era quello il frastuono delle feste popolari; ed infatti le strette viuzze fra i tugurii erano sormontate d'archi trionfali. Per i sentieri della campagna si vedevano lunghe fila di contadini che si avviavano verso una collina attraversata da una via mulattiera, chè in quell'anno 1780 ancora le nostre contrade non erano solcate dalle larghe vie maestre, perocchè la prima a costruirsi fu quella decretata da Gioacchino Murat nel 1810, tra Napoli e Reggio. Con le braccia incrociate, col viso improntato ad una preoccupazione ineffabile, Carmela, la vecchia nutrice di donna Lucia Guiscardi, pareva anche essa assorta nella contemplazione di quel punto lontano verso il quale la folla si dirigeva.","NO"
"Misasi_Nicola-L_Assedio_Di_Amantea-1893","Misasi Nicola","L Assedio Di Amantea","1893","Infine si scosse, mise la mano sulla spalla della signora e con materna premura le disse: — Tornate a letto, via, tornate a letto. — Fra un'ora sarà qui, fra un'ora — mormorò donna Lucia di Roccanera, come se rispondesse ad un suo pensiero.","NO"
"Misasi_Nicola-L_Assedio_Di_Amantea-1893","Misasi Nicola","L Assedio Di Amantea","1893","E sentendosi venire meno si abbandonò su una sedia, nascondendo con un gesto di ineffabile dolore la testa fra le mani. — Orsù, bisogna risolversi: ve l'ho detto, abbiamo tempo, se accettate il mio consiglio. I servi ed i guardiani sono a capo dei contadini che muovono ad incontrarlo; nessuno ci vedrebbe uscire.","NO"
"Misasi_Nicola-L_Assedio_Di_Amantea-1893","Misasi Nicola","L Assedio Di Amantea","1893","In due ore saremmo nel bosco, mio nipote che ne sa tutti i nascondigli ci farebbe da guida. Colà potremmo stabilire il da farsi. Bisogna a parer mio evitare il primo incontro.","YES"
"Misasi_Nicola-L_Assedio_Di_Amantea-1893","Misasi Nicola","L Assedio Di Amantea","1893","Il barone è violento, irriflessivo e non darebbe ascolto alla ragione: io lo conosco, sarebbe capace di uccidervi al primo sguardo che gli direbbe quel che potrebbe supporre esser la vostra colpa. E voi infine non siete colpevole che di avergli voluto salvare la vita. Donna Lucia scuoteva la testa dissentendo.","YES"
"Misasi_Nicola-L_Assedio_Di_Amantea-1893","Misasi Nicola","L Assedio Di Amantea","1893","— Non volete? — chiese la vecchia. — No — rispose donna Lucia risolutamente — no, non voglio!","NO"
"Misasi_Nicola-L_Assedio_Di_Amantea-1893","Misasi Nicola","L Assedio Di Amantea","1893","— Ma egli vi ucciderà. — Che importa? Già io dovrò morire.","NO"
"Misasi_Nicola-L_Assedio_Di_Amantea-1893","Misasi Nicola","L Assedio Di Amantea","1893","Come vuoi che ora sia sua moglie e ne riceva i baci e ne cerchi le carezze? Io lo amo, comprendi tu? Io lo amo: perchè dunque fuggire da lui?","YES"
"Misasi_Nicola-L_Assedio_Di_Amantea-1893","Misasi Nicola","L Assedio Di Amantea","1893","Mi ucciderà; oh, non lo stimerei, non lo amerei se lo credessi capace d'indugio a conficcarmi il suo pugnale nel cuore al primo sguardo che gli rivelerà il mio stato. E sarà meglio: mi amerà dopo, quando saprà che io fui vittima del mio amore per lui, quando mi avrà giudicata, quando avrà compreso che la sciagura che mi ha dannata all'infamia e alla morte è una prova dell'amor mio. E, vedi, anche se egli avesse compassione di me, se egli, certo della mia innocenza, non volesse la mia morte, io lo pregherei, lo supplicherei di uccidermi con le sue mani, perchè non mi uccida io con le mie.","YES"
