"filename","nome","titolo","anno","chunk","DIL"
"Mistrali_Franco-Balilla_o_La_cacciata_degli_austriaci_da_Genova-1862","Mistrali Franco","Balilla o La cacciata degli austriaci da Genova","1862","A ULISSE MENGOZZI DI LIVORNO Voi, giovane egregio, mi chiedete soggetto a tessere, coll'ingegno che vi distingue dalla grande coorte della pessima e petulante mediocrità, mi chiedete il soggetto a tessere un vasto dramma sociale calcando le orme di Goëte il maestro per eccellenza, s'io non fallo. A testimoniarvi l'affetto e la stima che ho di voi e la gratitudine che mi comanda la gentile e cortese deferenza vostra vi intitolo questo mio libro, dove appunto intendo a narrare le peripezie di cento drammi in un vastissimo dramта. Se l'opera mia valesse a inspirarvi uno di que' lavori che sapete condurre tanto bene, e di cui tanto ha duopo la grande scuola del teatro nazionale, io ne avrei il più desiderato compenso.","NO"
"Mistrali_Franco-Balilla_o_La_cacciata_degli_austriaci_da_Genova-1862","Mistrali Franco","Balilla o La cacciata degli austriaci da Genova","1862","Vostro sempre affezionato Milano, agosto 1862. FRANCO MISTRALI Il carciofo d'Italia.","NO"
"Mistrali_Franco-Balilla_o_La_cacciata_degli_austriaci_da_Genova-1862","Mistrali Franco","Balilla o La cacciata degli austriaci da Genova","1862","Un vecchio potente era sceso nell'avito sepolcro lasciando dietro sè la sua corona, pomo fatale di discordia lanciato in mezzo al mondo. Invano una lunga guerra avea preceduta la accettazione di quella prammatica per la quale Carlo VI credeva aver pacificamente assicurata alla figlia la sua vasta successione. La morte dell'imperatore, svegliando le cupidigie di tutti, fece che il turbine imperversasse folgoreggiando per tutta Europa, e Maria Teresa si vide ridotta alle forze degli eserciti che il principe Eugenio di Savoia soleva chiamare, discorrendo a Carlo VI vivo, la migliore delle prammatiche.","NO"
"Mistrali_Franco-Balilla_o_La_cacciata_degli_austriaci_da_Genova-1862","Mistrali Franco","Balilla o La cacciata degli austriaci da Genova","1862","Federigo di Prussia, Luigi di Francia, Filippo di Spagna, il re di Baviera e quel di Sardegna si erano collegati contro la giovane imperatrice, e il 18 di maggio del 1741 avevano conchiuso un trattato onde la monarchia austriaca fosse smembrata e divisa. Fra testamenti, matrimoni, fedi di battesimo, parentele più o meno prossime, preparavasi una delle maggiori tragedie che abbia viste la straziata umanità, e si deliberava che la Silesia fosse data a Federigo, la Moravia a re Augusto di Polonia, la Boemia, il Tirolo e l'Austria al re di Baviera: l'Italia si doveva spartire fra le Case di Savoia e di Borbone. Intanto Maria Teresa, bellissima e giovane donna, condottasi nella capitale ungherese ed entrata al ricevimento dei grandi di quel regno, s'era loro presentata reggendo sul materno seno il bambino suo figlio, che doveva essere Giuseppe II, e raccomandandosi alla liberalità generosa della nazione magiara, suscitò quell'entusiastico giuramento che la istoria rammenta con ammirazione; dove i magnati, sguainate le spade, fieramente e unanimemente concorsero nel celebre grido: Moriamur pro rege nostro Maria Theresia!","NO"
"Mistrali_Franco-Balilla_o_La_cacciata_degli_austriaci_da_Genova-1862","Mistrali Franco","Balilla o La cacciata degli austriaci da Genova","1862","grido che fu la salvezza dell'austriaco dominio; fatale vittoria, fatale a' vinti e a' vincitori insieme. L'elettore di Baviera che aspirava alla dignità imperiale era già alle porte di Vienna colle armi collegate, e ci sarebbe entrato se la gelosia di Francia non avesse voluto moderare la sua gloria. È allora che Maria Teresa, cacciata dalla sua capitale pel romore delle armi nemiche, erasi rifugiata a Presburgo.","NO"
"Mistrali_Franco-Balilla_o_La_cacciata_degli_austriaci_da_Genova-1862","Mistrali Franco","Balilla o La cacciata degli austriaci da Genova","1862","Le onde del Danubio, che ad ogni ora travolgevano sanguinosi resti di guerra, avvertivano la raminga regina che il nemico le devastava il patrimonio più antico. Convocò la Dieta del regno di santo Stefano. Forti rappresentanti di forte e generoso popolo accolsero la simpatica donna che, sovranamente bella e piena di maestà, loro si affidava.","NO"
"Mistrali_Franco-Balilla_o_La_cacciata_degli_austriaci_da_Genova-1862","Mistrali Franco","Balilla o La cacciata degli austriaci da Genova","1862","Parlò latinamente con foco affascinante: Vedete i mancatori di fede, la cupidigia delle austriache spoglie li tira contro una donna e un fanciullo! ma un Dio è in cielo proteggitore della innocenza, punitore degli spergiuri, e sono in terra gli Ungheri fidati cui la perfidia sdegna, cui la sventura commove, cui il valore inspira. Questo figlio è mio ed ecco è vostro: adottatelo, difendetelo, crescerà amandovi e difenderà un giorno voi che lo avrete difeso....","NO"
"Mistrali_Franco-Balilla_o_La_cacciata_degli_austriaci_da_Genova-1862","Mistrali Franco","Balilla o La cacciata degli austriaci da Genova","1862","Tacendo rispettosamente ansii l'ascoltarono: poi, finito ch'ebbe, proruppero in plausi e in quel giuramento che la storia ammira e la umanità deplora. Le sorti rapidamente mutarono, e Carlo Emanuele re di Sardegna, accostandosi all'Austria, rompeva il trattato conchiuso un anno innanzi colla lega, accordando a Maria Teresa il suo aiuto in Italia mercè la carica di generalissimo delle armi austro-piemontesi. Re Carlo continuava la politica della sua Casa aiutandosi ora dell'uno or dell'altro straniero che si combattevano il dominio d'Italia per istrappare qualche foglia del tradizionale carciofo.","NO"
"Mistrali_Franco-Balilla_o_La_cacciata_degli_austriaci_da_Genova-1862","Mistrali Franco","Balilla o La cacciata degli austriaci da Genova","1862","Per questo tempo di fierissima guerra noi daremo una rapida corsa, avvegnachè poi grandemente dovesse rimanere travagliata l'Italia dalle paci che susseguirono e che recarono seco la dolorosa affermazione della supremazia straniera sulla penisola. Come ci ha degli uomini che la fortuna si piace a combattere e a stremare, così ci ha delle nazioni che paiono fatte per piangere, a cui Dio numerò non a giorni ma a secoli le pene della cattività e del tormento. Niobe delle nazioni, che cosa avevi mai fatto, tu o Italia, perchè così lungamente dovesser gli occhi dei tuoi figliuoli esser condannati a piangere!","NO"
"Mistrali_Franco-Balilla_o_La_cacciata_degli_austriaci_da_Genova-1862","Mistrali Franco","Balilla o La cacciata degli austriaci da Genova","1862","Eppure que' monti dalle ripide e scoscese vette e quel mare dal seno profondo furon posti dattorno a te barriere eterne, e il dito di Dio segnd sull'Alpe e sul mare i confini tuoi! Infelice bellezza che la forza non guarda! la lussuria e la libidine se ne rinfuocano, e sull'indifesa preda si gettano bramosamente a satisfar l'ardente sete che le divora.","NO"
