"filename","nome","titolo","anno","chunk","DIL"
"Monnier_Marc-Novelle_Napoletane-1884","Monnier Marc","Novelle Napoletane","1884","PREFAZIONE. L'autore di questo libro è uno straniero che ogni italiano deve conoscere ed amare. Il Monnier ci amò negli anni della sventura, ci difese, e, cingendolo dell'aureola più simpatica, diffuse il nome d'Italia nostra per l'Europa, quando dai troni si guardava ancora con occhio di compassione ai nostri sforzi per risorgere.","NO"
"Monnier_Marc-Novelle_Napoletane-1884","Monnier Marc","Novelle Napoletane","1884","Quel francese, co' suoi articoli e co' suoi libri, ci fece un gran bene. Anche allora che dipinse le nostre miserie, le miserie del nostro popolo invilito, diede prova di affetto sincero, sdegnò di adularci, e preferì la verità che risveglia alla lusinga che addormenta. Chi lesse i suoi libri, specialmente quelli vivissimi sulle condizioni del Napoletano, lo sa.","YES"
"Monnier_Marc-Novelle_Napoletane-1884","Monnier Marc","Novelle Napoletane","1884","E il municipio di Napoli, che nel 1864 conferiva all'insigne pubblicista il supremo onore della cittadinanza, mostrò come la gratitudine sia doverosa verso lo straniero che, senza bramosia di compensi, amorosamente ne studia e ci fa meglio conoscere i nostri mancamenti. L'Italia fu tante e tante volte descritta dagli stranieri, ma non può contare, fra gli stranieri, numerosi scrittori che l'abbiano descritta con coscienza e con verità. Nessun paese al mondo fu al pari del nostro descritto male; le esagerazioni si accumularono sulle esagerazioni, le bugie sulle bugie.","NO"
"Monnier_Marc-Novelle_Napoletane-1884","Monnier Marc","Novelle Napoletane","1884","Si poeteggiò d'Italia colla poesia più falsa. Quali risate ci strapparono le pagine di scrittori stranieri che giurano d'aver veduto nel nostro paese cose mai esistite! Lo stesso Carlo Dickens, solitamente osservatore finissimo, prese cantonate memorabili, e si abbandonò all'ammirazione immoderata, come all'ingiusto disprezzo.","NO"
"Monnier_Marc-Novelle_Napoletane-1884","Monnier Marc","Novelle Napoletane","1884","Quella Napoli, ad esempio, che pel Monnier è oggetto di sì lunghi studii, è al Dickens argomento di un fuggevole cenno di orrore. Egli è che tutti, o quasi tutti, visitarono l'Italia in fretta, paghi delle apparenze. Il Monnier vola come araba fenice sugli impressionisti allucinati o di mala fede.","NO"
"Monnier_Marc-Novelle_Napoletane-1884","Monnier Marc","Novelle Napoletane","1884","Il nostro celebre scrittore nacque il 7 dicembre 1829 a Firenze. Si potrebbe chiamarlo quindi, per nascita, italiano; ma suo padre era francese, e in francese egli scrisse le numerose sue opere, e francese egli è veramente per l'arte di comporre il libro, come nello stile e nello slancio geniale dell'affetto. Fu educato fra i tre e i dodici anni a Napoli; poscia proseguì gli studi a Parigi e a Ginevra, patria della madre.","NO"
"Monnier_Marc-Novelle_Napoletane-1884","Monnier Marc","Novelle Napoletane","1884","Le università di Heidelberg e di Berlino lo ebbero scolaro per alcuni mesi: poi, mortogli il padre, ritornò al pittoresco pandemonio di Napoli, ove, dal 1856 rimase fino al 1864, assistendo così agli ultimi guizzi di quel regno nefando, all'ebrezze della liberazione garibaldina, e alla lotta penosa, che ne successe, della civiltà contro la inveterata corruzione di quella plebe. Daniele Manin, l'instancabile patriota, che nell'esilio creava, come disse Anatole De la Forge, a legioni gli amici dell'Italia, eccitò il Monnier a consacrare il fervido ingegno e il bel cuore alla causa italiana; mettendolo all'uopo in relazione col Siècle diario allora molto influente. L'entusiasmo è la dote de' giovani, e il Monnier si mise all'opera con tutto l'ardore de' suoi giovani anni.","NO"
"Monnier_Marc-Novelle_Napoletane-1884","Monnier Marc","Novelle Napoletane","1884","Egli aveva fede nei destini d'Italia; egli sapeva leggere negli astri. E non solo al Siècle ma anche all'Indépendance Belge, alla Presse, al Temps, al Journal des Débats, all'Illustration, al Tour du monde, al Magasin Pittoresque, alla Revue Germanique, alla Revue des deux Mondes, egli collaborava occupandosi volentieri delle nostre contristate contrade, delle nostre malinconiche rovine sulle quali doveva sorgere ben presto la più maestosa e allegra aurora. Pensiamo in quanti lettori egli trasfuse il suo affetto per l'Italia!","NO"
"Monnier_Marc-Novelle_Napoletane-1884","Monnier Marc","Novelle Napoletane","1884","Furono migliaia e migliaia coloro che dalla guizzante sua parola appresero che oltre la cerchia nevosa delle Alpi si stendeva, nel letto azzurro dei mari, la bella morta. I padri di famiglia, le madri, le fanciulle, i giovani, leggendo la sera, le lettere dove il Monnier parlava di noi, imparavano ad amarci, e si arricchivano d'un affetto di più - per noi. Così, anche per merito del Monnier si creò in Francia, come suol dirsi, un ambiente di simpatia per l'Italia.","NO"
"Monnier_Marc-Novelle_Napoletane-1884","Monnier Marc","Novelle Napoletane","1884","Quell'uomo, in una parola, non operò per uno, ma per cento: si è centuplicato. La memoria del libro L'Italie est-elle la terre des morts? non morirà.","NO"
"Monnier_Marc-Novelle_Napoletane-1884","Monnier Marc","Novelle Napoletane","1884","- Questo libro fu il combattimento del cavaliero che pugna per la sua dama oltraggiata. Il Lamartine avea scritto, in un momento di debolezza, una amara parola sul conto nostro: e forse non aveva, in fondo in fondo, tutti i torti, e fe' bene forse a scriverla, poichè ridestò l'orgoglio di razza, la fiamma del patriotismo negli italiani, e lo spirito cavalleresco in quei bravi stranieri che giuravano di difenderci. Il Giusti, in una poesia ironica, rispondendo al Lamartine, enumerò le glorie italiane contemporanee, ed esclamò felicemente Oh che bel camposanto Da fare invidia ai vivi!","NO"
"Monnier_Marc-Novelle_Napoletane-1884","Monnier Marc","Novelle Napoletane","1884","Ma una lirica era poco: ci voleva un libro, un libro scritto da un francese, poichè un francese ne avea offesi, e il Monnier lo scrisse. Tutti noi della generazione presente ricordiamo il successo clamoroso riportato da quelle pagine sgorgate dal cuore. Furono tradotte in italiano, furono benedette e baciate dagli oppressi e dagli esuli.","NO"
"Monnier_Marc-Novelle_Napoletane-1884","Monnier Marc","Novelle Napoletane","1884","La fecondità del Monnier non è uno degli ultimi titoli d'ammirazione cui ci costringe. I libri nascono sotto la sua penna come per incanto; e sono libri ben fatti. Come sa dir tutto!","YES"
"Monnier_Marc-Novelle_Napoletane-1884","Monnier Marc","Novelle Napoletane","1884","Come dice bene tutto! Il giornalista non guasta in lui l'artista: del primo possiede la rapidità, non si smarrisce perciò pei meandri della divagazione cara a molti letterati, e va diritto al suo scopo: del secondo ha il gusto. Atteggia il pensiero con evidenza e con eleganza: ogni cosa ha il proprio colore: ogni persona, che mette in iscena, il proprio carattere.","NO"
"Monnier_Marc-Novelle_Napoletane-1884","Monnier Marc","Novelle Napoletane","1884","Nel suo stile brilla il pregio che Teofilo Gautier nota nel seducente Fortunio, la grâce mariée à la force, e, aggiungasi, il sentimento. L'umorismo aleggia talora ne' suoi scritti, lieve, fosforescente. Che lungo elenco quello delle sue opere!","NO"
