"filename","nome","titolo","anno","chunk","DIL"
"Morbio_Pio-Una_cospirazione_nel_1853-1865","Morbio Pio","Una cospirazione nel 1853","1865","Sul finire del 1852 il freddo ed il cattivo tempo imperversarono eccessivamente; tuttavia nell'ultima domenica del dicembre il cielo smise di tenere il broncio ed il sole riusci a far capolino tra una nube e l'altra. Non farà quindi meraviglia se i Milanesi, approfittando di questa sosta, si recarono in folla alla loro prediletta passeggiata, sui bastioni fra Porta Orientale e Porta Nuova: i soliti sfaccendati, giovani eleganti o che si credevano tali, borghesi felici di respirare almeno una volta per settimana un' aria più pura, signore a cui tardava far sfoggio delle nuove mode invernali, donne più o meno galanti in cerca d'avventure, tutto quel mondo insomma svariato e bizzarro che quasi sempre s'incontra alla passeggiata festiva, non mancava neppure questa volta. Qua e là facevano un bel risalto le bianche ed eleganti divise degli ufficiali austriaci; passeggiavano lentamente, a gruppi, la testa alta, la sciabola sotto al braccio o più spesso strascicandola con noncuranza, mentre i cittadini si affrettavano ad aprir un largo passaggio; ma nel sommesso mormorio di questi, e nei lunghi sguardi con cui li seguivano si leggeva un ben altro sentimento che l'ammirazione o il rispetto.","NO"
"Morbio_Pio-Una_cospirazione_nel_1853-1865","Morbio Pio","Una cospirazione nel 1853","1865","Anche gli equipaggi vi si erano recati in discreto numero, e il corso fin verso le quattro aveva serbato un aspetto gaio ed animato. Poco dopo quell'ora però una fitta nebbia cominciò a calare a vista d'occhio, e un vento freddo ed aspro di tramontana venne a dare il segnale della ritirata. La folla per la via della Zecca e per il Corso di Porta Orientale, si avviò in massa verso il centro della città; sicchè in men d'un quarto d'ora il bastione rimase deserto, tranne poche carrozze e alcuni ritardatari ostinati.","NO"
"Morbio_Pio-Una_cospirazione_nel_1853-1865","Morbio Pio","Una cospirazione nel 1853","1865","Uno fra questi percorreva a piccoli passi il gran viale col fare di chi attende qualcuno; a ripararsi forse dalla brezza che andava facendosi sempre più viva, si era ravviluppato nel pittoresco mantello d'allora. Era un bel giovine, alto, snello, che non aveva lineamenti regolari, ma una fronte spaziosa e due begli occhi capacissimi di far palpitare il cuore ad una donna. Esaminava con una certa attenzione le poche carrozze che ancor rimanevano, segno evidente che la persona aspettata doveva trovarsi in una di queste, e finalmente quando vide avvicinarsi un legno da nolo tirato però da due cavalli di discreta apparenza, si lasciò sfuggire quel gesto quasi impercettibile, cosi naturale in chi vede dopo una lunga aspettativa l'oggetto desiderato.","NO"
"Morbio_Pio-Una_cospirazione_nel_1853-1865","Morbio Pio","Una cospirazione nel 1853","1865","I cavalli si avviavano al gran trotto verso il corso di Porta Orientale, ed il nostro giovine ebbe appena tempo di contemplare alla sfuggita il gentil volto della signora che stava nella carrozza. Arrossi leggermente e si fermò seguendola sempre collo sguardo, in quell'attitudine d'estasi che hanno pressochè tutti gli amanti, massime se giovani, e chi sa fin quando vi sarebbe rimasto se una voce non lo avesse chiamato per nome. Manco male, non ho preso un granchio - disse il nuovo arrivato, un uomo d'età più avanzata.","NO"
"Morbio_Pio-Una_cospirazione_nel_1853-1865","Morbio Pio","Una cospirazione nel 1853","1865","Temeva di ingannarmi con questa nebbiaccia indiavolata. È probabile che il giovine avrebbe fatto a meno volon tieri di un incontro che troncava bruscamente il filo delle sue meditazioni; ad ogni modo però non lasciò nulla trasparire e addio Monti disse stringendogli la mano con cordialità che buon vento ti ha condotto fino ai bastioni? Oh!","YES"
"Morbio_Pio-Una_cospirazione_nel_1853-1865","Morbio Pio","Una cospirazione nel 1853","1865","è presto detto; era nello studio che lavoravo con una lena che mi sento ben di rado; stava per finire un quadretto... quello che ho abbozzato or son due mesi, quando ho veduto un benedetto raggio di sole. Allora il mio buon volere è andato subito in fumo e mi è venuto il ticchio invece di fare una bella passeggiata. Ma e tua che diamine pensavi poco fa, qua in mezzo, immobile come una statua?","YES"
"Morbio_Pio-Una_cospirazione_nel_1853-1865","Morbio Pio","Una cospirazione nel 1853","1865","A che pensavo? A nulla; osservava gli equipaggi. Se ve ne erano due o tre appena!","YES"
"Morbio_Pio-Una_cospirazione_nel_1853-1865","Morbio Pio","Una cospirazione nel 1853","1865","Oh! ma sono pure la gran bestia! Ti ho domandato cosa ammiravi come se non avessi veduto passar poco prima la carrozza della contessa.","YES"
"Morbio_Pio-Una_cospirazione_nel_1853-1865","Morbio Pio","Una cospirazione nel 1853","1865","nosci? Ti assicuro Carlo... Eh via!","NO"
"Morbio_Pio-Una_cospirazione_nel_1853-1865","Morbio Pio","Una cospirazione nel 1853","1865","non dir bugie. È molto tempo che la co Di vista si, ma non le ho mai parlato. Doveva immaginarlo!","YES"
