"filename","nome","titolo","anno","chunk","DIL"
"Moscardelli_Nicola-Il_sole_dell_abisso-1930","Moscardelli Nicola","Il sole dell abisso","1930","﻿NICOLA MOSCARDELLI IL SOLE DELL’ABISSO VISITARE GLI INFERMI Il portiere, essendo stato incaricato di chiamare un taxi, rimase sulla porta del suo sgabuzzino, perchè non aveva nulla da fare. Era un’ora morta del pomeriggio, quando il sole entra con una lunga striscia bianca attraverso i battenti accostati dei portoni e i rumori cadono nei cortili come sassi nell’acqua. Perciò egli fu il solo a vedere, poco dopo, la signora del terzo piano che scendeva in compagnia della donna di servizio che zoppicava.","NO"
"Moscardelli_Nicola-Il_sole_dell_abisso-1930","Moscardelli Nicola","Il sole dell abisso","1930","Il palazzo dormiva tutto nell’assopimento del pomeriggio e nessun altro vide uscire la zoppa. L’ospedale dove essa era diretta aveva un nome che era giunto fino al suo paese dal quale i malati accorrevano racimolando i soldi risparmiati anno per anno; e nella loro mente se lo figuravano come una grande casa, più grande di un paese, soltanto che invece d’essere abitato da gente sana era abitato da malati. «Ci starò dieci, quindici giorni – pensava la ragazza mentre il taxi correva per le vie allagate di sole –, mi guariranno, uscirò e nessuno ne avrà saputo nulla al paese».","YES"
"Moscardelli_Nicola-Il_sole_dell_abisso-1930","Moscardelli Nicola","Il sole dell abisso","1930","E poi, più giù, in fondo in fondo all’anima rampollava un altro pensiero: «E il fidanzato lo troverò lo stesso». Al paese l’ospedale e la malattia sono come il carcere e il delitto. Bisogna stare attenti a confessare di essere malati, e proprio quando non se ne può fare a meno, altrimenti la gente comincia a guardarti di traverso, come la pecora segnata, e sebbene tutti ti si facciano attorno con l’aria di volerti aiutare, è troppo chiaro che lo fanno solo per avere tue notizie e per sentirsi meglio dopo perchè non c’è niente che faccia apprezzare quel che valga aver le gambe e lo stomaco sano quanto il veder un altro che non può camminare e non digerisce.","YES"
"Moscardelli_Nicola-Il_sole_dell_abisso-1930","Moscardelli Nicola","Il sole dell abisso","1930","E poi una ragazza malata non trova più marito, anche se è guarita, e la guardano fissi negli occhi come un biglietto da cento che sembra vero ma è falso. «Com’è comodo invece vivere in città – pensava la ragazza – uno si ammala e nessuno lo sa: entra ed esce dall’ospedale e nessuno se ne accorge. Dieci, quindici giorni e tutto sarà passato».","YES"
"Moscardelli_Nicola-Il_sole_dell_abisso-1930","Moscardelli Nicola","Il sole dell abisso","1930","Attraverso la gonna sentiva la gamba gonfia, e le fitte acute ad ogni sobbalzo della vettura le facevano mordere le labbra: ma si faceva coraggio e non gridava. L’ospedale sulla piazza appariva di lontano grande, immenso, più di una caserma o una chiesa, con le file infinite delle finestre, e tanta piccola gente allineata lungo il muro con appena i piedi nell’ombra cadente del cornicione. Dentro, l’androne enorme era sorvegliato da un portiere che fumava la pipa.","NO"
"Moscardelli_Nicola-Il_sole_dell_abisso-1930","Moscardelli Nicola","Il sole dell abisso","1930","Faceva fresco come in chiesa. Imboccato un corridoio più lungo d’una via, si sentiva errare nell’aria l’odore dell’acido fenico, un filo appena, ma che non riusciva a disperdersi. La signora e la ragazza trovarono la suora a cui dovevano indirizzarsi.","NO"
"Moscardelli_Nicola-Il_sole_dell_abisso-1930","Moscardelli Nicola","Il sole dell abisso","1930","La ragazza sorrise con l’aria di chi si scolpa d’una mancanza di poco conto. La suora guardò il biglietto che la padrona le porgeva, chiamò un’infermiera e disse un numero. Anche all’infermiera la ragazza fece un sorriso a cui l’altra non rispose: ma le disse di seguirla con una voce che pareva d’uomo, senza nemmeno guardarla in faccia.","NO"
"Moscardelli_Nicola-Il_sole_dell_abisso-1930","Moscardelli Nicola","Il sole dell abisso","1930","Aprì una porta ed apparve la corsia: quanti letti c’erano? Forse cento, forse mille, l’uno accanto all’altro, tutti bianchi, fino in fondo dove ardevan le candele dinanzi ad un altare in tutto uguale a quello della chiesa del suo paese. Per un attimo la ragazza si dimenticò d’aver male e guardò lo spettacolo dei letti e delle luci con lo stesso gioioso stupore con cui a Natale aveva guardato per la prima volta le vetrine con gli abeti scintillanti.","YES"
"Moscardelli_Nicola-Il_sole_dell_abisso-1930","Moscardelli Nicola","Il sole dell abisso","1930","Ma dai letti si cominciavano già a levar teste incuriosite, e l’infermiera, arrestatasi dinanzi al numero diciotto, disse: «questo è il tuo letto. Spogliati e dormi. Lei, Signora, può tornar domani mattina: allora ci sarà il professore.","NO"
"Moscardelli_Nicola-Il_sole_dell_abisso-1930","Moscardelli Nicola","Il sole dell abisso","1930","Si ricordi: numero diciotto, Sala Fazioli». Rimasta sola, la ragazza in fondo al letto guardava il soffitto alto alto e le idee si rincorrevano nel suo cervello come formiche in un formicaio travolto da un colpo di vanga. Si sentiva piccola piccola in mezzo alla immensità della corsia, dell’ospedale, della città e vedeva il suo paese lontano lontano come un punto bianco sulla montagna scura dove nessuno pensava a lei che aveva perfino un altare da chiesa nella corsia mentre guariva della sua malattia.","YES"
